orbital,old_8m_rms_vs_qm,old_six_run_mean_rms_vs_qm,new_8m_rms_vs_qm,new_over_old_8m_qm_rms
0,0.0002216452214476219,0.00021173293749812412,2.0861237294944418e-05,0.0941199506070752
1,4.676765117429929e-06,4.3809691986488615e-06,9.650590453163743e-07,0.20635183103801313
2,5.143230907943759e-06,4.734526455869347e-06,8.733084101905054e-07,0.16979762834324122
3,5.43142419996217e-06,4.468167034309826e-06,8.571803019937957e-07,0.15781869919122982
4,5.620442511051332e-06,4.63230468490233e-06,9.569706881228173e-07,0.17026607535637103
5,5.93311429825374e-05,4.8344594046613336e-05,9.648767497652852e-06,0.16262568042036069
6,5.70444253367394e-05,4.648952088063882e-05,1.0059313193713676e-05,0.17634173951849746
7,5.5058006736388926e-05,4.9084909201652774e-05,1.065455850798211e-05,0.19351515137471006
8,5.716662054139089e-05,4.742368356038733e-05,8.507989341375307e-06,0.1488279219726691
9,5.804056187120969e-05,4.673109830653901e-05,1.0503727845697328e-05,0.1809721943940652
