label,orbital,initially_occupied,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,qm_peak_abs,simulation_peak_abs,max_abs_error
D3_F384_reference,0,True,8.17278279011827e-05,8.172782808559337e-05,2.2169974433121354e-13,368641958.2833776,1.0000000022564,1.0000000000000002,0.9999999999999988,0.00015483612727895668,0.00015483612729816354,3.8258285428582894e-13
D3_F384_reference,1,True,9.075475354630582e-08,9.075493675631818e-08,2.316239259695486e-13,391819.4252446842,1.0000020187373686,0.9999999999987809,0.9999999999959404,1.4491464772614648e-07,1.44914792166162e-07,3.994582442601313e-13
D3_F384_reference,2,True,1.7040492807842048e-07,1.704051434222502e-07,2.3159377498800455e-13,735792.3505812997,1.0000012637183218,0.9999999999998752,0.999999999999303,2.2878937144810152e-07,2.2878957417482582e-07,3.991251773527438e-13
D3_F384_reference,3,True,2.9975364672326435e-07,2.997538759721032e-07,2.3159952332144174e-13,1294275.7498996668,1.0000007647908251,0.9999999999999939,0.9999999999999751,4.1360190050632184e-07,4.136022999645661e-07,3.994582442601313e-13
D3_F384_reference,4,True,4.668302220928757e-07,4.6683045283099856e-07,2.3161091603607694e-13,2015579.5334800186,1.0000004942656064,0.9999999999999991,0.9999999999999982,8.061149762150777e-07,8.061153762284334e-07,4.000133557724439e-13
D3_F384_reference,5,False,1.78276492755442e-05,1.7827649274460846e-05,1.8922200603498754e-15,9421551778.838997,0.9999999999392317,1.0,0.9999999999999992,3.281092072571066e-05,3.281092072621608e-05,3.45932660229982e-15
D3_F384_reference,6,False,1.720579087714072e-05,1.720579087590744e-05,2.1331464546400477e-15,8065921043.402557,0.9999999999283218,0.9999999999999999,1.0,3.194431983448476e-05,3.194431983506144e-05,3.89106437771302e-15
D3_F384_reference,7,False,1.66133883898008e-05,1.6613388388389668e-05,2.4097483112464973e-15,6894242154.778043,0.9999999999150605,1.0000000000000002,1.0,3.1053821988956524e-05,3.105382198961308e-05,4.3678812465790945e-15
D3_F384_reference,8,False,1.6036918077089764e-05,1.603691807545802e-05,2.7423437783945872e-15,5847887563.709476,0.9999999998982507,1.0000000000000002,1.0,3.0095640800961344e-05,3.009564080171171e-05,4.912840221985883e-15
D3_F384_reference,9,False,1.5413298770064122e-05,1.5413298768130383e-05,3.1981976258403276e-15,4819370337.070484,0.9999999998745409,1.0,0.9999999999999993,2.8947383092495314e-05,2.8947383093380843e-05,5.643973651067377e-15
