label,orbital,initially_occupied,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,qm_peak_abs,simulation_peak_abs,max_abs_error
phase_off,0,True,8.17278279011827e-05,8.154273802733128e-05,8.19384783838248e-06,9.97429162869545,0.9977352894527528,0.9949653545920976,0.9495649669910342,0.00015483612727895668,0.00015318039439760067,4.8231923356123474e-05
phase_off,1,True,9.075475354630582e-08,3.821453050547168e-07,3.4964222272356954e-07,0.2595646282058371,4.210746987040571,0.46165495732429757,-0.05534160819278568,1.4491464772614648e-07,1.1032988211923112e-06,1.0453569981860866e-06
phase_off,2,True,1.7040492807842048e-07,5.19819345010373e-07,4.219655394512199e-07,0.4038361243907209,3.0504947883382325,0.6841012535552083,0.3150754040157835,2.2878937144810152e-07,1.3875234332605402e-06,1.2096002651729165e-06
phase_off,3,True,2.9975364672326435e-07,6.919811023061532e-07,4.7322917696166815e-07,0.6334217358443741,2.3084993622946555,0.8310139503879426,0.6897352966503351,4.1360190050632184e-07,1.8079774158907824e-06,1.3943755153844606e-06
phase_off,4,True,4.668302220928757e-07,8.498458109965713e-07,4.7637658432401777e-07,0.9799604713050948,1.8204601389913757,0.8988821632859845,0.8277518502459161,8.061149762150777e-07,2.629350684957288e-06,1.8232357087422102e-06
phase_off,5,False,1.78276492755442e-05,1.7542371131528144e-05,1.622216220162019e-06,10.989687474437694,0.9839979943734142,0.9959227984221776,0.9620928395866675,3.281092072571066e-05,3.246290677855914e-05,5.5262422166770465e-06
phase_off,6,False,1.720579087714072e-05,1.7078580951484532e-05,1.4641174275377339e-06,11.751646796579973,0.9926065633039167,0.996380034180701,0.9663752536557483,3.194431983448476e-05,3.160400438204843e-05,4.958449173701254e-06
phase_off,7,False,1.66133883898008e-05,1.665021495120449e-05,1.5805996357943829e-06,10.51081375294079,1.002216679736826,0.9954866410290902,0.9584475550803024,3.1053821988956524e-05,3.0721515156120507e-05,7.289212165661985e-06
phase_off,8,False,1.6036918077089764e-05,1.6308697838792737e-05,1.999755795182904e-06,8.019438231268122,1.0169471316369219,0.9924960995947751,0.9322249875272818,3.0095640800961344e-05,2.9772066181857028e-05,1.2473177045434422e-05
phase_off,9,False,1.5413298770064122e-05,1.6181882514617614e-05,3.0987739718264623e-06,4.973999042911575,1.0498649741381931,0.9819344542927625,0.8504491522237536,2.8947383092495314e-05,3.666637277764963e-05,2.1762598365634936e-05
phase_mod4,0,True,8.17278279011827e-05,8.333476472186856e-05,2.610660449630117e-05,3.130542231670229,1.0196620522281445,0.9501544890497122,0.7019368684202797,0.00015483612727895668,0.00019918600231938477,0.00012477927410914358
phase_mod4,1,True,9.075475354630582e-08,3.653871229895774e-07,3.540626451446706e-07,0.25632400026052815,4.026093496062945,0.24703728538483957,0.2825647785564162,1.4491464772614648e-07,9.72395779674784e-07,1.032903643283234e-06
phase_mod4,2,True,1.7040492807842048e-07,3.7599572379855786e-07,3.2588965190404845e-07,0.5228914974219333,2.2064838619310607,0.5010537781012648,0.2686535491016026,2.2878937144810152e-07,1.3022786877758818e-06,1.451435141963664e-06
phase_mod4,3,True,2.9975364672326435e-07,4.511578975190879e-07,3.0016026942495217e-07,0.9986453147098154,1.5050956091807,0.751645906384779,0.47460371759267966,4.1360190050632184e-07,1.3797179025942796e-06,1.7933198031006015e-06
phase_mod4,4,True,4.668302220928757e-07,5.899015112653251e-07,2.8450261001381096e-07,1.6408644619120147,1.26363179448987,0.8805391237615522,0.706887897121675,8.061149762150777e-07,1.4616594499194946e-06,1.7963149184785365e-06
phase_mod4,5,False,1.78276492755442e-05,1.8467504628371212e-05,4.322061682276584e-06,4.124802139832892,1.0358911790857788,0.9722524064139446,0.8040642034323157,3.281092072571066e-05,4.587750946394749e-05,2.516731555924975e-05
phase_mod4,6,False,1.720579087714072e-05,1.762456000595707e-05,4.354486988305242e-06,3.951278514173992,1.0243388479963869,0.9690246818419015,0.7878937783993789,3.194431983448476e-05,4.280711731536897e-05,2.5159998627600874e-05
phase_mod4,7,False,1.66133883898008e-05,1.6965522613926088e-05,4.8775622288417715e-06,3.4060843532786307,1.0211958100216008,0.9580163023557051,0.7431114449310275,3.1053821988956524e-05,3.9828017633979094e-05,2.7137224127695113e-05
phase_mod4,8,False,1.6036918077089764e-05,1.6509894640570956e-05,6.121334061062054e-06,2.619840367657921,1.0294929837022042,0.9296609709622036,0.6577175453898598,3.0095640800961344e-05,3.829621702627189e-05,2.9766191012889085e-05
phase_mod4,9,False,1.5413298770064122e-05,1.6808812017150693e-05,9.375739411711366e-06,1.6439555424088639,1.0905395572943122,0.834110537444195,0.4903390850678026,2.8947383092495314e-05,4.1165747935314624e-05,5.558508568323873e-05
