source_stage,model_branch,source_file,search_round,selection_rank,selection_status,case_id,wc_eV,eta,band_class,ntraj_per_run,independent_repeats,time_end,required_until,required_Q,bottleneck_window,passes_required_interval,active_orbitals,inactive_orbitals,max_inactive_noise,inactive_noise_limit,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,Q_0_10,Q_10_20,Q_20_30,Q_30_40,Q_40_50,Q_50_60,Q_60_70,Q_70_80,Q_80_90,Q_90_100,Q_100_110,Q_110_120,Q_120_130,Q_130_140,Q_140_150
legacy-t50,pre-resonant,scan_cloud_strict_t50_20260809/strict_per_orbital.csv,,,not-applicable,w4p5_e0p0003,4.5,0.0003,wide,8000000,3,50.0,50.0,1.7462859474493009,40-50,False,0 5 6 7 8 9,1 2 3 4,1.0586457768564347e-05,3.367428579302474e-05,0.0002514010576982491,0.00037999922905333186,5.583277806650805e-05,7.169553839503351e-11,41.99448075518378,7.991166324984359,3.6628632448144827,2.261440175815156,1.7462859474493009,,,,,,,,,,
legacy-t50,pre-resonant,scan_cloud_strict_t50_20260809/strict_per_orbital.csv,,,not-applicable,w3_e0p0003,3.0,0.0003,narrow,8000000,3,50.0,50.0,1.2546300788882176,40-50,False,0 5 6 7 8 9,1 2 3 4,1.2726370818462618e-05,3.5704160532429874e-05,0.0002774860648252304,0.0005942909754240903,7.466573121900854e-05,7.188649675526904e-11,47.251711986235634,11.594943129695144,3.986388606875533,2.3471274937877054,1.2546300788882176,,,,,,,,,,
legacy-t50,pre-resonant,scan_cloud_strict_t50_20260809/strict_per_orbital.csv,,,not-applicable,w6_e0p0003,6.0,0.0003,wide,8000000,4,50.0,50.0,1.2379601100209818,40-50,False,0 5 6 7 8 9,1 2 3 4,1.2010362687957394e-05,3.22851491300812e-05,0.0002490369204287427,0.00039833868960694504,6.524027406204143e-05,7.193357021151314e-11,42.1690107855223,9.27272383225373,3.7012753781628174,2.1697513343292765,1.2379601100209818,,,,,,,,,,
legacy-t50,pre-resonant,scan_cloud_strict_t50_20260809/strict_per_orbital.csv,,,not-applicable,w7p5_e0p0006,7.5,0.0006,wide,8000000,4,50.0,50.0,1.1637537961480477,40-50,False,0 5 6 7 8 9,1 2 3 4,8.92828914455851e-05,8.009459944259427e-05,0.0006954533151179306,0.001477576461802821,0.0002395652237919882,6.389289097796791e-11,48.35911638794048,8.62813929719358,3.7976244926216904,2.046055741195564,1.1637537961480477,,,,,,,,,,
legacy-t50,pre-resonant,scan_cloud_strict_t50_20260809/strict_per_orbital.csv,,,not-applicable,w4p5_e0p0009,4.5,0.0009,wide,8000000,3,50.0,50.0,1.0905929092477116,40-50,False,0 5 6 7 8 9,1 2 3 4,0.0002234304998235328,0.0001582171641509812,0.001609091789911151,0.004152111654981712,0.0006560642510072591,6.413269915128694e-11,43.18110654659612,10.66909180642504,3.6800743058670213,1.3401229683481974,1.0905929092477116,,,,,,,,,,
legacy-t50,pre-resonant,scan_cloud_strict_t50_20260809/strict_per_orbital.csv,,,not-applicable,w9p5_e0p0009,9.5,0.0009,wide,8000000,5,50.0,50.0,0.8609330768905722,40-50,False,0 5 6 7 8 9,1 2 3 4,0.00028710610692906925,0.000132316608872916,0.0014607452617064385,0.0040302242949053465,0.000674752229031467,6.341505098816924e-11,48.283400675388854,9.423952766065195,3.985928344080535,1.1905854262736821,0.8609330768905722,,,,,,,,,,
legacy-t50,pre-resonant,scan_cloud_strict_t50_20260809/strict_per_orbital.csv,,,not-applicable,w7p5_e0p0009,7.5,0.0009,wide,8000000,5,50.0,50.0,0.8216130933023061,40-50,False,0 5 6 7 8 9,1 2 3 4,0.00023176227664091368,0.0001392638646500896,0.00144042916656731,0.004022654833562569,0.0006622643617709642,6.294342824730847e-11,47.056415721677844,10.028759546728672,3.7849707124209804,1.536262009007839,0.8216130933023061,,,,,,,,,,
legacy-t50,pre-resonant,scan_cloud_strict_t50_20260809/strict_per_orbital.csv,,,not-applicable,w4p5_e0p0006,4.5,0.0006,wide,8000000,3,50.0,50.0,0.6640716529923302,40-50,False,0 5 6 7 8 9,1 2 3 4,7.206957594681527e-05,8.189913595084246e-05,0.0006416212701182746,0.0010874793307221766,0.0003030827721887315,6.371614347244758e-11,46.58465515880982,12.082745581820454,3.9853515137132454,2.114611014242475,0.6640716529923302,,,,,,,,,,
legacy-t50,pre-resonant,scan_cloud_strict_t50_20260809/strict_per_orbital.csv,,,not-applicable,w6_e0p0009,6.0,0.0009,wide,8000000,4,50.0,50.0,0.610430963457002,40-50,False,0 5 6 7 8 9,1 2 3 4,0.0002745978604362662,0.00014556429428532787,0.0011440357371889673,0.0020078873080402624,0.0006993301814606272,6.333422675197653e-11,45.311560905567696,9.05700278538219,3.5124784511358054,1.420319657149753,0.610430963457002,,,,,,,,,,
legacy-t50,pre-resonant,scan_cloud_strict_t50_20260809/strict_per_orbital.csv,,,not-applicable,w6_e0p0006,6.0,0.0006,wide,8000000,5,50.0,50.0,0.5751324012764176,40-50,False,0 5 6 7 8 9,1 2 3 4,7.004796199167915e-05,8.183227493756283e-05,0.0006633975684210028,0.0013691635640140309,0.0002462955638199489,6.399059060413492e-11,48.41255683773471,9.488950902881303,3.8253674952626957,1.6418591274093388,0.5751324012764176,,,,,,,,,,
