"case_id","data_file","param.wc_eV","param.eta","param.ntraj","param.mpi_ranks","param.tmax","job_id"
"r1_wc0p05_eta1em4","cloud-runs\635915\ahm-sepmb-s10-n5-8000000.dat","0.05","0.0001","8000000","64","150","635915"
"r1_wc0p05_eta1em4","cloud-runs\635916\ahm-sepmb-s10-n5-8000000.dat","0.05","0.0001","8000000","64","150","635916"
"r1_wc0p05_eta1em4","cloud-runs\635917\ahm-sepmb-s10-n5-8000000.dat","0.05","0.0001","8000000","64","150","635917"
"r1_wc0p2_eta5em5","cloud-runs\635918\ahm-sepmb-s10-n5-8000000.dat","0.2","5E-05","8000000","64","150","635918"
"r1_wc0p2_eta5em5","cloud-runs\635919\ahm-sepmb-s10-n5-8000000.dat","0.2","5E-05","8000000","64","150","635919"
"r1_wc0p2_eta5em5","cloud-runs\635920\ahm-sepmb-s10-n5-8000000.dat","0.2","5E-05","8000000","64","150","635920"
"r1_wc0p5_eta1em4","cloud-runs\635921\ahm-sepmb-s10-n5-8000000.dat","0.5","0.0001","8000000","64","150","635921"
"r1_wc0p5_eta1em4","cloud-runs\635922\ahm-sepmb-s10-n5-8000000.dat","0.5","0.0001","8000000","64","150","635922"
"r1_wc0p5_eta1em4","cloud-runs\635923\ahm-sepmb-s10-n5-8000000.dat","0.5","0.0001","8000000","64","150","635923"
"r1_wc1p0_eta1p2em4","cloud-runs\635924\ahm-sepmb-s10-n5-8000000.dat","1","0.00012","8000000","64","150","635924"
"r1_wc1p0_eta1p2em4","cloud-runs\635925\ahm-sepmb-s10-n5-8000000.dat","1","0.00012","8000000","64","150","635925"
"r1_wc1p0_eta1p2em4","cloud-runs\635926\ahm-sepmb-s10-n5-8000000.dat","1","0.00012","8000000","64","150","635926"
"r1_wc1p2_eta1p2em4","cloud-runs\635927\ahm-sepmb-s10-n5-8000000.dat","1.2","0.00012","8000000","64","150","635927"
"r1_wc1p2_eta1p2em4","cloud-runs\635928\ahm-sepmb-s10-n5-8000000.dat","1.2","0.00012","8000000","64","150","635928"
"r1_wc1p2_eta1p2em4","cloud-runs\635929\ahm-sepmb-s10-n5-8000000.dat","1.2","0.00012","8000000","64","150","635929"
"r1_wc1p5_eta1p2em4","cloud-runs\635930\ahm-sepmb-s10-n5-8000000.dat","1.5","0.00012","8000000","64","150","635930"
"r1_wc1p5_eta1p2em4","cloud-runs\635931\ahm-sepmb-s10-n5-8000000.dat","1.5","0.00012","8000000","64","150","635931"
"r1_wc1p5_eta1p2em4","cloud-runs\635932\ahm-sepmb-s10-n5-8000000.dat","1.5","0.00012","8000000","64","150","635932"
"r1_wc2p0_eta1p2em4","cloud-runs\635933\ahm-sepmb-s10-n5-8000000.dat","2","0.00012","8000000","64","150","635933"
"r1_wc2p0_eta1p2em4","cloud-runs\635934\ahm-sepmb-s10-n5-8000000.dat","2","0.00012","8000000","64","150","635934"
"r1_wc2p0_eta1p2em4","cloud-runs\635935\ahm-sepmb-s10-n5-8000000.dat","2","0.00012","8000000","64","150","635935"
"r1_wc2p15_eta8em5","cloud-runs\635936\ahm-sepmb-s10-n5-8000000.dat","2.15","8E-05","8000000","64","150","635936"
"r1_wc2p15_eta8em5","cloud-runs\635937\ahm-sepmb-s10-n5-8000000.dat","2.15","8E-05","8000000","64","150","635937"
"r1_wc2p15_eta8em5","cloud-runs\635938\ahm-sepmb-s10-n5-8000000.dat","2.15","8E-05","8000000","64","150","635938"
"r1_wc2p3_eta1p6em4","cloud-runs\635939\ahm-sepmb-s10-n5-8000000.dat","2.3","0.00016","8000000","64","150","635939"
"r1_wc2p3_eta1p6em4","cloud-runs\635940\ahm-sepmb-s10-n5-8000000.dat","2.3","0.00016","8000000","64","150","635940"
"r1_wc2p3_eta1p6em4","cloud-runs\635941\ahm-sepmb-s10-n5-8000000.dat","2.3","0.00016","8000000","64","150","635941"
"r1_wc2p5_eta1p2em4","cloud-runs\635942\ahm-sepmb-s10-n5-8000000.dat","2.5","0.00012","8000000","64","150","635942"
"r1_wc2p5_eta1p2em4","cloud-runs\635943\ahm-sepmb-s10-n5-8000000.dat","2.5","0.00012","8000000","64","150","635943"
"r1_wc2p5_eta1p2em4","cloud-runs\635944\ahm-sepmb-s10-n5-8000000.dat","2.5","0.00012","8000000","64","150","635944"
"r1_wc3p5_eta1p2em4","cloud-runs\635945\ahm-sepmb-s10-n5-8000000.dat","3.5","0.00012","8000000","64","150","635945"
"r1_wc3p5_eta1p2em4","cloud-runs\635946\ahm-sepmb-s10-n5-8000000.dat","3.5","0.00012","8000000","64","150","635946"
"r1_wc3p5_eta1p2em4","cloud-runs\635947\ahm-sepmb-s10-n5-8000000.dat","3.5","0.00012","8000000","64","150","635947"
"r1_wc5p0_eta1p2em4","cloud-runs\635948\ahm-sepmb-s10-n5-8000000.dat","5","0.00012","8000000","64","150","635948"
"r1_wc5p0_eta1p2em4","cloud-runs\635949\ahm-sepmb-s10-n5-8000000.dat","5","0.00012","8000000","64","150","635949"
"r1_wc5p0_eta1p2em4","cloud-runs\635950\ahm-sepmb-s10-n5-8000000.dat","5","0.00012","8000000","64","150","635950"
