"case_id","data_file","param.wc_eV","param.eta","param.ntraj","param.mpi_ranks","param.tmax","job_id"
"r3_wc0p12_eta2p4em5","cloud-runs\635995\ahm-sepmb-s10-n5-8000000.dat","0.12","2.4e-5","8000000","64","150","635995"
"r3_wc0p12_eta2p4em5","cloud-runs\635996\ahm-sepmb-s10-n5-8000000.dat","0.12","2.4e-5","8000000","64","150","635996"
"r3_wc0p12_eta2p4em5","cloud-runs\635997\ahm-sepmb-s10-n5-8000000.dat","0.12","2.4e-5","8000000","64","150","635997"
"r3_wc0p15_eta3em5","cloud-runs\635998\ahm-sepmb-s10-n5-8000000.dat","0.15","3.0e-5","8000000","64","150","635998"
"r3_wc0p15_eta3em5","cloud-runs\635999\ahm-sepmb-s10-n5-8000000.dat","0.15","3.0e-5","8000000","64","150","635999"
"r3_wc0p15_eta3em5","cloud-runs\636000\ahm-sepmb-s10-n5-8000000.dat","0.15","3.0e-5","8000000","64","150","636000"
"r3_wc0p18_eta3p6em5","cloud-runs\636001\ahm-sepmb-s10-n5-8000000.dat","0.18","3.6e-5","8000000","64","150","636001"
"r3_wc0p18_eta3p6em5","cloud-runs\636002\ahm-sepmb-s10-n5-8000000.dat","0.18","3.6e-5","8000000","64","150","636002"
"r3_wc0p18_eta3p6em5","cloud-runs\636003\ahm-sepmb-s10-n5-8000000.dat","0.18","3.6e-5","8000000","64","150","636003"
"r3_wc0p20_eta3p5em5","cloud-runs\636004\ahm-sepmb-s10-n5-8000000.dat","0.20","3.5e-5","8000000","64","150","636004"
"r3_wc0p20_eta3p5em5","cloud-runs\636005\ahm-sepmb-s10-n5-8000000.dat","0.20","3.5e-5","8000000","64","150","636005"
"r3_wc0p20_eta3p5em5","cloud-runs\636006\ahm-sepmb-s10-n5-8000000.dat","0.20","3.5e-5","8000000","64","150","636006"
"r3_wc0p20_eta4p5em5","cloud-runs\636007\ahm-sepmb-s10-n5-8000000.dat","0.20","4.5e-5","8000000","64","150","636007"
"r3_wc0p20_eta4p5em5","cloud-runs\636008\ahm-sepmb-s10-n5-8000000.dat","0.20","4.5e-5","8000000","64","150","636008"
"r3_wc0p20_eta4p5em5","cloud-runs\636009\ahm-sepmb-s10-n5-8000000.dat","0.20","4.5e-5","8000000","64","150","636009"
"r3_wc0p22_eta4p4em5","cloud-runs\636010\ahm-sepmb-s10-n5-8000000.dat","0.22","4.4e-5","8000000","64","150","636010"
"r3_wc0p22_eta4p4em5","cloud-runs\636011\ahm-sepmb-s10-n5-8000000.dat","0.22","4.4e-5","8000000","64","150","636011"
"r3_wc0p22_eta4p4em5","cloud-runs\636012\ahm-sepmb-s10-n5-8000000.dat","0.22","4.4e-5","8000000","64","150","636012"
"r3_wc0p25_eta5em5","cloud-runs\636013\ahm-sepmb-s10-n5-8000000.dat","0.25","5.0e-5","8000000","64","150","636013"
"r3_wc0p25_eta5em5","cloud-runs\636014\ahm-sepmb-s10-n5-8000000.dat","0.25","5.0e-5","8000000","64","150","636014"
"r3_wc0p25_eta5em5","cloud-runs\636015\ahm-sepmb-s10-n5-8000000.dat","0.25","5.0e-5","8000000","64","150","636015"
"r3_wc0p28_eta5p6em5","cloud-runs\636016\ahm-sepmb-s10-n5-8000000.dat","0.28","5.6e-5","8000000","64","150","636016"
"r3_wc0p28_eta5p6em5","cloud-runs\636017\ahm-sepmb-s10-n5-8000000.dat","0.28","5.6e-5","8000000","64","150","636017"
"r3_wc0p28_eta5p6em5","cloud-runs\636018\ahm-sepmb-s10-n5-8000000.dat","0.28","5.6e-5","8000000","64","150","636018"
"r3_wc0p32_eta6p4em5","cloud-runs\636019\ahm-sepmb-s10-n5-8000000.dat","0.32","6.4e-5","8000000","64","150","636019"
"r3_wc0p32_eta6p4em5","cloud-runs\636020\ahm-sepmb-s10-n5-8000000.dat","0.32","6.4e-5","8000000","64","150","636020"
"r3_wc0p32_eta6p4em5","cloud-runs\636021\ahm-sepmb-s10-n5-8000000.dat","0.32","6.4e-5","8000000","64","150","636021"
"r3_wc0p36_eta7p2em5","cloud-runs\636022\ahm-sepmb-s10-n5-8000000.dat","0.36","7.2e-5","8000000","64","150","636022"
"r3_wc0p36_eta7p2em5","cloud-runs\636023\ahm-sepmb-s10-n5-8000000.dat","0.36","7.2e-5","8000000","64","150","636023"
"r3_wc0p36_eta7p2em5","cloud-runs\636024\ahm-sepmb-s10-n5-8000000.dat","0.36","7.2e-5","8000000","64","150","636024"
"r3_wc0p40_eta7em5","cloud-runs\636025\ahm-sepmb-s10-n5-8000000.dat","0.40","7.0e-5","8000000","64","150","636025"
"r3_wc0p40_eta7em5","cloud-runs\636026\ahm-sepmb-s10-n5-8000000.dat","0.40","7.0e-5","8000000","64","150","636026"
"r3_wc0p40_eta7em5","cloud-runs\636027\ahm-sepmb-s10-n5-8000000.dat","0.40","7.0e-5","8000000","64","150","636027"
"r3_wc0p45_eta9em5","cloud-runs\636028\ahm-sepmb-s10-n5-8000000.dat","0.45","9.0e-5","8000000","64","150","636028"
"r3_wc0p45_eta9em5","cloud-runs\636029\ahm-sepmb-s10-n5-8000000.dat","0.45","9.0e-5","8000000","64","150","636029"
"r3_wc0p45_eta9em5","cloud-runs\636030\ahm-sepmb-s10-n5-8000000.dat","0.45","9.0e-5","8000000","64","150","636030"
