round,rank,selection_status,case_id,wc_eV,eta,required_until,required_Q,bottleneck_window,passes_required_interval,independent_repeats,ntraj_per_run
3,1,retained,r3_wc0p20_eta3p5em5,0.2,3.5e-05,130.0,2.230435397778576,120-130,False,3,8000000
3,2,retained,r3_wc0p12_eta2p4em5,0.12,2.4e-05,130.0,2.208064852250869,120-130,False,3,8000000
3,3,retained,r3_wc0p25_eta5em5,0.25,5e-05,130.0,2.205272523701732,120-130,False,3,8000000
3,4,retained,r3_wc0p15_eta3em5,0.15,3e-05,130.0,2.176728705102988,120-130,False,3,8000000
3,5,retained,r2_wc0p20_eta4em5,0.2,4e-05,130.0,2.1509962506310285,120-130,False,3,8000000
3,6,retained,r2_wc0p40_eta8em5,0.4,8e-05,130.0,2.150606660743798,120-130,False,3,8000000
3,7,eliminated,r3_wc0p22_eta4p4em5,0.22,4.4e-05,130.0,2.129779509042999,120-130,False,3,8000000
3,8,eliminated,r3_wc0p28_eta5p6em5,0.28,5.6e-05,130.0,2.1073461080745246,120-130,False,3,8000000
3,9,eliminated,r1_wc0p2_eta5em5,0.2,5e-05,130.0,2.1053590479382898,120-130,False,3,8000000
3,10,eliminated,r3_wc0p18_eta3p6em5,0.18,3.6e-05,130.0,2.0809164054255347,120-130,False,3,8000000
3,11,eliminated,r2_wc0p10_eta4em5,0.1,4e-05,130.0,2.0727625792762283,120-130,False,3,8000000
3,12,eliminated,r3_wc0p40_eta7em5,0.4,7e-05,130.0,2.0611185776126835,120-130,False,3,8000000
3,13,eliminated,r2_wc0p30_eta6em5,0.3,6e-05,130.0,2.0236870580503776,120-130,False,3,8000000
3,14,eliminated,r3_wc0p36_eta7p2em5,0.36,7.2e-05,130.0,1.8982886252369844,120-130,False,3,8000000
3,15,eliminated,r3_wc0p20_eta4p5em5,0.2,4.5e-05,130.0,1.8685225677559574,120-130,False,3,8000000
3,16,eliminated,r3_wc0p32_eta6p4em5,0.32,6.4e-05,130.0,1.7618676835664846,120-130,False,3,8000000
3,17,eliminated,r3_wc0p45_eta9em5,0.45,9e-05,130.0,1.5488939274328934,120-130,False,3,8000000
