rank,case_id,wc_eV,eta,ntraj_per_run,independent_repeats,time_end,required_until,required_Q,tail_window_start,tail_Q,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,passes_required_interval,Q_0_10,Q_10_20,Q_20_30,Q_30_40,Q_40_50
1,r82_e057,8.2,5.7e-05,4000000,3,50.0,50.0,2.943204607956021,30.0,2.943204607956021,3.6597621432429294e-05,5.7151447680814276e-05,9.013050829628265e-06,8.019007680104551e-11,True,43.621727900726874,11.138267302076557,5.376216641791765,2.943204607956021,3.198771716486484
2,w46_e125,4.6,0.000125,4000000,4,50.0,50.0,2.661074749246987,30.0,2.661074749246987,9.295021666595319e-05,0.0001490282035808076,2.6162361488733496e-05,6.490985526852455e-11,True,55.556857101223486,14.58830555140326,4.702860752468578,2.9292326981118237,2.661074749246987
3,w80_e060,8.0,6e-05,4000000,4,50.0,50.0,2.615066286328068,30.0,2.615066286328068,3.781421594984081e-05,6.141725573579953e-05,1.0499777844682666e-05,8.22391044152937e-11,True,42.29024941953978,10.15345132333392,3.9449406071517936,2.8709214678340897,2.615066286328068
4,w42_e105,4.2,0.000105,4000000,4,50.0,50.0,2.6126178950581798,30.0,2.6126178950581798,7.299902117694188e-05,0.00011615090569037754,1.95972800434516e-05,6.984279821153905e-11,True,45.08010543787017,13.740091043972928,4.337911397112894,3.1083052537044025,2.6126178950581798
5,r78_e063,7.8,6.3e-05,4000000,3,50.0,50.0,2.404124743237943,30.0,2.404124743237943,3.958385986490638e-05,6.085195258964593e-05,1.1770341255422662e-05,7.287592751481498e-11,True,41.53358451200874,11.299628741973414,5.349562710176395,2.4944506205091383,2.404124743237943
6,w60_e080,6.0,8e-05,4000000,4,50.0,50.0,2.2519830707764794,30.0,2.2519830707764794,5.066000371760564e-05,7.925459077314054e-05,1.4160341770104025e-05,7.420908332278486e-11,True,44.97672190744028,10.870485842705257,4.727573952702332,3.398995726172381,2.2519830707764794
7,r47_e128,4.7,0.000128,4000000,3,50.0,50.0,2.202745571489895,30.0,2.202745571489895,8.847632350523785e-05,0.0001345556119203551,2.455977787965448e-05,7.274270075185996e-11,True,45.317268177673725,13.431293157580244,4.074195301814484,3.9730461112736735,2.202745571489895
8,r43_e110,4.3,0.00011,4000000,3,50.0,50.0,2.171166370405832,30.0,2.171166370405832,7.943973836400118e-05,0.00014230261336759868,2.5271830378659797e-05,6.465850077574942e-11,True,50.827700321910875,15.190191068615013,4.557172843451503,2.93945538089743,2.171166370405832
9,w90_e045,9.0,4.5e-05,4000000,4,50.0,50.0,2.1650010178141836,30.0,2.1650010178141836,2.627473914032626e-05,4.2774903411717695e-05,7.755790263216712e-06,7.194778106622834e-11,True,43.07408495609615,9.195184865203224,4.9276657197374325,3.114115518376052,2.1650010178141836
10,r45_e118,4.5,0.000118,4000000,3,50.0,50.0,2.069069605804532,30.0,2.069069605804532,8.550372901490537e-05,0.000123023112108994,2.6453677819994064e-05,5.934897018278207e-11,True,49.58797998994734,11.519483586422057,5.0684397120572,3.3948714476007287,2.069069605804532
11,r52_e095,5.2,9.5e-05,4000000,3,50.0,50.0,2.0270467934649243,30.0,2.0270467934649243,5.883123764878666e-05,0.00010866316857947824,1.65943350974815e-05,6.650768824556508e-11,True,40.91632096675827,12.888912066967862,4.394814287808977,3.4914400341809593,2.0270467934649243
12,w54_e100,5.4,0.0001,4000000,2,50.0,50.0,2.471887294583019,30.0,2.471887294583019,6.76802690633144e-05,0.00010035999516518407,1.7797038710510687e-05,8.094236392253151e-11,False,55.11802054545158,15.374704677814368,5.314318962023675,3.3702381795962757,2.471887294583019
13,w50_e145,5.0,0.000145,4000000,2,50.0,50.0,2.289111380392918,30.0,2.289111380392918,0.00010348671958304093,0.0001662062934369685,3.0630565801531444e-05,7.249223443750452e-11,False,66.03051422968139,13.13516461967041,4.790083477792133,2.989771494774897,2.289111380392918
14,w70_e085,7.0,8.5e-05,4000000,2,50.0,50.0,2.159654154274695,30.0,2.159654154274695,5.67057565590734e-05,8.31226512453552e-05,1.5441763527357418e-05,6.479350389554384e-11,False,48.15188457638591,10.1851050636705,4.372032766290039,5.355410326393583,2.159654154274695
15,r74_e070,7.4,7e-05,4000000,3,50.0,50.0,1.8809984312831558,30.0,1.8809984312831558,4.3339674624547414e-05,6.812493061151721e-05,1.329414451873388e-05,7.58904050712772e-11,False,47.542398633429904,11.164429246255594,4.627386931629399,3.6418584708943835,1.8809984312831558
16,w65_e075,6.5,7.5e-05,4000000,2,50.0,50.0,1.8259612486129884,30.0,1.8259612486129884,4.5931294068897466e-05,7.361137565348927e-05,1.4641257474196204e-05,6.982681099998445e-11,False,49.013916656928565,10.209899290840285,4.409744123535416,3.4109307635913715,1.8259612486129884
17,w38_e090,3.8,9e-05,4000000,2,50.0,50.0,1.592853502295121,30.0,1.592853502295121,6.31066302836898e-05,0.00010513502275005335,2.555148518078978e-05,7.821920888773093e-11,False,50.62214214365174,14.123621747987597,5.010233935985621,2.4515412551728715,1.592853502295121
