#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 4.4721359549995798e-03 -1.6996561506240432e-01
#     2 4.4721359549995798e-03 -1.6538935211869343e-01
#     3 4.4721359549995798e-03 -1.6077828451849061e-01
#adaptive measurement: gap=4.5762629437108848e-03 period_steps=2746 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
  0.00000000 +2.0000000000000000e+00 +1.9999999999999998e+00 +1.8374661879283106e-03 +1.0000000000000000e+00 +1.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
  0.50000000 +2.0000000000000000e+00 +2.0000000001282885e+00 +1.8414513472928315e-03 +9.9998988272760581e-01 +1.0000000000809317e+00 +5.0495955078061270e-06 +5.0677579784117950e-06
  1.00000000 +2.0000000000000000e+00 +1.9999999997415503e+00 +1.8533133865582872e-03 +9.9995976171118428e-01 +9.9999999986783716e-01 +2.0089694463293062e-05 +2.0148562501468440e-05
  1.50000000 +2.0000000000000000e+00 +1.9999999993495192e+00 +1.8727799380508711e-03 +9.9991031124514018e-01 +9.9999999960584085e-01 +4.4810359787611209e-05 +4.4878917510157110e-05
  2.00000000 +2.0000000000000000e+00 +1.9999999975544580e+00 +1.8993907369811514e-03 +9.9984267074487443e-01 +9.9999999816950857e-01 +7.8639064311852492e-05 +7.8692012639556500e-05
  2.50000000 +2.0000000000000000e+00 +1.9999999942790854e+00 +1.9324821878016335e-03 +9.9975848678810153e-01 +9.9999999502472647e-01 +1.2078516846562428e-04 +1.2073302959028176e-04
  3.00000000 +2.0000000000000000e+00 +1.9999999824857257e+00 +1.9711803306324770e-03 +9.9965993328084213e-01 +9.9999998873607554e-01 +1.7013705635731348e-04 +1.6994079145591227e-04
  3.50000000 +2.0000000000000000e+00 +1.9999999734480283e+00 +2.0145281176412954e-03 +9.9954939064533732e-01 +9.9999997842625210e-01 +2.2554591622819857e-04 +2.2508517109671617e-04
  4.00000000 +2.0000000000000000e+00 +1.9999999603624123e+00 +2.0613892747945910e-03 +9.9942968922568864e-01 +9.9999996237790034e-01 +2.8553842382840705e-04 +2.8480981486891281e-04
  4.50000000 +2.0000000000000000e+00 +1.9999999113208424e+00 +2.1105606328705225e-03 +9.9930383209496765e-01 +9.9999993933487963e-01 +3.4879195789862548e-04 +3.4743677594561301e-04
  5.00000000 +2.0000000000000000e+00 +1.9999998541438462e+00 +2.1608778225092034e-03 +9.9917473258649114e-01 +9.9999990817052120e-01 +4.1374807973315484e-04 +4.1161132015082310e-04
  5.50000000 +2.0000000000000000e+00 +1.9999997901542783e+00 +2.2108118677381474e-03 +9.9904621983955066e-01 +9.9999986644047789e-01 +4.7839295898322742e-04 +4.7552080441099853e-04
  6.00000000 +2.0000000000000000e+00 +1.9999996866670180e+00 +2.2593183154176921e-03 +9.9892093550442562e-01 +9.9999981343219635e-01 +5.4170888513275898e-04 +5.3754202327439197e-04
  6.50000000 +2.0000000000000000e+00 +1.9999996375873705e+00 +2.3051200583676973e-03 +9.9880209815212651e-01 +9.9999974790815294e-01 +6.0189547741532632e-04 +5.9625830031743282e-04
