round,rank,selection_status,case_id,wc_eV,eta,required_until,required_Q,bottleneck_window,passes_required_interval,independent_repeats,ntraj_per_run
1,1,retained,s4r1_wc0p12_eta3em5,0.12,3e-05,100.0,2.1741979165031102,80-90,False,3,1000000
1,2,retained,s4r1_wc0p40_eta8em5,0.4,8e-05,100.0,2.092731755017675,90-100,False,3,1000000
1,3,retained,s4r1_wc0p20_eta8em5,0.2,8e-05,100.0,2.076895960032684,90-100,False,3,1000000
1,4,retained,s4r1_wc0p12_eta8em5,0.12,8e-05,100.0,1.8751367699267125,90-100,False,3,1000000
1,5,retained,s4r1_wc0p05_eta3em5,0.05,3e-05,100.0,1.8328344281355895,90-100,False,3,1000000
1,6,eliminated,s4r1_wc0p05_eta8em5,0.05,8e-05,100.0,1.728839402900694,90-100,False,3,1000000
1,7,eliminated,s4r1_wc0p05_eta1em5,0.05,1e-05,100.0,1.6979177243160202,90-100,False,3,1000000
1,8,eliminated,s4r1_wc0p40_eta3em5,0.4,3e-05,100.0,1.6673819713990579,90-100,False,3,1000000
1,9,eliminated,s4r1_wc0p20_eta3em5,0.2,3e-05,100.0,1.5938746740949539,90-100,False,3,1000000
1,10,eliminated,s4r1_wc0p12_eta1em5,0.12,1e-05,100.0,1.5748960120974154,90-100,False,3,1000000
1,11,eliminated,s4r1_wc0p20_eta1em5,0.2,1e-05,100.0,1.5748433290403872,90-100,False,3,1000000
1,12,eliminated,s4r1_wc2p5_eta1p2em4,2.5,0.00012,100.0,1.5658761854538337,80-90,False,3,1000000
1,13,eliminated,s4r1_wc1p0_eta1p2em4,1.0,0.00012,100.0,1.484000836446659,90-100,False,3,1000000
1,14,eliminated,s4r1_wc0p40_eta1em5,0.4,1e-05,100.0,1.3887418699860399,90-100,False,3,1000000
1,15,eliminated,s4r1_wc5p0_eta1p2em4,5.0,0.00012,100.0,0.8886617035289399,90-100,False,3,1000000
