rank,case_id,wc_eV,eta,ntraj_per_run,independent_repeats,time_end,required_until,required_Q,active_orbitals,inactive_orbitals,max_inactive_noise,inactive_noise_limit,tail_window_start,tail_Q,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,passes_required_interval,min_active_Q_0_10,Q_orb0_0_10,Q_orb1_0_10,Q_orb2_0_10,Q_orb3_0_10,min_active_Q_10_20,Q_orb0_10_20,Q_orb1_10_20,Q_orb2_10_20,Q_orb3_10_20,min_active_Q_20_30,Q_orb0_20_30,Q_orb1_20_30,Q_orb2_20_30,Q_orb3_20_30,min_active_Q_30_40,Q_orb0_30_40,Q_orb1_30_40,Q_orb2_30_40,Q_orb3_30_40,min_active_Q_40_50,Q_orb0_40_50,Q_orb1_40_50,Q_orb2_40_50,Q_orb3_40_50,min_active_Q_50_60,Q_orb0_50_60,Q_orb1_50_60,Q_orb2_50_60,Q_orb3_50_60,min_active_Q_60_70,Q_orb0_60_70,Q_orb1_60_70,Q_orb2_60_70,Q_orb3_60_70,min_active_Q_70_80,Q_orb0_70_80,Q_orb1_70_80,Q_orb2_70_80,Q_orb3_70_80,min_active_Q_80_90,Q_orb0_80_90,Q_orb1_80_90,Q_orb2_80_90,Q_orb3_80_90,min_active_Q_90_100,Q_orb0_90_100,Q_orb1_90_100,Q_orb2_90_100,Q_orb3_90_100
1,s4r1_wc0p12_eta3em5,0.12,3e-05,1000000,3,100.0,100.0,2.1741979165031102,0 2 3,1,1.0995308893125258e-05,2.4503709188691502e-05,80.0,2.1741979165031102,0.000320247198738261,0.0004969211087335268,7.519561809203391e-05,1.6653345369377348e-12,False,114.03286586991575,153.66300973101386,33.82479151061966,114.03286586991575,156.80793020762184,28.008967997751753,38.51905763992999,16.602147659829544,28.008967997751753,33.842042983276194,13.722529261333792,21.737482154935762,6.7121622579991715,14.170219158505596,13.722529261333792,8.619783968453437,14.356762795267565,5.499463670830932,8.619783968453437,9.132232092485332,4.799612231854311,8.209832330544769,3.4202136283014277,6.050890085900072,4.799612231854311,4.09600912303724,5.76615935655497,3.9085488382222464,4.09600912303724,5.4774231245259,3.1339434054844606,4.785074825130316,4.17347951342059,3.1339434054844606,3.8747760766283745,2.8697977157608863,3.9918272791946676,3.252685701205283,2.8697977157608863,2.974361501484064,2.1741979165031102,2.905146799009931,2.7946926125519274,2.283382866315623,2.1741979165031102,2.1929561951449084,3.3382545623539635,2.3635883311464743,2.1929561951449084,2.409806627639195
2,s4r1_wc0p40_eta8em5,0.4,8e-05,1000000,3,100.0,100.0,2.092731755017675,0 2 3,1,7.965363760898082e-05,6.723899165322843e-05,80.0,2.092731755017675,0.0009721229856733843,0.001682724696886241,0.000247035045374175,1.5192291868970642e-12,False,125.35415654918074,158.6997662835961,41.1185744982328,158.09954838363964,125.35415654918074,38.03488956332638,51.78444315294346,27.580163021983427,42.921922498337,38.03488956332638,15.665547299037858,23.124196698460963,7.769155463098014,16.929614582130824,15.665547299037858,9.377871316300158,13.092304321291934,7.707046037484162,9.463756381391232,9.377871316300158,5.55459631859338,8.207680073744733,5.705886850571479,5.55459631859338,5.925999268047271,4.204904859915038,7.346182050823062,4.935029801969824,5.084553773102867,4.204904859915038,3.61292488640679,5.800971868394321,4.2142566347054995,4.416277956959854,3.61292488640679,2.4457843717515853,4.153647465619567,3.898698104743937,3.671582511121434,2.4457843717515853,2.4114164734126433,3.1855534959505203,3.109456371850383,2.957456690507174,2.4114164734126433,2.092731755017675,2.627234200193892,2.6495939910519164,2.3065842866148407,2.092731755017675
3,s4r1_wc0p20_eta8em5,0.2,8e-05,1000000,3,100.0,100.0,2.076895960032684,0 2 3,1,8.567324317508496e-05,6.821437517145497e-05,80.0,2.076895960032684,0.0009719447242029919,0.0016236316154197281,0.00024518080003398053,1.5214496329463145e-12,False,138.57722499675495,232.02411177428513,37.32944207400896,138.57722499675495,211.5519066652445,33.884913782670715,49.507747581614844,27.84385001355528,33.884913782670715,38.85278439343553,17.42348434961901,22.83795753072407,10.238683002389939,17.42348434961901,18.235848783792058,9.812896405624087,16.10606735502949,9.778099680351092,11.866258424064787,9.812896405624087,7.157067843791214,9.019627935277205,6.856185181412993,7.159989211501751,7.157067843791214,4.555788821008694,7.254011200764246,5.0286301103434665,4.555788821008694,5.972536366782742,3.7537158084349076,5.332110458493551,4.385837574153014,3.7537158084349076,4.359271213934996,2.9393556784319848,4.605790535123853,3.301495328232007,3.161427816603666,2.9393556784319848,2.3630066350364145,3.331871255039301,3.48615380908601,2.8432298060254135,2.3630066350364145,2.076895960032684,2.4757167987259097,2.4251465018132294,2.101922732770127,2.076895960032684
4,s4r1_wc0p12_eta8em5,0.12,8e-05,1000000,3,100.0,100.0,1.8751367699267125,0 2 3,1,7.699098950634315e-05,6.866199868964858e-05,80.0,1.8751367699267125,0.001000689520457612,0.0018030610062239273,0.0002431538898523881,1.5187850976872141e-12,False,112.8565930129842,308.17848571927243,25.67993622773473,112.8565930129842,159.462624271332,39.35626404331673,57.96676820716327,18.637458457438747,41.52522504119235,39.35626404331673,12.945038333907045,18.8215649889216,10.634923515496114,15.81503852588364,12.945038333907045,10.694400280268768,14.683911279783583,7.292125288137862,11.808231819119712,10.694400280268768,6.199536279448833,8.866996682709393,5.956252213500526,6.425415463112461,6.199536279448833,4.52311544258012,6.140125053304169,4.375472457182523,4.74226407746591,4.52311544258012,3.7898696646389123,5.189841201834604,3.8289215567660126,3.7898696646389123,3.9877881682870413,3.1299003809083534,4.625243323082457,2.9850100265530455,3.569641342143946,3.1299003809083534,2.61840619857341,3.551675993008025,3.0822148129876465,2.9074283400542793,2.61840619857341,1.8751367699267125,3.3762787196224155,2.953200871149201,2.2858647505622023,1.8751367699267125
5,s4r1_wc0p05_eta3em5,0.05,3e-05,1000000,3,100.0,100.0,1.8328344281355895,0 2 3,1,1.2736940475804173e-05,2.483477646332784e-05,80.0,1.8328344281355895,0.0003173341253175455,0.000501688160614225,7.478869284218677e-05,1.66600067075251e-12,False,124.93260917215322,169.3286896114616,20.703495961060565,124.93260917215322,124.98803588409486,32.593345502895126,54.49747478856952,16.38872678085256,39.4711223889806,32.593345502895126,12.328302402396782,16.463145912055182,6.700496106203699,12.328302402396782,13.99374138547887,8.746732610965791,14.904308231220112,5.715899812893339,8.90737198522184,8.746732610965791,5.257458137323632,8.07641459968795,4.22085991309738,5.257458137323632,7.116190060212289,5.045386720812993,6.910177858775166,2.9546596701249888,5.045386720812993,5.354777784321832,3.1928686448586197,5.037190629730491,3.282559092333584,3.5330732975038095,3.1928686448586197,2.9246219755391576,4.110397652042809,3.1325074645664315,3.0829934480508823,2.9246219755391576,2.358667881036107,3.099218452732128,3.013649644121748,2.358667881036107,2.468721576295903,1.8328344281355895,2.9218231241009196,1.9456642814056162,2.171970900102716,1.8328344281355895
6,s4r1_wc0p05_eta8em5,0.05,8e-05,1000000,3,100.0,100.0,1.728839402900694,0 2 3,1,8.496762959412082e-05,6.877017018907076e-05,80.0,1.728839402900694,0.000983446743360136,0.0017838269983528059,0.0002526537271671998,1.5156764732182637e-12,False,140.44945295309373,239.38118595690912,35.37979566455072,140.44945295309373,206.66790757624693,42.10179926465885,60.22049050153037,25.949675429878067,42.10179926465885,44.4893159670276,14.842574718630848,22.483519853288364,10.486114837326706,14.842574718630848,15.362670706208098,9.713991446269043,13.159382834248335,7.07229997323451,9.713991446269043,10.69581116025711,5.903614799553734,8.218282092767947,6.6429482256273324,5.903614799553734,6.57659406572837,4.634068066643062,6.4971114621269015,4.4455673309196415,5.794815610375277,4.634068066643062,3.7256569145572938,6.13007276335411,4.194409167340353,3.7256569145572938,5.083402787431616,2.6142561581105643,3.5156619021914133,3.191796323555442,2.986064251735246,2.6142561581105643,2.426322907412445,4.208169445111771,2.9221229520712733,3.0405670660610205,2.426322907412445,1.728839402900694,2.487313076208881,2.600747334577384,2.148170926461627,1.728839402900694
7,s4r1_wc0p05_eta1em5,0.05,1e-05,1000000,3,100.0,100.0,1.6979177243160202,0 2 3,1,1.6329845712967634e-06,7.994627379681462e-06,80.0,1.6979177243160202,9.769518849592455e-05,0.0001628142612571402,2.678538456303588e-05,1.695088513997689e-12,False,71.28747660119775,89.99533554325662,22.426074845953718,71.28747660119775,76.77428007603501,22.64888245399163,30.446581773196268,7.38591612020598,22.80195441347425,22.64888245399163,9.130860081936227,12.585907608044838,4.010372854349764,9.130860081936227,9.928979968052523,7.211797003699086,9.884061555923672,3.9233828382472042,7.211797003699086,7.299076152314692,3.2729973832268535,5.4497106096145425,2.440094706409157,3.2729973832268535,4.731524396998298,3.3548454495609783,4.929754990704692,2.0870874222173175,3.3548454495609783,3.6633168749959224,2.643155394445346,4.172533204743771,2.100768865738172,2.8028509776264094,2.643155394445346,2.1283695199511,3.473201482752409,1.683776009451418,2.541160748020626,2.1283695199511,1.8722891570549944,2.8921517401709314,1.4679770190982728,2.147467604893537,1.8722891570549944,1.6979177243160202,2.3443460864688053,1.580487308188855,1.83992034940448,1.6979177243160202
8,s4r1_wc0p40_eta3em5,0.4,3e-05,1000000,3,100.0,100.0,1.6673819713990579,0 2 3,1,1.3321840913310785e-05,2.4249858699181156e-05,80.0,1.6673819713990579,0.0003170690258811347,0.0005207308302245678,8.149798330690545e-05,1.667110893777135e-12,False,135.12973027342986,191.46412474298563,25.932250531794704,135.12973027342986,153.12319197082599,25.923885529376168,42.08478771493763,16.749300424441,25.923885529376168,35.75886654782022,14.087682788112483,20.31498314161275,6.764125673134313,14.087682788112483,14.364820827573102,8.432445083130638,11.151470416692637,6.44924390205485,8.432445083130638,8.833324301437257,5.1533613468029795,7.7972350294918495,4.399589981496508,5.1533613468029795,5.974424313001816,4.144139271423071,6.715861605449293,2.5599164484096835,4.144139271423071,5.453689475032372,3.2432743686450003,4.1124581544170615,3.080586844732001,3.6739284599275255,3.2432743686450003,2.589071010501942,3.2524478521931623,2.134441755025734,2.589071010501942,2.652943049951828,2.231376023656423,3.033868721842934,2.4810167629978968,2.5675030461746933,2.231376023656423,1.6673819713990579,2.605243293104846,1.961635989321032,2.342346147283207,1.6673819713990579
9,s4r1_wc0p20_eta3em5,0.2,3e-05,1000000,3,100.0,100.0,1.5938746740949539,0 2 3,1,1.3381765245304194e-05,2.450124153405091e-05,80.0,1.5938746740949539,0.00031657894378856827,0.0004981051896514113,8.415359853667884e-05,1.6691092952214603e-12,False,127.53627626127928,196.75954321136985,31.732664031816956,127.53627626127928,137.07832357667132,25.51319259246155,36.59147788520662,11.89209587948588,25.51319259246155,29.47689224488338,11.853308879568727,16.21495936614514,4.895771315208108,11.853308879568727,12.523154748386236,8.757420556934258,12.35314861220329,5.5604999499614145,8.757420556934258,9.424457275843393,4.924524202136612,9.182359000249562,4.133967980103405,4.924524202136612,6.71068299885742,4.08421981747306,6.0924023253675905,3.66800993119407,4.08421981747306,4.560256287471506,2.9050163022711475,4.003048274042534,2.8711723910317777,2.9050163022711475,2.9470635609903577,2.6746627353437296,3.807059743339729,2.8891681997006806,2.6746627353437296,2.986233783636059,2.1939996407009903,3.166111148441198,2.013237597038313,2.4126364594825795,2.1939996407009903,1.5938746740949539,2.1749503282241234,1.9943195833674214,1.9883821054788975,1.5938746740949539
10,s4r1_wc0p12_eta1em5,0.12,1e-05,1000000,3,100.0,100.0,1.5748960120974154,0 2 3,1,1.7160588409412655e-06,7.967769013253134e-06,80.0,1.5748960120974154,9.798892966319145e-05,0.00016373667970594633,2.4933186289578507e-05,1.6937562463681388e-12,False,75.52030314499785,140.15973906759598,10.339445275665234,85.95076257999125,75.52030314499785,24.290887648728404,36.94439869993364,7.276006251138962,27.258928748474204,24.290887648728404,9.637901411344801,14.429082130492484,3.872733001873037,9.637901411344801,13.523805947761696,7.143914211075722,10.62022548432503,3.188196150318185,7.824597230192192,7.143914211075722,4.239749535577861,6.399188505654837,2.7110208094973562,4.239749535577861,5.161055971195916,4.690065658798223,5.793104737064758,2.7353066643490287,4.694867641217056,4.690065658798223,2.8864883872776694,4.539284620729159,2.0781906635667142,2.8864883872776694,3.415400433343397,2.4416290212880805,3.3352183854167268,1.8352871532596866,2.654882091136021,2.4416290212880805,1.8668956097968528,3.1037462275743635,1.6913954555112356,2.42571881409085,1.8668956097968528,1.5748960120974154,2.5753846031450256,1.5079056001189555,2.18483111132699,1.5748960120974154
