rank,case_id,wc_eV,eta,ntraj_per_run,independent_repeats,time_end,required_until,required_Q,active_orbitals,inactive_orbitals,max_inactive_noise,inactive_noise_limit,tail_window_start,tail_Q,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,passes_required_interval,min_active_Q_0_10,Q_orb0_0_10,Q_orb1_0_10,Q_orb2_0_10,Q_orb3_0_10,min_active_Q_10_20,Q_orb0_10_20,Q_orb1_10_20,Q_orb2_10_20,Q_orb3_10_20,min_active_Q_20_30,Q_orb0_20_30,Q_orb1_20_30,Q_orb2_20_30,Q_orb3_20_30,min_active_Q_30_40,Q_orb0_30_40,Q_orb1_30_40,Q_orb2_30_40,Q_orb3_30_40,min_active_Q_40_50,Q_orb0_40_50,Q_orb1_40_50,Q_orb2_40_50,Q_orb3_40_50,min_active_Q_50_60,Q_orb0_50_60,Q_orb1_50_60,Q_orb2_50_60,Q_orb3_50_60,min_active_Q_60_70,Q_orb0_60_70,Q_orb1_60_70,Q_orb2_60_70,Q_orb3_60_70,min_active_Q_70_80,Q_orb0_70_80,Q_orb1_70_80,Q_orb2_70_80,Q_orb3_70_80,min_active_Q_80_90,Q_orb0_80_90,Q_orb1_80_90,Q_orb2_80_90,Q_orb3_80_90,min_active_Q_90_100,Q_orb0_90_100,Q_orb1_90_100,Q_orb2_90_100,Q_orb3_90_100
1,s4r2_wc0p08_eta4em5,0.08,4e-05,1000000,3,100.0,100.0,2.2105915805042033,0 2 3,1,2.3938294555001748e-05,3.3256405808208476e-05,80.0,2.2105915805042033,0.0004429540347860161,0.0008707357901106106,0.00010671665995856802,1.6013856907193258e-12,False,159.8615143683998,265.3405841968881,24.720502809062133,159.8615143683998,209.11142669263697,23.984621194559,40.33489908229458,13.93125910997392,35.20794541076193,23.984621194559,10.301504741698485,17.18375357627904,8.439094980012676,10.301504741698485,14.340031557830002,8.150492844755522,12.132429082894285,7.896047680445161,8.150492844755522,9.002222717443995,5.682537814889888,7.26692021142916,3.806353488131192,5.682537814889888,5.94720122157271,4.360594338747625,5.976772049308924,4.215694288352169,4.360594338747625,5.2600236098436985,3.343970934785083,4.289805898037355,2.7136061817510595,3.343970934785083,3.6807189982784947,2.563820706243886,3.610108222021668,2.7352843873135146,2.563820706243886,2.8016247125958067,2.246833051029527,3.264081920369537,2.740497047297175,2.246833051029527,2.6302150636529085,2.2105915805042033,3.1601723183711896,1.9870652731100076,2.385096470948496,2.2105915805042033
2,s4r2_wc0p10_eta4em5,0.1,4e-05,1000000,3,100.0,100.0,2.175834976673646,0 2 3,1,1.96743874520133e-05,3.352596060447909e-05,80.0,2.175834976673646,0.00044523252667342503,0.0007405824429552824,0.00010518446824175761,1.5982770662503754e-12,False,106.2870887099979,131.68676745316876,33.16695964599957,106.2870887099979,108.99287227220641,26.9516396953711,40.164459714152436,16.713193670231597,31.46752341446117,26.9516396953711,12.07181703790546,20.1522944417807,6.754730887644362,17.79715682283441,12.07181703790546,8.137416382343213,13.145700162913652,7.8981867776825885,8.137416382343213,11.021491892560006,4.474564327490796,7.517965850196428,5.2509138925896375,4.474564327490796,5.724915411300726,4.183371733379252,6.656922993745303,4.70361489357797,4.183371733379252,4.387344316347627,3.3911164919093766,4.9916210738538975,3.0078660728235738,3.3911164919093766,3.6214492616305125,3.026407244769756,3.9726406560156575,3.617196717874149,3.0664335478327738,3.026407244769756,2.5030276088824377,3.895028577148412,2.379120583546532,3.113855799102609,2.5030276088824377,2.175834976673646,2.6898278595056984,2.626581320857164,2.175834976673646,2.4252599590664956
3,s4r1_wc0p12_eta3em5,0.12,3e-05,1000000,3,100.0,100.0,2.1741979165031102,0 2 3,1,1.0995308893125258e-05,2.4503709188691502e-05,80.0,2.1741979165031102,0.000320247198738261,0.0004969211087335268,7.519561809203391e-05,1.6653345369377348e-12,False,114.03286586991575,153.66300973101386,33.82479151061966,114.03286586991575,156.80793020762184,28.008967997751753,38.51905763992999,16.602147659829544,28.008967997751753,33.842042983276194,13.722529261333792,21.737482154935762,6.7121622579991715,14.170219158505596,13.722529261333792,8.619783968453437,14.356762795267565,5.499463670830932,8.619783968453437,9.132232092485332,4.799612231854311,8.209832330544769,3.4202136283014277,6.050890085900072,4.799612231854311,4.09600912303724,5.76615935655497,3.9085488382222464,4.09600912303724,5.4774231245259,3.1339434054844606,4.785074825130316,4.17347951342059,3.1339434054844606,3.8747760766283745,2.8697977157608863,3.9918272791946676,3.252685701205283,2.8697977157608863,2.974361501484064,2.1741979165031102,2.905146799009931,2.7946926125519274,2.283382866315623,2.1741979165031102,2.1929561951449084,3.3382545623539635,2.3635883311464743,2.1929561951449084,2.409806627639195
4,s4r2_wc0p25_eta6em5,0.25,6e-05,1000000,3,100.0,100.0,2.1376998087141357,0 2 3,1,4.630577510599974e-05,5.040689420469128e-05,80.0,2.1376998087141357,0.0006996480186519704,0.0013283368085576614,0.00017503787847226405,1.6482371023585074e-12,False,102.2319083555863,133.99265372220938,33.588513630347855,134.9483295055274,102.2319083555863,31.84688691671945,48.82812505563552,16.027820555580163,37.54439403343518,31.84688691671945,15.079940273857968,22.08381451034931,11.003986349407791,16.791039006579993,15.079940273857968,9.871659339401052,15.086494033527563,8.48523656994282,10.351922857691642,9.871659339401052,4.64384390809961,7.285291115999441,4.8741922778957285,4.64384390809961,5.128145009416067,4.219198015905142,6.691585903870597,3.4534456770091517,5.3004170013887935,4.219198015905142,4.092242557035077,5.737059956924311,4.330913561924,4.300352898522842,4.092242557035077,2.788601932386846,3.806145058781195,2.8944828827356854,3.235424886688689,2.788601932386846,2.1376998087141357,2.655959452409048,3.7811567552915193,2.1376998087141357,2.2716559007035295,2.3384007805613285,3.1143123512021775,2.7008673291811367,2.3384007805613285,2.4793573333177075
5,s4r1_wc0p40_eta8em5,0.4,8e-05,1000000,3,100.0,100.0,2.092731755017675,0 2 3,1,7.965363760898082e-05,6.723899165322843e-05,80.0,2.092731755017675,0.0009721229856733843,0.001682724696886241,0.000247035045374175,1.5192291868970642e-12,False,125.35415654918074,158.6997662835961,41.1185744982328,158.09954838363964,125.35415654918074,38.03488956332638,51.78444315294346,27.580163021983427,42.921922498337,38.03488956332638,15.665547299037858,23.124196698460963,7.769155463098014,16.929614582130824,15.665547299037858,9.377871316300158,13.092304321291934,7.707046037484162,9.463756381391232,9.377871316300158,5.55459631859338,8.207680073744733,5.705886850571479,5.55459631859338,5.925999268047271,4.204904859915038,7.346182050823062,4.935029801969824,5.084553773102867,4.204904859915038,3.61292488640679,5.800971868394321,4.2142566347054995,4.416277956959854,3.61292488640679,2.4457843717515853,4.153647465619567,3.898698104743937,3.671582511121434,2.4457843717515853,2.4114164734126433,3.1855534959505203,3.109456371850383,2.957456690507174,2.4114164734126433,2.092731755017675,2.627234200193892,2.6495939910519164,2.3065842866148407,2.092731755017675
6,s4r2_wc0p30_eta8em5,0.3,8e-05,1000000,3,100.0,100.0,2.082421839202024,0 2 3,1,9.011803691338254e-05,6.814057377961084e-05,80.0,2.082421839202024,0.0009782591551864347,0.0016898189048223816,0.00023871837511671667,1.5223378113660146e-12,False,102.0962507309049,246.64131001968883,26.392343020547443,102.0962507309049,156.06024508732258,35.63968939920477,68.64922794806807,20.07067973112494,37.18384834592812,35.63968939920477,13.396098566595676,19.479718021973866,9.888805802692668,13.396098566595676,15.871923918860453,8.485998577095218,14.833949317224095,6.433496395595539,9.660953245038566,8.485998577095218,5.102745151744018,8.289255818570846,5.266622688407668,6.913406357602386,5.102745151744018,4.256456646773284,6.351870080428713,5.284277182806674,4.256456646773284,5.462508921926916,4.026815844793881,5.0985295033052624,3.3616361490915847,4.026815844793881,4.076869172502953,2.9774791677351433,4.079089907467693,3.3505861085151722,3.2988989353733382,2.9774791677351433,2.5363056869192664,3.3106948997612937,3.5436822488411583,2.5363056869192664,2.7523849859879514,2.082421839202024,3.1501532719617,2.5372548389607736,2.5102124217278488,2.082421839202024
7,s4r1_wc0p20_eta8em5,0.2,8e-05,1000000,3,100.0,100.0,2.076895960032684,0 2 3,1,8.567324317508496e-05,6.821437517145497e-05,80.0,2.076895960032684,0.0009719447242029919,0.0016236316154197281,0.00024518080003398053,1.5214496329463145e-12,False,138.57722499675495,232.02411177428513,37.32944207400896,138.57722499675495,211.5519066652445,33.884913782670715,49.507747581614844,27.84385001355528,33.884913782670715,38.85278439343553,17.42348434961901,22.83795753072407,10.238683002389939,17.42348434961901,18.235848783792058,9.812896405624087,16.10606735502949,9.778099680351092,11.866258424064787,9.812896405624087,7.157067843791214,9.019627935277205,6.856185181412993,7.159989211501751,7.157067843791214,4.555788821008694,7.254011200764246,5.0286301103434665,4.555788821008694,5.972536366782742,3.7537158084349076,5.332110458493551,4.385837574153014,3.7537158084349076,4.359271213934996,2.9393556784319848,4.605790535123853,3.301495328232007,3.161427816603666,2.9393556784319848,2.3630066350364145,3.331871255039301,3.48615380908601,2.8432298060254135,2.3630066350364145,2.076895960032684,2.4757167987259097,2.4251465018132294,2.101922732770127,2.076895960032684
8,s4r2_wc0p18_eta4em5,0.18,4e-05,1000000,3,100.0,100.0,2.028431090873628,0 2 3,1,2.0451793839987792e-05,3.3150964086986506e-05,80.0,2.028431090873628,0.0004419553059883935,0.0007032429769290528,0.00010688742952898394,1.5982770662503754e-12,False,79.4860240942742,180.16394241553186,45.45116241942351,79.4860240942742,119.07333614886988,27.081776541833424,44.76604916260169,14.079869807697827,31.163554166062127,27.081776541833424,16.161740027220052,23.997561133576077,7.638026656514557,19.03045468611125,16.161740027220052,7.908501301882759,10.076756196412505,6.544030352789513,9.075467132086601,7.908501301882759,4.876714295092286,8.06844979703298,4.694571040835434,5.332539133433694,4.876714295092286,4.089887415811075,6.22594001264236,3.4778329336496867,4.089887415811075,4.542775697849666,3.3758836263914973,4.712446168011812,3.314078290458102,3.3758836263914973,4.302044660309792,3.1771489803035333,4.2033531265331305,2.8341753476017395,3.1771489803035333,3.3840005745625588,2.085530504841469,3.175156988359401,2.5999962995584163,2.085530504841469,2.7516396130246656,2.028431090873628,2.898307005724572,2.1326742787350064,2.028431090873628,2.063688673925811
9,s4r2_wc0p12_eta4em5,0.12,4e-05,1000000,3,100.0,100.0,1.963575031275126,0 2 3,1,1.8747079037608976e-05,3.308367439595842e-05,80.0,1.963575031275126,0.00044175875719517656,0.0007394479503183268,0.000109302676874181,1.595168441781425e-12,False,114.72731435112884,222.54202804891898,31.087372689298828,114.72731435112884,155.31412719358883,29.40276408396633,48.30747775368354,12.924072828883826,29.40276408396633,38.92350323363188,11.93898445690487,19.778647677342764,6.593500456697097,11.93898445690487,19.838187240270265,8.221184650483808,13.205522424153902,6.740646314535904,9.21387423081655,8.221184650483808,4.903588382246734,8.3994942512572,5.159778277788285,4.903588382246734,4.9605615794113405,5.260835891286248,7.164914329201086,3.5297215733747995,5.260835891286248,5.729669330742852,3.4417251113436116,5.390436545715308,3.6720290929438115,3.4417251113436116,4.889478225766153,2.195225222970247,3.4487550645550074,3.956148491847847,3.035339813963732,2.195225222970247,2.5056384492985884,2.97968361031992,1.9566689678109526,2.5056384492985884,2.506846574918113,1.963575031275126,2.8076708122017355,2.617738072393239,2.2544976355901616,1.963575031275126
10,s4r2_wc0p50_eta1em4,0.5,0.0001,1000000,3,100.0,100.0,1.9130169552425935,0 2 3,1,0.0001503021410791206,8.451468695712688e-05,80.0,1.9130169552425935,0.0013086250777960375,0.002244062744774408,0.00034767544767354345,1.5829559885105482e-12,False,135.13597974100807,182.87719198850417,34.676293928833154,135.13597974100807,217.610078589581,40.048791894324275,64.16597520301855,25.095553474433977,42.871177758673475,40.048791894324275,13.384038483780701,21.074315056037964,9.867265972382924,13.384038483780701,16.30631330642628,9.325284682891269,14.690908983799739,8.767685304213318,10.066892797512704,9.325284682891269,6.61720148485555,9.444107655358204,6.3342192531205495,6.61720148485555,7.479285921682232,4.43768796699968,8.733189518684844,5.798422464827257,6.540906005283875,4.43768796699968,3.164473448985901,4.6693655925992585,3.798287314675706,3.164473448985901,3.4468802340769673,2.674988628450009,3.277867701440591,3.007340428974835,2.725010243849395,2.674988628450009,2.381020422790677,3.5483950731734635,3.34666696433001,2.381020422790677,2.843151078035452,1.9130169552425935,3.041111884790026,2.312411289167191,2.40256341956577,1.9130169552425935
