"rank","case_id","wc_eV","eta","Q40","Q60","Q80","Q100","alpha_25_95","estimated_ntraj_for_Q10"
"1","s4r2_wc0p08_eta4em5","0.08","4e-05","8.15049284475552","4.36059433874763","2.56382070624389","2.2105915805042","1.27278103109878","20463645"
"2","s4r2_wc0p10_eta4em5","0.1","4e-05","8.13741638234321","4.18337173337925","3.02640724476976","2.17583497667365","1.26233495198632","21122635"
"3","s4r1_wc0p12_eta3em5","0.12","3e-05","8.61978396845344","4.09600912303724","2.86979771576089","2.17419791650311","1.41638842945438","21154456"
"4","s4r2_wc0p25_eta6em5","0.25","6e-05","9.87165933940105","4.21919801590514","2.78860193238685","2.13769980871414","1.46156783673641","21882986"
"5","s4r1_wc0p40_eta8em5","0.4","8e-05","9.37787131630016","4.20490485991504","2.44578437175159","2.09273175501768","1.5375267277531","22833521"
"6","s4r2_wc0p30_eta8em5","0.3","8e-05","8.48599857709522","4.25645664677328","2.97747916773514","2.08242183920202","1.34547246519636","23060175"
"7","s4r1_wc0p20_eta8em5","0.2","8e-05","9.81289640562409","4.55578882100869","2.93935567843198","2.07689596003268","1.6094381481","23183048"
"8","s4r2_wc0p18_eta4em5","0.18","4e-05","7.90850130188276","4.08988741581108","3.17714898030353","2.02843109087363","1.49104055360073","24304097"
"9","s4r2_wc0p12_eta4em5","0.12","4e-05","8.22118465048381","4.90358838224673","2.19522522297025","1.96357503127513","1.37517960326076","25936120"
"10","s4r2_wc0p50_eta1em4","0.5","0.0001","9.32528468289127","4.43768796699968","2.67498862845001","1.91301695524259","1.50861535048652","27325138"
"11","s4r2_wc0p12_eta5em5","0.12","5e-05","8.71265412800918","3.69431580671117","3.00085605686459","1.88964484894984","1.49216016223495","28005261"
"12","s4r1_wc0p12_eta8em5","0.12","8e-05","10.6944002802688","4.52311544258012","3.12990038090835","1.87513676992671","1.45066109005856","28440296"
"13","s4r2_wc0p12_eta2em5","0.12","2e-05","7.81011841519121","4.33237061256435","2.25840848255627","1.86967348462693","1.3277007305449","28606747"
"14","s4r2_wc0p15_eta5em5","0.15","5e-05","10.678478155151","4.53686589447278","3.08081768274495","1.86429108671787","1.56401644674341","28772166"
"15","s4r2_wc0p10_eta2em5","0.1","2e-05","9.45873736693818","4.19272882840864","2.78076316097925","1.84499945146042","1.45302034441744","29377006"
"16","s4r2_wc0p15_eta2em5","0.15","2e-05","7.25641681725264","3.54445440662802","2.97141988473928","1.84180260935453","1.2309548197516","29479074"
"17","s4r1_wc0p05_eta3em5","0.05","3e-05","8.74673261096579","5.04538672081299","2.92462197553916","1.83283442813559","1.4125704548789","29768266"
"18","s4r2_wc0p08_eta2em5","0.08","2e-05","6.73808146362395","3.86066388452222","2.45145225504247","1.58448400345014","1.34312781723091","39831282"
"19","s4r2_wc0p15_eta3em5","0.15","3e-05","8.18584667026033","3.76451983245551","2.65232584074414","1.48726846722143","1.5759239536511","45208621"
