#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 3.4156502553198661e-03 -1.6739316251010847e-01
#     2 3.4156502553198661e-03 -1.6537531855629614e-01
#     3 3.4156502553198661e-03 -1.6335073707078643e-01
#adaptive measurement: gap=2.0178439538123261e-03 period_steps=6228 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
  0.00000000 +2.0000000000000000e+00 +1.9999999999999998e+00 +1.8374661879283106e-03 +1.0000000000000000e+00 +1.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
  0.50000000 +2.0000000000000000e+00 +1.9999999999812021e+00 +1.8398213611621837e-03 +9.9999402078661093e-01 +1.0000000000006954e+00 +2.9577935650553601e-06 +3.0214205196524809e-06
  1.00000000 +2.0000000000000000e+00 +2.0000000013119084e+00 +1.8466382030362671e-03 +9.9997671098476493e-01 +9.9999999999639089e-01 +1.1517441308510594e-05 +1.1771576251083373e-05
  1.50000000 +2.0000000000000000e+00 +2.0000000027963702e+00 +1.8577956251304749e-03 +9.9994836802423648e-01 +9.9999999990319621e-01 +2.5695063007284022e-05 +2.5937011273007216e-05
  2.00000000 +2.0000000000000000e+00 +2.0000000000334763e+00 +1.8733195279906803e-03 +9.9990890871407523e-01 +9.9999999955487684e-01 +4.5427952656800286e-05 +4.5663778384686506e-05
  2.50000000 +2.0000000000000000e+00 +1.9999999870394407e+00 +1.8924873728376852e-03 +9.9986014639297704e-01 +9.9999999853696064e-01 +6.9626097206748646e-05 +7.0228974452267987e-05
  3.00000000 +2.0000000000000000e+00 +1.9999999710125786e+00 +1.9147797547039249e-03 +9.9980337676813225e-01 +9.9999999652057736e-01 +9.7740619000965268e-05 +9.8886090700812341e-05
  3.50000000 +2.0000000000000000e+00 +2.0000000106020881e+00 +1.9396260166719267e-03 +9.9974001393521283e-01 +9.9999999317565658e-01 +1.2900341812090553e-04 +1.3098947259360190e-04
  4.00000000 +2.0000000000000000e+00 +1.9999999604191334e+00 +1.9663820449787278e-03 +9.9967165761877064e-01 +9.9999998861358508e-01 +1.6347410509096736e-04 +1.6487966288481390e-04
  4.50000000 +2.0000000000000000e+00 +2.0000000049634084e+00 +1.9943949055094066e-03 +9.9959995492701437e-01 +9.9999998179160521e-01 +2.0025476448740456e-04 +1.9980851699795337e-04
  5.00000000 +2.0000000000000000e+00 +1.9999999070138690e+00 +2.0237911010423460e-03 +9.9952457790977400e-01 +9.9999996952663672e-01 +2.3698779616127260e-04 +2.3846476873720481e-04
  5.50000000 +2.0000000000000000e+00 +1.9999999682758238e+00 +2.0522728810474043e-03 +9.9945124686327380e-01 +9.9999995791902474e-01 +2.7355833980903895e-04 +2.7523687631402438e-04
  6.00000000 +2.0000000000000000e+00 +2.0000001813905968e+00 +2.0807124962669591e-03 +9.9937780256602426e-01 +9.9999993789247965e-01 +3.1156822670802781e-04 +3.1069131633266328e-04
  6.50000000 +2.0000000000000000e+00 +1.9999998385044266e+00 +2.1070975163969166e-03 +9.9930932032809938e-01 +9.9999991656107245e-01 +3.4576134401326979e-04 +3.4500176692544313e-04
  7.00000000 +2.0000000000000000e+00 +1.9999998751786396e+00 +2.1313131620437692e-03 +9.9924609516375051e-01 +9.9999988559762987e-01 +3.8015768155965724e-04 +3.7386155671839032e-04
  7.50000000 +2.0000000000000000e+00 +2.0000000330139631e+00 +2.1525714942380644e-03 +9.9919018139622773e-01 +9.9999986067564561e-01 +4.0594265213311044e-04 +4.0401527438273569e-04
  8.00000000 +2.0000000000000000e+00 +1.9999998338668425e+00 +2.1711151390761368e-03 +9.9914092450689340e-01 +9.9999982061628878e-01 +4.3013286757936572e-04 +4.2912200889007714e-04
  8.50000000 +2.0000000000000000e+00 +2.0000000919191536e+00 +2.1868918907388631e-03 +9.9909859251383681e-01 +9.9999977640032744e-01 +4.5456045426540091e-04 +4.4707063274674474e-04
  9.00000000 +2.0000000000000000e+00 +1.9999996950267747e+00 +2.1954925948015173e-03 +9.9907414624192792e-01 +9.9999972742135934e-01 +4.6710794528273411e-04 +4.5901839151429630e-04
  9.50000000 +2.0000000000000000e+00 +1.9999998186377090e+00 +2.2017112066482535e-03 +9.9905575873027797e-01 +9.9999968137991091e-01 +4.7693519130513710e-04 +4.6762469975199461e-04
 10.00000000 +2.0000000000000000e+00 +1.9999992824963728e+00 +2.2008958741839284e-03 +9.9905517855846904e-01 +9.9999963322604990e-01 +4.7676385151539758e-04 +4.6842436394174062e-04
 10.50000000 +2.0000000000000000e+00 +1.9999997711878577e+00 +2.2018553571780805e-03 +9.9905027101141131e-01 +9.9999956919034161e-01 +4.7914919086241783e-04 +4.7101060615401262e-04
 11.00000000 +2.0000000000000000e+00 +1.9999988560296531e+00 +2.1880221232771497e-03 +9.9908277367569931e-01 +9.9999952509155143e-01 +4.6224305825448033e-04 +4.5545817447098351e-04
 11.50000000 +2.0000000000000000e+00 +1.9999984249802008e+00 +2.1808512488996857e-03 +9.9909866506160405e-01 +9.9999941943081017e-01 +4.5209194228133673e-04 +4.4982356576341113e-04
 12.00000000 +2.0000000000000000e+00 +1.9999984097567893e+00 +2.1652125202201306e-03 +9.9913622736839192e-01 +9.9999939227507040e-01 +4.3558213362225096e-04 +4.2879822169285340e-04
