"rank","case_id","wc_eV","eta","repeats","Q40","Q60","Q80","Q100","estimated_ntraj_for_Q10"
"1","s4r3_wc0p11_eta3p5em5","0.11","3.5e-05","3","9.11729336999791","3.88587480765547","2.4733544363043","2.46833986502818","16413080"
"2","s4r3_wc0p09_eta4em5","0.09","4e-05","3","8.93841789829291","4.69278679915169","2.82133526031581","2.2678467941948","19443417"
"3","s4r2_wc0p25_eta6em5","0.25","6e-05","6","9.18783512416219","4.46945111569976","2.91086731883146","2.18412034295398","20962684"
"4","s4r3_wc0p07_eta5em5","0.07","5e-05","3","6.74222319980306","4.75603563180255","2.91364408515756","2.15865701065243","21460149"
"5","s4r3_wc0p09_eta4p5em5","0.09","4.5e-05","3","9.37601670718944","4.10283470272123","2.61481759705132","2.12287689946362","22189647"
"6","s4r1_wc0p20_eta8em5","0.2","8e-05","3","9.81289640562409","4.55578882100869","2.93935567843198","2.07689596003268","23183048"
"7","s4r1_wc0p12_eta3em5","0.12","3e-05","6","8.10573552745269","4.61216136236267","2.95128895247291","2.06330283792862","23489515"
"8","s4r3_wc0p07_eta4em5","0.07","4e-05","3","8.14394003204064","4.23512017972528","3.25463443067794","2.05564805758525","23664781"
"9","s4r3_wc0p10_eta3p5em5","0.1","3.5e-05","3","8.45809776668386","4.33801568701364","2.97024433147582","2.05267362978995","23733413"
"10","s4r3_wc0p06_eta4p5em5","0.06","4.5e-05","3","9.46785440273276","4.73198480341249","2.87348025932033","2.04303278337344","23957933"
"11","s4r2_wc0p18_eta4em5","0.18","4e-05","3","7.90850130188276","4.08988741581108","3.17714898030353","2.02843109087363","24304097"
"12","s4r2_wc0p08_eta4em5","0.08","4e-05","6","8.83822564180839","4.3771163203801","2.84704046365831","2.02245977620841","24447825"
"13","s4r2_wc0p30_eta8em5","0.3","8e-05","6","9.91453610057495","4.59723574125188","2.79347792155899","2.02092750497996","24484912"
"14","s4r3_wc0p10_eta4p5em5","0.1","4.5e-05","3","8.62338339408007","4.58945162019898","2.66843034212196","1.98376815819272","25410791"
"15","s4r3_wc0p09_eta3p5em5","0.09","3.5e-05","3","9.59269042142259","3.96084332726362","2.61687899077456","1.9818394537955","25460274"
"16","s4r1_wc0p40_eta8em5","0.4","8e-05","6","9.50356806466726","4.24325887787962","2.60446899675412","1.97614784405802","25607144"
"17","s4r2_wc0p12_eta4em5","0.12","4e-05","3","8.22118465048381","4.90358838224673","2.19522522297025","1.96357503127513","25936120"
"18","s4r3_wc0p08_eta3p5em5","0.08","3.5e-05","3","9.41217403456771","5.03350625612569","2.82083040874399","1.9412518672428","26536047"
"19","s4r2_wc0p50_eta1em4","0.5","0.0001","3","9.32528468289127","4.43768796699968","2.67498862845001","1.91301695524259","27325138"
"20","s4r2_wc0p10_eta4em5","0.1","4e-05","6","9.50415529571104","4.34582893951561","2.79717981566112","1.91186341437073","27358122"
"21","s4r2_wc0p12_eta5em5","0.12","5e-05","3","8.71265412800918","3.69431580671117","3.00085605686459","1.88964484894984","28005261"
"22","s4r3_wc0p11_eta4p5em5","0.11","4.5e-05","3","8.09928012352769","5.11627880027458","2.73313251053788","1.87599583466259","28414255"
"23","s4r1_wc0p12_eta8em5","0.12","8e-05","3","10.6944002802688","4.52311544258012","3.12990038090835","1.87513676992671","28440296"
"24","s4r2_wc0p12_eta2em5","0.12","2e-05","3","7.81011841519121","4.33237061256435","2.25840848255627","1.86967348462693","28606747"
"25","s4r2_wc0p15_eta5em5","0.15","5e-05","3","10.678478155151","4.53686589447278","3.08081768274495","1.86429108671787","28772166"
"26","s4r3_wc0p08_eta4p5em5","0.08","4.5e-05","3","8.38140873897216","4.16272758941679","2.79456010545143","1.85252572858086","29138790"
"27","s4r2_wc0p10_eta2em5","0.1","2e-05","3","9.45873736693818","4.19272882840864","2.78076316097925","1.84499945146042","29377006"
"28","s4r2_wc0p15_eta2em5","0.15","2e-05","3","7.25641681725264","3.54445440662802","2.97141988473928","1.84180260935453","29479074"
"29","s4r1_wc0p05_eta3em5","0.05","3e-05","3","8.74673261096579","5.04538672081299","2.92462197553916","1.83283442813559","29768266"
"30","s4r3_wc0p06_eta3em5","0.06","3e-05","3","6.93610905753682","4.05975241156762","2.64330621304031","1.8043783388548","30714595"
"31","s4r3_wc0p07_eta3em5","0.07","3e-05","3","7.91331511379623","3.32886178865902","3.15998715672952","1.6137916858096","38397686"
"32","s4r2_wc0p08_eta2em5","0.08","2e-05","3","6.73808146362395","3.86066388452222","2.45145225504247","1.58448400345014","39831282"
"33","s4r2_wc0p15_eta3em5","0.15","3e-05","3","8.18584667026033","3.76451983245551","2.65232584074414","1.48726846722143","45208621"
