case_id,wc_eV,eta,purpose,parent_case_id
s4r2_wc0p08_eta4em5,0.08,4.0e-5,add three validation repeats,s4r2_wc0p08_eta4em5
s4r2_wc0p10_eta4em5,0.10,4.0e-5,add three validation repeats,s4r2_wc0p10_eta4em5
s4r1_wc0p12_eta3em5,0.12,3.0e-5,add three validation repeats,s4r1_wc0p12_eta3em5
s4r2_wc0p25_eta6em5,0.25,6.0e-5,add three validation repeats,s4r2_wc0p25_eta6em5
s4r1_wc0p40_eta8em5,0.40,8.0e-5,add three validation repeats,s4r1_wc0p40_eta8em5
s4r2_wc0p30_eta8em5,0.30,8.0e-5,add three validation repeats,s4r2_wc0p30_eta8em5
s4r3_wc0p06_eta3em5,0.06,3.0e-5,new lower-wc ridge point,s4r2_wc0p08_eta4em5
s4r3_wc0p06_eta4p5em5,0.06,4.5e-5,new lower-wc upper-eta point,s4r2_wc0p08_eta4em5
s4r3_wc0p07_eta3em5,0.07,3.0e-5,new local-grid point,s4r2_wc0p08_eta4em5
s4r3_wc0p07_eta4em5,0.07,4.0e-5,new local-grid point,s4r2_wc0p08_eta4em5
s4r3_wc0p07_eta5em5,0.07,5.0e-5,new local-grid point,s4r2_wc0p08_eta4em5
s4r3_wc0p08_eta3p5em5,0.08,3.5e-5,new local-grid point,s4r2_wc0p08_eta4em5
s4r3_wc0p08_eta4p5em5,0.08,4.5e-5,new local-grid point,s4r2_wc0p08_eta4em5
s4r3_wc0p09_eta3p5em5,0.09,3.5e-5,new local-grid point,s4r2_wc0p10_eta4em5
s4r3_wc0p09_eta4em5,0.09,4.0e-5,new local-grid point,s4r2_wc0p10_eta4em5
s4r3_wc0p09_eta4p5em5,0.09,4.5e-5,new local-grid point,s4r2_wc0p10_eta4em5
s4r3_wc0p10_eta3p5em5,0.10,3.5e-5,new local-grid point,s4r2_wc0p10_eta4em5
s4r3_wc0p10_eta4p5em5,0.10,4.5e-5,new local-grid point,s4r2_wc0p10_eta4em5
s4r3_wc0p11_eta3p5em5,0.11,3.5e-5,new upper-wc local point,s4r1_wc0p12_eta3em5
s4r3_wc0p11_eta4p5em5,0.11,4.5e-5,new upper-wc local point,s4r1_wc0p12_eta3em5
