rank,case_id,wc_eV,eta,ntraj_per_run,independent_repeats,time_end,required_until,required_Q,active_orbitals,inactive_orbitals,max_inactive_noise,inactive_noise_limit,tail_window_start,tail_Q,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,passes_required_interval,min_active_Q_0_10,Q_orb0_0_10,Q_orb1_0_10,Q_orb2_0_10,Q_orb3_0_10,min_active_Q_10_20,Q_orb0_10_20,Q_orb1_10_20,Q_orb2_10_20,Q_orb3_10_20,min_active_Q_20_30,Q_orb0_20_30,Q_orb1_20_30,Q_orb2_20_30,Q_orb3_20_30,min_active_Q_30_40,Q_orb0_30_40,Q_orb1_30_40,Q_orb2_30_40,Q_orb3_30_40,min_active_Q_40_50,Q_orb0_40_50,Q_orb1_40_50,Q_orb2_40_50,Q_orb3_40_50,min_active_Q_50_60,Q_orb0_50_60,Q_orb1_50_60,Q_orb2_50_60,Q_orb3_50_60,min_active_Q_60_70,Q_orb0_60_70,Q_orb1_60_70,Q_orb2_60_70,Q_orb3_60_70,min_active_Q_70_80,Q_orb0_70_80,Q_orb1_70_80,Q_orb2_70_80,Q_orb3_70_80,min_active_Q_80_90,Q_orb0_80_90,Q_orb1_80_90,Q_orb2_80_90,Q_orb3_80_90,min_active_Q_90_100,Q_orb0_90_100,Q_orb1_90_100,Q_orb2_90_100,Q_orb3_90_100
1,s4r2_wc0p25_eta6em5,0.25,6e-05,1000000,6,100.0,100.0,2.1841203429539817,0 2 3,1,4.555423959152948e-05,5.0379491516802506e-05,80.0,2.1841203429539817,0.0007003938689940586,0.0011307170902767547,0.00017697478314523282,1.6489032361732825e-12,False,113.96167580245071,151.01464334490046,34.22594751518352,123.02338552776143,113.96167580245071,32.59025550382324,45.85538142315044,17.733022872675303,33.32466528958271,32.59025550382324,13.150039101675025,20.261777296545706,10.48853077543075,13.150039101675025,15.72413904982629,9.187835124162193,13.131284014940128,7.839665770941236,9.187835124162193,9.329384757766231,5.429112189989093,7.645636973232259,5.187844353944554,5.443794454005999,5.429112189989093,4.469451115699756,6.3190025634016544,4.217942470998824,4.992240636914249,4.469451115699756,3.7497650935778797,4.965665384573256,4.326295363802365,3.96714492313155,3.7497650935778797,2.9108673188314595,3.9491249341451886,3.0150681392719862,3.0340584885324273,2.9108673188314595,2.239805701942756,2.8305257573072016,3.175504255430111,2.4833885758079863,2.239805701942756,2.1841203429539817,2.8368682653909323,2.508152587338242,2.1841203429539817,2.3480832055931544
2,s4r3_wc0p11_eta3p5em5,0.11,3.5e-05,1000000,6,100.0,100.0,2.091444354807193,0 2 3,1,1.4853371997772057e-05,2.8902785644370597e-05,80.0,2.091444354807193,0.00037680903213490057,0.0005871752612793029,9.080120088662372e-05,1.7132961716015416e-12,False,68.34621995135896,103.88713665198561,27.152345070413634,68.34621995135896,118.77837473879916,31.088599211386455,44.6226867891564,15.438654709618682,31.088599211386455,32.18142951028154,11.569307547026652,16.858333179126415,7.175054085350122,11.569307547026652,13.438147047668542,8.591006203546538,11.965114697400308,5.585359103980271,8.591006203546538,9.367741080393245,5.526707396435058,7.758131566500203,4.139422803177672,5.69554070805927,5.526707396435058,4.415802908289544,6.584820929540073,3.7453774555857446,5.517443649713345,4.415802908289544,2.9478139468325812,4.312970287980447,3.610358682341916,2.9478139468325812,3.039493049186198,2.7227167481146592,4.037209858972704,3.1620919830137044,2.838629052864461,2.7227167481146592,2.347864719205083,3.502768325100036,2.0978455882502147,2.6722349398855334,2.347864719205083,2.091444354807193,2.8927562655064314,2.4493681553781994,2.379229391393561,2.091444354807193
3,s4r1_wc0p20_eta8em5,0.2,8e-05,1000000,3,100.0,100.0,2.076895960032684,0 2 3,1,8.567324317508496e-05,6.821437517145497e-05,80.0,2.076895960032684,0.0009719447242029919,0.0016236316154197281,0.00024518080003398053,1.5214496329463145e-12,False,138.57722499675495,232.02411177428513,37.32944207400896,138.57722499675495,211.5519066652445,33.884913782670715,49.507747581614844,27.84385001355528,33.884913782670715,38.85278439343553,17.42348434961901,22.83795753072407,10.238683002389939,17.42348434961901,18.235848783792058,9.812896405624087,16.10606735502949,9.778099680351092,11.866258424064787,9.812896405624087,7.157067843791214,9.019627935277205,6.856185181412993,7.159989211501751,7.157067843791214,4.555788821008694,7.254011200764246,5.0286301103434665,4.555788821008694,5.972536366782742,3.7537158084349076,5.332110458493551,4.385837574153014,3.7537158084349076,4.359271213934996,2.9393556784319848,4.605790535123853,3.301495328232007,3.161427816603666,2.9393556784319848,2.3630066350364145,3.331871255039301,3.48615380908601,2.8432298060254135,2.3630066350364145,2.076895960032684,2.4757167987259097,2.4251465018132294,2.101922732770127,2.076895960032684
4,s4r1_wc0p12_eta3em5,0.12,3e-05,1000000,6,100.0,100.0,2.0633028379286227,0 2 3,1,1.192174397779075e-05,2.4537087100380113e-05,80.0,2.0633028379286227,0.00031818297931223804,0.0004958849263894227,7.834315754721891e-05,1.6655565815426598e-12,False,130.72860728869495,168.93791742100183,26.688495042029142,130.72860728869495,131.69083573758093,31.63922283117924,43.65347165310558,15.015790324662948,31.63922283117924,32.06259259787865,11.931572545444572,18.49427321917418,6.438273812830834,11.931572545444572,13.195838816350001,8.105735527452694,12.219615914017945,5.483889584403583,8.105735527452694,8.42932627222855,5.364391480593655,7.874010384391624,3.860928528146214,5.564336468965495,5.364391480593655,4.61216136236267,6.371622856637291,3.5011210537667754,4.746641177839574,4.61216136236267,3.0016315236651687,4.29148123609714,3.409923026368413,3.058540514262427,3.0016315236651687,2.9512889524729107,4.358100644208437,2.7138870323274307,2.9512889524729107,3.0995593072900074,2.151149242902695,2.7520282003045358,2.4360895074765665,2.1649793383505873,2.151149242902695,2.0633028379286227,2.9452735634486116,2.191239411232797,2.0633028379286227,2.237481762299283
5,s4r3_wc0p07_eta4em5,0.07,4e-05,1000000,3,100.0,100.0,2.055648057585252,0 2 3,1,1.974929131096545e-05,3.3146227333911045e-05,80.0,2.055648057585252,0.00043836702751917287,0.0007056349875386415,0.00010053240715036599,1.595612530991275e-12,False,97.5721884510426,152.48941358852574,24.85065975379047,97.5721884510426,148.83043492451964,32.345509058928975,54.04054336188261,12.455351629528657,32.345509058928975,41.91435249626933,14.104655806427427,21.63403569571962,6.936118314737296,14.104655806427427,14.399963527608085,8.143940032040637,13.311695158508922,5.978217387536205,9.176819415156649,8.143940032040637,4.523229972816243,7.69700528392774,4.474426826247594,4.523229972816243,5.909412827296927,4.235120179725279,6.361865420862547,4.472316841081344,4.739117683268468,4.235120179725279,3.25463443067794,5.4925363940258745,3.7235969577302668,3.25463443067794,3.920614877944041,3.449954093213789,4.142428102243506,3.4266859029256973,3.6214706544195585,3.449954093213789,2.280506341593898,3.8302475723861957,2.909593993889558,2.8911843073876367,2.280506341593898,2.055648057585252,3.03858290266088,2.404537065028212,2.055648057585252,2.3044417534484083
6,s4r3_wc0p10_eta3p5em5,0.1,3.5e-05,1000000,3,100.0,100.0,2.0526736297899544,0 2 3,1,1.4209270988929635e-05,2.8808791901461383e-05,80.0,2.0526736297899544,0.0003751809086031108,0.0006640692673474498,8.600222993268173e-05,1.709743457922741e-12,False,121.0547155654142,191.46523578157652,16.778850491977057,121.0547155654142,126.33326093104837,34.529284490542935,55.7088659483145,13.96060001160691,34.529284490542935,40.569180979200446,15.016061159775047,25.737744553418946,7.201905462487174,18.015904575447124,15.016061159775047,8.458097766683862,11.28208249624738,6.494526405527094,8.458097766683862,9.832889305530964,4.491018342593884,6.607573099938372,4.174127526167717,6.244529629337118,4.491018342593884,4.338015687013642,6.751547721534149,3.3366404145250237,4.338015687013642,5.1363178249596295,3.4469927098207758,4.694562251909764,3.314782346551309,3.594451463480581,3.4469927098207758,2.970244331475819,4.2712554199229595,3.495623321893707,3.191577386709641,2.970244331475819,2.0526736297899544,3.096041244701448,1.9774765179356721,2.0526736297899544,2.279721326936278,2.576550403732662,3.5098752944108726,2.838819611170831,2.576550403732662,2.6817008587372695
7,s4r3_wc0p06_eta4p5em5,0.06,4.5e-05,1000000,3,100.0,100.0,2.0430327833734387,0 2 3,1,2.51632939063467e-05,3.777852298127527e-05,80.0,2.0430327833734387,0.000511269861130636,0.0007906632761435128,0.0001318904973184142,1.6509016376176078e-12,False,140.64297946673685,176.17020266485164,40.470824836038716,142.56941787142569,140.64297946673685,31.87824570100833,45.0650003426562,13.436322311385009,38.008126363362415,31.87824570100833,12.42100605926348,18.665978797645693,10.53439109948028,13.509900809350759,12.42100605926348,9.467854402732764,11.81316022643432,6.795670936394985,9.998371488333643,9.467854402732764,5.037120232257516,8.136225873212094,5.045463756510803,6.315353279993712,5.037120232257516,4.731984803412492,6.307772741482089,4.374985724894175,4.731984803412492,4.775641232356647,3.300802149701413,4.202985073014135,4.235275067010679,3.381807230597416,3.300802149701413,2.8734802593203317,4.385301327378574,2.8939429016290035,2.8734802593203317,3.353417539661354,2.364402223695804,3.1420972217629624,3.1845393100501687,2.5691837381637925,2.364402223695804,2.0430327833734387,2.374900744257269,2.468576136635405,2.2187219733268067,2.0430327833734387
8,s4r2_wc0p18_eta4em5,0.18,4e-05,1000000,3,100.0,100.0,2.028431090873628,0 2 3,1,2.0451793839987792e-05,3.3150964086986506e-05,80.0,2.028431090873628,0.0004419553059883935,0.0007032429769290528,0.00010688742952898394,1.5982770662503754e-12,False,79.4860240942742,180.16394241553186,45.45116241942351,79.4860240942742,119.07333614886988,27.081776541833424,44.76604916260169,14.079869807697827,31.163554166062127,27.081776541833424,16.161740027220052,23.997561133576077,7.638026656514557,19.03045468611125,16.161740027220052,7.908501301882759,10.076756196412505,6.544030352789513,9.075467132086601,7.908501301882759,4.876714295092286,8.06844979703298,4.694571040835434,5.332539133433694,4.876714295092286,4.089887415811075,6.22594001264236,3.4778329336496867,4.089887415811075,4.542775697849666,3.3758836263914973,4.712446168011812,3.314078290458102,3.3758836263914973,4.302044660309792,3.1771489803035333,4.2033531265331305,2.8341753476017395,3.1771489803035333,3.3840005745625588,2.085530504841469,3.175156988359401,2.5999962995584163,2.085530504841469,2.7516396130246656,2.028431090873628,2.898307005724572,2.1326742787350064,2.028431090873628,2.063688673925811
9,s4r3_wc0p07_eta5em5,0.07,5e-05,1000000,6,100.0,100.0,2.0261967458244112,0 2 3,1,3.2902511474333675e-05,4.216583777665189e-05,80.0,2.0261967458244112,0.0005712430310106504,0.0008445481062608562,0.00014057753094839361,1.6195933483231784e-12,False,128.60274403253862,214.78090222331954,23.28551578487138,176.57083690151373,128.60274403253862,32.38142228115412,49.25329582050568,17.669289966748345,33.27372477264478,32.38142228115412,14.443550690224242,22.116029628528022,8.25822496962264,15.364044711593642,14.443550690224242,7.901615393927622,12.431972509074932,6.700926239647063,8.997221365680451,7.901615393927622,5.736777842254798,8.394438888198353,5.495584016023598,5.999632924452108,5.736777842254798,4.566165486720538,6.158543874999338,4.00749875389584,4.6192869476875815,4.566165486720538,3.402540419345631,4.727894704269754,3.385755490873441,3.402540419345631,3.646665908184559,2.7085020258879777,4.2185942107736665,3.2421639337939783,3.3898914698909097,2.7085020258879777,2.3423689559392984,3.3716308967264452,2.7128546498951063,2.3727310143949802,2.3423689559392984,2.0261967458244112,2.857575198500072,2.444257261455822,2.21159482906437,2.0261967458244112
10,s4r2_wc0p08_eta4em5,0.08,4e-05,1000000,6,100.0,100.0,2.022459776208412,0 2 3,1,2.3062675212059157e-05,3.333435207203023e-05,80.0,2.022459776208412,0.000438470900829298,0.0006651612013923567,0.00010704434808536159,1.6018297799291759e-12,False,108.36236832637995,213.13463400163505,25.570114747244794,128.91207874013557,108.36236832637995,26.502352338689462,44.69670334363002,17.120490151372138,31.87600917692295,26.502352338689462,12.099435347758373,17.589451992420692,8.542597568039433,12.099435347758373,13.508822393023163,8.838225641808386,12.447160462873542,5.944966399218646,9.04335060502326,8.838225641808386,5.324917217100603,7.268790203296011,4.096334051519024,5.324917217100603,5.9278499727040685,4.3771163203801,5.998054721603166,4.292679317512904,4.3771163203801,4.730881031492351,3.3848769108771144,4.465976824902608,2.7836547877033495,3.5303547929980494,3.3848769108771144,2.8470404636583084,3.871214759517278,2.708860352902129,2.8470404636583084,2.9354982663193017,2.333344191173765,3.4059284129522536,2.7961252302044746,2.333344191173765,2.5751337238465797,2.022459776208412,2.704526695411472,1.9896663753125992,2.140125290812495,2.022459776208412
