rank,case_id,wc_eV,eta,ntraj_per_run,independent_repeats,time_end,required_until,required_Q,active_orbitals,inactive_orbitals,max_inactive_noise,inactive_noise_limit,tail_window_start,tail_Q,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,passes_required_interval,min_active_Q_0_10,Q_orb0_0_10,Q_orb1_0_10,Q_orb2_0_10,Q_orb3_0_10,Q_orb4_0_10,Q_orb5_0_10,Q_orb6_0_10,Q_orb7_0_10,Q_orb8_0_10,Q_orb9_0_10,min_active_Q_10_20,Q_orb0_10_20,Q_orb1_10_20,Q_orb2_10_20,Q_orb3_10_20,Q_orb4_10_20,Q_orb5_10_20,Q_orb6_10_20,Q_orb7_10_20,Q_orb8_10_20,Q_orb9_10_20,min_active_Q_20_30,Q_orb0_20_30,Q_orb1_20_30,Q_orb2_20_30,Q_orb3_20_30,Q_orb4_20_30,Q_orb5_20_30,Q_orb6_20_30,Q_orb7_20_30,Q_orb8_20_30,Q_orb9_20_30,min_active_Q_30_40,Q_orb0_30_40,Q_orb1_30_40,Q_orb2_30_40,Q_orb3_30_40,Q_orb4_30_40,Q_orb5_30_40,Q_orb6_30_40,Q_orb7_30_40,Q_orb8_30_40,Q_orb9_30_40,min_active_Q_40_50,Q_orb0_40_50,Q_orb1_40_50,Q_orb2_40_50,Q_orb3_40_50,Q_orb4_40_50,Q_orb5_40_50,Q_orb6_40_50,Q_orb7_40_50,Q_orb8_40_50,Q_orb9_40_50
1,w5_e0p00024,5.0,0.00024,8000000,3,50.0,50.0,1.6845853939262772,0 5 6 7 8 9,1 2 3 4,7.509508302153233e-06,2.616480151814199e-05,30.0,1.6845853939262772,0.00020270420390489105,0.00032843900760924264,4.959074951427676e-05,6.159517340620368e-11,False,39.53108994276428,95.94499750656914,21.066542830068304,18.48412965994104,28.509549468378662,20.72168884709637,45.218895296651404,40.48206035614127,50.79389180136228,45.35252686020645,39.53108994276428,10.514477397311893,21.610286986538014,6.162369498810936,9.93045411687768,8.259857954017843,8.660163897805615,12.239293793262181,13.728460762621609,14.598739673554183,11.422322279183085,10.514477397311893,3.3471622532147367,8.750638283452338,2.265399339334124,2.5472352062629176,3.0659250601306187,3.388086229162203,5.246430101716411,4.665702645229906,3.3471622532147367,3.975703349649047,3.5587491432221507,2.7710807992653614,7.008821605830866,0.626663369667124,1.1763447118591712,2.6076289341032446,2.86568134284506,4.94860214798337,3.820065407698794,3.233579580966746,3.0086099603685996,2.7710807992653614,1.6845853939262772,3.148452017348642,0.6555782894978779,0.5155681387494836,1.7242162157436745,1.1536535120934643,2.2053534529822376,1.8286985396212538,1.6845853939262772,1.6899925885095248,2.1106702657855205
2,w4_e0p00036,4.0,0.00036,8000000,3,50.0,50.0,1.57216186030313,0 5 6 7 8 9,1 2 3 4,2.2409817714077577e-05,4.294083872949416e-05,30.0,1.57216186030313,0.0003427671738349719,0.0005948572430047525,7.708471740620239e-05,6.116795958632792e-11,False,40.843033432256775,127.94500639240718,27.50727286785159,23.047137277490936,23.94496783988604,30.771578705914955,41.45765650546611,68.15778324720246,44.58243269354669,40.843033432256775,63.35558202466527,9.734320438993956,25.324394588839716,8.353567999153386,8.562968242254794,10.323891549363575,9.086268079240574,12.023898060017563,13.008381014035828,13.483217650961892,15.772941267363683,9.734320438993956,3.5126333533911,8.891706854073126,2.669456559584855,5.194677236886353,5.586260262643755,5.320558852121562,4.6229527171336136,4.297650497040533,4.25926945351716,4.314478032471028,3.5126333533911,2.539321359978936,5.252042296523466,1.5109568864936609,2.415933897010323,2.4745413265939438,2.642198016070197,2.5683940080078678,2.556377666491221,3.209801145745719,2.737015403706575,2.539321359978936,1.57216186030313,4.296386289361117,0.8337224970873136,1.1279867476458163,1.6625255033537152,1.1169890447431836,3.2969177634522895,1.7352273805481202,2.3187950973769365,1.57216186030313,1.698541842830276
3,w4p5_e0p00024,4.5,0.00024,8000000,3,50.0,50.0,1.5584632804278322,0 5 6 7 8 9,1 2 3 4,1.0086295348237335e-05,2.6011312543081214e-05,30.0,1.5584632804278322,0.0002002912496329405,0.0003180642800726833,4.268517465995424e-05,6.137756969337715e-11,False,36.913356655492315,97.65734587889344,15.462976845556486,18.068652791244045,20.93116183691312,12.592129357907854,36.913356655492315,43.59979635089111,40.342144072153864,38.000860356971216,64.23294228831791,9.168917111963268,28.069021448397123,10.059070239889005,7.065853849106651,7.9899299633663645,10.555183242547475,13.754997005016387,13.106995890063486,13.775156581441811,10.842200150098568,9.168917111963268,3.844169494614416,7.591216962847731,2.372205385538517,2.603450814349289,4.088102716062878,4.265654521981691,5.255694431824206,4.016422900837467,3.950702560202314,3.844169494614416,4.0384806059658365,2.478582059579859,5.645626973980896,0.820810835883366,1.2518417649036861,2.0510901273081967,2.524099525729932,3.681517577194274,3.3875012307664587,2.7878751928526313,2.609094324830349,2.478582059579859,1.5584632804278322,4.465715519208142,0.5611038958430724,1.2954090451698868,0.4825656911805787,1.5612019463554283,3.0669249535333063,2.0393559906198977,1.5584632804278322,2.176623313923787,1.5925498050549263
4,w4p5_e0p00036,4.5,0.00036,8000000,3,50.0,50.0,1.4970581230129127,0 5 6 7 8 9,1 2 3 4,2.0564937882468786e-05,4.25997230525906e-05,30.0,1.4970581230129127,0.00033948361561926386,0.0005685686006487063,8.841079387638603e-05,6.048050948948003e-11,False,47.07808041449625,107.20378927055174,22.561002928706213,24.52958362909478,29.221164544047106,23.155517791785726,56.09015520489512,55.30224117886389,51.2707906939285,47.19556068468718,47.07808041449625,8.157620354667127,21.95114767332817,7.418272898209658,8.709170259632124,7.62228437973515,7.783904355548714,13.239257021917586,14.051577512450098,13.719212329409375,8.157620354667127,11.258281854011111,4.046210468774893,9.780781553534247,2.0793259171728606,4.6851991047114065,4.209602618504094,3.6615343475378546,5.315900540562557,4.497719307617649,4.046210468774893,4.215130099459713,5.602844499006772,2.0565052764414675,5.735672338712007,1.568911293361955,1.3257555268576398,1.927808755401732,2.372679514524331,2.171522799954214,2.4844572103235887,2.5267027643639755,2.0565052764414675,2.3373484672167733,1.4970581230129127,3.3948208501856896,1.0453047547815715,1.263928545988396,0.9553603735296995,1.1710058146731304,1.5335918604767902,2.0973213312927528,1.4970581230129127,2.3847470460518903,1.8372948537583205
5,w4_e0p0003,4.0,0.0003,8000000,3,50.0,50.0,1.3487507576804563,0 5 6 7 8 9,1 2 3 4,1.3334116169769411e-05,3.4431660486377555e-05,30.0,1.3487507576804563,0.0002652143645029611,0.0004600172641785407,5.599634829768051e-05,7.189182582578724e-11,False,35.22613833843616,84.61303254477767,14.75128284132455,40.745581242759876,20.39636741563623,16.306952401641592,51.14537330006408,54.56078395634302,35.22613833843616,45.338076730278374,61.03749869781137,9.106822664947755,24.69235087145917,9.17234411622862,9.21078797720809,6.952277459443002,9.48556375834496,14.645944574502105,11.372824794707036,10.772356120913273,11.384007323782322,9.106822664947755,4.250992597680667,11.11182097591034,2.9073076820065076,3.480153527915439,3.9427568137429065,5.196886235627699,4.754310202512629,4.549562487493282,5.316917372562108,4.250992597680667,4.395555410196171,2.238075474478747,5.4379220739857,1.2496092302461728,1.4822193469166518,2.4862166344380716,2.247043415189518,2.8045574123676276,2.433185917985146,2.769606518618373,2.7133760268918428,2.238075474478747,1.3487507576804563,5.898600739914858,0.7425753658620289,0.6440026586688191,1.214843869628624,1.6994723383425796,1.9378259708833778,2.288313635788225,1.9350345664866189,1.3487507576804563,2.1324719485285946
6,w4_e0p00024,4.0,0.00024,8000000,3,50.0,50.0,1.3433941368640032,0 5 6 7 8 9,1 2 3 4,7.1725662033495435e-06,2.6314533895339657e-05,30.0,1.3433941368640032,0.00020570747546312483,0.0003547906689703982,4.645184600870491e-05,6.179412537221651e-11,False,52.19037232511706,103.03548164757966,17.584584657577665,19.444889807356933,20.24115634463841,18.01956040172441,58.720347283222054,65.89942027760281,53.76180344312015,53.142129219133146,52.19037232511706,9.399582829945945,26.929709837564637,5.48522072227628,7.886079711096123,6.217702744427512,7.614659246043003,15.68432789365624,15.53874057944053,9.399582829945945,11.751819166981152,12.149763038424023,3.6142087307837207,9.301578022019369,3.50400042512978,3.2661135201509093,3.6949841540626296,5.104074721796815,4.989621613856305,4.612924153554521,3.6142087307837207,4.639770516496656,6.318446272751752,2.347620844233991,4.456350801069861,1.0351166860802539,1.5827033584422983,2.2815487171526754,3.861448531514464,2.8009354804689246,2.363707592662664,2.347620844233991,2.931181212465788,2.8861745751735977,1.3433941368640032,4.135507660401174,0.3784719059104627,1.516342936426858,1.1015156085882976,2.1159663312026016,2.243456521045813,2.6730163937320994,1.8261129993453131,1.840771141594966,1.3433941368640032
7,w4p75_e0p00024,4.75,0.00024,8000000,3,50.0,50.0,1.324640387782467,0 5 6 7 8 9,1 2 3 4,8.527172627440569e-06,2.59983219922018e-05,30.0,1.324640387782467,0.00019850854849006648,0.00028375646736316675,4.423982123628904e-05,6.126565921249494e-11,False,38.464274480537604,117.63117300281162,14.472515167031975,19.177513461714575,21.633624496669842,23.221848782287502,58.71634557249998,50.98524753661064,49.18625103806828,49.29637696994459,38.464274480537604,9.502482664780144,24.311735489273158,7.61400175426494,7.266978732383751,7.52591111964422,8.271303017865073,15.443423162516341,13.018260898021628,12.561232975424527,9.502482664780144,9.771769919134874,3.795642268427348,9.832998475545079,2.141988347789617,2.797394355753692,3.2301991401151664,3.795426689780125,5.743039855134457,4.18708488290779,3.999653982262409,3.795642268427348,4.669148119559718,1.8133792163657856,6.064675751369217,1.5916752745174139,1.984853173481721,1.8407399168005574,2.0184931084682267,3.8300183077975296,4.306892734255143,2.9075834480689755,2.971152297419063,1.8133792163657856,1.324640387782467,3.939096197664841,0.9966656691791891,0.501168417170785,1.02008312040724,1.4529833900559037,2.3301905575619837,2.1865370661320997,1.634930463398533,1.324640387782467,2.014268836633906
8,w5_e0p00036,5.0,0.00036,8000000,3,50.0,50.0,1.3194334313402432,0 5 6 7 8 9,1 2 3 4,1.667855725207793e-05,4.269444860475499e-05,30.0,1.3194334313402432,0.0003412898914770416,0.0006588287325819347,8.437279534851944e-05,6.077005565430227e-11,False,32.01572780868027,78.12344106132535,21.491965738692098,26.348648222535974,24.279435075248777,26.637919850130288,32.01572780868027,42.00900978239074,55.70710573039784,76.99110630626836,46.13521361922618,8.610028487544493,23.459956764640832,5.698186636302991,7.117798704667599,10.487074142969787,8.771543221787493,13.771296994000357,12.294496486313044,11.609608900001962,14.057614442718045,8.610028487544493,3.8684581663857083,9.795550784155068,2.584544980255125,3.4142586545416194,3.8140321039345917,5.298321056371408,4.54526616270086,4.085493257644929,4.579892167321925,3.8684581663857083,5.07329271267057,2.0424204677063273,5.090927991273092,0.7141312247511825,1.180608585454913,2.8753616114239486,3.0199340844822906,2.46043997671906,2.900419157834992,3.138164697159435,2.848039996406259,2.0424204677063273,1.3194334313402432,4.608080924675553,1.2376412297257573,0.8465402935551322,1.0222096351823018,1.4399170108547168,2.5645427370725513,1.786683654730504,1.3194334313402432,1.3563254357220353,1.6973030953395705
9,w4p75_e0p00036,4.75,0.00036,8000000,3,50.0,50.0,1.1307805684369188,0 5 6 7 8 9,1 2 3 4,2.00964085802508e-05,4.2738923121373975e-05,30.0,1.1307805684369188,0.00034135730529845934,0.0005877738517688354,8.12518315890552e-05,6.051958933994683e-11,False,40.98236546194317,157.43936970673894,18.627254462108272,28.086187689841363,16.55931364334183,18.954790987253777,54.13864542855418,46.98098197423276,52.39888849432914,50.78240353556838,40.98236546194317,11.036014413068882,26.846772218239458,7.965183580239651,10.358605187803148,13.287133816382799,10.728797002230632,12.001096763837321,14.598861064108304,11.070477799051442,12.057710030541651,11.036014413068882,3.290688695048104,8.263241114029848,3.3924623714028166,3.4116636165488083,3.6490055451716468,4.593368890810678,4.472904061670393,4.517772513137745,3.290688695048104,4.269567642015988,4.712767956420971,2.4157238963411003,5.728241392073812,0.691525566336107,1.3893652668917378,1.8537495229326302,3.5956307114260637,3.765845889847555,2.4157238963411003,3.1653391259256183,2.6738138767784223,2.6498381927401944,1.1307805684369188,4.608487789812083,0.9654897561394598,0.3483407889943085,0.7768612849446934,2.072795943867106,2.6497417187229964,1.524932972261877,2.1162838738439063,1.1307805684369188,1.502714910644615
10,w5_e0p0003,5.0,0.0003,8000000,3,50.0,50.0,1.1250074356337207,0 5 6 7 8 9,1 2 3 4,1.2507182894029829e-05,3.365063624257812e-05,30.0,1.1250074356337207,0.00026002123497018386,0.0004482286812352309,6.926150907399634e-05,7.187139772213413e-11,False,38.532945662299944,100.48772477022081,25.586487269700346,22.51305552843923,20.04337940889784,26.495414170449056,46.25425752099261,38.532945662299944,51.446862198675106,50.39245806573671,56.87901531621315,10.261461407843434,28.363498777198455,7.483815726478679,8.945888641198342,9.589670491513909,7.7306609941585425,10.261461407843434,14.173554524696907,11.726692893686982,12.077660018243542,11.613623030380436,3.3675687817549482,8.150174490508595,2.3930970220243286,3.0432376287115335,4.001327356912691,4.412543663255525,5.0569546244797285,5.108623324996458,4.584408638908567,4.363393133407013,3.3675687817549482,2.048626635775554,5.205974673710895,0.8413693103511287,1.245619685025884,1.5458688730113828,1.6564383908670919,4.194853606934837,2.604272635533036,2.945108590751298,2.048626635775554,4.559018741727934,1.1250074356337207,2.858116155505166,0.46754409485661097,1.220972126664305,0.9989195557141151,1.7634469063605325,3.061108982738628,2.26828572447395,1.5822312500063285,1.1250074356337207,1.8430185988836112
