rank,case_id,wc_eV,eta,ntraj_per_run,independent_repeats,status,TCI,SCI_30_40,SCI_40_50,tail_SCI_from_30,Q_0_10,Q_10_20,Q_20_30,Q_30_40,Q_40_50,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,passes_40t
1,wc6.5_eta4.0e-5,6.5,4e-05,2000000,4,converged,95.340333543,99.7355639127,99.3128474406,99.3128474406,28.950736220728675,7.017498845695714,3.050362591329479,2.2538693894400312,1.486535859046443,2.3677169160861446e-05,3.9014029916110424e-05,9.307313198850858e-06,7.695266646123855e-11,True
2,wc5.5_eta3.5e-5,5.5,3.5e-05,2000000,3,inconclusive,89.5384227747,92.3030306965,96.9405972268,92.3030306965,24.08216552642402,6.779432535569413,2.924364947624138,1.796396559054775,1.9513981115738377,2.2575515392300357e-05,3.557728728385163e-05,9.013016903607147e-06,8.22311108095164e-11,False
3,wc8.5_eta5.0e-5,8.5,5e-05,2000000,3,inconclusive,77.0844506192,92.6463381955,80.2963027283,80.2963027283,25.066219218703917,7.423908987153402,3.2627606939105678,1.6740147146165205,1.9294046637922428,3.319375779142112e-05,5.025611948968939e-05,1.3317144177635533e-05,8.188028033373485e-11,False
4,wc7.0_eta3.0e-5,7.0,3e-05,2000000,2,inconclusive,68.2822583701,71.1307127378,71.1273524689,71.1273524689,23.014849713464816,7.5635544480449335,3.211576127843209,2.264902691437997,1.4611617163506385,1.81701740703256e-05,3.302264740788875e-05,7.808600446666453e-06,8.221867631164059e-11,False
5,wc7.0_eta4.2e-5,7.0,4.2e-05,2000000,2,inconclusive,66.2969930343,74.6387773707,69.6909837434,69.6909837434,18.17416490041301,7.500135404690281,2.384073109980702,1.8978472363369534,2.3281157663190966,2.606068894578122e-05,5.708998918882062e-05,9.34695904493374e-06,7.462563900162422e-11,False
6,wc9.2_eta5.5e-5,9.2,5.5e-05,2000000,3,inconclusive,62.6205149722,92.8707758885,65.2297030961,65.2297030961,29.70334186502807,7.20392578144852,3.4426824806815834,2.4419879199303582,1.8323557388882508,3.3776749652392886e-05,5.2176150642207526e-05,1.2362357666179424e-05,7.051870198893084e-11,False
7,wc6.0_eta3.0e-5,6.0,3e-05,2000000,2,inconclusive,63.1606115166,64.5998256974,70.3237199328,64.5998256974,33.13416738333132,7.448390744705461,2.7998343488628312,1.750100505076852,1.2886817020455013,1.7138810606358083e-05,2.929443621746108e-05,7.755589166906932e-06,8.222045266847999e-11,False
8,wc8.0_eta3.0e-5,8.0,3e-05,2000000,2,inconclusive,61.7165935159,79.688699157,64.2881182457,64.2881182457,18.171894041532877,7.443784165445325,3.446365541367387,2.287202201145003,0.9613462967856133,1.7529739992558736e-05,2.8858373413793885e-05,8.933472237584883e-06,8.221512359796179e-11,False
9,wc10.0_eta3.0e-5,10.0,3e-05,2000000,2,inconclusive,61.7045562688,74.3167674113,64.2755794467,64.2755794467,23.57722145362511,7.419491710569447,2.911882238220023,1.5316870796199604,0.8248699268371706,1.5350804463114227e-05,2.832847618708866e-05,8.223618524819591e-06,8.221512359796179e-11,False
10,wc7.5_eta4.5e-5,7.5,4.5e-05,2000000,3,inconclusive,61.0342002632,95.8804285202,63.5772919408,63.5772919408,23.514933140862695,7.12272186807683,3.590574926349645,2.0258877623743445,1.1734625446365572,2.6765889533708488e-05,4.3522351517985904e-05,1.2249366087517286e-05,7.220002373742318e-11,False
11,wc6.2_eta4.2e-5,6.2,4.2e-05,2000000,2,inconclusive,60.6376519897,67.3276885359,63.1642208226,63.1642208226,31.366147600422934,7.016588049154174,3.274676533539105,1.7955423076885846,1.813367115039338,2.6599382369196253e-05,4.4353698669698844e-05,1.0993111877370284e-05,7.461764539584692e-11,False
12,wc6.0_eta3.8e-5,6.0,3.8e-05,2000000,2,inconclusive,58.6623962133,68.1858003984,61.1066627222,61.1066627222,30.5431173196009,8.255870647080005,2.472315140941336,1.6878290862839398,1.099928230093656,2.188714557691101e-05,3.709562832524986e-05,1.1722962233484477e-05,7.256595324633963e-11,False
13,wc6.4_eta3.8e-5,6.4,3.8e-05,2000000,2,inconclusive,57.7508015143,63.8306135166,60.1570849108,60.1570849108,32.90625366202896,7.470151112999118,2.8932436329262923,3.401771247172727,1.355147830158611,2.3960070904958175e-05,4.187147696046931e-05,9.879375743336976e-06,7.274092439502056e-11,False
14,wc5.8_eta6.0e-5,5.8,6e-05,2000000,2,inconclusive,44.5479114181,57.873458819,60.3073381541,57.873458819,32.70073858360286,9.55375340097465,3.146860607884652,2.438039052627192,1.6687438288635958,3.821724388795214e-05,7.771963833248602e-05,1.424906039937275e-05,8.215650382226158e-11,False
15,wc6.5_eta6.0e-5,6.5,6e-05,2000000,2,inconclusive,46.0362479922,56.995628257,58.2218479868,56.995628257,28.18565841707858,6.756951726147689,3.6373912076463553,2.1104627882411484,1.473191088340576,3.8248555472394146e-05,6.101926331596399e-05,1.5948572247354795e-05,8.218314917485259e-11,False
16,wc9.5_eta3.5e-5,9.5,3.5e-05,2000000,2,inconclusive,52.6777591922,76.1836894232,54.8726658252,54.8726658252,25.33153537856091,8.420966683496328,2.4029239036717955,1.8664845356026767,1.1885811748052477,2.0299587063923312e-05,3.2846444847832944e-05,1.0535286090133891e-05,8.219469549430869e-11,False
17,wc6.8_eta3.8e-5,6.8,3.8e-05,2000000,2,inconclusive,52.1573220448,63.789678802,54.3305437967,54.3305437967,29.138940806131227,7.127500064921635,2.8182303924613707,3.154763793188005,0.5975893272406723,2.082017260219964e-05,3.699650494653152e-05,1.055884315800344e-05,7.267253465670365e-11,False
18,wc7.2_eta6.0e-5,7.2,6e-05,2000000,2,inconclusive,42.6512500833,60.1941682676,53.8434041287,53.8434041287,36.154137805278076,7.9308748407314065,4.676308687868999,2.598867109332288,1.3136843774470635,3.922878491720298e-05,8.445826556566651e-05,1.7611385188353305e-05,8.219380731588899e-11,False
19,wc9.0_eta4.0e-5,9.0,4e-05,2000000,2,inconclusive,50.0350282716,69.7525925979,52.1198211162,52.1198211162,25.576121848832887,7.250605914015164,2.4771053968145083,2.0218995477231343,2.6674615844569374,2.536844148566982e-05,4.5292510024054944e-05,8.868179709044165e-06,7.6610717769654e-11,False
20,wc10.0_eta4.5e-5,10.0,4.5e-05,2000000,2,inconclusive,48.4902189393,66.1659076899,50.5106447284,50.5106447284,32.01475661935278,5.82538973781717,3.5445396144197163,1.8663897650618384,0.8212298844965283,2.377872498244522e-05,4.2069883139292754e-05,1.3559286022905837e-05,7.192557660573584e-11,False
21,wc9.8_eta7.0e-5,9.8,7e-05,2000000,2,inconclusive,39.4647864057,59.2002646026,50.3968364917,50.3968364917,25.279943847965466,6.422362528828032,3.6958076202180408,2.6034488133251954,1.976122611692605,4.614181262188823e-05,0.00011446481100816994,1.6892794277058384e-05,7.600320373057912e-11,False
22,wc6.8_eta6.5e-5,6.8,6.5e-05,2000000,2,inconclusive,37.6135494886,58.0544423609,49.2865137762,49.2865137762,31.914213160047172,7.208466492691807,4.055822048839181,2.4692303292775755,0.8781385960139741,3.862181987956245e-05,6.383765524322682e-05,2.0061224473725726e-05,7.978062654956375e-11,False
23,wc6.6_eta4.2e-5,6.6,4.2e-05,2000000,2,inconclusive,43.1458577801,75.8037046106,44.9436018543,44.9436018543,19.776960797336905,6.815478056711642,3.468805962132001,2.7889370219296996,2.6560265474689473,2.933002293737185e-05,6.980327547039165e-05,8.937186814304185e-06,7.44613259939797e-11,False
24,wc6.2_eta6.5e-5,6.2,6.5e-05,2000000,2,inconclusive,32.4511820677,55.2474825532,43.5910379219,43.5910379219,36.333517156907,9.07303949645721,3.097766276053922,1.885617111242943,2.156409473888162,4.345235745931536e-05,8.527448352919083e-05,1.623473327497771e-05,7.989342520886566e-11,False
25,wc7.5_eta6.5e-5,7.5,6.5e-05,2000000,2,inconclusive,32.3051773647,60.2868846404,39.335538415,39.335538415,28.809780378572814,8.567627116974315,3.793556814577755,2.2142878361559273,1.4694408255794367,4.0166706098347335e-05,8.090638272778413e-05,1.6868131982287687e-05,7.987566164047166e-11,False
