case_id,data_file,param.wc_eV,param.eta,param.ntraj
wc5.8_eta6.0e-5,wc5.8_eta6.0e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,5.8,6.0e-5,2000000
wc5.8_eta6.0e-5,wc5.8_eta6.0e-5_rep3/ahm-sepmb-s10-n5-2000000.dat,5.8,6.0e-5,2000000
wc6.2_eta6.5e-5,wc6.2_eta6.5e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,6.2,6.5e-5,2000000
wc6.2_eta6.5e-5,wc6.2_eta6.5e-5_rep3/ahm-sepmb-s10-n5-2000000.dat,6.2,6.5e-5,2000000
wc6.5_eta6.0e-5,wc6.5_eta6.0e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,6.5,6.0e-5,2000000
wc6.5_eta6.0e-5,wc6.5_eta6.0e-5_rep3/ahm-sepmb-s10-n5-2000000.dat,6.5,6.0e-5,2000000
wc6.8_eta6.5e-5,wc6.8_eta6.5e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,6.8,6.5e-5,2000000
wc6.8_eta6.5e-5,wc6.8_eta6.5e-5_rep3/ahm-sepmb-s10-n5-2000000.dat,6.8,6.5e-5,2000000
wc7.2_eta6.0e-5,wc7.2_eta6.0e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,7.2,6.0e-5,2000000
wc7.2_eta6.0e-5,wc7.2_eta6.0e-5_rep3/ahm-sepmb-s10-n5-2000000.dat,7.2,6.0e-5,2000000
wc7.5_eta6.5e-5,wc7.5_eta6.5e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,7.5,6.5e-5,2000000
wc7.5_eta6.5e-5,wc7.5_eta6.5e-5_rep3/ahm-sepmb-s10-n5-2000000.dat,7.5,6.5e-5,2000000
wc5.5_eta3.5e-5,wc5.5_eta3.5e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,5.5,3.5e-5,2000000
wc5.5_eta3.5e-5,wc5.5_eta3.5e-5_rep3/ahm-sepmb-s10-n5-2000000.dat,5.5,3.5e-5,2000000
wc5.5_eta3.5e-5,wc5.5_eta3.5e-5_rep4/ahm-sepmb-s10-n5-2000000.dat,5.5,3.5e-5,2000000
wc6.5_eta4.0e-5,wc6.5_eta4.0e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,6.5,4.0e-5,2000000
wc6.5_eta4.0e-5,wc6.5_eta4.0e-5_rep3/ahm-sepmb-s10-n5-2000000.dat,6.5,4.0e-5,2000000
wc6.5_eta4.0e-5,wc6.5_eta4.0e-5_rep4/ahm-sepmb-s10-n5-2000000.dat,6.5,4.0e-5,2000000
wc6.5_eta4.0e-5,wc6.5_eta4.0e-5_rep5/ahm-sepmb-s10-n5-2000000.dat,6.5,4.0e-5,2000000
wc7.5_eta4.5e-5,wc7.5_eta4.5e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,7.5,4.5e-5,2000000
wc7.5_eta4.5e-5,wc7.5_eta4.5e-5_rep3/ahm-sepmb-s10-n5-2000000.dat,7.5,4.5e-5,2000000
wc7.5_eta4.5e-5,wc7.5_eta4.5e-5_rep4/ahm-sepmb-s10-n5-2000000.dat,7.5,4.5e-5,2000000
wc8.5_eta5.0e-5,wc8.5_eta5.0e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,8.5,5.0e-5,2000000
wc8.5_eta5.0e-5,wc8.5_eta5.0e-5_rep3/ahm-sepmb-s10-n5-2000000.dat,8.5,5.0e-5,2000000
wc8.5_eta5.0e-5,wc8.5_eta5.0e-5_rep4/ahm-sepmb-s10-n5-2000000.dat,8.5,5.0e-5,2000000
wc9.2_eta5.5e-5,wc9.2_eta5.5e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,9.2,5.5e-5,2000000
