case_id,segment,start,end,points,SCI,tail_score,class,worst_series,limiting_metric,amplitude,amplitude_se,drift,drift_se,jump,jump_se,noise_sigma,rho1,tolerance
wc10.0_eta3.0e-5,1,0,9.5,20,100,64.2755794467,strong,series_0,,5.28545439568e-05,4.47823773426e-06,3.84775980492e-06,9.22676536983e-06,8.80435823603e-06,6.82390948584e-06,1.35328450893e-06,0.131499794141,0.0001
wc10.0_eta3.0e-5,2,10,19.5,20,99.758338703,64.2755794467,strong,series_0,jump,2.92408807667e-05,1.8774219349e-05,3.56993479375e-06,1.00634778469e-05,7.36783215827e-06,3.2872254509e-05,5.38071150393e-06,0.18314482666,0.0001
wc10.0_eta3.0e-5,3,20,29.5,20,86.3241801515,64.2755794467,usable,series_0,jump,1.15624290613e-05,5.44327691366e-05,5.28210347111e-06,3.0772547039e-05,4.12534222183e-06,8.75567213795e-05,1.18744818064e-05,0.749894903008,0.0001
wc10.0_eta3.0e-5,4,30,39.5,20,74.3167674113,64.2755794467,uncertain,series_0,amplitude,1.65291221851e-05,0.000127798948433,1.64904304937e-06,3.4226783178e-05,1.90613513847e-05,0.000121304910143,2.78792777241e-05,0.780661387504,0.0001
wc10.0_eta3.0e-5,5,40,50,21,64.2755794467,64.2755794467,uncertain,series_0,drift,2.08913044227e-05,0.00012716310761,1.96149620468e-05,0.000219730478791,0,1e-15,2.77405693614e-05,0.886778358236,0.0001
wc10.0_eta4.5e-5,1,0,9.5,20,99.9204392121,50.5106447284,strong,series_0,amplitude,7.85036221677e-05,6.80801100351e-06,9.13753070539e-06,4.46070014217e-06,1.18247068818e-05,1.60168004999e-05,1.61560413909e-06,0.357452163216,0.0001
wc10.0_eta4.5e-5,2,10,19.5,20,87.6867913622,50.5106447284,usable,series_0,amplitude,4.80697437111e-05,4.47878797468e-05,6.0125642378e-06,1.56260707568e-05,3.87415563863e-06,3.68693850542e-05,1.01811170593e-05,0.394377757618,0.0001
wc10.0_eta4.5e-5,3,20,29.5,20,90.5035332685,50.5106447284,usable,series_0,amplitude,2.09516906465e-05,6.03059366344e-05,1.5510459394e-05,3.18729340207e-05,8.09380541611e-06,6.18063952929e-05,1.31557104065e-05,0.718174837715,0.0001
wc10.0_eta4.5e-5,4,30,39.5,20,66.1659076899,50.5106447284,uncertain,series_0,jump,6.30830521908e-06,7.36399784948e-05,3.43121959383e-06,9.37015125877e-05,1.33006617195e-05,0.000207914426086,1.60645250781e-05,0.938260516258,0.0001
wc10.0_eta4.5e-5,5,40,50,21,50.5106447284,50.5106447284,uncertain,series_0,drift,7.97751776359e-05,0.000284664663625,9.24797642846e-05,0.000587503971489,0,1e-15,6.2099456316e-05,0.95,0.0001
wc5.5_eta3.5e-5,1,0,9.5,20,100,92.3030306965,strong,series_0,,6.57306825312e-05,1.8014496643e-06,2.7217317836e-06,1.16861494881e-06,1.3376162432e-05,2.83022152353e-06,2.11247299329e-06,0.0617190210774,0.0001
