case_id,status,total_index,best_tail_score,confirmed_start,possible_start,converged_end,repeats,points,series,noise_growth,param.eta,param.ntraj,param.wc_eV
wc10.0_eta3.0e-5,inconclusive,61.7045562688,64.2755794467,,0,50,2,101,10,21.9427184996,3.0e-5,2000000,10.0
wc10.0_eta4.5e-5,inconclusive,48.4902189393,50.5106447284,,0,50,2,101,10,35.0460042258,4.5e-5,2000000,10.0
wc5.5_eta3.5e-5,inconclusive,89.5384227747,92.3030306965,,0,50,3,101,10,16.7763998634,3.5e-5,2000000,5.5
wc5.8_eta6.0e-5,inconclusive,44.5479114181,57.873458819,,20,50,2,101,10,22.6983065642,6.0e-5,2000000,5.8
wc6.0_eta3.0e-5,inconclusive,63.1606115166,64.5998256974,,0,50,2,101,10,24.3981372444,3.0e-5,2000000,6.0
wc6.0_eta3.8e-5,inconclusive,58.6623962133,61.1066627222,,0,50,2,101,10,30.4951736727,3.8e-5,2000000,6.0
wc6.2_eta4.2e-5,inconclusive,60.6376519897,63.1642208226,,0,50,2,101,10,23.7322939112,4.2e-5,2000000,6.2
wc6.2_eta6.5e-5,inconclusive,32.4511820677,43.5910379219,,,50,2,101,10,24.3613475801,6.5e-5,2000000,6.2
wc6.4_eta3.8e-5,inconclusive,57.7508015143,60.1570849108,,0,50,2,101,10,29.7757818958,3.8e-5,2000000,6.4
wc6.5_eta4.0e-5,converged,95.340333543,99.3128474406,0,0,50,4,101,10,22.0594032285,4.0e-5,2000000,6.5
wc6.5_eta6.0e-5,inconclusive,46.0362479922,56.995628257,,10,50,2,101,10,20.487799509,6.0e-5,2000000,6.5
wc6.6_eta4.2e-5,inconclusive,43.1458577801,44.9436018543,,,50,2,101,10,13.1232283514,4.2e-5,2000000,6.6
wc6.8_eta3.8e-5,inconclusive,52.1573220448,54.3305437967,,0,50,2,101,10,28.3767296964,3.8e-5,2000000,6.8
wc6.8_eta6.5e-5,inconclusive,37.6135494886,49.2865137762,,,50,2,101,10,34.2494512517,6.5e-5,2000000,6.8
wc7.0_eta3.0e-5,inconclusive,68.2822583701,71.1273524689,,0,50,2,101,10,19.662234128,3.0e-5,2000000,7.0
wc7.0_eta4.2e-5,inconclusive,66.2969930343,69.6909837434,,0,50,2,101,10,12.9312003548,4.2e-5,2000000,7.0
wc7.2_eta6.0e-5,inconclusive,42.6512500833,53.8434041287,,10,50,2,101,10,36.4870724835,6.0e-5,2000000,7.2
wc7.5_eta4.5e-5,inconclusive,61.0342002632,63.5772919408,,0,50,3,101,10,23.0425831925,4.5e-5,2000000,7.5
wc7.5_eta6.5e-5,inconclusive,32.3051773647,39.335538415,,,50,2,101,10,24.1800857504,6.5e-5,2000000,7.5
wc8.0_eta3.0e-5,inconclusive,61.7165935159,64.2881182457,,0,50,2,101,10,18.0410126562,3.0e-5,2000000,8.0
wc8.5_eta5.0e-5,inconclusive,77.0844506192,80.2963027283,,0,50,3,101,10,22.1295778719,5.0e-5,2000000,8.5
wc9.0_eta4.0e-5,inconclusive,50.0350282716,52.1198211162,,0,50,2,101,10,15.0653843541,4.0e-5,2000000,9.0
wc9.2_eta5.5e-5,inconclusive,62.6205149722,65.2297030961,,0,50,3,101,10,22.2270011692,5.5e-5,2000000,9.2
wc9.5_eta3.5e-5,inconclusive,52.6777591922,54.8726658252,,0,50,2,101,10,26.583003243,3.5e-5,2000000,9.5
wc9.8_eta7.0e-5,inconclusive,39.4647864057,50.3968364917,,10,50,2,101,10,20.033192773,7.0e-5,2000000,9.8
