case_id,segment,start,end,points,SCI,tail_score,class,worst_series,limiting_metric,amplitude,amplitude_se,drift,drift_se,jump,jump_se,noise_sigma,rho1,tolerance
wc5.5_eta3.5e-5,1,0,9.5,20,100,92.3030306965,strong,series_0,,6.57306825312e-05,1.8014496643e-06,2.7217317836e-06,1.16861494881e-06,1.3376162432e-05,2.83022152353e-06,2.11247299329e-06,0.0617190210774,0.0001
wc5.5_eta3.5e-5,2,10,19.5,20,99.999990876,92.3030306965,strong,series_0,amplitude,5.93137863433e-05,7.79974423203e-06,1.00532435963e-06,8.16384611345e-06,1.03832499461e-05,4.4230561851e-06,7.82088493555e-06,0.21495285095,0.0001
wc5.5_eta3.5e-5,3,20,29.5,20,99.9380463147,92.3030306965,strong,series_0,jump,4.0796321688e-05,9.78117569862e-06,5.31499022079e-06,1.40671560892e-05,1.35562597587e-05,2.67650089834e-05,1.2201084554e-05,-0.175798453537,0.0001
wc5.5_eta3.5e-5,4,30,39.5,20,92.3030306965,92.3030306965,usable,series_0,drift,9.6365328881e-06,3.94618051241e-05,7.86654557172e-06,6.46208669568e-05,1.40928635248e-05,3.6811227496e-05,3.11325231601e-05,0.800933554797,0.0001
wc5.5_eta3.5e-5,5,40,50,21,96.9405972268,96.9405972268,strong,series_0,amplitude,2.38109888031e-05,4.06963431788e-05,9.7017508829e-06,2.32961083552e-05,0,1e-15,3.21064848038e-05,0.783787546235,0.0001
wc6.5_eta4.0e-5,1,0,9.5,20,100,99.3128474406,strong,series_0,,7.35693995194e-05,8.25937837721e-07,1.87394430461e-06,1.52054224677e-06,1.44918505494e-05,1.40192097443e-06,1.60877488627e-06,-0.14200327939,0.0001
wc6.5_eta4.0e-5,2,10,19.5,20,100,99.3128474406,strong,series_0,,6.48648370791e-05,3.87825811888e-06,7.17709761906e-06,6.53027469073e-06,2.15474078324e-06,3.9711211941e-06,7.55413298579e-06,-0.00426086069296,0.0001
wc6.5_eta4.0e-5,3,20,29.5,20,99.9999999887,99.3128474406,strong,series_0,amplitude,3.31435302209e-05,1.05412305861e-05,1.97673171424e-05,1.07402498336e-05,3.26948808826e-06,1.32684949418e-05,1.75332612627e-05,0.156603884188,0.0001
wc6.5_eta4.0e-5,4,30,39.5,20,99.7355639127,99.3128474406,strong,series_0,drift,1.68561065602e-05,1.91297606698e-05,1.24476466524e-05,3.13931369773e-05,6.05095333872e-06,1.77344796521e-05,2.35660854466e-05,0.797214662359,0.0001
wc6.5_eta4.0e-5,5,40,50,21,99.3128474406,99.3128474406,strong,series_0,amplitude,3.8199991894e-05,2.50820855273e-05,4.36798780732e-05,1.33296219039e-05,0,1e-15,3.08987959086e-05,0.67134774159,0.0001
wc8.5_eta5.0e-5,1,0,9.5,20,99.9999937838,80.2963027283,strong,series_0,amplitude,8.93482991372e-05,2.01468785519e-06,7.48547408232e-06,3.22678724281e-06,1.50951241428e-05,2.68963956471e-06,2.38164078848e-06,0.0536880968707,0.0001
wc8.5_eta5.0e-5,2,10,19.5,20,99.9959969529,80.2963027283,strong,series_0,amplitude,7.10659121048e-05,7.33582447653e-06,5.90530905342e-06,1.7818853592e-05,2.36838916479e-07,7.36485687195e-06,8.41553480118e-06,0.0835602832438,0.0001
wc8.5_eta5.0e-5,3,20,29.5,20,99.9936085728,80.2963027283,strong,series_0,amplitude,2.53165004577e-05,1.94965282346e-05,1.61888133968e-05,1.46313640549e-05,6.42643218807e-06,2.08897958111e-05,1.58754747113e-05,0.402414052252,0.0001
wc8.5_eta5.0e-5,4,30,39.5,20,92.6463381955,80.2963027283,usable,series_0,jump,2.51692615109e-05,4.79976889632e-05,1.06957948401e-05,1.52130207032e-05,3.6475869254e-05,4.381133986e-05,3.78667209617e-05,0.542953893847,0.0001
wc8.5_eta5.0e-5,5,40,50,21,80.2963027283,80.2963027283,usable,series_0,drift,1.7837102511e-05,7.00867857464e-05,1.50375874209e-05,9.96915929673e-05,0,1e-15,5.52934280022e-05,0.734864974659,0.0001
