# time_au orbital_0 orbital_1 orbital_2 orbital_3 orbital_4 orbital_5 orbital_6 orbital_7 orbital_8 orbital_9
0.000000000000000000e+00 9.999999999999293898e-01 9.999999999999293898e-01 9.999999999999293898e-01 9.999999999999293898e-01 9.999999999999293898e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 9.999998439278772189e-01 9.999999999999272804e-01 9.999999999999272804e-01 9.999999999999272804e-01 9.999999999999272804e-01 3.133286441584119348e-08 3.127556578037332563e-08 3.121634875055839413e-08 3.115519437452287599e-08 3.109208322821183336e-08
2.000000000000000000e+00 9.999994900367449313e-01 9.999999999999107381e-01 9.999999999999107381e-01 9.999999999999107381e-01 9.999999999999107381e-01 1.036092555120872117e-07 1.028234425867949871e-07 1.020150855307422896e-07 1.011842930207862865e-07 1.003311833476387881e-07
3.000000000000000000e+00 9.999991968918477969e-01 9.999999999998516742e-01 9.999999999998517852e-01 9.999999999998522293e-01 9.999999999998526734e-01 1.668259839246920569e-07 1.637833156182230995e-07 1.606797928561758937e-07 1.575181364141339013e-07 1.543011620828205838e-07
4.000000000000000000e+00 9.999991768827696248e-01 9.999999999997458699e-01 9.999999999997474243e-01 9.999999999997489786e-01 9.999999999997505329e-01 1.775313576621232474e-07 1.711090853294706613e-07 1.646491453731734186e-07 1.581636116488220804e-07 1.516646846247191384e-07
5.000000000000000000e+00 9.999994411334075517e-01 9.999999999996250777e-01 9.999999999996288524e-01 9.999999999996328492e-01 9.999999999996370681e-01 1.288956282600472597e-07 1.201662559592891293e-07 1.115924454400773017e-07 1.031998844082991301e-07 9.501350298029716998e-08
6.000000000000000000e+00 9.999997938699159983e-01 9.999999999995368150e-01 9.999999999995436983e-01 9.999999999995510258e-01 9.999999999995584643e-01 5.506777878914180802e-08 4.763913846813443534e-08 4.070584667213050816e-08 3.429375120758675764e-08 2.842502728236693979e-08
7.000000000000000000e+00 9.999999785379941608e-01 9.999999999995058397e-01 9.999999999995146105e-01 9.999999999995240474e-01 9.999999999995335953e-01 7.043432642217898407e-09 4.947828853028998825e-09 3.578243988413314176e-09 2.924647768082977104e-09 2.969422977561529361e-09
8.000000000000000000e+00 9.999998658105545557e-01 9.999999999995019540e-01 9.999999999995092814e-01 9.999999999995170530e-01 9.999999999995251576e-01 1.720715437037545222e-08 2.155914709404845229e-08 2.641433560124829686e-08 3.169487214705098700e-08 3.731553088838073864e-08
9.000000000000000000e+00 9.999995446784472053e-01 9.999999999994529931e-01 9.999999999994543254e-01 9.999999999994561017e-01 9.999999999994586553e-01 7.736561881884919322e-08 8.453659985742457155e-08 9.144811693157282743e-08 9.797558203530051737e-08 1.039974606245483641e-07
1.000000000000000000e+01 9.999992521119069888e-01 9.999999999992954525e-01 9.999999999992884581e-01 9.999999999992829069e-01 9.999999999992785771e-01 1.452586476789089317e-07 1.485978922461537006e-07 1.507931232413087433e-07 1.517689406713220319e-07 1.514719922957953588e-07
1.100000000000000000e+01 9.999991970036263833e-01 9.999999999990272226e-01 9.999999999990148991e-01 9.999999999990046851e-01 9.999999999989973576e-01 1.744221064840764036e-07 1.688641191512331310e-07 1.619044589495833441e-07 1.536335294209978442e-07 1.441757634356596643e-07
1.200000000000000000e+01 9.999994100816445020e-01 9.999999999987226884e-01 9.999999999987106980e-01 9.999999999987032595e-01 9.999999999986999288e-01 1.461752098647528640e-07 1.324775942218273010e-07 1.182416157264408407e-07 1.037451649238371762e-07 8.928358280005170871e-08
1.300000000000000000e+01 9.999997282925061626e-01 9.999999999984847676e-01 9.999999999984792165e-01 9.999999999984795496e-01 9.999999999984862109e-01 8.158180823312236707e-08 6.668876650680259686e-08 5.291703541749529811e-08 4.057742366773186071e-08 2.994818023867378309e-08
1.400000000000000000e+01 9.999999200577758263e-01 9.999999999983729682e-01 9.999999999983731902e-01 9.999999999983800736e-01 9.999999999983939514e-01 2.574021072760248454e-08 1.839266650215168129e-08 1.348917927041247589e-08 1.110328071230031174e-08 1.122301529480626914e-08
1.500000000000000000e+01 9.999998547820334593e-01 9.999999999983564258e-01 9.999999999983525401e-01 9.999999999983555377e-01 9.999999999983656407e-01 1.613083847910855816e-08 2.052888802605839829e-08 2.716509622025893992e-08 3.569834562812309933e-08 4.570101659896070586e-08
1.600000000000000000e+01 9.999995918268329564e-01 9.999999999983258947e-01 9.999999999983033572e-01 9.999999999982874810e-01 9.999999999982794874e-01 5.735365151023125639e-08 6.954330457587174098e-08 8.199955915965620272e-08 9.409266847596151872e-08 1.051904348777911656e-07
1.700000000000000000e+01 9.999993283838235492e-01 9.999999999981701304e-01 9.999999999981172838e-01 9.999999999980726528e-01 9.999999999980377918e-01 1.193512253557081147e-07 1.293774125898878463e-07 1.370925620188605334e-07 1.420138323945897589e-07 1.437883943140149825e-07
1.800000000000000000e+01 9.999992510274734459e-01 9.999999999978544940e-01 9.999999999977701171e-01 9.999999999976982856e-01 9.999999999976406651e-01 1.593642309558211051e-07 1.580796890289042650e-07 1.532108719983679728e-07 1.448862146448695290e-07 1.334402040208828905e-07
1.900000000000000000e+01 9.999994031490081481e-01 9.999999999974507059e-01 9.999999999973459008e-01 9.999999999972594145e-01 9.999999999971939113e-01 1.515459788540303118e-07 1.373335765627391247e-07 1.208193044150026368e-07 1.028327754268533693e-07 8.432975473170751467e-08
2.000000000000000000e+01 9.999996627375894453e-01 9.999999999970919928e-01 9.999999999969815256e-01 9.999999999968951503e-01 9.999999999968366415e-01 1.036404077030407883e-07 8.403997854317250656e-08 6.543194006666607943e-08 4.886740797742360846e-08 3.529452112923127635e-08
2.100000000000000000e+01 9.999998397552938290e-01 9.999999999968813835e-01 9.999999999967714714e-01 9.999999999966899811e-01 9.999999999966404651e-01 4.998740473788380450e-08 3.672874241117285573e-08 2.755751203292683182e-08 2.294644388873255600e-08 2.303726756712262694e-08
2.200000000000000000e+01 9.999998156262377424e-01 9.999999999968233189e-01 9.999999999967048581e-01 9.999999999966153741e-01 9.999999999965590858e-01 2.686173164051723843e-08 2.762714196876495077e-08 3.298627905664106139e-08 4.230678045302434760e-08 5.460477615395091127e-08
2.300000000000000000e+01 9.999996221864739798e-01 9.999999999968161024e-01 9.999999999966657782e-01 9.999999999965434316e-01 9.999999999964540587e-01 4.789379739016029968e-08 6.069063604925529715e-08 7.527587050237147912e-08 9.016541681522130207e-08 1.038009754283987380e-07
2.400000000000000000e+01 9.999994080037000188e-01 9.999999999967252862e-01 9.999999999965185626e-01 9.999999999963397057e-01 9.999999999961962649e-01 9.625896130636957308e-08 1.105748628608270358e-07 1.222794075896097084e-07 1.300358017677446613e-07 1.328611372168667273e-07
2.500000000000000000e+01 9.999993244472795695e-01 9.999999999964732655e-01 9.999999999961983743e-01 9.999999999959555685e-01 9.999999999957558394e-01 1.379138975105423296e-07 1.419944650391387854e-07 1.405870732763302454e-07 1.335846577954141387e-07 1.214878934179385148e-07
2.600000000000000000e+01 9.999994188108756177e-01 9.999999999960943464e-01 9.999999999957586150e-01 9.999999999954644059e-01 9.999999999952259300e-01 1.455853530549254806e-07 1.347153097414766359e-07 1.192867565467833153e-07 1.007283433944930888e-07 8.089046815414293200e-08
2.700000000000000000e+01 9.999996098255319321e-01 9.999999999957078778e-01 9.999999999953321783e-01 9.999999999950092144e-01 9.999999999947559726e-01 1.165867109455041046e-07 9.645674288391325665e-08 7.614292316532572457e-08 5.775712297266622872e-08 4.324981388877677910e-08
2.800000000000000000e+01 9.999997559705633421e-01 9.999999999954374275e-01 9.999999999950397456e-01 9.999999999947030149e-01 9.999999999944461093e-01 7.286408882918364507e-08 5.559248071082233331e-08 4.300366307294252771e-08 3.637116567023762147e-08 3.621806133458128654e-08
2.900000000000000000e+01 9.999997601044867679e-01 9.999999999953306240e-01 9.999999999949102936e-01 9.999999999945533569e-01 9.999999999942802420e-01 4.451172680056326441e-08 4.014609696978924854e-08 4.229577779469555774e-08 5.030472082640214582e-08 6.265776498098935020e-08
3.000000000000000000e+01 9.999996332092185858e-01 9.999999999953282925e-01 9.999999999948642193e-01 9.999999999944596540e-01 9.999999999941383555e-01 4.907213337006038016e-08 5.861123785468150321e-08 7.195299073404382034e-08 8.676352092034548957e-08 1.004117588347497602e-07
3.100000000000000000e+01 9.999994761695638612e-01 9.999999999953100849e-01 9.999999999947701834e-01 9.999999999942845719e-01 9.999999999938818940e-01 8.084720262260522916e-08 9.568756630896906181e-08 1.088099797138264643e-07 1.177708559210079407e-07 1.207362352304234900e-07
3.200000000000000000e+01 9.999994004186321117e-01 9.999999999951784124e-01 9.999999999945382578e-01 9.999999999939510609e-01 9.999999999934534589e-01 1.165910961797224241e-07 1.246827768275886047e-07 1.265919917724510015e-07 1.215914477169588623e-07 1.101465846157386234e-07
3.300000000000000000e+01 9.999994493590981248e-01 9.999999999949199525e-01 9.999999999941763251e-01 9.999999999934919837e-01 9.999999999929112260e-01 1.324268927493755580e-07 1.266823316990736873e-07 1.145922610383934543e-07 9.785681143208969445e-08 7.910675581441213967e-08
3.400000000000000000e+01 9.999995755628385830e-01 9.999999999946100893e-01 9.999999999937809747e-01 9.999999999930218042e-01 9.999999999923854244e-01 1.197277564752312895e-07 1.027518022835196512e-07 8.380629491555550119e-08 6.596730022033119032e-08 5.220985918704257679e-08
3.500000000000000000e+01 9.999996836949107681e-01 9.999999999943587348e-01 9.999999999934685579e-01 9.999999999926582062e-01 9.999999999919860771e-01 8.945583433329102418e-08 7.141770082490396831e-08 5.730129700971211626e-08 4.939005370461345077e-08 4.876738366709347220e-08
3.600000000000000000e+01 9.999997018900493861e-01 9.999999999942347229e-01 9.999999999932963624e-01 9.999999999924398253e-01 9.999999999917287274e-01 6.310885517695212069e-08 5.447784942651540836e-08 5.301199467686866357e-08 5.846449905465986015e-08 6.907470366229800895e-08
3.700000000000000000e+01 9.999996285778895988e-01 9.999999999942278395e-01 9.999999999932316364e-01 9.999999999923094851e-01 9.999999999915306637e-01 5.753870631583715429e-08 6.191850036598047644e-08 7.174017424337879900e-08 8.425194724143553030e-08 9.600113335964772098e-08
3.800000000000000000e+01 9.999995250689875936e-01 9.999999999942605911e-01 9.999999999931787897e-01 9.999999999921569405e-01 9.999999999912728699e-01 7.430777188823490210e-08 8.631136241428827533e-08 9.827031959884218054e-08 1.068034089995951132e-07 1.092669321903607153e-07
3.900000000000000000e+01 9.999994656099813195e-01 9.999999999942434936e-01 9.999999999930466732e-01 9.999999999918959270e-01 9.999999999908821824e-01 1.001945797211828827e-07 1.095769425999392525e-07 1.135355228053521019e-07 1.104906631577947752e-07 1.006218926493448455e-07
4.000000000000000000e+01 9.999994848066601216e-01 9.999999999941361351e-01 9.999999999928100847e-01 9.999999999915222260e-01 9.999999999903794734e-01 1.173922816519982214e-07 1.162718961851353862e-07 1.082251569867133403e-07 9.468963079951031335e-08 7.864517826130364000e-08
4.100000000000000000e+01 9.999995591186122690e-01 9.999999999939649387e-01 9.999999999925169858e-01 9.999999999911067805e-01 9.999999999898574465e-01 1.156605942093013934e-07 1.037083700618451016e-07 8.819736143644343204e-08 7.264262868898672192e-08 6.070463959581542982e-08
4.200000000000000000e+01 9.999996307413394625e-01 9.999999999938007367e-01 9.999999999922537519e-01 9.999999999907457360e-01 9.999999999894133573e-01 9.820798952513098113e-08 8.238334133530025212e-08 6.879548919169824865e-08 6.056350505767819561e-08 5.934177471192745035e-08
4.300000000000000000e+01 9.999996517311130484e-01 9.999999999937095874e-01 9.999999999920839988e-01 9.999999999904932713e-01 9.999999999890847313e-01 7.810956959530686614e-08 6.747752804738544394e-08 6.322069551908739910e-08 6.582158770695936296e-08 7.367378647118820896e-08
4.400000000000000000e+01 9.999996152434713625e-01 9.999999999937106976e-01 9.999999999920118343e-01 9.999999999903321779e-01 9.999999999888291580e-01 6.866583975134756518e-08 6.815600855281623257e-08 7.368723804577276688e-08 8.272915239711247935e-08 9.155305750363419099e-08
4.500000000000000000e+01 9.999995542591567643e-01 9.999999999937710937e-01 9.999999999919848559e-01 9.999999999901912906e-01 9.999999999885607060e-01 7.471869382548034643e-08 8.213419558591183265e-08 9.117110185181951591e-08 9.806737075362762589e-08 9.968462561548877370e-08
4.600000000000000000e+01 9.999995133580446005e-01 9.999999999938313788e-01 9.999999999919337856e-01 9.999999999899972236e-01 9.999999999882097645e-01 9.050432876561186514e-08 9.855603402653147086e-08 1.029287181988155775e-07 1.012950627999468172e-07 9.339349093091001289e-08
4.700000000000000000e+01 9.999995168150683789e-01 9.999999999938474771e-01 9.999999999918200988e-01 9.999999999897239977e-01 9.999999999877698942e-01 1.046725793438482820e-07 1.062646120188272009e-07 1.016739313868703498e-07 9.164451167465903995e-08 7.896578857896081590e-08
4.800000000000000000e+01 9.999995553430294226e-01 9.999999999938138373e-01 9.999999999916537874e-01 9.999999999894021441e-01 9.999999999872934975e-01 1.083264535833903314e-07 1.012635073333588933e-07 8.988767711088058018e-08 7.745700573316425174e-08 6.775981607873332728e-08
4.900000000000000000e+01 9.999995976352862304e-01 9.999999999937626560e-01 9.999999999914842563e-01 9.999999999890956115e-01 9.999999999868527389e-01 1.004664762999448228e-07 8.847164486520195490e-08 7.689685438752770144e-08 6.918706000284406070e-08 6.738113650624936126e-08
5.000000000000000000e+01 9.999996149556297231e-01 9.999999999937373429e-01 9.999999999913613546e-01 9.999999999888540270e-01 9.999999999864896960e-01 8.762337790264870135e-08 7.731816691173711700e-08 7.164091155879681452e-08 7.181066624631400437e-08 7.669045769598714417e-08
5.100000000000000000e+01 9.999995999957287385e-01 9.999999999937655426e-01 9.999999999913062876e-01 9.999999999886854951e-01 9.999999999861933775e-01 7.866553927293096262e-08 7.491020153316236242e-08 7.664096051126436708e-08 8.206256071432943731e-08 8.776471198556132376e-08
5.200000000000000000e+01 9.999995681757849475e-01 9.999999999938422590e-01 9.999999999913000703e-01 9.999999999885544888e-01 9.999999999859116029e-01 7.878256830760364715e-08 8.164458276291753967e-08 8.714220065395129520e-08 9.181232305296703044e-08 9.248258444479071999e-08
5.300000000000000000e+01 9.999995434536618211e-01 9.999999999939397366e-01 9.999999999913031790e-01 9.999999999884119362e-01 9.999999999855925248e-01 8.665144796945995910e-08 9.185614233690763043e-08 9.532443176887115782e-08 9.438868915942070212e-08 8.836603216387793483e-08
5.400000000000000000e+01 9.999995408615497405e-01 9.999999999940268891e-01 9.999999999912811965e-01 9.999999999882273061e-01 9.999999999852161592e-01 9.618415196507391167e-08 9.838649901765310821e-08 9.601833725428832835e-08 8.901806351532456193e-08 7.957230048635476005e-08
5.500000000000000000e+01 9.999995580928555672e-01 9.999999999940871742e-01 9.999999999912257964e-01 9.999999999880052615e-01 9.999999999848041554e-01 1.010938448631062528e-07 9.750109890085361147e-08 8.982572465142162456e-08 8.053283839398908230e-08 7.299516921157706815e-08
5.600000000000000000e+01 9.999995801789935967e-01 9.999999999941273643e-01 9.999999999911557413e-01 9.999999999877783319e-01 9.999999999844004783e-01 9.894009438307273628e-08 9.085116880458459056e-08 8.188841294255760149e-08 7.522033702948442226e-08 7.296318566903385609e-08
5.700000000000000000e+01 9.999995917472277451e-01 9.999999999941681095e-01 9.999999999911007853e-01 9.999999999875820444e-01 9.999999999840406550e-01 9.212602004451453967e-08 8.360839429258237524e-08 7.776572529527011818e-08 7.626072756780285785e-08 7.853466852905249887e-08
5.800000000000000000e+01 9.999995872593142598e-01 9.999999999942280615e-01 9.999999999910812454e-01 9.999999999874320533e-01 9.999999999837290154e-01 8.565199971184848862e-08 8.056115433729572467e-08 7.963578599501929123e-08 8.198964942811810477e-08 8.494527962023694102e-08
5.900000000000000000e+01 9.999995727769850351e-01 9.999999999943151030e-01 9.999999999910980097e-01 9.999999999873185885e-01 9.999999999834423559e-01 8.354703055346005276e-08 8.304504846456104549e-08 8.534199370383305284e-08 8.777382792478487763e-08 8.755859410237610085e-08
6.000000000000000000e+01 9.999995597040572948e-01 9.999999999944215734e-01 9.999999999911340920e-01 9.999999999872145606e-01 9.999999999831474806e-01 8.646060304725776636e-08 8.859937242339190445e-08 9.049948106463387448e-08 8.965375467362499829e-08 8.512646903994949965e-08
6.100000000000000000e+01 9.999995562332554266e-01 9.999999999945312634e-01 9.999999999911671766e-01 9.999999999870960998e-01 9.999999999828235175e-01 9.177544595177238199e-08 9.315726430763217203e-08 9.177287847697909365e-08 8.696010174054220645e-08 8.014509078593753567e-08
6.200000000000000000e+01 9.999995626287446759e-01 9.999999999946318496e-01 9.999999999911859394e-01 9.999999999869568779e-01 9.999999999824749075e-01 9.577690024609269665e-08 9.394069001947080694e-08 8.893756846739547358e-08 8.225480011697450238e-08 7.650570219814813914e-08
6.300000000000000000e+01 9.999995726902730642e-01 9.999999999947185580e-01 9.999999999911917126e-01 9.999999999868081080e-01 9.999999999821228558e-01 9.617303611926848109e-08 9.105601683967291588e-08 8.453210767929342108e-08 7.906016792337949913e-08 7.653321137129004890e-08
6.400000000000000000e+01 9.999995791564790792e-01 9.999999999947977170e-01 9.999999999911981519e-01 9.999999999866705513e-01 9.999999999817911212e-01 9.330794343590910414e-08 8.695720113182850571e-08 8.172128060857336421e-08 7.929529710123997359e-08 7.960699679374149032e-08
6.500000000000000000e+01 9.999995786579093382e-01 9.999999999948778751e-01 9.999999999912176918e-01 9.999999999865569755e-01 9.999999999814892515e-01 8.951138936976412829e-08 8.447351526926264863e-08 8.209145946240935567e-08 8.223034571624510112e-08 8.308089514616168023e-08
6.600000000000000000e+01 9.999995730573413288e-01 9.999999999949662488e-01 9.999999999912563275e-01 9.999999999864682687e-01 9.999999999812096974e-01 8.730447775446719687e-08 8.492170349166917368e-08 8.486254697387982810e-08 8.542591656739691768e-08 8.447376955915141120e-08
6.700000000000000000e+01 9.999995670832213523e-01 9.999999999950636154e-01 9.999999999913098403e-01 9.999999999863938838e-01 9.999999999809351392e-01 8.778711940677010162e-08 8.751412476399295904e-08 8.780481530695371709e-08 8.668123926073942627e-08 8.317543276751331622e-08
6.800000000000000000e+01 9.999995646272011873e-01 9.999999999951654228e-01 9.999999999913691262e-01 9.999999999863206090e-01 9.999999999806515882e-01 9.019382898238485990e-08 9.022628384644310556e-08 8.896054386833738253e-08 8.548707978645377141e-08 8.055121188282316197e-08
6.900000000000000000e+01 9.999995664272508522e-01 9.999999999952648988e-01 9.999999999914245263e-01 9.999999999862392297e-01 9.999999999803548256e-01 9.269635955320537416e-08 9.131111026270534111e-08 8.788755911943928304e-08 8.307653195033866319e-08 7.864756027184084728e-08
7.000000000000000000e+01 9.999995703302448913e-01 9.999999999953571583e-01 9.999999999914729321e-01 9.999999999861516331e-01 9.999999999800531780e-01 9.373086055168103125e-08 9.036912500605695748e-08 8.568309213316365427e-08 8.128382560409299469e-08 7.864947116852574760e-08
7.100000000000000000e+01 9.999995733613201709e-01 9.999999999954423124e-01 9.999999999915175630e-01 9.999999999860658129e-01 9.999999999797588579e-01 9.292385754015095456e-08 8.836316627520819293e-08 8.398792211829343744e-08 8.119852338907779633e-08 8.021207973858636535e-08
