# time_au orbital_0 orbital_1 orbital_2 orbital_3 orbital_4 orbital_5 orbital_6 orbital_7 orbital_8 orbital_9
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 9.999998439279738083e-01 9.999999999999986677e-01 9.999999999999986677e-01 9.999999999999986677e-01 9.999999999999986677e-01 3.133285938269954883e-08 3.127556075861806696e-08 3.121634374059936626e-08 3.115518937677655445e-08 3.109207824310160226e-08
2.000000000000000000e+00 9.999994900368899264e-01 9.999999999999810152e-01 9.999999999999811262e-01 9.999999999999811262e-01 9.999999999999812372e-01 1.036092402248386840e-07 1.028234274940410530e-07 1.020150706395623579e-07 1.011842783383664126e-07 1.003311688812732491e-07
3.000000000000000000e+00 9.999991968919870189e-01 9.999999999999218403e-01 9.999999999999221734e-01 9.999999999999226175e-01 9.999999999999229505e-01 1.668259683914333843e-07 1.637833010670874561e-07 1.606797793182413419e-07 1.575181239203219346e-07 1.543011506638397993e-07
4.000000000000000000e+00 9.999991768827383165e-01 9.999999999998155920e-01 9.999999999998171463e-01 9.999999999998187006e-01 9.999999999998202549e-01 1.775313734564367596e-07 1.711091037279966843e-07 1.646491664179122927e-07 1.581636353764447737e-07 1.516647110661203571e-07
5.000000000000000000e+00 9.999994411330078714e-01 9.999999999996933564e-01 9.999999999996972422e-01 9.999999999997012390e-01 9.999999999997054578e-01 1.288957165962909922e-07 1.201663480364327505e-07 1.115925411460330607e-07 1.031999836063391010e-07 9.501360550806009220e-08
6.000000000000000000e+00 9.999997938691346233e-01 9.999999999996042055e-01 9.999999999996113109e-01 9.999999999996185274e-01 9.999999999996261879e-01 5.506795138825303100e-08 4.763931169663773156e-08 4.070601990036288619e-08 3.429392375657274795e-08 2.842519842561164437e-08
7.000000000000000000e+00 9.999999785372302163e-01 9.999999999995740074e-01 9.999999999995831113e-01 9.999999999995925481e-01 9.999999999996022071e-01 7.043624488609501601e-09 4.948010244867713878e-09 3.578413632093014371e-09 2.924804367310287304e-09 2.969565250049280370e-09
8.000000000000000000e+00 9.999998658105438976e-01 9.999999999995736744e-01 9.999999999995813349e-01 9.999999999995892175e-01 9.999999999995974331e-01 1.720722216026168868e-08 2.155918907552139344e-08 2.641435098332334753e-08 3.169486041115226285e-08 3.731549183640928265e-08
9.000000000000000000e+00 9.999995446795815202e-01 9.999999999995299316e-01 9.999999999995315969e-01 9.999999999995337063e-01 9.999999999995363709e-01 7.736544478836072283e-08 8.453639997953026285e-08 9.144789450793073026e-08 9.797534123384530418e-08 1.039972065458622906e-07
1.000000000000000000e+01 9.999992521130171008e-01 9.999999999993752775e-01 9.999999999993686162e-01 9.999999999993630651e-01 9.999999999993586242e-01 1.452583560355376218e-07 1.485976251120044979e-07 1.507928933291784716e-07 1.517687621465009103e-07 1.514718807550191588e-07
1.100000000000000000e+01 9.999991970009102227e-01 9.999999999991029398e-01 9.999999999990901722e-01 9.999999999990796251e-01 9.999999999990717425e-01 1.744222966767038729e-07 1.688644658223518516e-07 1.619049868483607988e-07 1.536342642682998988e-07 1.441767315863797450e-07
1.200000000000000000e+01 9.999994100688666121e-01 9.999999999987816413e-01 9.999999999987686516e-01 9.999999999987596588e-01 9.999999999987549959e-01 1.461770153018713729e-07 1.324797592512125336e-07 1.182441692733917298e-07 1.037481338021556756e-07 8.928699082891186934e-08
1.300000000000000000e+01 9.999997282633750206e-01 9.999999999985141885e-01 9.999999999985059729e-01 9.999999999985035304e-01 9.999999999985071941e-01 8.158658658800718327e-08 6.669408973106184828e-08 5.292291184617895101e-08 4.058385312328823035e-08 2.995515273346126889e-08
1.400000000000000000e+01 9.999999200102899222e-01 9.999999999983656407e-01 9.999999999983614218e-01 9.999999999983638643e-01 9.999999999983733012e-01 2.574882005920946253e-08 1.840181928590228992e-08 1.349882485729529482e-08 1.111335235209066985e-08 1.123342936479346760e-08
1.500000000000000000e+01 9.999998547229742574e-01 9.999999999983164578e-01 9.999999999983069099e-01 9.999999999983043564e-01 9.999999999983093524e-01 1.614272219347168065e-08 2.054094153766690465e-08 2.717717744634423914e-08 3.571029379279354741e-08 4.571265380020463714e-08
1.600000000000000000e+01 9.999995917734788575e-01 9.999999999982777110e-01 9.999999999982495114e-01 9.999999999982290833e-01 9.999999999982173149e-01 5.736620980846421794e-08 6.955520730255764050e-08 8.201057901597443300e-08 9.410257026863327741e-08 1.051989811886515603e-07
1.700000000000000000e+01 9.999993283604008409e-01 9.999999999981621368e-01 9.999999999981069587e-01 9.999999999980619947e-01 9.999999999980290211e-01 1.193600036649189998e-07 1.293844110021369824e-07 1.370975411032648079e-07 1.420165736489370408e-07 1.437887096534554202e-07
1.800000000000000000e+01 9.999992510562552006e-01 9.999999999979575227e-01 9.999999999978794740e-01 9.999999999978167464e-01 9.999999999977720044e-01 1.593641808228422302e-07 1.580768583971332049e-07 1.532051459693502994e-07 1.448775391398651812e-07 1.334285947258695754e-07
1.900000000000000000e+01 9.999994032393836330e-01 9.999999999977415843e-01 9.999999999976565412e-01 9.999999999975943688e-01 9.999999999975582865e-01 1.515334942962317769e-07 1.373180010184271384e-07 1.208007939257857969e-07 1.028115756124446988e-07 8.430620083766787130e-08
2.000000000000000000e+01 9.999996628788976327e-01 9.999999999976159071e-01 9.999999999975427434e-01 9.999999999974998888e-01 9.999999999974902298e-01 1.036152647669450257e-07 8.401255131290230714e-08 6.540271734050028244e-08 4.883695552980581874e-08 3.526346463998836791e-08
2.100000000000000000e+01 9.999998399186611486e-01 9.999999999976025844e-01 9.999999999975491827e-01 9.999999999975308640e-01 9.999999999975495157e-01 4.995351065717033459e-08 3.669445837184621775e-08 2.752355001033066626e-08 2.291352006285672858e-08 2.300606763667912666e-08
2.200000000000000000e+01 9.999998157766410989e-01 9.999999999975804910e-01 9.999999999975358600e-01 9.999999999975273113e-01 9.999999999975551779e-01 2.682594863014760489e-08 2.759331262273893501e-08 3.295504682537679077e-08 4.227867542239577284e-08 5.458017652954967880e-08
2.300000000000000000e+01 9.999996223002395324e-01 9.999999999973254727e-01 9.999999999972640774e-01 9.999999999972372100e-01 9.999999999972434273e-01 4.786303972537022918e-08 6.066355557782317237e-08 7.525267869369722196e-08 9.014610742692494384e-08 1.037853088130815554e-07
