# time_au orbital_0 orbital_1 orbital_2 orbital_3 orbital_4 orbital_5 orbital_6 orbital_7 orbital_8 orbital_9
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 9.999998439279488283e-01 9.999999999999986677e-01 9.999999999999986677e-01 9.999999999999986677e-01 9.999999999999986677e-01 3.133286441048463653e-08 3.127556577478713011e-08 3.121634874473475807e-08 3.115519436845428859e-08 3.109208322189120071e-08
2.000000000000000000e+00 9.999994900368146533e-01 9.999999999999811262e-01 9.999999999999811262e-01 9.999999999999811262e-01 9.999999999999812372e-01 1.036092555987217151e-07 1.028234426931919206e-07 1.020150856592476962e-07 1.011842931739657894e-07 1.003311835282925722e-07
3.000000000000000000e+00 9.999991968918844343e-01 9.999999999999221734e-01 9.999999999999225064e-01 9.999999999999228395e-01 9.999999999999231726e-01 1.668259896410315972e-07 1.637833218378157246e-07 1.606797996173498710e-07 1.575181437570742207e-07 1.543011700495303122e-07
4.000000000000000000e+00 9.999991768826004268e-01 9.999999999998164801e-01 9.999999999998179234e-01 9.999999999998194777e-01 9.999999999998211431e-01 1.775314004038010656e-07 1.711091306047443828e-07 1.646491932722634078e-07 1.581636622549192812e-07 1.516647380126090956e-07
5.000000000000000000e+00 9.999994411327681743e-01 9.999999999996950217e-01 9.999999999996989075e-01 9.999999999997029043e-01 9.999999999997071232e-01 1.288957625450039229e-07 1.201663943021112334e-07 1.115925877225432406e-07 1.032000305031183674e-07 9.501365276089067713e-08
6.000000000000000000e+00 9.999997938685172283e-01 9.999999999996063149e-01 9.999999999996133093e-01 9.999999999996205258e-01 9.999999999996280753e-01 5.506804748934433951e-08 4.763941732431712772e-08 4.070613800924632911e-08 3.429405806568188730e-08 2.842535357019534744e-08
7.000000000000000000e+00 9.999999785319136913e-01 9.999999999995747846e-01 9.999999999995837774e-01 9.999999999995931033e-01 9.999999999996027622e-01 7.044334063454404367e-09 4.948864026262836221e-09 3.579441408076506538e-09 2.926041037574357829e-09 2.971051484374207561e-09
8.000000000000000000e+00 9.999998657761767218e-01 9.999999999995707878e-01 9.999999999995783373e-01 9.999999999995862199e-01 9.999999999995945466e-01 1.721210244007512564e-08 2.156492465894955309e-08 2.642107603936174668e-08 3.170272546522007899e-08 3.732466480838337366e-08
9.000000000000000000e+00 9.999995445399980643e-01 9.999999999995214939e-01 9.999999999995234923e-01 9.999999999995260458e-01 9.999999999995291544e-01 7.738659201080175360e-08 8.456056615572862127e-08 9.147543669574898196e-08 9.800664064137485953e-08 1.040326663070256688e-07
