# time_au orbital_0 orbital_1 orbital_2 orbital_3 orbital_4 orbital_5 orbital_6 orbital_7 orbital_8 orbital_9
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 9.999992524659203630e-01 9.999999999994684252e-01 9.999999999994275690e-01 9.999999999993854916e-01 9.999999999993423039e-01 1.451595121683158368e-07 1.485127874501785258e-07 1.507222305295013704e-07 1.517123253161668960e-07 1.514296003598526617e-07
2.000000000000000000e+01 9.999996684900654964e-01 9.999999999104526305e-01 9.999999999090007918e-01 9.999999999079696167e-01 9.999999999074067336e-01 1.028422940389026580e-07 8.309197056923779597e-08 6.434048420811247583e-08 4.764408077548736839e-08 3.395627513976038478e-08
3.000000000000000000e+01 9.999996073375473360e-01 1.000000000156824775e+00 1.000000000161223701e+00 1.000000000162713176e+00 1.000000000161392233e+00 5.677021698789061629e-08 6.566923410881036104e-08 7.774881550557696683e-08 9.054056681439724809e-08 1.012914653502025919e-07
4.000000000000000000e+01 9.999990030145161635e-01 9.999999998338200413e-01 9.999999998503267262e-01 9.999999998737996165e-01 9.999999999044087984e-01 1.532466289506975208e-07 1.849455231811288478e-07 2.087594045170807453e-07 2.230120538177612281e-07 2.275595181787259166e-07
5.000000000000000000e+01 9.999995999983161132e-01 1.000000000760945973e+00 1.000000000655207888e+00 1.000000000535237632e+00 1.000000000419589918e+00 8.320663890927344004e-08 7.825488878684312911e-08 7.845108756952239167e-08 7.992362734714747199e-08 7.779445963855341522e-08
6.000000000000000000e+01 1.000000084747557194e+00 1.000000001130659344e+00 1.000000000907815378e+00 1.000000000713028969e+00 1.000000000561394042e+00 -2.737853673110970307e-08 -1.635035283782583531e-08 -1.023111013640392705e-08 -1.245853144000782161e-08 -2.164192402572522946e-08
7.000000000000000000e+01 9.999997969483890303e-01 1.000000001732134436e+00 1.000000000941265732e+00 1.000000000236978437e+00 9.999999997097628324e-01 4.640719662959472870e-08 5.593307078119370273e-08 5.432926617124005354e-08 3.895371768839359419e-08 4.808218128394764526e-09
8.000000000000000000e+01 1.000003885082068944e+00 1.000000003598141118e+00 1.000000003273395999e+00 1.000000002829259493e+00 1.000000002177329650e+00 -8.505006633530329781e-07 -9.877727311849227148e-07 -9.945306769141523305e-07 -7.849742895640813940e-07 -2.791818343808110558e-07
9.000000000000000000e+01 9.999823021866524053e-01 9.999999994726924690e-01 9.999999978469802375e-01 9.999999970079062050e-01 9.999999969496914387e-01 4.675657439381448008e-06 5.128028750716684072e-06 4.633813446159077307e-06 2.986905690975869450e-06 2.821307500190275033e-07
1.000000000000000000e+02 1.000014932314431171e+00 1.000000002389113796e+00 1.000000002963780110e+00 1.000000003248493918e+00 1.000000002989898107e+00 -7.528085473137286362e-06 -6.789453997383451661e-06 -4.134807034108028563e-06 -2.257179606854365810e-07 3.734158748298231869e-06
1.100000000000000000e+02 9.999937765424777858e-01 9.999999957766259051e-01 9.999999942809639775e-01 9.999999942944599596e-01 9.999999957036072029e-01 6.306866757937149765e-06 4.348113168422207219e-06 1.388483514429242884e-06 -1.665166113026353904e-06 -4.134895462592936461e-06
1.200000000000000000e+02 1.000038664740648953e+00 9.999999968245947279e-01 1.000000000236021425e+00 1.000000002849073200e+00 1.000000004319658187e+00 -7.492799973276288887e-06 -8.133178156898520131e-06 -8.226552762160031307e-06 -7.832817713926134792e-06 -6.983621390174036705e-06
1.300000000000000000e+02 1.000003945922872006e+00 9.999999907913640351e-01 9.999999944134942975e-01 9.999999978895359742e-01 1.000000000763249908e+00 -5.550512255588397085e-06 -3.442659949261797097e-06 -9.570102516332224838e-07 1.729577628574048077e-06 4.290824311747706745e-06
1.400000000000000000e+02 9.999588300208386293e-01 9.999999815046709539e-01 9.999999900293703448e-01 9.999999968432615738e-01 1.000000001342792322e+00 6.853850502457489218e-06 8.198169668798659110e-06 8.763920087898332420e-06 8.780049920284346032e-06 8.604268886820692699e-06
1.500000000000000000e+02 9.999516639244598881e-01 9.999999736143702078e-01 9.999999864303497077e-01 9.999999960976646562e-01 1.000000000630288710e+00 9.874754072143166500e-06 9.855911535153713576e-06 9.862200587275039122e-06 9.693309590920332072e-06 9.093127081368900322e-06
1.600000000000000000e+02 9.999732540886286936e-01 9.999999779936208366e-01 9.999999880652590267e-01 9.999999934041883254e-01 9.999999958802459066e-01 9.439308449539663361e-06 7.824895309572330911e-06 5.686790217626944038e-06 3.216666524378297363e-06 6.229075561052983573e-07
1.700000000000000000e+02 1.000021387063023459e+00 9.999999782554448435e-01 9.999999889353829996e-01 9.999999969217772122e-01 1.000000001863120769e+00 1.470412800213580246e-07 -2.691023603808456856e-06 -5.146489125518717919e-06 -6.759841582973436860e-06 -6.902725717088442950e-06
1.800000000000000000e+02 1.000000623868063432e+00 9.999999990207288914e-01 1.000000008100204951e+00 1.000000009972630721e+00 1.000000006354464066e+00 -6.838777453869584262e-06 -4.995727397111345493e-06 -1.115257316906608057e-06 3.933730604709184027e-06 8.368715471054923231e-06
1.900000000000000000e+02 9.999729101118632890e-01 1.000000033586682324e+00 1.000000032355575996e+00 1.000000023403038174e+00 1.000000010411554507e+00 6.907515649260243093e-06 9.343252605283827925e-06 8.529654096524796387e-06 4.280180013051882816e-06 -2.070471078503240727e-06
2.000000000000000000e+02 1.000035132990757747e+00 1.000000073705397341e+00 1.000000063075762391e+00 1.000000045156790529e+00 1.000000026189627356e+00 1.034730871768562423e-06 -5.025818203879228121e-06 -9.875523896836524665e-06 -1.171814940865315405e-05 -9.756357697755727512e-06
2.100000000000000000e+02 9.999825022265791397e-01 1.000000119283829925e+00 1.000000105991547983e+00 1.000000078515185242e+00 1.000000046510432394e+00 -1.090202546733654072e-05 -7.572953814550966687e-06 -3.631805955214939804e-07 1.059638748117192281e-05 2.538924482177494431e-05
2.200000000000000000e+02 9.997246625433890976e-01 1.000000150133164123e+00 1.000000136550633467e+00 1.000000100260683089e+00 1.000000058144713710e+00 1.594631138097145562e-05 3.258423711683007540e-05 5.304031190294268284e-05 7.582685385655047589e-05 9.749465315894901727e-05
2.300000000000000000e+02 9.994648568220672047e-01 1.000000139750100825e+00 1.000000135094057274e+00 1.000000102560604898e+00 1.000000059284763765e+00 8.298803458428684928e-05 1.041315778866948734e-04 1.185106718551506578e-04 1.208966127092600128e-04 1.081795913708295798e-04
2.400000000000000000e+02 9.995955988030805761e-01 1.000000081038995070e+00 1.000000085150663409e+00 1.000000060335652474e+00 1.000000020937303669e+00 1.261944114455837852e-04 1.147927400696124937e-04 8.961101503251855786e-05 5.511888020663088588e-05 1.843668755043227560e-05
2.500000000000000000e+02 9.999834936696136989e-01 9.999999940347409355e-01 9.999999991451967718e-01 9.999999827397763053e-01 9.999999541629202016e-01 6.729270402580657103e-05 3.051645102811627029e-05 -3.717058882314254393e-06 -3.023154190343210307e-05 -4.728430651609281119e-05
2.600000000000000000e+02 1.000252457982565790e+00 9.999999198527148581e-01 9.999999091961532249e-01 9.999998877843634393e-01 9.999998662490726664e-01 -2.072391609672443071e-05 -4.258689305349846338e-05 -5.613160211972008590e-05 -6.372207157881881084e-05 -6.887658202112886547e-05
2.700000000000000000e+02 1.000385046732912953e+00 9.999998777047418574e-01 9.999998398734643024e-01 9.999997976248141685e-01 9.999997711072767803e-01 -6.402316893644607008e-05 -7.137168182353638315e-05 -7.728450050718348294e-05 -8.318251703861048415e-05 -8.847117490420189421e-05
2.800000000000000000e+02 1.000452953157249913e+00 9.999998767898752305e-01 9.999998136195777931e-01 9.999997434914605909e-01 9.999996959185792900e-01 -8.576014201408335995e-05 -9.147056960328964171e-05 -9.502351022178200763e-05 -9.392485377067483524e-05 -8.590390113305124283e-05
2.900000000000000000e+02 1.000395213286532803e+00 9.999999158766657015e-01 9.999998424307295908e-01 9.999997490597288818e-01 9.999996710498224584e-01 -1.000468110746917676e-04 -9.583510059690460582e-05 -8.458117908631211364e-05 -6.713162770234849157e-05 -4.679698501914908898e-05
3.000000000000000000e+02 1.000245325025403753e+00 9.999999648273067976e-01 9.999999079088359721e-01 9.999998132436515030e-01 9.999997189269647091e-01 -8.337454879057769721e-05 -6.479134011845423080e-05 -4.501929122903616375e-05 -2.931412941225660081e-05 -2.223062261242011870e-05
3.100000000000000000e+02 1.000181046750928671e+00 9.999999920431453804e-01 9.999999732804095709e-01 9.999999043675931176e-01 9.999998239054966875e-01 -4.499766179926709695e-05 -3.132903772179289754e-05 -2.666161950198197138e-05 -3.231402136937527289e-05 -4.543800718098826760e-05
3.200000000000000000e+02 1.000257675585704220e+00 9.999999886960178053e-01 1.000000010344315626e+00 9.999999775429899707e-01 9.999999326464161786e-01 -3.157275532160893066e-05 -3.809097685067661132e-05 -5.097731696222749116e-05 -6.467967453660942501e-05 -7.226409177263374759e-05
3.300000000000000000e+02 1.000327459488679072e+00 9.999999914766531939e-01 1.000000027081474618e+00 1.000000007853461659e+00 9.999999922854058143e-01 -5.576037614153712176e-05 -6.810636236545756085e-05 -7.430750317611021268e-05 -7.115128237418059411e-05 -5.815266161694694668e-05
3.400000000000000000e+02 1.000271782750404626e+00 1.000000080706288319e+00 1.000000082037996396e+00 1.000000023077982636e+00 9.999999964970157640e-01 -7.636661291660610694e-05 -7.267174174798021269e-05 -5.958500838496457689e-05 -4.123092409585540934e-05 -2.211078254213689123e-05
