# time_au orbital_0 orbital_1 orbital_2 orbital_3 orbital_4 orbital_5 orbital_6 orbital_7 orbital_8 orbital_9
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.999994900368899264e-01 9.999999999999810152e-01 9.999999999999811262e-01 9.999999999999811262e-01 9.999999999999812372e-01 1.036092402248386443e-07 1.028234274940410795e-07 1.020150706395623579e-07 1.011842783383663994e-07 1.003311688812732624e-07
4.000000000000000000e+00 9.999991768827383165e-01 9.999999999998155920e-01 9.999999999998171463e-01 9.999999999998187006e-01 9.999999999998202549e-01 1.775313734564367332e-07 1.711091037279966843e-07 1.646491664179122662e-07 1.581636353764447472e-07 1.516647110661204100e-07
6.000000000000000000e+00 9.999997938691346233e-01 9.999999999996042055e-01 9.999999999996113109e-01 9.999999999996185274e-01 9.999999999996261879e-01 5.506795138825301777e-08 4.763931169663775141e-08 4.070601990036287957e-08 3.429392375657274133e-08 2.842519842561162452e-08
8.000000000000000000e+00 9.999998658105438976e-01 9.999999999995736744e-01 9.999999999995813349e-01 9.999999999995892175e-01 9.999999999995974331e-01 1.720722216026168868e-08 2.155918907552137027e-08 2.641435098332339385e-08 3.169486041115228271e-08 3.731549183640929589e-08
1.000000000000000000e+01 9.999992521130171008e-01 9.999999999993752775e-01 9.999999999993686162e-01 9.999999999993630651e-01 9.999999999993586242e-01 1.452583560355376482e-07 1.485976251120043655e-07 1.507928933291784716e-07 1.517687621465008838e-07 1.514718807550191059e-07
1.200000000000000000e+01 9.999994100688666121e-01 9.999999999987816413e-01 9.999999999987686516e-01 9.999999999987596588e-01 9.999999999987549959e-01 1.461770153018713464e-07 1.324797592512124277e-07 1.182441692733917827e-07 1.037481338021557948e-07 8.928699082891188257e-08
1.400000000000000000e+01 9.999999200102899222e-01 9.999999999983656407e-01 9.999999999983614218e-01 9.999999999983638643e-01 9.999999999983733012e-01 2.574882005920949230e-08 1.840181928590229323e-08 1.349882485729530475e-08 1.111335235209066985e-08 1.123342936479348249e-08
1.600000000000000000e+01 9.999995917734788575e-01 9.999999999982777110e-01 9.999999999982495114e-01 9.999999999982290833e-01 9.999999999982173149e-01 5.736620980846414515e-08 6.955520730255762727e-08 8.201057901597438006e-08 9.410257026863340975e-08 1.051989811886514544e-07
1.800000000000000000e+01 9.999992510562552006e-01 9.999999999979575227e-01 9.999999999978794740e-01 9.999999999978167464e-01 9.999999999977720044e-01 1.593641808228420979e-07 1.580768583971332049e-07 1.532051459693504053e-07 1.448775391398652076e-07 1.334285947258695754e-07
2.000000000000000000e+01 9.999996628788976327e-01 9.999999999976159071e-01 9.999999999975427434e-01 9.999999999974998888e-01 9.999999999974902298e-01 1.036152647669450125e-07 8.401255131290237331e-08 6.540271734050015009e-08 4.883695552980574595e-08 3.526346463998843409e-08
2.200000000000000000e+01 9.999998157766410989e-01 9.999999999975804910e-01 9.999999999975358600e-01 9.999999999975273113e-01 9.999999999975551779e-01 2.682594863014760820e-08 2.759331262273898134e-08 3.295504682537675107e-08 4.227867542239573975e-08 5.458017652954975159e-08
2.400000000000000000e+01 9.999994080822445230e-01 9.999999999966476816e-01 9.999999999965445419e-01 9.999999999964740427e-01 9.999999999964345188e-01 9.623680466603608221e-08 1.105564932451034250e-07 1.222643762204643355e-07 1.300234302511051113e-07 1.328505504521910652e-07
2.600000000000000000e+01 9.999994189147826118e-01 9.999999999942813522e-01 9.999999999940796247e-01 9.999999999939136464e-01 9.999999999937845274e-01 1.455699728028586209e-07 1.346989137831543904e-07 1.192682617420779949e-07 1.007068099470822672e-07 8.086520004962320093e-08
