# time_au orbital_0 orbital_1 orbital_2 orbital_3 orbital_4 orbital_5 orbital_6 orbital_7 orbital_8 orbital_9
0.000000000000000000e+00 1.000000000000037526e+00 1.000000000000037526e+00 1.000000000000037526e+00 1.000000000000037526e+00 1.000000000000037526e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.999994900368536221e-01 1.000000000000019318e+00 1.000000000000019318e+00 1.000000000000019318e+00 1.000000000000019318e+00 1.036092555120939482e-07 1.028234425868016442e-07 1.020150855307488144e-07 1.011842930207926922e-07 1.003311833476450879e-07
4.000000000000000000e+00 9.999991768828790928e-01 9.999999999998553379e-01 9.999999999998568923e-01 9.999999999998584466e-01 9.999999999998600009e-01 1.775313576621168417e-07 1.711090853294641233e-07 1.646491453731666952e-07 1.581636116488152776e-07 1.516646846247123092e-07
6.000000000000000000e+00 9.999997938700255773e-01 9.999999999996463940e-01 9.999999999996532773e-01 9.999999999996606048e-01 9.999999999996680433e-01 5.506777878913740742e-08 4.763913846813080236e-08 4.070584667212761634e-08 3.429375120758458050e-08 2.842502728236545748e-08
8.000000000000000000e+00 9.999998658106648008e-01 9.999999999996121991e-01 9.999999999996195266e-01 9.999999999996272981e-01 9.999999999996354028e-01 1.720715437037585919e-08 2.155914709404808502e-08 2.641433560124708918e-08 3.169487214704893559e-08 3.731553088837780711e-08
1.000000000000000000e+01 9.999992521120173450e-01 9.999999999994058086e-01 9.999999999993988142e-01 9.999999999993932631e-01 9.999999999993889332e-01 1.452586476788870412e-07 1.485978922461325513e-07 1.507931232412884145e-07 1.517689406713026825e-07 1.514719922957772270e-07
1.200000000000000000e+01 9.999994100817550802e-01 9.999999999988332666e-01 9.999999999988212762e-01 9.999999999988138377e-01 9.999999999988105071e-01 1.461752098647517258e-07 1.324775942218274599e-07 1.182416157264419657e-07 1.037451649238389100e-07 8.928358280005374688e-08
1.400000000000000000e+01 9.999999200578872927e-01 9.999999999984844345e-01 9.999999999984846566e-01 9.999999999984915400e-01 9.999999999985054178e-01 2.574021072758584497e-08 1.839266650213265614e-08 1.348917927039126201e-08 1.110328071227718707e-08 1.122301529478159104e-08
1.600000000000000000e+01 9.999995918269446449e-01 9.999999999984375831e-01 9.999999999984150456e-01 9.999999999983991694e-01 9.999999999983911758e-01 5.735365151020172935e-08 6.954330457584595941e-08 8.199955915963432544e-08 9.409266847594373103e-08 1.051904348777774675e-07
1.800000000000000000e+01 9.999992510275859114e-01 9.999999999979669596e-01 9.999999999978825826e-01 9.999999999978107512e-01 9.999999999977531306e-01 1.593642309558217668e-07 1.580796890289038944e-07 1.532108719983657493e-07 1.448862146448643674e-07 1.334402040208742878e-07
2.000000000000000000e+01 9.999996627377020220e-01 9.999999999972045694e-01 9.999999999970941023e-01 9.999999999970077269e-01 9.999999999969492182e-01 1.036404077029988866e-07 8.403997854312835496e-08 6.543194006662117345e-08 4.886740797737924511e-08 3.529452112918914970e-08
2.200000000000000000e+01 9.999998156263506521e-01 9.999999999969362285e-01 9.999999999968177677e-01 9.999999999967282838e-01 9.999999999966719955e-01 2.686173164049312777e-08 2.762714196874852958e-08 3.298627905663136021e-08 4.230678045302010581e-08 5.460477615395020321e-08
2.400000000000000000e+01 9.999994080038135946e-01 9.999999999968388620e-01 9.999999999966321385e-01 9.999999999964532815e-01 9.999999999963098407e-01 9.625896130636062630e-08 1.105748628608106775e-07 1.222794075895850121e-07 1.300358017677114947e-07 1.328611372168259109e-07
2.600000000000000000e+01 9.999994188109893045e-01 9.999999999962080333e-01 9.999999999958723018e-01 9.999999999955780927e-01 9.999999999953396168e-01 1.455853530548579297e-07 1.347153097414128173e-07 1.192867565467267494e-07 1.007283433944461446e-07 8.089046815410752867e-08
2.800000000000000000e+01 9.999997559706772510e-01 9.999999999955513363e-01 9.999999999951536545e-01 9.999999999948169238e-01 9.999999999945600182e-01 7.286408882917734526e-08 5.559248071082398767e-08 4.300366307294751065e-08 3.637116567024085740e-08 3.621806133457807046e-08
3.000000000000000000e+01 9.999996332093328277e-01 9.999999999954425345e-01 9.999999999949784613e-01 9.999999999945738960e-01 9.999999999942525974e-01 4.907213337002305777e-08 5.861123785462823939e-08 7.195299073397712973e-08 8.676352092027020952e-08 1.004117588346719126e-07
3.200000000000000000e+01 9.999994004187465757e-01 9.999999999952928764e-01 9.999999999946527218e-01 9.999999999940655249e-01 9.999999999935679229e-01 1.165910961796401693e-07 1.246827768275246008e-07 1.265919917724087557e-07 1.215914477169379777e-07 1.101465846157357514e-07
3.400000000000000000e+01 9.999995755629532690e-01 9.999999999947247753e-01 9.999999999938956607e-01 9.999999999931364902e-01 9.999999999925001104e-01 1.197277564752480184e-07 1.027518022835338390e-07 8.380629491555703644e-08 6.596730022031182768e-08 5.220985918699878254e-08
3.600000000000000000e+01 9.999997018901647383e-01 9.999999999943500750e-01 9.999999999934117145e-01 9.999999999925551775e-01 9.999999999918440796e-01 6.310885517686408220e-08 5.447784942640785503e-08 5.301199467675422810e-08 5.846449905455312076e-08 6.907470366221208805e-08
3.800000000000000000e+01 9.999995250691032789e-01 9.999999999943762763e-01 9.999999999932944750e-01 9.999999999922726257e-01 9.999999999913885551e-01 7.430777188816183228e-08 8.631136241425520134e-08 9.827031959884428489e-08 1.068034089996196110e-07 1.092669321903896732e-07
4.000000000000000000e+01 9.999994848067763620e-01 9.999999999942523754e-01 9.999999999929263250e-01 9.999999999916384663e-01 9.999999999904957138e-01 1.173922816520313748e-07 1.162718961851377553e-07 1.082251569866721666e-07 9.468963079942354541e-08 7.864517826118242164e-08
4.200000000000000000e+01 9.999996307414560359e-01 9.999999999939173101e-01 9.999999999923703253e-01 9.999999999908623094e-01 9.999999999895299307e-01 9.820798952496976694e-08 8.238334133513288370e-08 6.879548919155513979e-08 6.056350505758331469e-08 5.934177471189147130e-08
4.400000000000000000e+01 9.999996152435881580e-01 9.999999999938274930e-01 9.999999999921286298e-01 9.999999999904489734e-01 9.999999999889459534e-01 6.866583975132030130e-08 6.815600855285082857e-08 7.368723804583943102e-08 8.272915239717162608e-08 9.155305750364868320e-08
4.600000000000000000e+01 9.999995133581623952e-01 9.999999999939491735e-01 9.999999999920515803e-01 9.999999999901150183e-01 9.999999999883275592e-01 9.050432876564057162e-08 9.855603402647691665e-08 1.029287181986772862e-07 1.012950627997525026e-07 9.339349093070840581e-08
4.800000000000000000e+01 9.999995553431474393e-01 9.999999999939318540e-01 9.999999999917718041e-01 9.999999999895201608e-01 9.999999999874115142e-01 1.083264535831345937e-07 1.012635073331444086e-07 8.988767711075859420e-08 7.745700573315268444e-08 6.775981607880940143e-08
5.000000000000000000e+01 9.999996149557480729e-01 9.999999999938556927e-01 9.999999999914797044e-01 9.999999999889723767e-01 9.999999999866080458e-01 8.762337790271971977e-08 7.731816691187873032e-08 7.164091155892634439e-08 7.181066624635329876e-08 7.669045769589516169e-08
