run,start_au,stop_au,observations,orbital,active,signal_RMS,RMSE,Q
pilot_n256_step10,0,100,11,0,True,4.423879395014184e-07,7.092546300589579e-06,0.06237364139091262
pilot_n256_step10,0,100,11,1,False,4.106178603033966e-12,1.47479600377998e-09,0.002784234967079931
pilot_n256_step10,0,100,11,2,False,6.515236529416166e-12,1.5501738712265634e-09,0.0042029069450519345
pilot_n256_step10,0,100,11,3,False,1.052670801098407e-11,1.6107184967946318e-09,0.006535411390589025
pilot_n256_step10,0,100,11,4,False,1.6052013626587493e-11,1.4688453385273847e-09,0.010928321182324549
pilot_n256_step10,0,100,11,5,True,9.378485963160299e-08,2.6963765001524787e-06,0.034781811674408046
pilot_n256_step10,0,100,11,6,True,9.116156422714581e-08,2.591511252322047e-06,0.03517698954440703
pilot_n256_step10,0,100,11,7,True,8.87409385836409e-08,1.8993398508460516e-06,0.0467219905611477
pilot_n256_step10,0,100,11,8,True,8.666235981759677e-08,9.199245544600756e-07,0.09420594264761295
pilot_n256_step10,0,100,11,9,True,8.502572526877959e-08,1.1101124367871458e-06,0.07659199415408632
pilot_n256_step10,100,200,11,0,True,4.2954093811262424e-07,2.8471638877205417e-05,0.015086624973194556
pilot_n256_step10,100,200,11,1,False,3.56053931041656e-12,2.8083576671820422e-08,0.00012678368400237532
pilot_n256_step10,100,200,11,2,False,4.821374170209734e-12,2.2789066097089472e-08,0.00021156523701625055
pilot_n256_step10,100,200,11,3,False,1.2787497542096244e-11,1.6014606329597445e-08,0.0007984896586850836
pilot_n256_step10,100,200,11,4,False,3.686617912629446e-11,9.084764223518974e-09,0.004058022665118147
pilot_n256_step10,100,200,11,5,True,9.106150824137093e-08,6.8108004583583625e-06,0.01337016240574458
pilot_n256_step10,100,200,11,6,True,8.841371478121147e-08,6.8218921256845635e-06,0.012960292123109368
pilot_n256_step10,100,200,11,7,True,8.584418440749215e-08,6.683068043411445e-06,0.01284502624391537
pilot_n256_step10,100,200,11,8,True,8.335104856436838e-08,6.500864496688387e-06,0.012821532983317578
pilot_n256_step10,100,200,11,9,True,8.092775106094201e-08,6.548911015408906e-06,0.012357436354002587
pilot_n256_step10,200,300,11,0,True,4.2953965257391445e-07,0.0003249516182773004,0.0013218572501687402
pilot_n256_step10,200,300,11,1,False,3.5275024834721832e-12,1.0144865861446101e-07,3.477130729621451e-05
pilot_n256_step10,200,300,11,2,False,6.41725672495536e-12,1.210896837789267e-07,5.299589960670257e-05
pilot_n256_step10,200,300,11,3,False,7.233853581901427e-12,1.5072497914544953e-07,4.7993727535505323e-05
pilot_n256_step10,200,300,11,4,False,4.529929724894908e-11,1.8144370312775967e-07,0.000249660343500885
pilot_n256_step10,200,300,11,5,True,9.106380478672724e-08,7.171381229337525e-05,0.0012698223936860695
pilot_n256_step10,200,300,11,6,True,8.840703397009282e-08,7.056282508227555e-05,0.001252883991917998
pilot_n256_step10,200,300,11,7,True,8.585021254879497e-08,6.898788040417014e-05,0.0012444245575575844
pilot_n256_step10,200,300,11,8,True,8.335491274052808e-08,6.725431360338933e-05,0.001239398757856438
pilot_n256_step10,200,300,11,9,True,8.092590098666994e-08,6.548961377211165e-05,0.0012357058825888472
pilot_n256_step10,300,400,11,0,True,4.295390911043185e-07,0.00019799996519300275,0.002169389730375055
pilot_n256_step10,300,400,11,1,False,4.139415506274126e-12,4.240068732355076e-07,9.762614163980678e-06
pilot_n256_step10,300,400,11,2,False,4.834526457451056e-12,3.2694071917559147e-07,1.4787165299084561e-05
pilot_n256_step10,300,400,11,3,False,1.188788786387339e-11,1.8854005757167086e-07,6.305231905084349e-05
pilot_n256_step10,300,400,11,4,False,3.9008249671922566e-11,2.2722802986927585e-07,0.00017167006066269195
pilot_n256_step10,300,400,11,5,True,9.10569310671436e-08,4.7548358859085554e-05,0.00191503835783271
pilot_n256_step10,300,400,11,6,True,8.8411300271296e-08,4.3549889607530185e-05,0.002030115370395999
pilot_n256_step10,300,400,11,7,True,8.584878510151116e-08,4.081994264348034e-05,0.0021031089105467598
pilot_n256_step10,300,400,11,8,True,8.335535182332036e-08,3.949410954384064e-05,0.002110576812240603
pilot_n256_step10,300,400,11,9,True,8.092568533434773e-08,3.8667288166135764e-05,0.002092872015918128
pilot_n256_step10,400,500,11,0,True,4.2948500251435154e-07,0.00032910740210928357,0.001304999522228116
pilot_n256_step10,400,500,11,1,False,1.580021658066128e-11,5.662756329468209e-07,2.790198917519921e-05
pilot_n256_step10,400,500,11,2,False,1.713044548700507e-11,8.910697703965515e-07,1.9224583816126466e-05
pilot_n256_step10,400,500,11,3,False,1.9622313461663106e-11,1.01778957950421e-06,1.927934207306545e-05
pilot_n256_step10,400,500,11,4,False,2.353146200775715e-11,1.1385192544905813e-06,2.0668479619421157e-05
pilot_n256_step10,400,500,11,5,True,9.103474082808424e-08,5.512350713257567e-05,0.0016514685941360675
pilot_n256_step10,400,500,11,6,True,8.840653475594694e-08,6.654123254591822e-05,0.001328597793780572
pilot_n256_step10,400,500,11,7,True,8.584528978067288e-08,7.554524588279246e-05,0.001136342714588034
pilot_n256_step10,400,500,11,8,True,8.335008944994313e-08,8.061226968737144e-05,0.0010339628169903842
pilot_n256_step10,400,500,11,9,True,8.09198714693553e-08,8.120268223737368e-05,0.000996517223812981
pilot_n256_step10,500,600,11,0,True,4.294152974700018e-07,0.00048733315135606294,0.0008811534702186835
pilot_n256_step10,500,600,11,1,False,1.914963068882381e-11,1.3261456951412952e-06,1.4440065491283368e-05
pilot_n256_step10,500,600,11,2,False,2.073708709051375e-11,1.028927441360564e-06,2.015408109156155e-05
pilot_n256_step10,500,600,11,3,False,2.3584335911452186e-11,9.266028334627577e-07,2.545247549407596e-05
pilot_n256_step10,500,600,11,4,False,2.827907506424259e-11,1.1635809776661794e-06,2.4303486914131723e-05
pilot_n256_step10,500,600,11,5,True,9.102300679944886e-08,0.00011582763101643465,0.0007858488169073726
pilot_n256_step10,500,600,11,6,True,8.839889401372859e-08,0.00011659463637683578,0.0007581729036661851
pilot_n256_step10,500,600,11,7,True,8.583723169088457e-08,0.00012126883130301952,0.0007078259992165627
pilot_n256_step10,500,600,11,8,True,8.333934166375465e-08,0.00012665370013956255,0.0006580095297012339
pilot_n256_step10,500,600,11,9,True,8.090622797020477e-08,0.00012957907679564062,0.0006243772526470622
pilot_n256_step10,600,700,11,0,True,4.294178988758814e-07,0.0004687840875173349,0.0009160249042369686
pilot_n256_step10,600,700,11,1,False,1.912626240626134e-11,1.1703918267418245e-06,1.634176005783094e-05
pilot_n256_step10,600,700,11,2,False,2.1263496873023303e-11,1.5169645321286932e-06,1.4017135155549827e-05
pilot_n256_step10,600,700,11,3,False,2.92016337810169e-11,1.492425747449665e-06,1.956655721795083e-05
