rank,stage,case_id,version,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,qm_signal_peak,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,projected_ntraj_Q10,occupation_min,occupation_max,max_particle_error,min_window_Q,selection_score
1,coarse,c04_wc0p5_eta0p001,v0.61,0.5,0.001,-17.1948749688398,500000,2,50.0,0.0005996398289119288,0.00299458086042248,0.00027029314360559905,0.00028356597873540826,2.218479614070046,2.1146395332263923,2.1146395332263923,11181429,-0.002270912917109307,1.0024623559887218,5.2659210325600725e-11,1.0395964907486253,0.5195721847263746
2,coarse,c15_wc2_eta0p0003,v0.61,2.0,0.0003,-17.1948749688398,500000,2,50.0,0.00017001009830712989,0.0008770541880583904,4.6739984689362805e-05,4.38509479441794e-05,3.637358878849209,3.876999387186483,3.637358878849209,3779182,-0.0002878761138970995,1.0000957289933234,6.897327153865263e-11,1.8538732618868914,0.47586944716460655
3,coarse,c10_wc1_eta0p001,v0.61,1.0,0.001,-17.1948749688398,500000,2,50.0,0.0005930416840857331,0.0029669470820380406,0.0003064566837838093,0.00028774622066224197,1.9351566321330294,2.0609886125380203,1.9351566321330294,13351737,-0.002564375602621154,1.0032877582455613,5.363531840885116e-11,0.9805780428151654,0.47284961863791536
4,coarse,c22_wc4_eta0p001,v0.61,4.0,0.001,-17.1948749688398,500000,2,50.0,0.0005466131605331147,0.002814814978096658,0.0002927748744660858,0.0002806151889818914,1.867008436191586,1.947910098937619,1.867008436191586,14344237,-0.0018274846457255723,1.0031622546199617,5.335198949296682e-11,0.8821304693716998,0.43797632224989663
5,coarse,c09_wc1_eta0p0003,v0.61,1.0,0.0003,-17.1948749688398,500000,2,50.0,0.00017410577221005672,0.0008930998723009065,5.387019634034016e-05,4.915221125189995e-05,3.231949835677123,3.5421757795958113,3.231949835677123,4786751,-0.00024325484865337578,1.0000517913818814,6.765521476381764e-11,1.7821808761991864,0.42789331977266815
6,coarse,c03_wc0p5_eta0p0003,v0.61,0.5,0.0003,-17.1948749688398,500000,2,50.0,0.0001760651700983466,0.00090140798845606,5.61618092875232e-05,5.0831202962461374e-05,3.1349625721096723,3.4637222776012204,3.1349625721096723,5087511,-0.0002746501221743685,1.0001517256635046,6.748113179355641e-11,1.6094620079161726,0.4173816924341218
7,coarse,c33_wc10_eta0p0003,v0.61,10.0,0.0003,-17.1948749688398,500000,2,50.0,0.0001481633573049844,0.0007867342728241633,4.367442206188902e-05,3.933695428094957e-05,3.3924514695358514,3.7665182781255186,3.3924514695358514,4344530,-0.0001859982524892587,1.0000353365070334,6.761524673493113e-11,1.6915700927354356,0.41433188802929183
8,coarse,c27_wc7_eta0p0003,v0.61,7.0,0.0003,-17.1948749688398,500000,2,50.0,0.00015285654348195902,0.0008098664457041327,4.070909040890497e-05,4.725100625664748e-05,3.7548503773133235,3.234990227545778,3.234990227545778,4777758,-0.0001438014220538371,1.00019234956611,6.761702309177053e-11,1.627703470548357,0.40130937058420524
9,coarse,c28_wc7_eta0p001,v0.61,7.0,0.001,-17.1948749688398,500000,2,50.0,0.0005125109460701683,0.0026901564050093585,0.0002569145833770462,0.0002948136395596081,1.9948690313076176,1.7384234556981686,1.7384234556981686,16544699,-0.0016826668778653566,1.0026496496178248,5.189981777675712e-11,0.8316442599022743,0.3948857446066021
10,coarse,c21_wc4_eta0p0003,v0.61,4.0,0.0003,-17.1948749688398,500000,2,50.0,0.00016202715907092248,0.000847356723736592,4.0425070476884453e-05,5.334565339790704e-05,4.008086001076277,3.03730761084425,3.03730761084425,5419915,-0.0003000074606308934,1.000348506328427,6.798472895752639e-11,1.528534598903859,0.3879243108254714
