stage,case_id,window,wc_eV,eta,signal_rms,error_rms_vs_qm,repeat_noise_rms,Q_accuracy,Q_repeat,Q_conservative
coarse,c01_wc0p5_eta0p00003,0-10,0.5,3e-05,1.796961986780042e-05,4.434335381670437e-07,6.103824638799579e-07,40.5238177113955,29.439934682223196,29.439934682223196
coarse,c01_wc0p5_eta0p00003,10-20,0.5,3e-05,2.068288149954198e-05,1.6857525983607626e-06,1.3449057889075393e-06,12.26922712125976,15.378684269284458,12.26922712125976
coarse,c01_wc0p5_eta0p00003,20-30,0.5,3e-05,1.5416512319550745e-05,4.175861447661123e-06,3.808980359382288e-06,3.6918160510774243,4.047411870102391,3.6918160510774243
coarse,c01_wc0p5_eta0p00003,30-40,0.5,3e-05,1.6786329251105094e-05,5.026463888305505e-06,5.958586741935607e-06,3.3395901421195755,2.817166213754265,2.817166213754265
coarse,c01_wc0p5_eta0p00003,40-50,0.5,3e-05,1.647117218647757e-05,9.905172192979064e-06,8.39951513904548e-06,1.6628860019367038,1.960967021764229,1.6628860019367038
coarse,c02_wc0p5_eta0p0001,0-10,0.5,0.0001,5.988806755575731e-05,1.006507391013784e-06,1.2834833238095454e-06,59.50087211524227,46.6605731798694,46.6605731798694
coarse,c02_wc0p5_eta0p0001,10-20,0.5,0.0001,6.89421633233195e-05,4.770827829460006e-06,5.416757824345546e-06,14.450775795680482,12.727569804479694,12.727569804479694
coarse,c02_wc0p5_eta0p0001,20-30,0.5,0.0001,5.144215544640195e-05,9.118198796582931e-06,1.0240244167367125e-05,5.641701458152024,5.02352820944779,5.02352820944779
coarse,c02_wc0p5_eta0p0001,30-40,0.5,0.0001,5.613025905414384e-05,1.6936526790260636e-05,1.7794176860736308e-05,3.3141540617655796,3.1544172845667227,3.1544172845667227
coarse,c02_wc0p5_eta0p0001,40-50,0.5,0.0001,5.516263412454388e-05,2.3636984308179304e-05,2.7432035098028414e-05,2.3337424692309625,2.0108837688279464,2.0108837688279464
coarse,c03_wc0p5_eta0p0003,0-10,0.5,0.0003,0.0001795732320575316,3.779039462939e-06,2.9223022287135473e-06,47.518220917935466,61.449233516337266,47.518220917935466
coarse,c03_wc0p5_eta0p0003,10-20,0.5,0.0003,0.0002068226430494082,1.0727678187523566e-05,1.3067764777294455e-05,19.27934819017462,15.826933417776798,15.826933417776798
coarse,c03_wc0p5_eta0p0003,20-30,0.5,0.0003,0.00015481824974472946,3.1458434902930715e-05,2.718231102187554e-05,4.921358936718952,5.695551405476017,4.921358936718952
coarse,c03_wc0p5_eta0p0003,30-40,0.5,0.0003,0.0001699916882080493,5.922730949739198e-05,5.271826913359605e-05,2.870157190164695,3.224530907440544,2.870157190164695
coarse,c03_wc0p5_eta0p0003,40-50,0.5,0.0003,0.00016795905141485005,0.00010435726384887617,9.578184732389277e-05,1.6094620079161726,1.7535582796485978,1.6094620079161726
coarse,c04_wc0p5_eta0p001,0-10,0.5,0.001,0.0005975332741374355,7.285462721518747e-06,8.583179679381958e-06,82.01720288438621,69.61677332385307,69.61677332385307
