rank,stage,case_id,version,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,qm_signal_peak,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,projected_ntraj_Q10,occupation_min,occupation_max,max_particle_error,min_window_Q,selection_score
1,fine,f21_wc4_eta0p0002,v0.61,4.0,0.0002,-17.1948749688398,1000000,3,75.0,0.0001051692161449265,0.0005651822556907993,3.613003482045437e-05,2.9775356997987292e-05,2.910852886457415,3.5320891753551624,2.910852886457415,11802106,-0.0003731680128003785,1.0003816212699415,6.757527870604463e-11,1.0898168354849742,1.1978616805876523
2,fine,f12_wc1_eta0p0003,v0.61,1.0,0.0003,-17.1948749688398,1000000,3,75.0,0.00017056366622755748,0.0008930998723009065,7.816065995728612e-05,7.87491186839094e-05,2.1822188594718686,2.165912064516962,2.165912064516962,21316621,-0.00099975335682237,1.000679863417692,6.769340643586474e-11,0.8394935076658929,1.1350792338460347
3,fine,f06_wc0p5_eta0p0002,v0.61,0.5,0.0002,-17.1948749688398,1000000,3,75.0,0.00011418553555629441,0.0006012280139325865,4.355419042095739e-05,4.292861269904175e-05,2.621688853648182,2.6598934458192556,2.621688853648182,14549153,-0.000320473341643608,1.0003871637769999,6.773959171368915e-11,1.1686192459498652,1.1241617157039152
4,fine,f11_wc1_eta0p0002,v0.61,1.0,0.0002,-17.1948749688398,1000000,3,75.0,0.00011291340213826918,0.0005956875557017183,4.282981322274618e-05,4.218218041803399e-05,2.636327213267015,2.6768033567557294,2.636327213267015,14388032,-0.00036536383654919407,1.0006306801762883,6.698286370010464e-11,0.9808924646505659,1.1241238339078117
5,fine,f01_wc0p25_eta0p0002,v0.61,0.25,0.0002,-17.1948749688398,1000000,3,75.0,0.0001147805023523519,0.0006040451907162181,4.552250168558879e-05,4.436900268659827e-05,2.521401463063449,2.586952498416683,2.521401463063449,15729540,-0.0003480014766618018,1.0006523290820755,6.654055084709398e-11,1.0011468184085162,1.0839722338299853
6,fine,f02_wc0p25_eta0p0003,v0.61,0.25,0.0003,-17.1948749688398,1000000,3,75.0,0.0001734708233068232,0.0009056324581157016,8.599590439925317e-05,8.023941273979159e-05,2.0171986621764013,2.161915415175978,2.0171986621764013,24575517,-0.0005520699751516903,1.0009529133154502,6.865708002123938e-11,0.7998161464048016,1.0661148384850296
7,fine,f07_wc0p5_eta0p0003,v0.61,0.5,0.0003,-17.1948749688398,1000000,3,75.0,0.00017257104925765337,0.0009014079884547277,8.566601751667686e-05,7.763315063658813e-05,2.0144633106594276,2.2229041053026832,2.0144633106594276,24642303,-0.0007733225456341449,1.0011871534924741,6.753175796347932e-11,0.7967298778588908,1.061904420217042
8,fine,f17_wc2_eta0p0003,v0.61,2.0,0.0003,-17.1948749688398,1000000,3,75.0,0.00016613699435291958,0.0008770541880568361,8.111918384969951e-05,7.43623691238386e-05,2.048060476800951,2.2341541334736803,2.048060476800951,23840450,-0.0007513986206109639,1.0010561504950304,6.890310544349632e-11,0.9118108407153749,1.0592977456142227
9,fine,f16_wc2_eta0p0002,v0.61,2.0,0.0002,-17.1948749688398,1000000,3,75.0,0.00011019794436433755,0.0005849870597890439,3.918853565734792e-05,4.457105027987812e-05,2.8119944395951224,2.472410761522645,2.472410761522645,16359076,-0.00033753738979961707,1.0003748730638422,6.6647132257458e-11,1.0980509261531124,1.0414764848355693
10,fine,f26_wc7_eta0p0003,v0.61,7.0,0.0003,-17.1948749688398,1000000,3,75.0,0.0001496165957414892,0.0008098664457067972,7.387851829205775e-05,6.038900528206239e-05,2.025170498818377,2.477546948201355,2.025170498818377,24382421,-0.0008680996224748318,1.0020000728476561,6.759481863127803e-11,0.6752802157166042,0.9940164542527022
11,fine,f22_wc4_eta0p0003,v0.61,4.0,0.0003,-17.1948749688398,1000000,3,75.0,0.00015811870111576026,0.0008473567237362589,8.307524683296776e-05,7.243586483598641e-05,1.9033190648674918,2.1828786261306057,1.9033190648674918,27604305,-0.0007067347786531893,1.0015270548494057,6.798295260068699e-11,0.7411203079911998,0.9603848789756656
12,fine,f08_wc0p5_eta0p0005,v0.61,0.5,0.0005,-17.1948749688398,1000000,3,75.0,0.00029259332162464126,0.0015009006759875154,0.00016956127133022813,0.00021178907898058,1.7255905156243063,1.3815316778041733,1.3815316778041733,52393608,-0.0023920687597193263,1.0034869421771184,8.116174399219744e-11,0.5480433341230555,0.9482768510102291
13,fine,f13_wc1_eta0p0005,v0.61,1.0,0.0005,-17.1948749688398,1000000,3,75.0,0.00028878798086682004,0.0014870623835543384,0.00020785117385977266,0.00020767576695082524,1.3893978826487245,1.3905713945681542,1.3893978826487245,51802025,-0.001783982557426338,1.002352932504863,8.116707306271564e-11,0.5362094033740085,0.9474543335926419
