stage,case_id,window,wc_eV,eta,signal_rms,error_rms_vs_qm,repeat_noise_rms,Q_accuracy,Q_repeat,Q_conservative
fine,f01_wc0p25_eta0p0002,0-10,0.25,0.0002,0.00012014963792213394,1.1246515941805626e-06,1.2916133290850339e-06,106.83276362550014,93.02291577251434,93.02291577251434
fine,f01_wc0p25_eta0p0002,10-20,0.25,0.0002,0.00013882109654185515,5.425712411283385e-06,4.499138309794866e-06,25.585782293429506,30.855040895194122,25.585782293429506
fine,f01_wc0p25_eta0p0002,20-30,0.25,0.0002,0.00010389289045415807,1.3784889954169604e-05,1.2902956544802157e-05,7.53672251280707,8.051867034769671,7.53672251280707
fine,f01_wc0p25_eta0p0002,30-40,0.25,0.0002,0.00011271521795335222,2.0954505755336536e-05,1.9808864745430408e-05,5.379044453226808,5.690140217619176,5.379044453226808
fine,f01_wc0p25_eta0p0002,40-50,0.25,0.0002,0.00011213989945733757,3.6695109001670625e-05,3.271312489761844e-05,3.055990362427651,3.427978825266598,3.055990362427651
fine,f01_wc0p25_eta0p0002,50-60,0.25,0.0002,0.0001057647918808445,5.1664809850029545e-05,4.4493126185321024e-05,2.0471340587114155,2.3771040821073606,2.0471340587114155
fine,f01_wc0p25_eta0p0002,60-70,0.25,0.0002,0.00011020211915543591,6.577158464421943e-05,7.546404828796822e-05,1.6755278096393167,1.4603260977321069,1.4603260977321069
fine,f01_wc0p25_eta0p0002,70-75,0.25,0.0002,0.000110171833432011,0.00011004563107651566,0.00010622723218049796,1.0011468184085162,1.037133616028049,1.0011468184085162
fine,f02_wc0p25_eta0p0003,0-10,0.25,0.0003,0.00018017738039315028,2.0052237135244115e-06,1.7060100011627811e-06,89.85400440755201,105.61332012728244,89.85400440755201
fine,f02_wc0p25_eta0p0003,10-20,0.25,0.0003,0.00020822594495423433,7.11382226388713e-06,7.844939885361454e-06,29.270613916133414,26.542707528298717,26.542707528298717
fine,f02_wc0p25_eta0p0003,20-30,0.25,0.0003,0.00015607325131873363,1.5754403863740287e-05,1.5591168150838977e-05,9.906642781828493,10.010362906023508,9.906642781828493
fine,f02_wc0p25_eta0p0003,30-40,0.25,0.0003,0.00016987336237389602,3.049290279252883e-05,2.9083475447904838e-05,5.570914764320741,5.840889362695944,5.570914764320741
fine,f02_wc0p25_eta0p0003,40-50,0.25,0.0003,0.0001694746288597353,5.579090132670592e-05,5.467002440153165e-05,3.0376750478955143,3.099955244486543,3.0376750478955143
fine,f02_wc0p25_eta0p0003,50-60,0.25,0.0003,0.00016087968206611724,0.00010057358564093733,8.533637719787956e-05,1.5996216207353058,1.8852415271047478,1.5996216207353058
fine,f02_wc0p25_eta0p0003,60-70,0.25,0.0003,0.00016871223324279864,0.0001312100749547511,0.00014661997203245218,1.2858176729262634,1.1506770251289957,1.1506770251289957
fine,f02_wc0p25_eta0p0003,70-75,0.25,0.0003,0.00016973940694023652,0.0002122230311343681,0.0001687294332111164,0.7998161464048016,1.0059857590338517,0.7998161464048016
fine,f03_wc0p25_eta0p0005,0-10,0.25,0.0005,0.0003001395495333855,2.140960132893984e-06,2.9842043140199586e-06,140.18922861850774,100.57607253072891,100.57607253072891
fine,f03_wc0p25_eta0p0005,10-20,0.25,0.0005,0.00034702937842561924,1.0466991000748591e-05,1.1680793888234538e-05,33.15464572395256,29.70940004130747,29.70940004130747
fine,f03_wc0p25_eta0p0005,20-30,0.25,0.0005,0.00026095816845124345,2.9275421042987e-05,2.817232855606893e-05,8.913899754611954,9.262925069607972,8.913899754611954
fine,f03_wc0p25_eta0p0005,30-40,0.25,0.0005,0.0002859625538365678,6.318732134899191e-05,5.904105212298736e-05,4.5256318472049,4.843452878192013,4.5256318472049
fine,f03_wc0p25_eta0p0005,40-50,0.25,0.0005,0.00028713130092464543,0.0001278014681562514,0.00011162078339394468,2.2466979845145105,2.5723820617820716,2.2466979845145105
fine,f03_wc0p25_eta0p0005,50-60,0.25,0.0005,0.00027659614990461394,0.00021914016621348958,0.00016656365957121947,1.2621882819745145,1.6606032229157806,1.2621882819745145
fine,f03_wc0p25_eta0p0005,60-70,0.25,0.0005,0.0002943477725749105,0.0003600383404358329,0.00034635833011559025,0.8175456319974067,0.8498359848214933,0.8175456319974067
