stage,case_id,window,wc_eV,eta,signal_rms,error_rms_vs_qm,repeat_noise_rms,Q_accuracy,Q_repeat,Q_conservative
confirm,s13_wc4_eta0p0002,0-10,4.0,0.0002,0.00011481407854751764,4.2551278768205825e-07,5.251154595547717e-07,269.82521294590646,218.6453978042558,218.6453978042558
confirm,s13_wc4_eta0p0002,10-20,4.0,0.0002,0.0001237225092616789,1.9215724614910075e-06,1.7356888652975143e-06,64.38607533211565,71.28150196462293,64.38607533211565
confirm,s13_wc4_eta0p0002,20-30,4.0,0.0002,9.566712451405972e-05,3.989157860559498e-06,4.082152618561958e-06,23.98178459165864,23.435460026421282,23.435460026421282
confirm,s13_wc4_eta0p0002,30-40,4.0,0.0002,0.00010615242990782312,6.319692440013699e-06,7.214442447992865e-06,16.79708797784359,14.713878539201025,14.713878539201025
confirm,s13_wc4_eta0p0002,40-50,4.0,0.0002,9.872960851371135e-05,9.053536887128545e-06,9.767478590220815e-06,10.905087121705517,10.10799333745756,10.10799333745756
confirm,s13_wc4_eta0p0002,50-60,4.0,0.0002,9.936180252532579e-05,1.3804943129183863e-05,1.8727589587629483e-05,7.197552470554798,5.305637549370436,5.305637549370436
confirm,s13_wc4_eta0p0002,60-70,4.0,0.0002,9.956920203711576e-05,1.6933740069162056e-05,1.9136168188783675e-05,5.87992975151666,5.203194341460506,5.203194341460506
confirm,s13_wc4_eta0p0002,70-80,4.0,0.0002,9.953478450583598e-05,3.0702794653462985e-05,2.6844509098693597e-05,3.241880279279704,3.707826585313862,3.241880279279704
confirm,s13_wc4_eta0p0002,80-90,4.0,0.0002,9.949140379447647e-05,5.534177990252566e-05,5.271976931706185e-05,1.7977629915357298,1.8871744903913639,1.7977629915357298
confirm,s13_wc4_eta0p0002,90-100,4.0,0.0002,9.955540368531215e-05,7.271626405395291e-05,5.5680248009562427e-05,1.3690940394221236,1.7879841998587127,1.3690940394221236
confirm,s19_wc5_eta0p00023,0-10,5.0,0.00023,0.00013056971774971714,6.128589132486976e-07,5.88963671656434e-07,213.0502060540842,221.6940093817597,213.0502060540842
confirm,s19_wc5_eta0p00023,10-20,5.0,0.00023,0.00013768728391288585,2.0115566897936083e-06,1.833261609557417e-06,68.4481250821785,75.105093127503,68.4481250821785
confirm,s19_wc5_eta0p00023,20-30,5.0,0.00023,0.00010892130825629481,4.801228593637112e-06,4.424942274806764e-06,22.68613254545808,24.61530602928631,22.68613254545808
confirm,s19_wc5_eta0p00023,30-40,5.0,0.00023,0.00011809745706241184,7.063816498684408e-06,7.134429811010198e-06,16.718647360730102,16.553173861232487,16.553173861232487
confirm,s19_wc5_eta0p00023,40-50,5.0,0.00023,0.0001122622767608201,1.2745822783954793e-05,1.3880724444251316e-05,8.807770095638125,8.087638164109897,8.087638164109897
confirm,s19_wc5_eta0p00023,50-60,5.0,0.00023,0.00011229082754573945,1.8021146925188896e-05,1.6310887857540887e-05,6.231058878321776,6.884409268611635,6.231058878321776
confirm,s19_wc5_eta0p00023,60-70,5.0,0.00023,0.00011265237762716916,3.3110260772137783e-05,2.402710977022183e-05,3.402340392376671,4.688553001359559,3.402340392376671
confirm,s19_wc5_eta0p00023,70-80,5.0,0.00023,0.0001126304785835667,2.170262114738068e-05,3.567660996969551e-05,5.189717768130521,3.1569837683355417,3.1569837683355417
confirm,s19_wc5_eta0p00023,80-90,5.0,0.00023,0.00011257039372123801,4.483139153169537e-05,7.199078373648301e-05,2.5109725546139208,1.5636778470601693,1.5636778470601693
confirm,s19_wc5_eta0p00023,90-100,5.0,0.00023,0.00011263494519409062,6.920104751391627e-05,8.472458303272247e-05,1.6276479799159085,1.3294246033714745,1.3294246033714745
confirm,s14_wc4_eta0p00023,0-10,4.0,0.00023,0.00013202981499072774,4.3334563470834977e-07,4.7248580380525563e-07,304.6755393753682,279.4365755063965,279.4365755063965
confirm,s14_wc4_eta0p00023,10-20,4.0,0.00023,0.00014229130389764792,2.047732502463178e-06,2.4653802452474924e-06,69.48725174137172,57.71576379422303,57.71576379422303
confirm,s14_wc4_eta0p00023,20-30,4.0,0.00023,0.00011009038006027192,4.142951048314171e-06,4.504122077206429e-06,26.57293769016879,24.44213948316267,24.44213948316267
confirm,s14_wc4_eta0p00023,30-40,4.0,0.00023,0.0001221882272202907,7.4612639122151985e-06,8.641946385578593e-06,16.376344364424693,14.1389707559624,14.1389707559624
confirm,s14_wc4_eta0p00023,40-50,4.0,0.00023,0.00011365912509535869,9.25026801243584e-06,1.2260358778239312e-05,12.287116972455076,9.27045669308554,9.27045669308554
confirm,s14_wc4_eta0p00023,50-60,4.0,0.00023,0.00011439868545890436,1.628971209301866e-05,1.6496421975825402e-05,7.022756743990128,6.934757465985614,6.934757465985614
confirm,s14_wc4_eta0p00023,60-70,4.0,0.00023,0.00011464404467402169,2.0015999114474243e-05,2.631146170211021e-05,5.727620390986065,4.3571902607306345,4.3571902607306345
confirm,s14_wc4_eta0p00023,70-80,4.0,0.00023,0.0001146108530536663,3.629950135218505e-05,3.5732892275028125e-05,3.1573671478759113,3.2074328652584865,3.1573671478759113
confirm,s14_wc4_eta0p00023,80-90,4.0,0.00023,0.00011456654799259007,5.8885467594583485e-05,4.4487364225938976e-05,1.945582716288532,2.575260413512888,1.945582716288532
confirm,s14_wc4_eta0p00023,90-100,4.0,0.00023,0.00011464581369042673,9.164894029063012e-05,8.05474138240977e-05,1.2509235057914547,1.4233332672951404,1.2509235057914547
confirm,s29_wc8_eta0p00023,0-10,8.0,0.00023,0.0001264291067377351,4.765743214659205e-07,4.111661254939527e-07,265.2872826820485,307.4891118178815,265.2872826820485
confirm,s29_wc8_eta0p00023,10-20,8.0,0.00023,0.00012590477558731476,1.9933325726990534e-06,1.981530588514976e-06,63.16295499894158,63.539153176369545,63.16295499894158
confirm,s29_wc8_eta0p00023,20-30,8.0,0.00023,0.00010675335084873803,3.962071375346409e-06,4.017656813800567e-06,26.94382325189799,26.57104770174558,26.57104770174558
confirm,s29_wc8_eta0p00023,30-40,8.0,0.00023,0.00010935711832046468,8.80912263522416e-06,6.913912548003333e-06,12.414076049207134,15.816965800651598,12.414076049207134
confirm,s29_wc8_eta0p00023,40-50,8.0,0.00023,0.00011002976582350555,1.1341691095150522e-05,1.1466575771737959e-05,9.701354489415785,9.595695176471034,9.595695176471034
confirm,s29_wc8_eta0p00023,50-60,8.0,0.00023,0.00010812054482814614,1.7538148442856183e-05,2.072209835279667e-05,6.164877961914327,5.217644612402591,5.217644612402591
confirm,s29_wc8_eta0p00023,60-70,8.0,0.00023,0.00010843289423160991,3.663421908406982e-05,3.0660177128884606e-05,2.959880050473393,3.536603646345425,2.959880050473393
confirm,s29_wc8_eta0p00023,70-80,8.0,0.00023,0.00010860750786512467,3.478145590220392e-05,3.998780217578167e-05,3.1225693418498555,2.716015933751469,2.716015933751469
confirm,s29_wc8_eta0p00023,80-90,8.0,0.00023,0.00010850928821740544,8.15750519454956e-05,5.0186362690705774e-05,1.330177371997335,2.162126968358692,1.330177371997335
confirm,s29_wc8_eta0p00023,90-100,8.0,0.00023,0.00010851019325979897,6.150316454712688e-05,7.650341432450568e-05,1.7643026022937873,1.4183705945401295,1.4183705945401295
confirm,s20_wc5_eta0p00026,0-10,5.0,0.00026,0.00014759418927184765,4.889188137494311e-07,6.022468667731985e-07,301.87872734938173,245.0725730839385,245.0725730839385
confirm,s20_wc5_eta0p00026,10-20,5.0,0.00026,0.00015565992813193187,2.1872651341037405e-06,2.1907063100677036e-06,71.16646523774791,71.05467648336723,71.05467648336723
confirm,s20_wc5_eta0p00026,20-30,5.0,0.00026,0.0001232014018934432,4.613056413624157e-06,5.358175414606936e-06,26.707109310343867,22.993163224478156,22.993163224478156
confirm,s20_wc5_eta0p00026,30-40,5.0,0.00026,0.00013359519064502784,8.948735580035222e-06,6.197758296948591e-06,14.928946044967619,21.555405074573848,14.928946044967619
confirm,s20_wc5_eta0p00026,40-50,5.0,0.00026,0.0001270012700566202,1.3949161819911032e-05,1.1170734809783455e-05,9.104580740854164,11.369106170651465,9.104580740854164
confirm,s20_wc5_eta0p00026,50-60,5.0,0.00026,0.00012704029633815443,1.8060234361551623e-05,1.5489526951766236e-05,7.034255137276077,8.201689873018898,7.034255137276077
confirm,s20_wc5_eta0p00026,60-70,5.0,0.00026,0.00012745565260603373,3.7392066630571656e-05,2.8849419006988046e-05,3.4086281955281477,4.417962544589227,3.4086281955281477
confirm,s20_wc5_eta0p00026,70-80,5.0,0.00026,0.00012743395424479287,4.961059530367757e-05,4.613478092291537e-05,2.5686842390167075,2.762210022362885,2.5686842390167075
confirm,s20_wc5_eta0p00026,80-90,5.0,0.00026,0.00012737116499351005,6.179488806486019e-05,5.637486379204219e-05,2.0611925837590435,2.2593609354580755,2.0611925837590435
confirm,s20_wc5_eta0p00026,90-100,5.0,0.00026,0.00012744874623371794,9.614511606988109e-05,8.796680783104559e-05,1.3255873147116954,1.448827681442116,1.3255873147116954
