catalog_id,generation,selection_status,version,case_id,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,Q_0_40,Q_40_end,Q_0_60,min_window_Q,projected_ntraj_Q10,selection_score,rank,source
coarse_c04_wc0p5_eta0p001,previous_grid,retained_top30,v0.61,c04_wc0p5_eta0p001,0.5,0.001,-17.1948749688398,500000,2,50.0,0.0005996398289119288,0.00027029314360559905,0.00028356597873540826,2.218479614070046,2.1146395332263923,2.1146395332263923,,,,1.0395964907486253,11181429,0.5195721847263746,1,v0.61 coarse grid with matching exact QM
coarse_c15_wc2_eta0p0003,previous_grid,retained_top30,v0.61,c15_wc2_eta0p0003,2.0,0.0003,-17.1948749688398,500000,2,50.0,0.00017001009830712989,4.6739984689362805e-05,4.38509479441794e-05,3.637358878849209,3.876999387186483,3.637358878849209,,,,1.8538732618868914,3779182,0.47586944716460655,2,v0.61 coarse grid with matching exact QM
coarse_c10_wc1_eta0p001,previous_grid,retained_top30,v0.61,c10_wc1_eta0p001,1.0,0.001,-17.1948749688398,500000,2,50.0,0.0005930416840857331,0.0003064566837838093,0.00028774622066224197,1.9351566321330294,2.0609886125380203,1.9351566321330294,,,,0.9805780428151654,13351737,0.47284961863791536,3,v0.61 coarse grid with matching exact QM
coarse_c22_wc4_eta0p001,previous_grid,retained_top30,v0.61,c22_wc4_eta0p001,4.0,0.001,-17.1948749688398,500000,2,50.0,0.0005466131605331147,0.0002927748744660858,0.0002806151889818914,1.867008436191586,1.947910098937619,1.867008436191586,,,,0.8821304693716998,14344237,0.43797632224989663,4,v0.61 coarse grid with matching exact QM
coarse_c09_wc1_eta0p0003,previous_grid,retained_top30,v0.61,c09_wc1_eta0p0003,1.0,0.0003,-17.1948749688398,500000,2,50.0,0.00017410577221005672,5.387019634034016e-05,4.915221125189995e-05,3.231949835677123,3.5421757795958113,3.231949835677123,,,,1.7821808761991864,4786751,0.42789331977266815,5,v0.61 coarse grid with matching exact QM
coarse_c03_wc0p5_eta0p0003,previous_grid,retained_top30,v0.61,c03_wc0p5_eta0p0003,0.5,0.0003,-17.1948749688398,500000,2,50.0,0.0001760651700983466,5.61618092875232e-05,5.0831202962461374e-05,3.1349625721096723,3.4637222776012204,3.1349625721096723,,,,1.6094620079161726,5087511,0.4173816924341218,6,v0.61 coarse grid with matching exact QM
coarse_c33_wc10_eta0p0003,previous_grid,retained_top30,v0.61,c33_wc10_eta0p0003,10.0,0.0003,-17.1948749688398,500000,2,50.0,0.0001481633573049844,4.367442206188902e-05,3.933695428094957e-05,3.3924514695358514,3.7665182781255186,3.3924514695358514,,,,1.6915700927354356,4344530,0.41433188802929183,7,v0.61 coarse grid with matching exact QM
coarse_c27_wc7_eta0p0003,previous_grid,retained_top30,v0.61,c27_wc7_eta0p0003,7.0,0.0003,-17.1948749688398,500000,2,50.0,0.00015285654348195902,4.070909040890497e-05,4.725100625664748e-05,3.7548503773133235,3.234990227545778,3.234990227545778,,,,1.627703470548357,4777758,0.40130937058420524,8,v0.61 coarse grid with matching exact QM
coarse_c28_wc7_eta0p001,previous_grid,retained_top30,v0.61,c28_wc7_eta0p001,7.0,0.001,-17.1948749688398,500000,2,50.0,0.0005125109460701683,0.0002569145833770462,0.0002948136395596081,1.9948690313076176,1.7384234556981686,1.7384234556981686,,,,0.8316442599022743,16544699,0.3948857446066021,9,v0.61 coarse grid with matching exact QM
coarse_c21_wc4_eta0p0003,previous_grid,retained_top30,v0.61,c21_wc4_eta0p0003,4.0,0.0003,-17.1948749688398,500000,2,50.0,0.00016202715907092248,4.0425070476884453e-05,5.334565339790704e-05,4.008086001076277,3.03730761084425,3.03730761084425,,,,1.528534598903859,5419915,0.3879243108254714,10,v0.61 coarse grid with matching exact QM
