rank,stage,case_id,version,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,qm_signal_peak,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,Q_0_40,Q_40_end,Q_0_60,projected_ntraj_Q10,occupation_min,occupation_max,max_particle_error,min_window_Q,selection_score
1,screen,s13_wc4_eta0p0002,v0.61,4.0,0.0002,-17.1948749688398,2000000,3,75.0,0.00010516921614073962,0.000565182255689578,2.2958097421595154e-05,2.243922904947336e-05,4.58092037024871,4.686846232946131,4.58092037024871,13.346724501873998,3.0352689484900286,7.76069549359886,9530694,-0.0001817604040994652,1.0003451699010641,1.3788348240950654e-10,1.7425373257324583,3.9190962241082254
2,screen,s19_wc5_eta0p00023,v0.61,5.0,0.00023,-17.1948749688398,2000000,3,75.0,0.00011856294601028554,0.0006394789585212335,2.7824944035935755e-05,2.6963631207733e-05,4.261030888585514,4.397143140582728,4.261030888585514,13.167994766134768,2.857137835533204,7.7176935221627865,11015410,-0.000317549111168718,1.0000557303111388,1.5063061908904274e-10,1.6351012485187064,3.870597743373453
3,screen,s14_wc4_eta0p00023,v0.61,4.0,0.00023,-17.1948749688398,2000000,3,75.0,0.00012102749006756801,0.0006498637496635817,2.8542995765694424e-05,3.138733269849078e-05,4.240181761615572,3.8559342149321103,3.8559342149321103,12.53686937221115,2.561439139943952,5.640268692584927,13451502,-0.00025588672758472157,1.0003640029646577,1.517577175036422e-10,1.6875025566532895,3.538836475070029
4,screen,s29_wc8_eta0p00023,v0.61,8.0,0.00023,-17.1948749688398,2000000,3,75.0,0.00011316476796191414,0.0006134510454929298,2.8399652656531142e-05,2.6589699506972114e-05,3.9847236630159752,4.255962649455331,3.9847236630159752,12.897856155645789,2.7009951319789947,6.721762441136221,12596027,-0.00023589477133561487,1.000136347308561,1.50416568089895e-10,2.014925478265978,3.5362478231553984
5,screen,s20_wc5_eta0p00026,v0.61,5.0,0.00026,-17.1948749688398,2000000,3,75.0,0.0001340958793308699,0.0007227821300278547,3.70543383048752e-05,3.1906847987210265e-05,3.618898230689146,4.202730378902413,3.618898230689146,14.305990850163685,2.392654348299491,6.177616228519118,15271344,-0.0001943249729794951,1.000107533139233,1.0441958409046492e-10,1.5167421339202423,3.496012301330868
6,screen,s18_wc5_eta0p0002,v0.61,5.0,0.0002,-17.1948749688398,2000000,3,75.0,0.00010304620062186315,0.0005561510746459053,2.3948403251996927e-05,2.4963573522730495e-05,4.302842220316742,4.1278625645496945,4.1278625645496945,13.958272875809186,2.748946698854957,6.332291994466521,11737607,-0.00025193112988864075,1.0001762670557823,1.3811884969072707e-10,1.76973141420553,3.4956672575974745
7,screen,s17_wc5_eta0p00017,v0.61,5.0,0.00017,-17.1948749688398,2000000,3,75.0,8.754544193063986e-05,0.00047279847419468,1.9856503887884452e-05,2.0014313322914585e-05,4.408905133801332,4.374141671421134,4.374141671421134,11.948910926052038,2.937230650799464,5.96979626766614,10453081,-0.00014363395622827186,1.0001528709901333,1.5653878193688797e-10,2.256565914794836,3.4142748607195177
8,screen,s12_wc4_eta0p00017,v0.61,4.0,0.00017,-17.1948749688398,2000000,3,75.0,8.933322187003263e-05,0.00048047576683307724,2.0947142930600445e-05,1.981838009120364e-05,4.264697203146067,4.507594538954425,4.264697203146067,11.384597861842499,2.874845904696149,7.151335181357227,10996478,-0.00013288911495825894,1.0000556766431519,1.575051200575217e-10,1.561335321793583,3.362664706655989
9,screen,s24_wc6_eta0p00023,v0.61,6.0,0.00023,-17.1948749688398,2000000,3,75.0,0.00011642676008818754,0.0006298559787810687,3.1271415101926633e-05,2.8971589551851078e-05,3.723104941324337,4.018652821234267,3.723104941324337,9.181643303855916,2.5539679954113628,5.408858902469544,14428443,-0.00018488263388935725,1.0001366238818996,1.5086421001342387e-10,1.5660767484261517,3.3513558907174357
10,screen,s23_wc6_eta0p0002,v0.61,6.0,0.0002,-17.1948749688398,2000000,3,75.0,0.00010120134440531825,0.0005477823785267066,2.2675406670259417e-05,2.53928309488404e-05,4.4630442962706285,3.9854297698910077,3.9854297698910077,13.594070125668939,2.671134166071986,5.743325354926171,12591564,-0.00014344412010707606,1.000030613872564,1.3652545760578505e-10,1.6691290512374182,3.3446999764225382
11,screen,s10_wc3_eta0p00026,v0.61,3.0,0.00026,-17.1948749688398,2000000,3,75.0,0.0001401072927594967,0.0007470325487387575,4.1387594991381666e-05,3.6952202447483346e-05,3.385248473332937,3.791581650880428,3.385248473332937,13.118294504742348,2.235412494378447,5.700033764520818,17452149,-0.00034441632643247556,1.0002485602731974,1.0383516269030224e-10,1.5426230085110073,3.3427953338410368
12,screen,s09_wc3_eta0p00023,v0.61,3.0,0.00023,-17.1948749688398,2000000,3,75.0,0.00012381696697122852,0.0006609334235005981,3.18178003066526e-05,3.5005992865048276e-05,3.891437050264608,3.537022002162765,3.537022002162765,11.68259339550384,2.3325469240598213,5.332092332917338,15986540,-0.00030138870177305566,1.0002456939137796,1.4852918894803224e-10,1.3937337026841208,3.2833464266527357
13,screen,s04_wc2_eta0p00023,v0.61,2.0,0.00023,-17.1948749688398,2000000,3,75.0,0.00012691652377412257,0.0006726370335800036,3.64880212908269e-05,3.513894383205834e-05,3.47830655881659,3.611847993516889,3.47830655881659,13.739388931596396,2.291479651635566,6.436487452085393,16530816,-0.0003037287822036258,1.00029216609279,1.5037215916891e-10,1.386244851507942,3.2690066608368262
14,screen,s15_wc4_eta0p00026,v0.61,4.0,0.00026,-17.1948749688398,2000000,3,75.0,0.00013690838753275405,0.0007345202529926986,4.110888054988945e-05,3.485516293351941e-05,3.3303847173995162,3.9279227526173,3.3303847173995162,12.07535726991003,2.1959417243278416,6.404931507798073,18031888,-0.0004047361749475241,1.000396860904644,1.0397016581009666e-10,1.3739863305720004,3.2508602364477017
15,screen,s16_wc5_eta0p00014,v0.61,5.0,0.00014,-17.1948749688398,2000000,3,75.0,7.206046808344331e-05,0.00038942115296758395,1.5863084045080083e-05,1.5382824587154227e-05,4.542651849959326,4.684475706992006,4.542651849959326,12.057138753938888,3.0681961054235596,6.360786305313521,9691949,-0.00011759051997435333,1.0000222470088158,1.3014389566023965e-10,1.7769504774961855,3.216968872773381
16,screen,s21_wc6_eta0p00014,v0.61,6.0,0.00014,-17.1948749688398,2000000,3,75.0,7.078650173662585e-05,0.0003835618228416049,1.4969910366550317e-05,1.6178641717413505e-05,4.728585542822991,4.375305601856332,4.375305601856332,13.252247718331096,2.926638666158525,5.903177085970028,10447520,-9.741397590423989e-05,1.0000186888866622,1.3001066889728463e-10,1.7042532304403697,3.070948145651466
17,screen,s02_wc2_eta0p00017,v0.61,2.0,0.00017,-17.1948749688398,2000000,3,75.0,9.353140720081721e-05,0.0004973115066687628,2.415980337455516e-05,2.476462683026497e-05,3.8713645864901145,3.7768147221387576,3.7768147221387576,13.617605832195201,2.5027975411797168,6.0198759386016585,14020989,-0.00018350444295362357,1.0002031913801366,1.5735412972617269e-10,1.5675184083153206,3.0471461179965407
18,screen,s30_wc8_eta0p00026,v0.61,8.0,0.00026,-17.1948749688398,2000000,3,75.0,0.00012795785837875173,0.0006933625073568539,3.9754793299747174e-05,3.8960668445769954e-05,3.2186774916413787,3.284282931563624,3.2186774916413787,14.054117662954381,2.143344174943987,5.934328424105888,19305234,-0.0004360067951086382,1.0000855082920066,1.0393819138698746e-10,1.5158306122640264,3.0373847629946225
19,screen,s11_wc4_eta0p00014,v0.61,4.0,0.00014,-17.1948749688398,2000000,3,75.0,7.351916182679316e-05,0.0003957442788589116,1.7622604127404547e-05,1.7042531306842774e-05,4.1718670688666855,4.313863973790934,4.1718670688666855,12.852399854189228,2.7757321239525417,6.580474112395232,11491298,-0.00022981739368460043,1.0001329857304857,1.2947332095336606e-10,1.7961896698906283,2.9841427957797566
20,screen,s01_wc2_eta0p00014,v0.61,2.0,0.00014,-17.1948749688398,2000000,3,75.0,7.691546074520167e-05,0.00040961036993314437,1.759978641943848e-05,1.8959557759929666e-05,4.3702496673624776,4.056817237992739,4.056817237992739,12.168013854093612,2.6940819141652725,6.199279052380396,12152318,-0.0001422606900299255,1.000091806831477,1.3013146116236385e-10,1.7168154259025477,2.9681177870640885
