stage,case_id,window,wc_eV,eta,signal_rms,error_rms_vs_qm,repeat_noise_rms,Q_accuracy,Q_repeat,Q_conservative
screen,s01_wc2_eta0p00014,0-10,2.0,0.00014,8.226021151221527e-05,5.825029633276204e-07,5.657632829191482e-07,141.2185288162203,145.39687179376548,141.2185288162203
screen,s01_wc2_eta0p00014,10-20,2.0,0.00014,9.235674995103966e-05,2.0000799805047464e-06,2.512792370018424e-06,46.17652836449681,36.754628457568295,36.754628457568295
screen,s01_wc2_eta0p00014,20-30,2.0,0.00014,6.915718444321525e-05,5.680644640785549e-06,5.6879004128029555e-06,12.174178956149568,12.158648960792036,12.158648960792036
screen,s01_wc2_eta0p00014,30-40,2.0,0.00014,7.795587496510572e-05,1.1590278023983128e-05,1.0028390337140783e-05,6.725971094377193,7.773518216217728,6.725971094377193
screen,s01_wc2_eta0p00014,40-50,2.0,0.00014,7.295117597478336e-05,1.574186340500855e-05,1.500787774548114e-05,4.634214774826001,4.860858891041333,4.634214774826001
screen,s01_wc2_eta0p00014,50-60,2.0,0.00014,7.151871386368855e-05,2.3323322785813916e-05,2.1215609771311616e-05,3.066403295982715,3.371042106948927,3.066403295982715
screen,s01_wc2_eta0p00014,60-70,2.0,0.00014,7.311734271390505e-05,2.7977092366241737e-05,3.178198479981125e-05,2.613471827477373,2.300590827616886,2.300590827616886
screen,s01_wc2_eta0p00014,70-75,2.0,0.00014,7.23201271836172e-05,3.301452869437858e-05,4.212457908548775e-05,2.1905545844103247,1.7168154259025477,1.7168154259025477
screen,s02_wc2_eta0p00017,0-10,2.0,0.00017,9.988116632742495e-05,6.964802193488815e-07,9.69406510723028e-07,143.4084752913742,103.03331494331411,103.03331494331411
screen,s02_wc2_eta0p00017,10-20,2.0,0.00017,0.00011215119815146285,2.5875811204445963e-06,2.9995473512084173e-06,43.34209940911654,37.38937413549444,37.38937413549444
screen,s02_wc2_eta0p00017,20-30,2.0,0.00017,8.403036994992068e-05,6.94057014999994e-06,6.165494012782867e-06,12.10712782002807,13.629138196501565,12.10712782002807
screen,s02_wc2_eta0p00017,30-40,2.0,0.00017,9.478915842566513e-05,1.2252379241483368e-05,1.2533112498294412e-05,7.736387893114972,7.56309802840792,7.56309802840792
screen,s02_wc2_eta0p00017,40-50,2.0,0.00017,8.875604073422411e-05,1.996831965541741e-05,1.667984385707876e-05,4.444842744198787,5.32115537140097,4.444842744198787
screen,s02_wc2_eta0p00017,50-60,2.0,0.00017,8.709138307908851e-05,2.5856141128821104e-05,3.126219459170313e-05,3.368305527308954,2.7858371498398338,2.7858371498398338
screen,s02_wc2_eta0p00017,60-70,2.0,0.00017,8.908121624685241e-05,3.741877485514971e-05,4.1672894334448664e-05,2.380655609161205,2.1376296911830748,2.1376296911830748
screen,s02_wc2_eta0p00017,70-75,2.0,0.00017,8.814345387117128e-05,5.62312081335637e-05,5.5407265725406366e-05,1.5675184083153206,1.59082843589508,1.5675184083153206
screen,s03_wc2_eta0p0002,0-10,2.0,0.0002,0.00011749992997895801,1.0377629236479996e-06,7.891030119885039e-07,113.224251224852,148.90315737467978,113.224251224852
screen,s03_wc2_eta0p0002,10-20,2.0,0.0002,0.00013194701754050105,3.460903031329325e-06,3.4422417514805872e-06,38.12502585194376,38.33171144465597,38.12502585194376
screen,s03_wc2_eta0p0002,20-30,2.0,0.0002,9.892312299279848e-05,8.704900965189109e-06,8.69656523072419e-06,11.36407219202056,11.374964755431478,11.36407219202056
screen,s03_wc2_eta0p0002,30-40,2.0,0.0002,0.00011166919917457903,1.256316415491582e-05,1.4189229506912553e-05,8.888620557495795,7.869997389229433,7.869997389229433
