rank,stage,case_id,param_id,origin,random_seed,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,total_forward_paths,back_replicas,tmax,signal_rms_0_200,poisson_rms_vs_qm_0_200,repeat_noise_of_mean_0_200,Q_accuracy_0_200_all,Q_repeat_0_200_all,Q_0_200_all,Q_accuracy_0_50,Q_repeat_0_50,Q_0_50,Q_accuracy_50_100,Q_repeat_50_100,Q_50_100,Q_accuracy_100_150,Q_repeat_100_150,Q_100_150,Q_accuracy_0_150,Q_repeat_0_150,Q_0_150,Q_accuracy_150_200,Q_repeat_150_200,Q_150_200,Q_accuracy_0_200,Q_repeat_0_200,Q_0_200,min_10au_window_Q_0_150,passes_Q0_150_gt_10,projected_ntraj_per_repeat_Q10_0_150,occupation_min,occupation_max,max_particle_error
1,confirm4,f01_random_promoted,f01_random_promoted,random_promoted,20260817,3.351907,3.1184e-05,-17.1948749688398,16000000,3,48000000,32,200.0,1.5953806818607077e-05,2.8947628427800596e-06,2.362036758276902e-06,5.511265580321402,6.754258485903211,5.511265580321402,60.00495667585915,60.22133698070868,60.00495667585915,12.812466193140875,19.938938893317644,12.812466193140875,7.2192839436826715,6.761616593313799,6.761616593313799,11.244154919896413,11.358407635328824,11.244154919896413,2.987081116012964,3.8537978584274573,2.987081116012964,5.511265580321402,6.754258485903211,5.511265580321402,4.585585765659883,True,12655123,-2.0373891831875445e-05,1.0000045003897104,2.2167165880659923e-09
1,confirm2,d01_random,d01_random,random,20260816,3.38946,2.961e-05,-17.1948749688398,24000000,3,72000000,12,200.0,1.5136776369601932e-05,2.5369267367697037e-06,3.0080018358515127e-06,5.966580015974665,5.032169923964483,5.032169923964483,54.26498343805755,44.57510678528105,44.57510678528105,12.750193571079384,11.913298644826003,11.913298644826003,6.1755216520455,5.930639364435793,5.930639364435793,9.868264488271631,9.400466734903617,9.400466734903617,3.4263548516187314,2.7780919279547054,2.7780919279547054,5.966580015974665,5.032169923964483,5.032169923964483,4.366732725130222,False,27158915,-2.332278543210322e-05,1.0000039822228073,1.3494050321583018e-09
1,confirm,c02_random_prev,c02_random_prev,validate_rank2_random,20260814,3.363696,3.2474e-05,-17.1948749688398,24000000,3,72000000,12,200.0,1.661106598841779e-05,3.734093268244751e-06,3.4511415180463733e-06,4.448487168138142,4.813209166172069,4.448487168138142,45.21063683369313,49.415647539547216,45.21063683369313,10.646876284831048,12.138508938342758,10.646876284831048,5.765637014542306,5.53841363245878,5.53841363245878,9.030434785213204,8.933101410954643,8.933101410954643,2.4124504428728466,2.667780433561573,2.4124504428728466,4.448487168138142,4.813209166172069,4.448487168138142,3.358985902674143,False,30075075,-3.274243547357762e-05,1.0000061840587313,1.4600054498714599e-09
2,confirm2,d02_random,d02_random,random,20260816,3.395537,3.1358e-05,-17.1948749688398,24000000,3,72000000,12,200.0,1.602979768393706e-05,2.4316534643043043e-06,3.4599159197597915e-06,6.592139019497658,4.633002088978493,4.633002088978493,51.44634652551518,45.386152269692246,45.386152269692246,13.04222464055976,12.517804496630207,12.517804496630207,5.821979560834264,5.005434375445296,5.005434375445296,9.424106090124104,8.239435428573273,8.239435428573273,4.065325577155349,2.5972668620293926,2.5972668620293926,6.592139019497658,4.633002088978493,4.633002088978493,3.7396778511714217,False,35352191,-5.16714272037707e-05,1.0000045192463938,1.2351986100611612e-09
2,confirm,c04_random_new,c04_random_new,random,20260815,3.378462,3.3191e-05,-17.1948749688398,24000000,3,72000000,12,200.0,1.6973657633604777e-05,3.832932152785113e-06,3.2487193648740815e-06,4.428374142044558,5.224722645214591,4.428374142044558,48.75491682335184,48.78842697672306,48.75491682335184,11.884756838004597,13.565219983302892,11.884756838004597,5.377914597705047,4.929089479234087,4.929089479234087,8.722026296317908,8.2176093418263,8.2176093418263,2.419595370846165,3.0753016653176455,2.419595370846165,4.428374142044558,5.224722645214591,4.428374142044558,4.0023270143105245,False,35540233,-2.7957053881156298e-05,1.0000050018438498,1.2358087886354951e-09
3,confirm,c01_known,c01_known,validate_rank1,0,3.4,3.4e-05,-17.1948749688398,24000000,3,72000000,12,200.0,1.7380963098473893e-05,3.3037945469377175e-06,3.65471076651739e-06,5.260909191397595,4.7557698020071735,4.7557698020071735,44.360806779873556,50.50625707297284,44.360806779873556,17.207196550160997,13.180343657076536,13.180343657076536,6.890891161132716,4.856581951565929,4.856581951565929,11.289245534807813,8.087462441105739,8.087462441105739,2.808871120863107,2.7094181891224545,2.7094181891224545,5.260909191397595,4.7557698020071735,4.7557698020071735,2.9119882678418847,False,36693293,-4.0657282877461995e-05,1.0000298746421583,1.446990971487594e-09
4,confirm,c03_random_new,c03_random_new,random,20260815,3.313144,3.4759e-05,-17.1948749688398,24000000,3,72000000,12,200.0,1.7798777143716514e-05,4.522838482825762e-06,3.92845147721662e-06,3.935311245648609,4.5307361556944254,3.935311245648609,46.769861933690926,49.79728238340579,46.769861933690926,15.130822082854582,14.87236694681889,14.87236694681889,4.217228658071468,5.952151461945633,4.217228658071468,7.225379961926468,9.787872054571316,7.225379961926468,2.1893246291507475,2.424132732155146,2.1893246291507475,3.935311245648609,4.5307361556944254,3.935311245648609,3.0955176928790227,False,45971626,-3.470883650146993e-05,1.0000349128811417,1.44315226435765e-09
1,validate,v03_known,v03_known,known_neighbor,0,3.4,3.4e-05,-17.1948749688398,8000000,3,24000000,12,200.0,1.7380963110540514e-05,8.67976561246323e-06,5.738873342495414e-06,2.0024691779214963,3.028636820024819,2.0024691779214963,27.845717491751245,24.86828331289495,24.86828331289495,5.799998827811005,8.105531370255068,5.799998827811005,3.7140984565237463,3.403441247441446,3.403441247441446,5.542745661388528,5.548898780648742,5.542745661388528,1.0339119977899367,1.6866041874388669,1.0339119977899367,2.0024691779214963,3.028636820024819,2.0024691779214963,2.526627153218272,False,26039947,-7.64259854930254e-05,1.0000933148592503,4.3353143297508723e-10
2,validate,v05_random,v05_random,random,20260814,3.363696,3.2474e-05,-17.1948749688398,8000000,3,24000000,12,200.0,1.661106598841779e-05,5.025127109970949e-06,6.765327942933497e-06,3.3056011569255253,2.455323101634465,2.455323101634465,32.535731887812055,26.362698858237458,26.362698858237458,6.742141093735316,7.3412977653304825,6.742141093735316,3.657628113654914,3.371474125076614,3.371474125076614,5.7048000805042145,5.4237217903850246,5.4237217903850246,1.8756792258709905,1.3085577408851095,1.3085577408851095,3.3056011569255253,2.455323101634465,2.455323101634465,2.480011146960273,False,27195383,-5.729394358238381e-05,1.0000593421466084,4.747642279312458e-10
3,validate,v01_known,v01_known,known_best,0,3.2,4e-05,-17.1948749688398,8000000,3,24000000,12,200.0,2.0532105251311873e-05,8.812379078469376e-06,9.09436237437772e-06,2.329916253997337,2.2576739749406323,2.2576739749406323,26.567444877748045,28.586447749457996,26.567444877748045,6.940258158260618,6.737592095393369,6.737592095393369,3.082748100477461,2.992068881559825,2.992068881559825,4.994574137368093,4.861593472620425,4.861593472620425,1.2481219296154007,1.2089431652046503,1.2089431652046503,2.329916253997337,2.2576739749406323,2.2576739749406323,2.0055208538166998,False,33847977,-9.739236964156979e-05,1.0000823248640198,4.4780090746598944e-10
