stage,case_id,window,wc_eV,eta,back_replicas,Q_accuracy,Q_repeat,Q_conservative
confirm3,e01_best_b16,0-10,3.38946,2.961e-05,16,158.53261896005648,180.66216469946139,158.53261896005648
confirm3,e01_best_b16,10-20,3.38946,2.961e-05,16,46.516218894454795,42.90199735075039,42.90199735075039
confirm3,e01_best_b16,20-30,3.38946,2.961e-05,16,17.02452421608906,14.42877830042823,14.42877830042823
confirm3,e01_best_b16,30-40,3.38946,2.961e-05,16,12.391367488941139,13.623351509761362,12.391367488941139
confirm3,e01_best_b16,40-50,3.38946,2.961e-05,16,7.815379247279734,8.427231344493425,7.815379247279734
confirm3,e01_best_b16,50-60,3.38946,2.961e-05,16,7.573972807244179,10.278068904884785,7.573972807244179
confirm3,e01_best_b16,60-70,3.38946,2.961e-05,16,5.212104938167188,9.66591428597686,5.212104938167188
confirm3,e01_best_b16,70-80,3.38946,2.961e-05,16,6.036238405095047,4.503482401052781,4.503482401052781
confirm3,e01_best_b16,80-90,3.38946,2.961e-05,16,3.5778691133228295,5.598263659207819,3.5778691133228295
confirm3,e01_best_b16,90-100,3.38946,2.961e-05,16,2.709285479953908,2.7054535425608823,2.7054535425608823
confirm3,e01_best_b16,100-110,3.38946,2.961e-05,16,3.8358578995464643,2.1773885019584425,2.1773885019584425
confirm3,e01_best_b16,110-120,3.38946,2.961e-05,16,2.4227500832822115,3.209569396762773,2.4227500832822115
confirm3,e01_best_b16,120-130,3.38946,2.961e-05,16,2.108717878765178,2.200752541573299,2.108717878765178
confirm3,e01_best_b16,130-140,3.38946,2.961e-05,16,2.113129139876882,1.3693568165932106,1.3693568165932106
confirm3,e01_best_b16,140-150,3.38946,2.961e-05,16,1.5846825467858598,1.6330359338583926,1.5846825467858598
confirm3,e02_best_b24,0-10,3.38946,2.961e-05,24,195.26803449122977,138.3482612085171,138.3482612085171
confirm3,e02_best_b24,10-20,3.38946,2.961e-05,24,66.51355133898169,58.167539194912436,58.167539194912436
confirm3,e02_best_b24,20-30,3.38946,2.961e-05,24,23.33321515251488,23.81003627881465,23.33321515251488
confirm3,e02_best_b24,30-40,3.38946,2.961e-05,24,15.596725069987533,15.260797825381522,15.260797825381522
confirm3,e02_best_b24,40-50,3.38946,2.961e-05,24,10.234689361444824,11.037802719226445,10.234689361444824
confirm3,e02_best_b24,50-60,3.38946,2.961e-05,24,9.55681613435554,7.933119184246042,7.933119184246042
confirm3,e02_best_b24,60-70,3.38946,2.961e-05,24,7.948269671800781,6.791411767522991,6.791411767522991
confirm3,e02_best_b24,70-80,3.38946,2.961e-05,24,9.343021003611575,5.424615844335744,5.424615844335744
confirm3,e02_best_b24,80-90,3.38946,2.961e-05,24,6.133978603209211,5.259000483720466,5.259000483720466
confirm3,e02_best_b24,90-100,3.38946,2.961e-05,24,4.550160529373293,4.059026405636971,4.059026405636971
confirm3,e02_best_b24,100-110,3.38946,2.961e-05,24,4.331900265980021,4.593349052935117,4.331900265980021
confirm3,e02_best_b24,110-120,3.38946,2.961e-05,24,3.12082476421893,2.6741723212786135,2.6741723212786135
confirm3,e02_best_b24,120-130,3.38946,2.961e-05,24,1.7794764445342972,1.7330755387128527,1.7330755387128527
confirm3,e02_best_b24,130-140,3.38946,2.961e-05,24,3.795218037070768,2.545193583594534,2.545193583594534
