stage,case_id,window,wc_eV,eta,back_replicas,Q_accuracy,Q_repeat,Q_conservative
confirm,c01_known,0-10,3.4,3.4e-05,12,469.62458871130843,596.7387715590328,469.62458871130843
confirm,c01_known,10-20,3.4,3.4e-05,12,175.88863820742935,145.61350312250877,145.61350312250877
confirm,c01_known,20-30,3.4,3.4e-05,12,51.446138359496885,56.77018709339929,51.446138359496885
confirm,c01_known,30-40,3.4,3.4e-05,12,34.71926952911569,40.58586497549961,34.71926952911569
confirm,c01_known,40-50,3.4,3.4e-05,12,24.199899546621296,28.156781377797277,24.199899546621296
confirm,c01_known,50-60,3.4,3.4e-05,12,15.266670461808678,18.871679419082433,15.266670461808678
confirm,c01_known,60-70,3.4,3.4e-05,12,17.422848218589362,22.70586944810491,17.422848218589362
confirm,c01_known,70-80,3.4,3.4e-05,12,20.72611594644438,16.3115646404069,16.3115646404069
confirm,c01_known,80-90,3.4,3.4e-05,12,18.912698315738425,10.218975529916918,10.218975529916918
confirm,c01_known,90-100,3.4,3.4e-05,12,15.01461951942107,9.45836679776847,9.45836679776847
confirm,c01_known,100-110,3.4,3.4e-05,12,12.692295970270244,13.276753722177991,12.692295970270244
confirm,c01_known,110-120,3.4,3.4e-05,12,8.357164252985402,11.746520193804539,8.357164252985402
confirm,c01_known,120-130,3.4,3.4e-05,12,6.083545993176383,6.763422161577729,6.083545993176383
confirm,c01_known,130-140,3.4,3.4e-05,12,7.316259328116422,2.9119882678418847,2.9119882678418847
confirm,c01_known,140-150,3.4,3.4e-05,12,5.16197721839084,4.102211613816043,4.102211613816043
confirm,c02_random_prev,0-10,3.363696,3.2474e-05,12,578.1499336274048,575.136207783842,575.136207783842
confirm,c02_random_prev,10-20,3.363696,3.2474e-05,12,130.0807261075744,127.39984967487264,127.39984967487264
confirm,c02_random_prev,20-30,3.363696,3.2474e-05,12,54.77374420924534,55.98318237611743,54.77374420924534
confirm,c02_random_prev,30-40,3.363696,3.2474e-05,12,33.65788775083214,43.3238446791324,33.65788775083214
confirm,c02_random_prev,40-50,3.363696,3.2474e-05,12,25.634914875352983,26.567017666667255,25.634914875352983
confirm,c02_random_prev,50-60,3.363696,3.2474e-05,12,12.818855702044452,17.75175799041113,12.818855702044452
confirm,c02_random_prev,60-70,3.363696,3.2474e-05,12,17.60640053600089,17.88521690418426,17.60640053600089
confirm,c02_random_prev,70-80,3.363696,3.2474e-05,12,17.070546943691998,11.30677071078565,11.30677071078565
confirm,c02_random_prev,80-90,3.363696,3.2474e-05,12,9.31462751152829,8.449882411647527,8.449882411647527
confirm,c02_random_prev,90-100,3.363696,3.2474e-05,12,7.267400419618901,13.820232299986221,7.267400419618901
confirm,c02_random_prev,100-110,3.363696,3.2474e-05,12,10.030170694310742,9.073123385955414,9.073123385955414
confirm,c02_random_prev,110-120,3.363696,3.2474e-05,12,9.417686934587788,8.374098986930019,8.374098986930019
confirm,c02_random_prev,120-130,3.363696,3.2474e-05,12,7.227294814285187,5.792815549034227,5.792815549034227
confirm,c02_random_prev,130-140,3.363696,3.2474e-05,12,7.324591086363033,5.0483910781549755,5.0483910781549755
confirm,c02_random_prev,140-150,3.363696,3.2474e-05,12,3.358985902674143,3.7794969660304645,3.358985902674143
confirm,c03_random_new,0-10,3.313144,3.4759e-05,12,453.9984806711659,430.9836387908885,430.9836387908885
confirm,c03_random_new,10-20,3.313144,3.4759e-05,12,151.49484140964682,164.05589095313465,151.49484140964682
confirm,c03_random_new,20-30,3.313144,3.4759e-05,12,57.085213639310886,56.60184488428345,56.60184488428345
confirm,c03_random_new,30-40,3.313144,3.4759e-05,12,40.408959477543505,45.99735497434225,40.408959477543505
confirm,c03_random_new,40-50,3.313144,3.4759e-05,12,24.235983638571746,25.866474893726487,24.235983638571746
confirm,c03_random_new,50-60,3.313144,3.4759e-05,12,23.316291936937844,26.030395525803876,23.316291936937844
confirm,c03_random_new,60-70,3.313144,3.4759e-05,12,19.795911426965926,32.72701237555904,19.795911426965926
confirm,c03_random_new,70-80,3.313144,3.4759e-05,12,16.89594737769783,16.14336229367493,16.14336229367493
confirm,c03_random_new,80-90,3.313144,3.4759e-05,12,13.215248759719149,11.28439199939384,11.28439199939384
confirm,c03_random_new,90-100,3.313144,3.4759e-05,12,11.249467815661225,10.874876554955902,10.874876554955902
confirm,c03_random_new,100-110,3.313144,3.4759e-05,12,7.723895951892858,10.686795187515811,7.723895951892858
confirm,c03_random_new,110-120,3.313144,3.4759e-05,12,6.632730251636808,7.399964565273354,6.632730251636808
confirm,c03_random_new,120-130,3.313144,3.4759e-05,12,4.272269264662867,6.014178231431298,4.272269264662867
confirm,c03_random_new,130-140,3.313144,3.4759e-05,12,3.0955176928790227,4.344707635199322,3.0955176928790227
confirm,c03_random_new,140-150,3.313144,3.4759e-05,12,3.452305322213355,5.301343652536924,3.452305322213355
confirm,c04_random_new,0-10,3.378462,3.3191e-05,12,525.9095209874984,571.1452784696207,525.9095209874984
confirm,c04_random_new,10-20,3.378462,3.3191e-05,12,150.9533359538979,155.1328398106864,150.9533359538979
confirm,c04_random_new,20-30,3.378462,3.3191e-05,12,55.83257889548405,63.961610364772014,55.83257889548405
confirm,c04_random_new,30-40,3.378462,3.3191e-05,12,37.247553682816104,39.33316057033962,37.247553682816104
confirm,c04_random_new,40-50,3.378462,3.3191e-05,12,27.896802959148733,26.10394177366461,26.10394177366461
confirm,c04_random_new,50-60,3.378462,3.3191e-05,12,25.2475160552939,28.872648830442134,25.2475160552939
confirm,c04_random_new,60-70,3.378462,3.3191e-05,12,13.90683407864891,13.665272033719853,13.665272033719853
confirm,c04_random_new,70-80,3.378462,3.3191e-05,12,11.618046273018617,12.693924944779232,11.618046273018617
confirm,c04_random_new,80-90,3.378462,3.3191e-05,12,14.87764505726874,12.270589651107327,12.270589651107327
confirm,c04_random_new,90-100,3.378462,3.3191e-05,12,7.751965736634016,11.234966839301762,7.751965736634016
confirm,c04_random_new,100-110,3.378462,3.3191e-05,12,8.097824516313588,9.118603109361882,8.097824516313588
confirm,c04_random_new,110-120,3.378462,3.3191e-05,12,7.245350790454872,4.561675132061896,4.561675132061896
confirm,c04_random_new,120-130,3.378462,3.3191e-05,12,5.254325096566045,4.213663233786636,4.213663233786636
confirm,c04_random_new,130-140,3.378462,3.3191e-05,12,4.3094480785629505,4.0023270143105245,4.0023270143105245
confirm,c04_random_new,140-150,3.378462,3.3191e-05,12,4.586853343335246,5.926947450946676,4.586853343335246
