rank,stage,case_id,param_id,origin,random_seed,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,total_forward_paths,back_replicas,tmax,signal_rms_0_200,poisson_rms_vs_qm_0_200,repeat_noise_of_mean_0_200,Q_accuracy_0_200_all,Q_repeat_0_200_all,Q_0_200_all,Q_accuracy_0_50,Q_repeat_0_50,Q_0_50,Q_accuracy_50_100,Q_repeat_50_100,Q_50_100,Q_accuracy_100_150,Q_repeat_100_150,Q_100_150,Q_accuracy_0_150,Q_repeat_0_150,Q_0_150,Q_accuracy_150_200,Q_repeat_150_200,Q_150_200,Q_accuracy_0_200,Q_repeat_0_200,Q_0_200,min_10au_window_Q_0_150,passes_Q0_150_gt_10,projected_ntraj_per_repeat_Q10_0_150,occupation_min,occupation_max,max_particle_error
1,fine,f02_grid,f02_grid,regular_grid,0,3.2,4e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.0532105263903235e-05,1.437857741692067e-05,1.5774424467837742e-05,1.427964997409348,1.3016072507599794,1.3016072507599794,13.239241869718263,12.488933939690792,12.488933939690792,3.374397392731448,4.122505240173169,3.374397392731448,2.1076057779408255,1.5668361193466755,1.5668361193466755,3.180706354011857,2.594812283362559,2.594812283362559,0.7600684772471057,0.7079323053458333,0.7079323053458333,1.427964997409348,1.3016072507599794,1.3016072507599794,1.0886980541918627,False,29704217,-0.00021597397513148636,1.000224164018818,1.183684261718554e-10
2,fine,f01_grid,f01_grid,regular_grid,0,3.2,3.4e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.7447094911538783e-05,1.217092186643173e-05,1.2985363020841869e-05,1.4335064428980615,1.3435970086886067,1.3435970086886067,13.712960537380278,14.910634501625125,13.712960537380278,3.6466202270821193,3.532507174718425,3.532507174718425,1.5708818753297584,1.7407427791579224,1.5708818753297584,2.557431691440446,2.7713032639087825,2.557431691440446,0.8047619470488303,0.7260626419616593,0.7260626419616593,1.4335064428980615,1.3435970086886067,1.3435970086886067,1.2314469181856904,False,30578904,-8.699186517241973e-05,1.000192276120766,1.0934009253560362e-10
3,fine,f12_random,f12_random,random,20260813,3.188146,3.218e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.6515421707991817e-05,1.10771247411278e-05,1.271146730778378e-05,1.4909484269570774,1.2992537610413166,1.2992537610413166,14.172205996546609,13.966548234964502,13.966548234964502,4.384091353414614,3.6610805506843582,3.6610805506843582,1.6272046345903655,1.5486371915699326,1.5486371915699326,2.7093822438152766,2.529993868592044,2.529993868592044,0.8298140722143719,0.7110774529611411,0.7110774529611411,1.4909484269570774,1.2992537610413166,1.2992537610413166,1.1369812927547822,False,31245758,-0.00015491739369221966,1.0001424907918834,1.1758860551935868e-10
4,fine,f05_grid,f05_grid,regular_grid,0,3.4,4e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.0453731636272144e-05,1.9559344902053204e-05,1.551916055273187e-05,1.0457268246302591,1.3179663659495828,1.0457268246302591,14.164235133039028,14.484962066790365,14.164235133039028,3.8768509567018774,3.0752528464232713,3.0752528464232713,1.724590049478545,1.5824605047241573,1.5824605047241573,2.7888439280845128,2.5096847107702027,2.5096847107702027,0.5409342278550955,0.721521461176971,0.5409342278550955,1.0457268246302591,1.3179663659495828,1.0457268246302591,0.9738335142040266,False,31753505,-0.00015557178202900537,1.000232212874122,1.183648734581766e-10
5,fine,f13_random,f13_random,random,20260813,3.633074,3.8606e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.9653828261186775e-05,1.7876736452908872e-05,1.518204907171886e-05,1.0994080666210604,1.2945438503290014,1.0994080666210604,14.83597570779808,13.728579929700519,13.728579929700519,3.6498437213468837,3.8525186793448154,3.6498437213468837,1.9278996875413712,1.4564367096595965,1.4564367096595965,3.0182098142303637,2.4200950274447517,2.4200950274447517,0.5678722401878606,0.7150593687892062,0.5678722401878606,1.0994080666210604,1.2945438503290014,1.0994080666210604,1.2407134239122701,False,34147991,-0.0002504519072756097,1.0002466066491584,1.1972556279715718e-10
6,fine,f09_grid,f09_grid,regular_grid,0,3.6,4.6e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.3439548640563275e-05,2.447105423371511e-05,1.8849401906294302e-05,0.9578479299134292,1.243516837143581,0.9578479299134292,13.8849876610228,15.694756391155584,13.8849876610228,3.632372705970243,3.76303899885655,3.632372705970243,1.5812113977453417,1.383382294684067,1.383382294684067,2.567524462933871,2.3034429439835384,2.3034429439835384,0.496336694990923,0.6895061702883392,0.496336694990923,0.9578479299134292,1.243516837143581,0.9578479299134292,1.1649098620466656,False,37694248,-0.00022325260633156347,1.0002822057975465,1.0514700221619933e-10
7,fine,f04_grid,f04_grid,regular_grid,0,3.4,3.4e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.738096312338959e-05,1.3707450252517014e-05,1.2325921095939267e-05,1.2679938867695713,1.4101147482694572,1.2679938867695713,13.36005604526766,13.383399188089038,13.36005604526766,4.581082867755426,3.7639438064364588,3.7639438064364588,1.6479121358076065,1.3771365166172076,1.3771365166172076,2.7426198447219345,2.295872753082451,2.295872753082451,0.6761541060390093,0.8156587775926325,0.6761541060390093,1.2679938867695713,1.4101147482694572,1.2679938867695713,0.9901719608177978,False,37943237,-0.00011933127379778383,1.0001921923910593,1.0999823274460141e-10
8,fine,f10_random,f10_random,random,20260813,3.744152,3.556e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.8064070489825794e-05,1.2708230825780989e-05,1.568705229841498e-05,1.4214465205636253,1.1515273963643884,1.1515273963643884,15.015953133477257,14.061997167080404,14.061997167080404,4.366260507867988,4.42996701084331,4.366260507867988,1.3543173920944829,1.617139538723308,1.3543173920944829,2.295220385165724,2.6911580328126212,2.295220385165724,0.8239251428679618,0.6083087735982471,0.6083087735982471,1.4214465205636253,1.1515273963643884,1.1515273963643884,0.9416234629766426,False,37964809,-0.00012467201779716296,1.000262642518706,1.0696421526290578e-10
9,fine,f07_grid,f07_grid,regular_grid,0,3.6,3.4e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.731628882744585e-05,1.223636824918151e-05,1.1669015542330846e-05,1.4151493706969904,1.483954560230792,1.4151493706969904,13.438206343718138,14.080692970644566,13.438206343718138,3.585769985678915,3.663949255291634,3.585769985678915,1.5124077294073952,1.3765708980463283,1.3765708980463283,2.466807995151956,2.2865172809219936,2.2865172809219936,0.7986241680544401,0.8789710577623318,0.7986241680544401,1.4151493706969904,1.483954560230792,1.4151493706969904,0.824458455440937,False,38254367,-0.0001305540941126081,1.0001075234178014,1.1055689697059279e-10
10,fine,f11_random,f11_random,random,20260813,3.680172,3.9056e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.9866005486231003e-05,1.3143393295865404e-05,1.7351997524767354e-05,1.5114822359063371,1.1448829137899128,1.1448829137899128,13.099750779363427,14.75249240258082,13.099750779363427,3.7135405568663584,4.025540711402134,3.7135405568663584,1.3769842124379643,1.3482763419361574,1.3482763419361574,2.288235941780209,2.2684290606912314,2.2684290606912314,0.8915196285315009,0.6209401508765248,0.6209401508765248,1.5114822359063371,1.1448829137899128,1.1448829137899128,0.856166154123823,False,38866873,-0.00015619084883869826,1.000305120693166,1.0436540520686322e-10
