stage,case_id,window,wc_eV,eta,back_replicas,Q_accuracy,Q_repeat,Q_conservative
fine,f01_grid,0-10,3.2,3.4e-05,12,143.65752387607202,124.54052786662254,124.54052786662254
fine,f01_grid,10-20,3.2,3.4e-05,12,51.937926154719825,49.95956135517255,49.95956135517255
fine,f01_grid,20-30,3.2,3.4e-05,12,16.35412846347012,17.626755673894863,16.35412846347012
fine,f01_grid,30-40,3.2,3.4e-05,12,11.71981407109284,11.825680397153919,11.71981407109284
fine,f01_grid,40-50,3.2,3.4e-05,12,7.288699025037051,8.207632129251786,7.288699025037051
fine,f01_grid,50-60,3.2,3.4e-05,12,5.967725062804564,6.725888028638052,5.967725062804564
fine,f01_grid,60-70,3.2,3.4e-05,12,4.54518069982041,3.741595587237059,3.741595587237059
fine,f01_grid,70-80,3.2,3.4e-05,12,3.17980604463079,4.839168295833474,3.17980604463079
fine,f01_grid,80-90,3.2,3.4e-05,12,3.131581925130439,3.236656829124765,3.131581925130439
fine,f01_grid,90-100,3.2,3.4e-05,12,3.1099230455153397,2.4321081370073894,2.4321081370073894
fine,f01_grid,100-110,3.2,3.4e-05,12,2.801431620774729,2.6500460913734236,2.6500460913734236
fine,f01_grid,110-120,3.2,3.4e-05,12,2.098197094413719,2.1234047778061713,2.098197094413719
fine,f01_grid,120-130,3.2,3.4e-05,12,1.2429742881778638,1.497845714373574,1.2429742881778638
fine,f01_grid,130-140,3.2,3.4e-05,12,1.2314469181856904,1.6424892139693184,1.2314469181856904
fine,f01_grid,140-150,3.2,3.4e-05,12,1.637974216441174,1.4560692860729418,1.4560692860729418
fine,f02_grid,0-10,3.2,4e-05,12,158.21336323866475,141.62633912229128,141.62633912229128
fine,f02_grid,10-20,3.2,4e-05,12,40.58751901877857,44.33930819307741,40.58751901877857
fine,f02_grid,20-30,3.2,4e-05,12,16.21011561033134,16.369394921815555,16.21011561033134
fine,f02_grid,30-40,3.2,4e-05,12,12.066407083055,11.591404428467024,11.591404428467024
fine,f02_grid,40-50,3.2,4e-05,12,6.823711759271832,6.262550357054004,6.262550357054004
fine,f02_grid,50-60,3.2,4e-05,12,6.3996918659212785,6.054505365084453,6.054505365084453
fine,f02_grid,60-70,3.2,4e-05,12,4.670805669058986,5.466432409507938,4.670805669058986
fine,f02_grid,70-80,3.2,4e-05,12,3.7409974858909627,6.157752265087977,3.7409974858909627
fine,f02_grid,80-90,3.2,4e-05,12,4.809445733857698,3.241175204729188,3.241175204729188
fine,f02_grid,90-100,3.2,4e-05,12,2.0133348674772495,3.0254607095587267,2.0133348674772495
fine,f02_grid,100-110,3.2,4e-05,12,2.2890036817957267,2.249355315444279,2.249355315444279
fine,f02_grid,110-120,3.2,4e-05,12,2.484736039695302,2.26256337173997,2.26256337173997
fine,f02_grid,120-130,3.2,4e-05,12,2.3721901884898755,1.5675729123334203,1.5675729123334203
fine,f02_grid,130-140,3.2,4e-05,12,2.3381401506266624,1.6283821359064274,1.6283821359064274
fine,f02_grid,140-150,3.2,4e-05,12,1.552820397554529,1.0886980541918627,1.0886980541918627
fine,f03_grid,0-10,3.2,4.6e-05,12,140.69353183772373,124.91396165101455,124.91396165101455
fine,f03_grid,10-20,3.2,4.6e-05,12,48.073629290128956,49.6035683575827,48.073629290128956
fine,f03_grid,20-30,3.2,4.6e-05,12,16.307115070252383,17.12396493833391,16.307115070252383
fine,f03_grid,30-40,3.2,4.6e-05,12,12.822337172602474,12.038548986185308,12.038548986185308
fine,f03_grid,40-50,3.2,4.6e-05,12,7.685891290283589,7.196436637574807,7.196436637574807
fine,f03_grid,50-60,3.2,4.6e-05,12,5.237176682353728,7.188936339844642,5.237176682353728
fine,f03_grid,60-70,3.2,4.6e-05,12,6.362977690126191,5.426111959183011,5.426111959183011
fine,f03_grid,70-80,3.2,4.6e-05,12,4.863701575572026,4.462607544013437,4.462607544013437
