"stage","case_id","repeat","job_id","state","elapsed_seconds","elapsed","allocated_cpus","exit_code"
"confirm","c01_known","1","637080","COMPLETED","999","00:16:39","128","0:0"
"confirm","c01_known","2","637081","COMPLETED","1025","00:17:05","128","0:0"
"confirm","c01_known","3","637082","COMPLETED","984","00:16:24","128","0:0"
"confirm","c02_random_prev","1","637084","COMPLETED","1078","00:17:58","128","0:0"
"confirm","c02_random_prev","2","637085","COMPLETED","1034","00:17:14","128","0:0"
"confirm","c02_random_prev","3","637086","COMPLETED","947","00:15:47","128","0:0"
"confirm","c03_random_new","1","637088","COMPLETED","941","00:15:41","128","0:0"
"confirm","c03_random_new","2","637089","COMPLETED","1034","00:17:14","128","0:0"
"confirm","c03_random_new","3","637090","COMPLETED","973","00:16:13","128","0:0"
"confirm","c04_random_new","1","637092","COMPLETED","1013","00:16:53","128","0:0"
"confirm","c04_random_new","2","637093","COMPLETED","1011","00:16:51","128","0:0"
"confirm","c04_random_new","3","637094","COMPLETED","936","00:15:36","128","0:0"
"confirm2","d01_random","1","637097","COMPLETED","955","00:15:55","128","0:0"
"confirm2","d01_random","2","637098","COMPLETED","913","00:15:13","128","0:0"
"confirm2","d01_random","3","637099","COMPLETED","1125","00:18:45","128","0:0"
"confirm2","d02_random","1","637101","COMPLETED","977","00:16:17","128","0:0"
"confirm2","d02_random","2","637102","COMPLETED","925","00:15:25","128","0:0"
"confirm2","d02_random","3","637103","COMPLETED","962","00:16:02","128","0:0"
"confirm4","f01_random_promoted","1","637164","COMPLETED","1612","00:26:52","128","0:0"
"confirm4","f01_random_promoted","2","637165","COMPLETED","1777","00:29:37","128","0:0"
"confirm4","f01_random_promoted","3","637166","COMPLETED","1788","00:29:48","128","0:0"
