stage,case_id,window,wc_eV,eta,back_replicas,Q_accuracy,Q_repeat,Q_conservative
pilot,p01_center_b04,0-10,4.0,0.00017,4,228.07826066879065,260.5758476064806,228.07826066879065
pilot,p01_center_b04,10-20,4.0,0.00017,4,76.90500179071593,76.19339628807498,76.19339628807498
pilot,p01_center_b04,20-30,4.0,0.00017,4,21.280932163480397,25.44447198782219,21.280932163480397
pilot,p01_center_b04,30-40,4.0,0.00017,4,14.385156033742259,16.011376263931965,14.385156033742259
pilot,p01_center_b04,40-50,4.0,0.00017,4,7.638686687239964,12.113918016291983,7.638686687239964
pilot,p01_center_b04,50-60,4.0,0.00017,4,7.4973286418323655,6.658360636171225,6.658360636171225
pilot,p01_center_b04,60-70,4.0,0.00017,4,5.165052876742496,5.096412702829291,5.096412702829291
pilot,p01_center_b04,70-80,4.0,0.00017,4,3.6593639130920645,3.5556382983009396,3.5556382983009396
pilot,p01_center_b04,80-90,4.0,0.00017,4,3.4214373105223093,2.1342900857335065,2.1342900857335065
pilot,p01_center_b04,90-100,4.0,0.00017,4,1.7171781550189593,1.7334872516932232,1.7171781550189593
pilot,p01_center_b04,100-110,4.0,0.00017,4,1.2067488902378023,1.4078595332842674,1.2067488902378023
pilot,p01_center_b04,110-120,4.0,0.00017,4,1.221669249117899,1.2965861687699023,1.221669249117899
pilot,p01_center_b04,120-130,4.0,0.00017,4,0.6700202017938591,0.6810779399105246,0.6700202017938591
pilot,p01_center_b04,130-140,4.0,0.00017,4,0.2975014164143466,0.4935853009724619,0.2975014164143466
pilot,p01_center_b04,140-150,4.0,0.00017,4,0.40707414223366717,0.2665379718481615,0.2665379718481615
pilot,p02_center_b08,0-10,4.0,0.00017,8,361.43203091005205,282.102573001666,282.102573001666
pilot,p02_center_b08,10-20,4.0,0.00017,8,114.9783954298204,91.16220265170142,91.16220265170142
pilot,p02_center_b08,20-30,4.0,0.00017,8,31.210691926595764,34.47793366910544,31.210691926595764
pilot,p02_center_b08,30-40,4.0,0.00017,8,27.55941809492271,21.75480536559246,21.75480536559246
pilot,p02_center_b08,40-50,4.0,0.00017,8,14.178962881478846,13.091738214671286,13.091738214671286
pilot,p02_center_b08,50-60,4.0,0.00017,8,13.556591127279718,9.746943753176149,9.746943753176149
pilot,p02_center_b08,60-70,4.0,0.00017,8,4.427442967920011,5.919039670352866,4.427442967920011
pilot,p02_center_b08,70-80,4.0,0.00017,8,3.6236161233217206,5.544026616604504,3.6236161233217206
pilot,p02_center_b08,80-90,4.0,0.00017,8,3.3947010583036494,2.298338863978976,2.298338863978976
pilot,p02_center_b08,90-100,4.0,0.00017,8,2.2304090973779136,1.9136598360863084,1.9136598360863084
pilot,p02_center_b08,100-110,4.0,0.00017,8,1.9484933503010538,1.9740438183658795,1.9484933503010538
pilot,p02_center_b08,110-120,4.0,0.00017,8,1.1738000428205717,2.0895112405715106,1.1738000428205717
pilot,p02_center_b08,120-130,4.0,0.00017,8,1.1786515389452275,1.2148543707364061,1.1786515389452275
pilot,p02_center_b08,130-140,4.0,0.00017,8,0.8403067774933849,0.9623087468672976,0.8403067774933849
pilot,p02_center_b08,140-150,4.0,0.00017,8,0.7294173225139537,0.43385395975031293,0.43385395975031293
pilot,p03_center_b12,0-10,4.0,0.00017,12,310.5747214133546,410.7253662722954,310.5747214133546
pilot,p03_center_b12,10-20,4.0,0.00017,12,120.94325756814868,113.10904535929173,113.10904535929173
pilot,p03_center_b12,20-30,4.0,0.00017,12,42.3503774807702,36.8659687967036,36.8659687967036
pilot,p03_center_b12,30-40,4.0,0.00017,12,26.529081143848245,27.982113482575926,26.529081143848245
pilot,p03_center_b12,40-50,4.0,0.00017,12,15.693588307282557,16.665830105747755,15.693588307282557
pilot,p03_center_b12,50-60,4.0,0.00017,12,9.582323010893852,12.988907651106349,9.582323010893852
pilot,p03_center_b12,60-70,4.0,0.00017,12,11.05100778423218,8.515775745408174,8.515775745408174
pilot,p03_center_b12,70-80,4.0,0.00017,12,5.795798167525228,6.013051771320637,5.795798167525228
pilot,p03_center_b12,80-90,4.0,0.00017,12,4.1116041932517655,4.475477150630118,4.1116041932517655
pilot,p03_center_b12,90-100,4.0,0.00017,12,3.9564067106364593,3.444109054712083,3.444109054712083
pilot,p03_center_b12,100-110,4.0,0.00017,12,2.734458987190086,2.2245672253775846,2.2245672253775846
pilot,p03_center_b12,110-120,4.0,0.00017,12,2.3226119839164387,1.427684194482352,1.427684194482352
pilot,p03_center_b12,120-130,4.0,0.00017,12,1.386792135291952,1.4604679564463274,1.386792135291952
pilot,p03_center_b12,130-140,4.0,0.00017,12,1.3504218296824817,1.1266928928676772,1.1266928928676772
pilot,p03_center_b12,140-150,4.0,0.00017,12,0.8979043419102015,1.077237345466528,0.8979043419102015
pilot,p04_center_b16,0-10,4.0,0.00017,16,322.70693451368334,418.81275524199816,322.70693451368334
pilot,p04_center_b16,10-20,4.0,0.00017,16,122.15176730594102,122.1437829928833,122.1437829928833
pilot,p04_center_b16,20-30,4.0,0.00017,16,40.10525474663544,53.75550353566563,40.10525474663544
pilot,p04_center_b16,30-40,4.0,0.00017,16,34.62702809393679,30.123546306853363,30.123546306853363
pilot,p04_center_b16,40-50,4.0,0.00017,16,17.40897301561309,22.606047895031892,17.40897301561309
pilot,p04_center_b16,50-60,4.0,0.00017,16,16.186847703895083,13.450708481117369,13.450708481117369
