rank,stage,case_id,param_id,origin,random_seed,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,total_forward_paths,back_replicas,tmax,signal_rms_0_200,poisson_rms_vs_qm_0_200,repeat_noise_of_mean_0_200,Q_accuracy_0_200_all,Q_repeat_0_200_all,Q_0_200_all,Q_accuracy_0_50,Q_repeat_0_50,Q_0_50,Q_accuracy_50_100,Q_repeat_50_100,Q_50_100,Q_accuracy_100_150,Q_repeat_100_150,Q_100_150,Q_accuracy_0_150,Q_repeat_0_150,Q_0_150,Q_accuracy_150_200,Q_repeat_150_200,Q_150_200,Q_accuracy_0_200,Q_repeat_0_200,Q_0_200,min_10au_window_Q_0_150,passes_Q0_150_gt_10,projected_ntraj_per_repeat_Q10_0_150,occupation_min,occupation_max,max_particle_error
1,refine,r02_grid,r02_grid,regular_grid,0,3.4,4e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.04537316346871e-05,1.4851367149123245e-05,1.7914639795791123e-05,1.3772288725549817,1.1417327876998404,1.1417327876998404,15.082807400578174,14.331550984322181,14.331550984322181,4.014551132588177,3.7499069232886004,3.7499069232886004,1.6503402976941492,1.758967649607573,1.6503402976941492,2.703963508901767,2.818529581185175,2.703963508901767,0.7509995190055725,0.5977787015731096,0.5977787015731096,1.3772288725549817,1.1417327876998404,1.1417327876998404,1.2190377605134277,False,27354473,-0.0002467598016474899,1.0002528977470018,1.183684261718554e-10
2,refine,r15_random,r15_random,random,20260812,4.302026,3.8846e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.9540841002442545e-05,1.2710710823188838e-05,1.6338438737692083e-05,1.5373523380606795,1.1960041786221993,1.1960041786221993,11.851174097744817,15.502257685736021,11.851174097744817,4.464612104318113,3.7587372797139085,3.7587372797139085,1.5591546042482918,1.5683575208663012,1.5591546042482918,2.5957853937219144,2.56549567676741,2.56549567676741,0.8790655337709128,0.6411608811654177,0.6411608811654177,1.5373523380606795,1.1960041786221993,1.1960041786221993,1.009309765630102,False,30386972,-0.0001336937214633861,1.0002772286631687,1.1676259958903756e-10
3,refine,r13_random,r13_random,random,20260812,3.295605,3.3789e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.730704864769852e-05,1.3638406258087483e-05,1.1293336072313714e-05,1.2689934820966018,1.5325009843750048,1.2689934820966018,14.396932246149529,14.12772172962553,14.12772172962553,4.077094724099732,4.601564017677897,4.077094724099732,1.5363147450925787,1.5464820673022655,1.5363147450925787,2.5533289641961456,2.597924000450191,2.5533289641961456,0.6892096005520413,0.8730263065089244,0.6892096005520413,1.2689934820966018,1.5325009843750048,1.2689934820966018,1.0815192819930404,False,30677252,-0.00010308020746974952,1.0002142035361434,1.0391332239123585e-10
4,refine,r04_grid,r04_grid,regular_grid,0,3.8,2.5e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.2681772224733085e-05,9.49578786195181e-06,8.092837758466304e-06,1.335515536898948,1.5670365084813516,1.335515536898948,13.113370286758325,12.647686946232279,12.647686946232279,4.069624631704506,4.4782391591643185,4.069624631704506,1.5263515859030297,1.5076943889797003,1.5076943889797003,2.530753146252023,2.528766724422542,2.528766724422542,0.7362236005357918,0.9117318672804153,0.7362236005357918,1.335515536898948,1.5670365084813516,1.335515536898948,0.8998418130963348,False,31276091,-7.910697710299815e-05,1.0000745081960583,1.1077982975393752e-10
5,refine,r01_grid,r01_grid,regular_grid,0,3.4,2.5e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.2774962849855854e-05,8.122112616377784e-06,9.074370909730335e-06,1.5728620684347394,1.4078069958720136,1.4078069958720136,13.204845722756708,13.758301501839938,13.204845722756708,4.361635362841288,3.6943667742980972,3.6943667742980972,2.207043179378684,1.5240837915782792,1.5240837915782792,3.4684851750936443,2.4969390691727464,2.4969390691727464,0.8380429587878809,0.786938963699118,0.786938963699118,1.5728620684347394,1.4078069958720136,1.4078069958720136,1.134761908397275,False,32078504,-9.567549403419469e-05,1.000113571986041,1.1094680729684114e-10
6,refine,r03_grid,r03_grid,regular_grid,0,3.4,5.5e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.8143110539632428e-05,2.8805313742253934e-05,2.2986351856817455e-05,0.9770110748125568,1.2243400220677274,0.9770110748125568,13.902274193440938,13.509398750659628,13.509398750659628,3.871905800891567,3.442679374133184,3.442679374133184,1.5995382096021886,1.5164865296793855,1.5164865296793855,2.619452510957438,2.4586930622995395,2.4586930622995395,0.5064864659171583,0.6648840981823695,0.5064864659171583,0.9770110748125568,1.2243400220677274,0.9770110748125568,0.9833704465832301,False,33084256,-0.00037232154475219295,1.0003237950084476,1.1256862109121357e-10
7,refine,r10_grid,r10_grid,regular_grid,0,4.6,2.5e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.250740323674226e-05,7.681062820379081e-06,7.8110736736377e-06,1.6283427865683027,1.6012399523198235,1.6012399523198235,13.196387306339075,14.902099472738083,13.196387306339075,3.5920854488323144,3.942153822293417,3.5920854488323144,1.7765358784250458,1.4445715966095258,1.4445715966095258,2.808533951656243,2.400620257236632,2.400620257236632,0.9266223722054592,0.9632991547774101,0.9266223722054592,1.6283427865683027,1.6012399523198235,1.6012399523198235,1.1384106757582944,False,34704282,-8.252630300735375e-05,1.0000644161286414,1.1048673087543648e-10
8,refine,r14_random,r14_random,random,20260812,4.562075,5.855e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.933858279509223e-05,3.372181017404506e-05,3.129756911574433e-05,0.870018028203999,0.937407716445728,0.870018028203999,16.844654779157512,16.747913178982486,16.747913178982486,3.821279617743654,3.920881799592969,3.821279617743654,1.552425772528227,1.4117301171084433,1.4117301171084433,2.5468198597583247,2.3538451751582437,2.3538451751582437,0.44737655588995745,0.4907002471857591,0.44737655588995745,0.870018028203999,0.937407716445728,0.870018028203999,1.0866514033717596,False,36097258,-0.00032714172342619235,1.0005245414224668,1.1522782727979575e-10
9,refine,r07_grid,r07_grid,regular_grid,0,4.2,2.5e-05,-17.1948749688398,2000000,3,6000000,12,200.0,1.2592575454785019e-05,9.095362233336374e-06,7.690525154957243e-06,1.3845051061991394,1.6374142468889734,1.3845051061991394,14.073056068577229,14.582145086280482,14.073056068577229,4.201000036932631,3.596225520111383,3.596225520111383,1.3958050472061438,1.9772311148067363,1.3958050472061438,2.345225877298881,3.0608915053291783,2.345225877298881,0.7895662274278387,0.9069253568327226,0.7895662274278387,1.3845051061991394,1.6374142468889734,1.3845051061991394,1.061145666902657,False,36363079,-9.082689796014239e-05,1.0000761931015911,1.1057732507424589e-10
10,refine,r09_grid,r09_grid,regular_grid,0,4.2,5.5e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.7730481886389926e-05,2.388159034527901e-05,3.1548586101030844e-05,1.161165629485466,0.8789770101768154,0.8789770101768154,13.716047674995515,16.750477567717322,13.716047674995515,4.618581136769888,3.3032544762492018,3.3032544762492018,1.3716523996709629,1.592332449386336,1.3716523996709629,2.327947919242995,2.5471565884947514,2.327947919242995,0.632281692597416,0.4519180089669113,0.4519180089669113,1.161165629485466,0.8789770101768154,0.8789770101768154,0.9622873393832517,False,36904853,-0.00036152316502555457,1.0005296595707225,1.1386180887029695e-10
11,refine,r05_grid,r05_grid,regular_grid,0,3.8,4e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.030231672025889e-05,1.6024523281596803e-05,1.6153629285695177e-05,1.2669529297994702,1.2568269557998075,1.2568269557998075,14.820266902005018,14.242628043167606,14.242628043167606,4.07174474671382,4.639078235247979,4.07174474671382,1.3285376855269306,1.4985139152203049,1.3285376855269306,2.241002187033936,2.5251807908025774,2.241002187033936,0.7127151130905035,0.6809501702709931,0.6809501702709931,1.2669529297994702,1.2568269557998075,1.2568269557998075,0.8064573977464999,False,39824051,-0.00014729005351539506,1.0001820225792075,1.1867662408349133e-10
12,refine,r16_random,r16_random,random,20260812,4.702414,4.6247e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.311117678111806e-05,2.2747042844935107e-05,1.9100353515222084e-05,1.0160079680978855,1.2099868603321682,1.0160079680978855,15.242684726186377,16.940994923655,15.242684726186377,4.3505286177483455,4.0496098241880905,4.0496098241880905,1.3010361716360008,1.3766492877440044,1.3010361716360008,2.2067692519503708,2.3117402699118945,2.2067692519503708,0.5436664755691173,0.6672404342761671,0.5436664755691173,1.0160079680978855,1.2099868603321682,1.0160079680978855,1.0710210179685238,False,41069191,-0.00022741113196340356,1.0003289137150997,1.0112710668863656e-10
13,refine,r11_grid,r11_grid,regular_grid,0,4.6,4e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.0020152240731572e-05,2.0448974553761558e-05,1.59661291215453e-05,0.9790296422002684,1.2539139630103342,0.9790296422002684,16.433903039755386,14.327040459489941,14.327040459489941,3.371220142828914,3.680343057303781,3.371220142828914,1.3247440160259496,1.308087537600734,1.308087537600734,2.1835866391809535,2.1816877098393466,2.1816877098393466,0.5220225600821194,0.709323017958658,0.5220225600821194,0.9790296422002684,1.2539139630103342,0.9790296422002684,0.7835285553647993,False,42018915,-0.0002364460150695479,1.0001900846523657,1.184474740512087e-10
