stage,case_id,window,wc_eV,eta,back_replicas,Q_accuracy,Q_repeat,Q_conservative
refine,r01_grid,0-10,3.4,2.5e-05,12,121.2238646117835,127.91229397875709,121.2238646117835
refine,r01_grid,10-20,3.4,2.5e-05,12,40.99566775099948,42.16504004591309,40.99566775099948
refine,r01_grid,20-30,3.4,2.5e-05,12,13.8693109143758,18.481749403273415,13.8693109143758
refine,r01_grid,30-40,3.4,2.5e-05,12,12.242842033842985,10.538256658541787,10.538256658541787
refine,r01_grid,40-50,3.4,2.5e-05,12,6.9552217339495055,7.485229476781948,6.9552217339495055
refine,r01_grid,50-60,3.4,2.5e-05,12,5.901072314362472,7.225963837749771,5.901072314362472
refine,r01_grid,60-70,3.4,2.5e-05,12,5.9637650675494065,4.439976159755303,4.439976159755303
refine,r01_grid,70-80,3.4,2.5e-05,12,4.616517607746489,4.499879128172541,4.499879128172541
refine,r01_grid,80-90,3.4,2.5e-05,12,4.366922161502564,2.684241542986406,2.684241542986406
refine,r01_grid,90-100,3.4,2.5e-05,12,3.0844467062290852,2.945744986557688,2.945744986557688
refine,r01_grid,100-110,3.4,2.5e-05,12,2.4585739174406185,2.6506599829794766,2.4585739174406185
refine,r01_grid,110-120,3.4,2.5e-05,12,3.3988699130323314,2.144323983256687,2.144323983256687
refine,r01_grid,120-130,3.4,2.5e-05,12,2.4676730255981467,1.6048206192561358,1.6048206192561358
refine,r01_grid,130-140,3.4,2.5e-05,12,1.8614620239819673,1.2679090772419315,1.2679090772419315
refine,r01_grid,140-150,3.4,2.5e-05,12,1.7970188708022954,1.134761908397275,1.134761908397275
refine,r02_grid,0-10,3.4,4e-05,12,145.98673176824377,148.66253472758444,145.98673176824377
refine,r02_grid,10-20,3.4,4e-05,12,51.98341280723717,49.94970076540986,49.94970076540986
refine,r02_grid,20-30,3.4,4e-05,12,17.52392196728924,16.222550829101323,16.222550829101323
refine,r02_grid,30-40,3.4,4e-05,12,11.24390004316224,11.01412744665145,11.01412744665145
refine,r02_grid,40-50,3.4,4e-05,12,8.668296219333559,8.034091261769344,8.034091261769344
refine,r02_grid,50-60,3.4,4e-05,12,6.405696187979768,8.286517030894826,6.405696187979768
refine,r02_grid,60-70,3.4,4e-05,12,5.863079651227492,4.1879713227432935,4.1879713227432935
refine,r02_grid,70-80,3.4,4e-05,12,3.8281788485988546,3.370821096730787,3.370821096730787
refine,r02_grid,80-90,3.4,4e-05,12,3.2516534154105927,3.651898839234016,3.2516534154105927
refine,r02_grid,90-100,3.4,4e-05,12,3.1721612450140237,2.899707913930725,2.899707913930725
refine,r02_grid,100-110,3.4,4e-05,12,3.645540932774486,1.9399458239455583,1.9399458239455583
refine,r02_grid,110-120,3.4,4e-05,12,1.2190377605134277,1.5855157169545433,1.2190377605134277
refine,r02_grid,120-130,3.4,4e-05,12,1.5086868992932219,2.7691047041022334,1.5086868992932219
refine,r02_grid,130-140,3.4,4e-05,12,2.0818120391256962,1.6445866100907391,1.6445866100907391
refine,r02_grid,140-150,3.4,4e-05,12,1.5278487264999907,1.5179317399733046,1.5179317399733046
refine,r03_grid,0-10,3.4,5.5e-05,12,176.02905975856532,130.8620029617521,130.8620029617521
refine,r03_grid,10-20,3.4,5.5e-05,12,49.745964755305316,46.95617486294113,46.95617486294113
refine,r03_grid,20-30,3.4,5.5e-05,12,14.228599839685142,19.434856476675055,14.228599839685142
refine,r03_grid,30-40,3.4,5.5e-05,12,10.89587781801112,10.698312967759014,10.698312967759014
refine,r03_grid,40-50,3.4,5.5e-05,12,7.783653694355286,7.186403886598887,7.186403886598887
refine,r03_grid,50-60,3.4,5.5e-05,12,10.37896012037578,5.475179581035229,5.475179581035229
refine,r03_grid,60-70,3.4,5.5e-05,12,4.109314221307647,5.01315640847432,4.109314221307647
refine,r03_grid,70-80,3.4,5.5e-05,12,4.947542955898339,2.7568336686380905,2.7568336686380905
refine,r03_grid,80-90,3.4,5.5e-05,12,3.137880797318653,3.9984325027852323,3.137880797318653
refine,r03_grid,90-100,3.4,5.5e-05,12,2.941989558395311,2.5515979528120063,2.5515979528120063
