"case_id","param_id","origin","random_seed","wc_eV","eta","back_replicas","stratify_forward"
"s01_grid","s01_grid","regular_grid","0","3.8","6E-05","12","1"
"s02_grid","s02_grid","regular_grid","0","3.8","8E-05","12","1"
"s03_grid","s03_grid","regular_grid","0","3.8","0.0001","12","1"
"s04_grid","s04_grid","regular_grid","0","3.8","0.00012","12","1"
"s05_grid","s05_grid","regular_grid","0","4.1","6E-05","12","1"
"s06_grid","s06_grid","regular_grid","0","4.1","8E-05","12","1"
"s07_grid","s07_grid","regular_grid","0","4.1","0.0001","12","1"
"s08_grid","s08_grid","regular_grid","0","4.1","0.00012","12","1"
"s09_grid","s09_grid","regular_grid","0","4.4","6E-05","12","1"
"s10_grid","s10_grid","regular_grid","0","4.4","8E-05","12","1"
"s11_grid","s11_grid","regular_grid","0","4.4","0.0001","12","1"
"s12_grid","s12_grid","regular_grid","0","4.4","0.00012","12","1"
"s13_grid","s13_grid","regular_grid","0","4.7","6E-05","12","1"
"s14_grid","s14_grid","regular_grid","0","4.7","8E-05","12","1"
"s15_grid","s15_grid","regular_grid","0","4.7","0.0001","12","1"
"s16_grid","s16_grid","regular_grid","0","4.7","0.00012","12","1"
"s17_random","s17_random","random","20260811","3.738865","5.9544E-05","12","1"
"s18_random","s18_random","random","20260811","3.872238","7.6121E-05","12","1"
"s19_random","s19_random","random","20260811","4.003588","5.712E-05","12","1"
"s20_random","s20_random","random","20260811","4.081208","0.000127936","12","1"
