rank,stage,case_id,param_id,origin,random_seed,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,total_forward_paths,back_replicas,tmax,signal_rms_0_200,poisson_rms_vs_qm_0_200,repeat_noise_of_mean_0_200,Q_accuracy_0_200_all,Q_repeat_0_200_all,Q_0_200_all,Q_accuracy_0_50,Q_repeat_0_50,Q_0_50,Q_accuracy_50_100,Q_repeat_50_100,Q_50_100,Q_accuracy_100_150,Q_repeat_100_150,Q_100_150,Q_accuracy_0_150,Q_repeat_0_150,Q_0_150,Q_accuracy_150_200,Q_repeat_150_200,Q_150_200,Q_accuracy_0_200,Q_repeat_0_200,Q_0_200,min_10au_window_Q_0_150,passes_Q0_150_gt_10,projected_ntraj_per_repeat_Q10_0_150,occupation_min,occupation_max,max_particle_error
1,screen,s01_grid,s01_grid,regular_grid,0,3.8,6e-05,-17.1948749688398,2000000,3,6000000,12,200.0,3.0476757559821346e-05,3.150502848647991e-05,3.243393258545167e-05,0.9673616887189981,0.9396565612118148,0.9396565612118148,16.257536587977146,14.700589567619096,14.700589567619096,3.9938960130215606,4.025793820703317,3.9938960130215606,1.5522713851722854,1.2177277610841244,1.2177277610841244,2.5668174359214277,2.067006411563301,2.067006411563301,0.5023101009390446,0.5014082167739345,0.5014082167739345,0.9673616887189981,0.9396565612118148,0.9396565612118148,0.8425820422235109,False,46810831,-0.0004602130710561921,1.000509042415199,1.183799724913115e-10
2,screen,s19_random,s19_random,random,20260811,4.003588,5.712e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.8902813942029924e-05,2.6666897117643233e-05,2.6785537691767425e-05,1.0838461563234283,1.0790455011441957,1.0790455011441957,14.308944857028735,16.264576651022793,14.308944857028735,2.9524347945870106,3.60435194986782,2.9524347945870106,1.2269331120844582,1.2269865812299834,1.2269331120844582,2.018469629947084,2.061923394897453,2.018469629947084,0.6008852059265963,0.5941892186954224,0.5941892186954224,1.0838461563234283,1.0790455011441957,1.0790455011441957,0.8334362127601771,False,49089156,-0.00029748076635791395,1.0001953098291,1.0187317656118466e-10
3,screen,s06_grid,s06_grid,regular_grid,0,4.1,8e-05,-17.1948749688398,2000000,3,6000000,12,200.0,4.0441553370121055e-05,6.387587631072019e-05,5.086764483106535e-05,0.6331271789273881,0.7950349088193488,0.6331271789273881,16.515654921631373,16.49974157041292,16.49974157041292,4.43576666274036,3.6486247616010954,3.6486247616010954,1.415532246595314,1.1719061978625094,1.1719061978625094,2.3916337314389664,1.9801072197769944,1.9801072197769944,0.31886389550712846,0.41522848944791796,0.31886389550712846,0.6331271789273881,0.7950349088193488,0.6331271789273881,0.7897540862343548,False,51009678,-0.000633488911289173,1.001213387807522,1.170095131897142e-10
4,screen,s13_grid,s13_grid,regular_grid,0,4.7,6e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.9996350778177588e-05,3.916821240682832e-05,3.354170477984675e-05,0.7658340510058158,0.8943001250252683,0.7658340510058158,13.120060639459599,17.553781209158874,13.120060639459599,4.179152557387056,3.3490282439505576,3.3490282439505576,1.1466085231251566,1.2696236377814714,1.1466085231251566,1.9579781437798411,2.1058445420348777,1.9579781437798411,0.39966967805460085,0.47229475110971086,0.39966967805460085,0.7658340510058158,0.8943001250252683,0.7658340510058158,0.8928282081575339,False,52169217,-0.0004517443287051825,1.0011411579925082,1.1871481575553844e-10
5,screen,s05_grid,s05_grid,regular_grid,0,4.1,6e-05,-17.1948749688398,2000000,3,6000000,12,200.0,3.0310418096038723e-05,3.176458005297673e-05,3.4567212149418356e-05,0.9542206459360468,0.8768545743585151,0.8768545743585151,13.846711269114188,15.545355447727742,13.846711269114188,3.6029081021286524,4.375992910648901,3.6029081021286524,1.1249305779257404,1.274219337466603,1.1249305779257404,1.9087190243806293,2.1701773056591303,1.9087190243806293,0.518559158364501,0.45816387047018764,0.45816387047018764,0.9542206459360468,0.8768545743585151,0.8768545743585151,0.8716215969851047,False,54896669,-0.0003219475937488749,1.00073704966164,1.1891820861364977e-10
6,screen,s18_random,s18_random,random,20260811,3.872238,7.6121e-05,-17.1948749688398,2000000,3,6000000,12,200.0,3.863718372338435e-05,5.338899194363804e-05,4.7150413064332956e-05,0.7236919506585373,0.8194452861031569,0.7236919506585373,15.84664450728842,15.553814936883539,15.553814936883539,3.5938478178928532,3.920568382129074,3.5938478178928532,1.1054920583618992,1.2587100841743815,1.1054920583618992,1.8804148054082248,2.127489438861757,1.8804148054082248,0.37649446533235736,0.4262527102087939,0.37649446533235736,0.7236919506585373,0.8194452861031569,0.7236919506585373,0.8146383480100369,False,56561729,-0.000570053855489108,1.00095862558177,1.0516476578459333e-10
7,screen,s17_random,s17_random,random,20260811,3.738865,5.9544e-05,-17.1948749688398,2000000,3,6000000,12,200.0,3.02790046006842e-05,2.5592172718451176e-05,3.1636867948841915e-05,1.1831353646208382,0.9570797162869146,0.9570797162869146,14.076383003822968,16.035982549276525,14.076383003822968,4.02912561230229,3.604847196997702,3.604847196997702,1.5445958104444073,1.094485742024214,1.094485742024214,2.554210560176769,1.8628247102427666,1.8628247102427666,0.6336289415944889,0.523898016151027,0.523898016151027,1.1831353646208382,0.9570797162869146,0.9570797162869146,0.8165822144325169,False,57634963,-0.0003670885161364957,1.0004943177588632,1.1035616864774056e-10
8,screen,s09_grid,s09_grid,regular_grid,0,4.4,6e-05,-17.1948749688398,2000000,3,6000000,12,200.0,3.015033354583894e-05,2.724395428692773e-05,3.909138551602656e-05,1.1066797876806655,0.7712782022903231,0.7712782022903231,12.920352741329902,16.198206491810108,12.920352741329902,3.1693149536244727,3.5322026779028914,3.1693149536244727,1.1130062277566983,1.4005885392912656,1.1130062277566983,1.8598210199958993,2.305984705004439,1.8598210199958993,0.6342386792577569,0.3957833598594804,0.3957833598594804,1.1066797876806655,0.7712782022903231,0.7712782022903231,0.6839642938905526,False,57821279,-0.00034869187488977227,1.0004924087138944,1.1862955062724723e-10
9,screen,s14_grid,s14_grid,regular_grid,0,4.7,8e-05,-17.1948749688398,2000000,3,6000000,12,200.0,4.001692454370204e-05,6.51924280129899e-05,6.599591755009785e-05,0.613827798156689,0.6063545447841524,0.6063545447841524,17.063352083551255,16.0817299485994,16.0817299485994,2.8681125384087585,3.737439916617137,2.8681125384087585,1.373516341847057,1.0541445842182648,1.0541445842182648,2.1950772215228262,1.7979646045698678,1.7979646045698678,0.3106149555904182,0.3112473649835576,0.3106149555904182,0.613827798156689,0.6063545447841524,0.6063545447841524,0.695870818365489,False,61868235,-0.0006644503414928191,1.0009649103272196,1.1638068286856651e-10
10,screen,s02_grid,s02_grid,regular_grid,0,3.8,8e-05,-17.1948749688398,2000000,3,6000000,12,200.0,4.066720686977456e-05,6.599034866963636e-05,5.313140123784594e-05,0.6162599181490074,0.7654081376044525,0.6162599181490074,16.019474047415876,16.61173466717339,16.019474047415876,3.6570457452394174,3.4290241434713815,3.4290241434713815,0.9680945350218176,1.0428217213941517,0.9680945350218176,1.6630029383897686,1.7733438161770432,1.6630029383897686,0.31930127272936065,0.4050070233603574,0.31930127272936065,0.6162599181490074,0.7654081376044525,0.6162599181490074,0.5586950498038363,False,72317593,-0.0007178255847010615,1.0015453421611533,1.1672618427382986e-10
11,screen,s11_grid,s11_grid,regular_grid,0,4.4,0.0001,-17.1948749688398,2000000,3,6000000,12,200.0,5.031210259092058e-05,6.889835358950332e-05,9.184425985513967e-05,0.7302366452858989,0.5477980079568912,0.5477980079568912,18.60673177381894,16.801329935714996,16.801329935714996,3.5108235082259807,3.644247817245527,3.5108235082259807,0.9602742031664487,0.9684991691775447,0.9602742031664487,1.643665435090688,1.6616673581267372,1.643665435090688,0.38783193658458626,0.280405388585364,0.280405388585364,0.7302366452858989,0.5477980079568912,0.5477980079568912,0.6526758253647845,False,74029217,-0.0012663886675750734,1.0016354287699047,1.1887468787108446e-10
