stage,case_id,window,wc_eV,eta,back_replicas,Q_accuracy,Q_repeat,Q_conservative
validate,v01_known,0-10,3.2,4e-05,12,363.85597199546277,287.34300613415917,287.34300613415917
validate,v01_known,10-20,3.2,4e-05,12,110.5625811103156,85.53638059881516,85.53638059881516
validate,v01_known,20-30,3.2,4e-05,12,41.720980153663255,28.87665224346684,28.87665224346684
validate,v01_known,30-40,3.2,4e-05,12,20.779306288974116,24.03702419076509,20.779306288974116
validate,v01_known,40-50,3.2,4e-05,12,14.191599771719048,15.953810444931971,14.191599771719048
validate,v01_known,50-60,3.2,4e-05,12,10.350160074001314,12.594597003170179,10.350160074001314
validate,v01_known,60-70,3.2,4e-05,12,9.03255073060374,11.666479970909833,9.03255073060374
validate,v01_known,70-80,3.2,4e-05,12,7.245280367311819,8.844722845360604,7.245280367311819
validate,v01_known,80-90,3.2,4e-05,12,6.920941039259578,6.17206970537741,6.17206970537741
validate,v01_known,90-100,3.2,4e-05,12,4.73448148824794,4.120365321408743,4.120365321408743
validate,v01_known,100-110,3.2,4e-05,12,7.073547482357321,4.470747963376286,4.470747963376286
validate,v01_known,110-120,3.2,4e-05,12,3.0170027601707594,5.229753092666055,3.0170027601707594
validate,v01_known,120-130,3.2,4e-05,12,3.4600635429936553,3.971286117660267,3.4600635429936553
validate,v01_known,130-140,3.2,4e-05,12,3.637096083299957,2.5959291825991277,2.5959291825991277
validate,v01_known,140-150,3.2,4e-05,12,2.0564000944993546,2.0055208538166998,2.0055208538166998
validate,v02_known,0-10,3.4,4e-05,12,265.76710094584297,232.5062257624646,232.5062257624646
validate,v02_known,10-20,3.4,4e-05,12,87.77085406350346,92.48993852029481,87.77085406350346
validate,v02_known,20-30,3.4,4e-05,12,32.49191421648017,33.75684395628104,32.49191421648017
validate,v02_known,30-40,3.4,4e-05,12,21.94282256365778,25.278255390035902,21.94282256365778
validate,v02_known,40-50,3.4,4e-05,12,15.480446099560892,14.486255384936097,14.486255384936097
validate,v02_known,50-60,3.4,4e-05,12,12.091666521743422,14.19887979523495,12.091666521743422
validate,v02_known,60-70,3.4,4e-05,12,9.294807765075479,12.432395982122411,9.294807765075479
validate,v02_known,70-80,3.4,4e-05,12,13.289680699802686,7.247731550072905,7.247731550072905
validate,v02_known,80-90,3.4,4e-05,12,5.634092872859596,8.51294111796163,5.634092872859596
validate,v02_known,90-100,3.4,4e-05,12,5.648494518525147,5.691152372541998,5.648494518525147
validate,v02_known,100-110,3.4,4e-05,12,4.189638296573328,3.5510704914857487,3.5510704914857487
validate,v02_known,110-120,3.4,4e-05,12,4.2185971210957725,3.6520604764878852,3.6520604764878852
validate,v02_known,120-130,3.4,4e-05,12,1.5281923364428944,2.813872191734792,1.5281923364428944
validate,v02_known,130-140,3.4,4e-05,12,2.59965221348913,2.308355214762953,2.308355214762953
validate,v02_known,140-150,3.4,4e-05,12,3.107458255221619,2.549400722583688,2.549400722583688
validate,v03_known,0-10,3.4,3.4e-05,12,234.71755391653653,227.51878865577405,227.51878865577405
validate,v03_known,10-20,3.4,3.4e-05,12,78.32158106467823,82.25396323179602,78.32158106467823
validate,v03_known,20-30,3.4,3.4e-05,12,39.914890682536644,33.05292143976038,33.05292143976038
validate,v03_known,30-40,3.4,3.4e-05,12,20.263602510065283,19.658007863945,19.658007863945
validate,v03_known,40-50,3.4,3.4e-05,12,16.06737549742712,13.330514727735773,13.330514727735773
validate,v03_known,50-60,3.4,3.4e-05,12,11.471228115520201,12.860421601490348,11.471228115520201
validate,v03_known,60-70,3.4,3.4e-05,12,10.223924171039661,11.811440597655418,10.223924171039661
validate,v03_known,70-80,3.4,3.4e-05,12,9.360469718073787,7.816380420498101,7.816380420498101
validate,v03_known,80-90,3.4,3.4e-05,12,5.726003398697718,7.793592556323914,5.726003398697718
validate,v03_known,90-100,3.4,3.4e-05,12,3.3618462983505593,5.816766903539051,3.3618462983505593
validate,v03_known,100-110,3.4,3.4e-05,12,7.154418750595358,3.9964994688757294,3.9964994688757294
validate,v03_known,110-120,3.4,3.4e-05,12,6.17766313166637,3.479381365918154,3.479381365918154
validate,v03_known,120-130,3.4,3.4e-05,12,3.4209701229906933,2.734778368357796,2.734778368357796
validate,v03_known,130-140,3.4,3.4e-05,12,2.526627153218272,3.729862476077724,2.526627153218272
validate,v03_known,140-150,3.4,3.4e-05,12,3.6773265122543672,3.552960374765789,3.552960374765789
validate,v04_random,0-10,3.488949,4.2822e-05,12,312.05912291015994,278.8267473621635,278.8267473621635
validate,v04_random,10-20,3.488949,4.2822e-05,12,78.48174285430208,89.22644448184928,78.48174285430208
validate,v04_random,20-30,3.488949,4.2822e-05,12,33.437997828089316,32.90304120186712,32.90304120186712
validate,v04_random,30-40,3.488949,4.2822e-05,12,25.293059411507805,24.83499859234504,24.83499859234504
validate,v04_random,40-50,3.488949,4.2822e-05,12,13.103026926270248,14.207059809779219,13.103026926270248
validate,v04_random,50-60,3.488949,4.2822e-05,12,14.142660553839992,12.824010863533644,12.824010863533644
validate,v04_random,60-70,3.488949,4.2822e-05,12,11.99418973043814,10.906542148629052,10.906542148629052
validate,v04_random,70-80,3.488949,4.2822e-05,12,6.970223426241304,6.854722995938544,6.854722995938544
validate,v04_random,80-90,3.488949,4.2822e-05,12,6.516241505585463,6.779368631968516,6.516241505585463
validate,v04_random,90-100,3.488949,4.2822e-05,12,3.0551631611375685,6.434686916316159,3.0551631611375685
validate,v04_random,100-110,3.488949,4.2822e-05,12,7.662549881381206,4.384962020493168,4.384962020493168
validate,v04_random,110-120,3.488949,4.2822e-05,12,6.023493887997507,3.2115144270390874,3.2115144270390874
validate,v04_random,120-130,3.488949,4.2822e-05,12,4.322748499074984,5.286471115569372,4.322748499074984
validate,v04_random,130-140,3.488949,4.2822e-05,12,1.537408787205535,3.3630562366885193,1.537408787205535
validate,v04_random,140-150,3.488949,4.2822e-05,12,1.85071379853208,1.585214831288274,1.585214831288274
validate,v05_random,0-10,3.363696,3.2474e-05,12,248.4289383178006,293.91705526636525,248.4289383178006
validate,v05_random,10-20,3.363696,3.2474e-05,12,84.26644388942691,80.47255437786514,80.47255437786514
validate,v05_random,20-30,3.363696,3.2474e-05,12,38.63599940071019,31.877286012716848,31.877286012716848
validate,v05_random,30-40,3.363696,3.2474e-05,12,26.964205619475013,25.597955361413778,25.597955361413778
validate,v05_random,40-50,3.363696,3.2474e-05,12,18.01733854630931,13.424055432447659,13.424055432447659
validate,v05_random,50-60,3.363696,3.2474e-05,12,12.638981835479603,12.697404873825656,12.638981835479603
validate,v05_random,60-70,3.363696,3.2474e-05,12,10.79009170735552,9.619175904791122,9.619175904791122
validate,v05_random,70-80,3.363696,3.2474e-05,12,7.269441505368176,6.615035018090596,6.615035018090596
validate,v05_random,80-90,3.363696,3.2474e-05,12,6.49587097738976,6.3388067560294985,6.3388067560294985
validate,v05_random,90-100,3.363696,3.2474e-05,12,4.429946820440971,6.013379257312134,4.429946820440971
validate,v05_random,100-110,3.363696,3.2474e-05,12,6.515858450201779,4.2671919917430134,4.2671919917430134
validate,v05_random,110-120,3.363696,3.2474e-05,12,4.079587228900265,3.533680561842162,3.533680561842162
validate,v05_random,120-130,3.363696,3.2474e-05,12,3.5578421749772815,3.8104698568822677,3.5578421749772815
validate,v05_random,130-140,3.363696,3.2474e-05,12,4.012684137622763,3.6938705467521395,3.6938705467521395
validate,v05_random,140-150,3.363696,3.2474e-05,12,2.5996127766400163,2.480011146960273,2.480011146960273
