label,path,n_points,tmax,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,Q_qm_first_half,Q_qm_second_half,Q_qm_min_half,amplitude_ratio,cosine_similarity,max_abs_occupation_error,max_particle_error
b01-r1,E:\project_qm\scan_v064_short_qm_20260811\t50-budget-runs\b01_n400k_b2\ahm-sepmb-s10-n5-400000.dat,101,50.0,1.7958460738051352e-05,1.8424488624865512e-05,3.5331026900935352e-06,5.082915022086698,9.489747738005299,3.717557080292965,3.717557080292965,1.0259503246749158,0.981464879881089,3.176683269057179e-05,1.482636236005419e-11
b01-r2,E:\project_qm\scan_v064_short_qm_20260811\t50-budget-runs\b01_n400k_b2-r2\ahm-sepmb-s10-n5-400000.dat,101,50.0,1.7958460738051352e-05,1.869449478966228e-05,3.988150329467828e-06,4.502954817264298,7.522028140094904,3.3693360201508176,3.3693360201508176,1.0409853640769657,0.9771187331312607,3.097120780393148e-05,1.4305001627690217e-11
b01-r3,E:\project_qm\scan_v064_short_qm_20260811\t50-budget-runs\b01_n400k_b2-r3\ahm-sepmb-s10-n5-400000.dat,101,50.0,1.7958460738051352e-05,1.7650748135330777e-05,3.832043695943689e-06,4.686392474350127,8.348244852630492,3.460746521284213,3.460746521284213,0.9828653130572279,0.9769861512798812,2.922408496341955e-05,1.4451551066940738e-11
b02,E:\project_qm\scan_v064_short_qm_20260811\t50-budget-runs\b02_n200k_b4\ahm-sepmb-s10-n5-200000.dat,101,50.0,1.7958460738051352e-05,1.821338888163777e-05,5.093988541627938e-06,3.525422287721162,8.466046483330045,2.4676420501293124,2.4676420501293124,1.0141954339686956,0.9604326458277486,5.091476865171085e-05,1.4287238059296214e-11
b03,E:\project_qm\scan_v064_short_qm_20260811\t50-budget-runs\b03_n100k_b8\ahm-sepmb-s10-n5-100000.dat,101,50.0,1.7958460738051352e-05,1.8659560814357534e-05,4.786454127496696e-06,3.7519341582917423,6.235265771127793,2.803690637856644,2.803690637856644,1.0390400985102612,0.9665490851181507,5.279957687664982e-05,1.4722445484949276e-11
b04-r1,E:\project_qm\scan_v064_short_qm_20260811\t50-budget-runs\b04_n50k_b16\ahm-sepmb-s10-n5-50000.dat,101,50.0,1.7958460738051352e-05,1.8750369732158174e-05,2.6263490689446555e-06,6.837804216660198,12.971121000295533,4.891704781601891,4.891704781601891,1.0440967077110836,0.9906889333544546,2.3761421014567574e-05,1.446487374323624e-11
b04-r2,E:\project_qm\scan_v064_short_qm_20260811\t50-budget-runs\b04_n50k_b16-r2\ahm-sepmb-s10-n5-50000.dat,101,50.0,1.7958460738051352e-05,1.8627932188686427e-05,2.235152379158858e-06,8.03455769078686,13.313620020967889,6.036753437975118,6.036753437975118,1.0372788882299118,0.9932028100904025,2.691244878405552e-05,1.468425381290217e-11
b04-r3,E:\project_qm\scan_v064_short_qm_20260811\t50-budget-runs\b04_n50k_b16-r3\ahm-sepmb-s10-n5-50000.dat,101,50.0,1.7958460738051352e-05,1.8863280546096888e-05,2.8180879883339773e-06,6.3725692073469276,11.12290429544096,4.689755407393673,4.689755407393673,1.0503840402161169,0.9894866336033266,2.987917431507281e-05,1.4696688310777972e-11
b05,E:\project_qm\scan_v064_short_qm_20260811\t50-budget-runs\b05_n25k_b32\ahm-sepmb-s10-n5-25000.dat,101,50.0,1.7958460738051352e-05,1.8603733096073085e-05,2.8909573278566487e-06,6.21194251641401,12.158115139741794,4.5039544617302525,4.5039544617302525,1.0359313845119529,0.988115248850973,3.6597404926452803e-05,1.440092489701783e-11
b06,E:\project_qm\scan_v064_short_qm_20260811\t50-budget-runs\b06_n12500_b64\ahm-sepmb-s10-n5-12500.dat,101,50.0,1.7958460738051352e-05,1.671441671301274e-05,2.4943061533667066e-06,7.199782077196818,9.365871510359101,5.831259373440404,5.831259373440404,0.930726578230468,0.9922144244101234,3.0345408792209483e-05,1.4263257241964311e-11
