label,orbital,initially_occupied,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,qm_peak_abs,simulation_peak_abs,max_abs_error
b01-r1,0,True,5.1682022097888024e-05,5.300031526019026e-05,1.0103394455648571e-05,5.115312712451192,1.0255077705706896,0.9816840645025192,0.8966476140607842,9.409912299163103e-05,9.32663436649106e-05,3.176683269057179e-05
b01-r1,1,True,3.436105083557288e-08,2.9705060020619745e-07,2.9463383038767804e-07,0.11662289693739765,8.644980085960311,0.1278854885630649,0.03617322055798895,4.917798723802491e-08,1.2144459784479977e-06,1.2579197512518903e-06
b01-r1,2,True,4.4802550350877525e-08,3.096413236106332e-07,3.0498353185444424e-07,0.14690153949774537,6.911243248110504,0.17552660021647634,0.05782577625083867,6.778292704900934e-08,1.5210940245147242e-06,1.5872946973471969e-06
b01-r1,3,True,5.66462698387724e-08,3.213377655077602e-07,3.139566254126527e-07,0.18042705664936576,5.672708307578898,0.216947110854986,0.08385938378480332,9.950362167554516e-08,1.7645999494941833e-06,1.8572963584873037e-06
b01-r1,4,True,6.852679400046541e-08,3.2669929030596614e-07,3.167641206842362e-07,0.21633382547380045,4.7674678944377185,0.2476552288737695,0.10290937060663204,1.32828821164388e-07,1.902468147907399e-06,2.022307383331423e-06
b01-r1,5,False,1.1331888691553215e-05,1.1752856778008099e-05,2.2774163370596572e-06,4.9757650839475716,1.0371489782430243,0.9811933722104107,0.9026425282811386,2.01292618826376e-05,2.2047425166767296e-05,8.97515957953506e-06
b01-r1,6,False,1.0909439168976393e-05,1.1249430356477792e-05,2.1641960979317253e-06,5.040873689497132,1.0311648639526994,0.981388667222952,0.9045716978416893,1.9485830705035268e-05,1.9755617325570436e-05,7.822064421236096e-06
b01-r1,7,False,1.049173563723665e-05,1.0759887813493203e-05,2.0694487437069806e-06,5.069821453245042,1.02555841907652,0.9813503574193653,0.9060921137236775,1.883102876233672e-05,1.879536774910385e-05,6.283364453117232e-06
b01-r1,8,False,1.0093983930926125e-05,1.0309620526701682e-05,2.0225894424093053e-06,4.990624255855992,1.0213628828073409,0.9805680905327435,0.9043186192609156,1.8166202429492194e-05,1.805869995578718e-05,7.126601558568533e-06
b01-r1,9,False,9.727693838943199e-06,9.922071308505576e-06,2.0314965576002533e-06,4.78843727425964,1.0199818654637567,0.9788166004181834,0.8984130624123003,1.7492740211740316e-05,1.751680513270974e-05,8.042843085565169e-06
b01-r2,0,True,5.1682022097888024e-05,5.3818054587505054e-05,1.1429696484909607e-05,4.521731803300528,1.041330280877387,0.9773362059448831,0.8872180599351867,9.409912299163103e-05,9.476789041273914e-05,3.097120780393148e-05
b01-r2,1,True,3.436105083557288e-08,3.548174819871496e-07,3.579281891911783e-07,0.09599984542491508,10.326153402148533,-0.04250613722547874,-0.043212742843360595,4.917798723802491e-08,1.4492651843056592e-06,1.402548638118617e-06
b01-r2,2,True,4.4802550350877525e-08,3.6027525186923095e-07,3.6335821594948516e-07,0.12330132740718341,8.041400524025624,-0.006928443245080435,-0.029975067480903075,6.778292704900934e-08,1.5939759241412332e-06,1.5264099397782616e-06
b01-r2,3,True,5.66462698387724e-08,3.6285114506369457e-07,3.645203409688239e-07,0.15539947561833634,6.405561144563408,0.04852239168726346,0.011294133073495173,9.950362167554516e-08,1.7030425164543672e-06,1.6124698620778588e-06
b01-r2,4,True,6.852679400046541e-08,3.624096950453181e-07,3.60931938912886e-07,0.18986070949239253,5.288583835438978,0.11606394951684489,0.0688318447566489,1.32828821164388e-07,1.7567152373887396e-06,1.6436636148808859e-06
b01-r2,5,False,1.1331888691553215e-05,1.1802297704037205e-05,2.4609305197109214e-06,4.604717037230429,1.0415119690360737,0.9781860587798649,0.9004994683053901,2.01292618826376e-05,2.127501847356923e-05,6.071504019769144e-06
b01-r2,6,False,1.0909439168976393e-05,1.1382379238070952e-05,2.4133504967016487e-06,4.520453694515751,1.043351455722809,0.9774488767971513,0.8994575497562183,1.9485830705035268e-05,2.0279461008543267e-05,6.1535003657175165e-06
b01-r2,7,False,1.049173563723665e-05,1.0918579935025542e-05,2.3505823649161157e-06,4.463462244009078,1.0406838594249328,0.9766791139649282,0.89588407972858,1.883102876233672e-05,1.8966794566728366e-05,6.635642631605535e-06
