label,orbital,initially_occupied,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,qm_peak_abs,simulation_peak_abs,max_abs_error
r1,0,True,5.1682022097888024e-05,5.236696015024392e-05,2.923381840465734e-06,17.678847621785316,1.0132529267345343,0.998507809165457,0.9914653248439885,9.409912299163103e-05,9.522497028158217e-05,9.8597694855318e-06
r1,1,True,3.436105083557288e-08,1.6982906616473592e-07,1.6617690338484694e-07,0.2067739266749758,4.9424875559660535,0.20630864319179706,0.11112575181669998,4.917798723802491e-08,8.310770882591356e-07,7.887254460658966e-07
r1,2,True,4.4802550350877525e-08,1.7323212305660988e-07,1.6717751675533444e-07,0.2679938739396781,3.8665683471123398,0.2620917783887209,0.14660863737348778,6.778292704900934e-08,8.016157204693286e-07,7.348767450121585e-07
r1,3,True,5.66462698387724e-08,1.748075779054096e-07,1.6531509783744096e-07,0.34265636097239155,3.08595037948571,0.32504945410840635,0.19192363705281212,9.950362167554516e-08,7.425127014348831e-07,6.466915822844754e-07
r1,4,True,6.852679400046541e-08,1.757511724333212e-07,1.6212251306974761e-07,0.42268524403507196,2.564707352749168,0.3861236316233517,0.24070082856394867,1.32828821164388e-07,6.668919155794484e-07,5.501363911086798e-07
r1,5,False,1.1331888691553215e-05,1.1479358595431015e-05,5.955362134831825e-07,19.02804302239669,1.0130137091787466,0.9987203689743589,0.9934827567523393,2.01292618826376e-05,2.036662923461962e-05,2.119059026813857e-06
r1,6,False,1.0909439168976393e-05,1.1056712845959524e-05,5.89471296408134e-07,18.507159272133567,1.0134996560961576,0.998649560506621,0.9931221340001829,1.9485830705035268e-05,1.971664008543472e-05,1.759204456010273e-06
r1,7,False,1.049173563723665e-05,1.063198843849753e-05,5.904465869831044e-07,17.769152821840038,1.0133679313042452,0.9985254944577874,0.9924770206959903,1.883102876233672e-05,1.9055139419639428e-05,2.015227990370305e-06
r1,8,False,1.0093983930926125e-05,1.022540108292851e-05,5.998276687499247e-07,16.8281399088551,1.0130193541917327,0.9983407322055771,0.991530227416331,1.8166202429492194e-05,1.83834847531938e-05,2.1707700899131124e-06
r1,9,False,9.727693838943199e-06,9.852698957254869e-06,6.183657427981782e-07,15.731294872390945,1.0128504371520444,0.9980867359289889,0.9902503535704057,1.7492740211740316e-05,1.7703076110804663e-05,2.1726104435891394e-06
r2,0,True,5.1682022097888024e-05,5.202149062825024e-05,2.58650522570697e-06,19.98141027678062,1.0065684065093128,0.9987772763686806,0.9927369433721407,9.409912299163103e-05,9.450153990497867e-05,1.0024518235729474e-05
r2,1,True,3.436105083557288e-08,1.5622649864890947e-07,1.5135400957711992e-07,0.22702438429994004,4.546615858650436,0.24956326767396617,0.1147113760804924,4.917798723802491e-08,6.213510636010611e-07,6.033403205929488e-07
r2,2,True,4.4802550350877525e-08,1.5037957707974739e-07,1.407338487091927e-07,0.3183494998666304,3.3564959115503115,0.3573542994690715,0.1970541740092611,6.778292704900934e-08,6.587520688938753e-07,5.918551982952991e-07
