label,orbital,initially_occupied,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,qm_peak_abs,simulation_peak_abs,max_abs_error
n200000-b8,0,True,4.8501144609347184e-05,0.00018013798173590665,0.00017801016567666817,0.27246278000461543,3.7140975370133904,0.1782345576474712,0.05281065692086334,9.409912299040979e-05,0.001002368705437351,0.001000641204199848
n200000-b8,1,True,3.033173658599872e-08,5.766872762343408e-06,5.764630538390073e-06,0.005261696544817886,190.1266927461524,0.0765388165752521,0.03009130933877995,4.91779732492148e-08,3.10730732507869e-05,3.1050400494780916e-05
n200000-b8,2,True,4.466799821814859e-08,5.906742073123181e-06,5.904113165857044e-06,0.007565572841059282,132.23655208984212,0.06262238401752557,0.007246736071699953,6.778290617681648e-08,3.2642734076215874e-05,3.2695803912741184e-05
n200000-b8,3,True,8.402969972041068e-08,5.703575712302839e-06,5.701714660055816e-06,0.014737619247959364,67.8757121741499,0.029510345112151618,-0.025042961463179688,1.1438332270241602e-07,3.487900926968379e-05,3.4927167801845904e-05
n200000-b8,4,True,2.448078640686121e-07,5.554901933324122e-06,5.546342259572909e-06,0.044138614714242914,22.690863933060804,0.05697322550740808,0.03605241211170809,3.5068781256697434e-07,3.2856213863174943e-05,3.320622572544618e-05
n200000-b8,5,False,1.0671158495026435e-05,4.315755701082006e-05,4.271314499082257e-05,0.24983312507939323,4.044317871478972,0.16506190814183183,0.056891953538569226,2.012926188263763e-05,0.00020906468228284767,0.00019856099460063235
n200000-b8,6,False,1.0155742502429443e-05,3.955243864040396e-05,3.925157245297977e-05,0.258734666352417,3.8945885671030234,0.15789581793070792,0.05942494207938913,1.9485830705035295e-05,0.00021021246929780855,0.000200353861532609
n200000-b8,7,False,9.76446548400262e-06,3.7716741165611885e-05,3.736969071276328e-05,0.26129371952943825,3.862652925283438,0.16482337897829702,0.0531900806350887,1.883102876233675e-05,0.0002251279800355927,0.0002156200582158208
n200000-b8,8,False,9.404660401186477e-06,3.7878891753794396e-05,3.736679372584884e-05,0.25168497115878347,4.027672466409915,0.17822461951723267,0.04798176850145826,1.816620242949221e-05,0.00022639909875923117,0.00021725384975331534
n200000-b8,9,False,9.064600531675464e-06,3.86291096112125e-05,3.798394134012969e-05,0.23864296889324635,4.261534689391596,0.18790874413146877,0.046060051800963835,1.7492740211740333e-05,0.00020140501854744487,0.00019258427499279973
n400000-b4,0,True,4.8501144609347184e-05,0.00015468243695283384,0.00014730609705849033,0.32925415565174465,3.1892533299724084,0.3052361417721199,0.07440967506790497,9.409912299040979e-05,0.0006599070813730901,0.0006125318150942416
n400000-b4,1,True,3.033173658599872e-08,5.507096115224831e-06,5.504439564124825e-06,0.0055104132278398985,181.56217662021152,0.09031597111418005,0.02367107764923146,4.91779732492148e-08,3.2079518155869735e-05,3.205577280229743e-05
n400000-b4,2,True,4.466799821814859e-08,5.698136113027268e-06,5.69269186006161e-06,0.007846551212709618,127.56640862209306,0.12574392808964552,0.03476235127047858,6.778290617681648e-08,2.9746149096787633e-05,2.9799218933312943e-05
n400000-b4,3,True,8.402969972041068e-08,5.696201823086366e-06,5.688176647088688e-06,0.014772695177006958,67.78795880550753,0.10281270741674439,-0.08264110699206388,1.1438332270241602e-07,2.5801949584569606e-05,2.5754902514996125e-05
n400000-b4,4,True,2.448078640686121e-07,5.763650134477452e-06,5.716246933622202e-06,0.04282667752309385,23.54356612033541,0.21407525681606632,0.1500200870816638,3.5068781256697434e-07,3.571808447433433e-05,3.536741560361545e-05
n400000-b4,5,False,1.0671158495026435e-05,3.725261568542934e-05,3.5446622945042114e-05,0.30104866439805655,3.490962645039137,0.3083651611323329,0.07173022867554991,2.012926188263763e-05,0.0001512486712245496,0.00014281204855805412
n400000-b4,6,False,1.0155742502429443e-05,3.4904873304660524e-05,3.309408698209634e-05,0.306874835614097,3.4369592667705615,0.3191542003465467,0.07400738622433571,1.9485830705035295e-05,0.00014882545095935934,0.0001389692526574368
n400000-b4,7,False,9.76446548400262e-06,3.288331323729094e-05,3.118913012968594e-05,0.3130727097357795,3.367651131663534,0.3175068080123127,0.07576555489302238,1.883102876233675e-05,0.0001474016210856197,0.00013789127992234345
n400000-b4,8,False,9.404660401186477e-06,3.241397637292782e-05,3.1065718034803675e-05,0.3027343643127839,3.4465865847573327,0.2854501894911832,0.07358018015650938,1.816620242949221e-05,0.00012391637770293548,0.0001216319092675207
n400000-b4,9,False,9.064600531675464e-06,3.3793707744574975e-05,3.2861723934164035e-05,0.2758406877811919,3.7280967458506065,0.23551469474665657,0.06570593997057621,1.7492740211740333e-05,0.00013123020591669364,0.00013620727312048706
n50000-b32,0,True,4.8501144609347184e-05,0.00016786392611888127,0.00015851594287528357,0.30597013606074114,3.4610301977601243,0.33183646430747965,0.070213005623859,9.409912299040979e-05,0.0008679418891712753,0.0008205666155677305
n50000-b32,1,True,3.033173658599872e-08,5.915029243739949e-06,5.915898142730496e-06,0.005127156663992027,195.01122947475272,-0.026084678748918323,-0.01854415600527845,4.91779732492148e-08,4.653894998007946e-05,4.651297648106123e-05
n50000-b32,2,True,4.466799821814859e-08,6.146052994571474e-06,6.1477470128605434e-06,0.007265750871775804,137.59409957337948,-0.034296001799780255,-0.04061552835348371,6.778290617681648e-08,5.141330287128376e-05,5.1361541279382195e-05
n50000-b32,3,True,8.402969972041068e-08,6.306553479352012e-06,6.306185887501951e-06,0.013324963967038576,75.0514818015012,0.01103651290825811,0.07734043422383555,1.1438332270241602e-07,4.803010240905792e-05,4.798086666513157e-05
n50000-b32,4,True,2.448078640686121e-07,6.21078263326216e-06,6.22035989190344e-06,0.03935590035349233,25.370029091555118,-0.019443400929848222,-0.04742430242631426,3.5068781256697434e-07,4.233920139085079e-05,4.1990000350433654e-05
n50000-b32,5,False,1.0671158495026435e-05,3.795731746603041e-05,3.6042500840720545e-05,0.2960715334983149,3.5570006277876374,0.31548033628505145,0.0685914374216407,2.012926188263763e-05,0.00016041555948539585,0.0001522726103287397
n50000-b32,6,False,1.0155742502429443e-05,3.740709650068605e-05,3.551468721848375e-05,0.28595894537806454,3.6833443238382206,0.31737163998515644,0.06969169089480451,1.9485830705035295e-05,0.00018386772443556787,0.00017401127337334177
n50000-b32,7,False,9.76446548400262e-06,3.651703789160871e-05,3.470303929787442e-05,0.2813720550580335,3.7397887218133476,0.31485866947463104,0.07160078899061796,1.883102876233675e-05,0.00019422822083549685,0.00018471813990608124
n50000-b32,8,False,9.404660401186477e-06,3.5322307373141925e-05,3.371471914953571e-05,0.2789482053661417,3.7558301806076613,0.30017183442339396,0.07043308309856972,1.816620242949221e-05,0.0001820794474822154,0.00017293079971058043
n50000-b32,9,False,9.064600531675464e-06,3.459550979630836e-05,3.32485774702457e-05,0.27263122880331997,3.816550952843133,0.27670828104357914,0.06458872938931175,1.7492740211740333e-05,0.00016841049036368327,0.00015959259037806817
n800000-b2,0,True,4.8501144609347184e-05,0.00016224530510927177,0.00015406044365896162,0.3148189337732437,3.3451850758590904,0.3139679524728668,0.06075404610892708,9.409912299040979e-05,0.0006525285158838212,0.0006766767441327426
n800000-b2,1,True,3.033173658599872e-08,5.202118755339519e-06,5.201998938474768e-06,0.005830784847274886,171.5074486615726,0.006865494253688489,-0.0016737235000690192,4.91779732492148e-08,3.124399849763204e-05,3.122132574162606e-05
n800000-b2,2,True,4.466799821814859e-08,5.506352970457656e-06,5.5068313310036895e-06,0.008111379400103631,123.27288417013563,-0.0066536683555220265,0.002670636566171906,6.778290617681648e-08,3.163909226999717e-05,3.1584444096566244e-05
n800000-b2,3,True,8.402969972041068e-08,5.798468004356136e-06,5.798911836730039e-06,0.01449059790634692,69.00498304348572,0.001963800143082488,0.01773894481251867,1.1438332270241602e-07,2.9918409376161748e-05,2.996627613882641e-05
n800000-b2,4,True,2.448078640686121e-07,5.85468239307022e-06,5.856762735477527e-06,0.04179917731440283,23.91541797623516,0.012407647371086373,-0.004017370207294105,3.5068781256697434e-07,3.701825171287254e-05,3.736846412993877e-05
n800000-b2,5,False,1.0671158495026435e-05,3.347977562777764e-05,3.21514098894731e-05,0.3319032829885431,3.137407774739897,0.2813795893784306,0.06805491846075948,2.012926188263763e-05,0.000140459630902766,0.00012995762909993387
n800000-b2,6,False,1.0155742502429443e-05,3.569874107742808e-05,3.4401913670115075e-05,0.2952086503040013,3.5151286150557945,0.2676169397040614,0.05992911798608014,1.9485830705035295e-05,0.00014637911094795514,0.0001425131269739783
n800000-b2,7,False,9.76446548400262e-06,3.6646852679576565e-05,3.5208614790046555e-05,0.2773317139066495,3.753083334629639,0.2776265198999308,0.05639807995839823,1.883102876233675e-05,0.00014739082177416866,0.00015688597395977242
n800000-b2,8,False,9.404660401186477e-06,3.608894179374203e-05,3.447888190194904e-05,0.2727658172887226,3.8373466190431618,0.297677569921634,0.05609233957073798,1.816620242949221e-05,0.00014381605984529157,0.00015297060874424698
n800000-b2,9,False,9.064600531675464e-06,3.445121426713187e-05,3.263777168712424e-05,0.2777334377656515,3.800632377206814,0.3263493774708906,0.059390823723042496,1.7492740211740333e-05,0.00013850243117121498,0.0001347201262885131
