label,orbital,initially_occupied,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,qm_peak_abs,simulation_peak_abs,max_abs_error
r1,0,True,4.8501144609347184e-05,0.0002411591540257308,0.00023545020990097296,0.20599321032563989,4.9722363455161505,0.216872544082328,0.04587533654478634,9.409912299040979e-05,0.0013488171512000546,0.0013014421789184771
r1,1,True,3.033173658599872e-08,5.724928918889274e-06,5.725304683533358e-06,0.005297837977642713,188.74385588367298,-0.009739811254584693,-0.040612454868360695,4.91779732492148e-08,3.5608825622812645e-05,3.563385755145365e-05
r1,2,True,4.466799821814859e-08,5.689218201444808e-06,5.688517239964396e-06,0.007852309544627163,127.36675983687313,0.01961740395582276,0.05816736800964369,6.778290617681648e-08,3.255825438941429e-05,3.261091531658877e-05
r1,3,True,8.402969972041068e-08,5.51506545291229e-06,5.516177115483363e-06,0.015233321548821854,65.6323356058916,-0.005612537995069626,-0.01639157552748685,1.1438332270241602e-07,2.536465421454359e-05,2.541313862358674e-05
r1,4,True,2.448078640686121e-07,5.344932020278963e-06,5.344540468925297e-06,0.04580522226223111,21.8331712529502,0.024500297883715997,0.007586025703611011,3.5068781256697434e-07,2.8204071221615834e-05,2.855275046032002e-05
r1,5,False,1.0671158495026435e-05,5.480977263787663e-05,5.354246821988154e-05,0.19930270026408664,5.136253262794487,0.2147340289338547,0.045550341409937044,2.012926188263763e-05,0.0002677835941123685,0.00025726419762854086
r1,6,False,1.0155742502429443e-05,5.340629463832054e-05,5.221855657206086e-05,0.19448531650649253,5.2587287069896425,0.2107318848300151,0.04573427085544431,1.9485830705035295e-05,0.0002692820614692049,0.0002594250694189991
r1,7,False,9.76446548400262e-06,5.1374705754520566e-05,5.030848761309322e-05,0.19409181128834677,5.261394577991912,0.20309245150183242,0.04698207403085533,1.883102876233675e-05,0.0003025967601848778,0.0002930872238008147
r1,8,False,9.404660401186477e-06,4.992221824221361e-05,4.8955431932563055e-05,0.19210657591871638,5.308242521539162,0.19599638365017139,0.047206978282182586,1.816620242949221e-05,0.0003027587253484725,0.00029361474940801366
r1,9,False,9.064600531675464e-06,4.8914340230213075e-05,4.8005028818392875e-05,0.18882606166049024,5.396193694282074,0.19204004676840114,0.0457292457042336,1.7492740211740333e-05,0.00027303239876287584,0.00026421082449984564
r2,0,True,4.8501144609347184e-05,0.00026273578869225826,0.000259668952457855,0.18678068421452523,5.4171049118214745,0.15516342355725268,0.04218894616178767,9.409912299040979e-05,0.002124120333459878,0.0021714952378519836
r2,1,True,3.033173658599872e-08,4.846237398043844e-06,4.84536004729171e-06,0.006259955150897918,159.77447859945121,0.032051966452391285,0.0029826453608506973,4.91779732492148e-08,2.391127229040002e-05,2.3935855698375974e-05
r2,2,True,4.466799821814859e-08,4.931652116516623e-06,4.928568402956089e-06,0.009063077665992689,110.40683068964785,0.07354342670930873,0.06011033978101998,6.778290617681648e-08,3.169002340075444e-05,3.174309323727975e-05
r2,3,True,8.402969972041068e-08,5.181776843383553e-06,5.179307413948178e-06,0.01622411898048642,61.66601642781912,0.037488770084945465,-0.07375790769114077,1.1438332270241602e-07,3.2319838100702825e-05,3.236799663286494e-05
r2,4,True,2.448078640686121e-07,5.6569016076038434e-06,5.638022396220265e-06,0.04342087470825435,23.10751588445046,0.09862777887711469,0.07343507517502108,3.5068781256697434e-07,3.9510664397890416e-05,3.916036478002205e-05
r2,5,False,1.0671158495026435e-05,5.5048639445839526e-05,5.422460450778024e-05,0.1967955062446849,5.158637599797281,0.17356760599030666,0.0459562304596463,2.012926188263763e-05,0.0004517065615194036,0.0004622245810557015
r2,6,False,1.0155742502429443e-05,5.515300561916256e-05,5.443803527643951e-05,0.18655600722652815,5.430721151700029,0.16201308603615486,0.045758941367056605,1.9485830705035295e-05,0.00047748689006707425,0.0004873443549954774
r2,7,False,9.76446548400262e-06,5.611311723391618e-05,5.5514111141795864e-05,0.17589159374383065,5.746665531856072,0.14802505453279238,0.04268231435759072,1.883102876233675e-05,0.0004649862037978752,0.00047449527042072104
r2,8,False,9.404660401186477e-06,5.669237089878214e-05,5.619040405027314e-05,0.16737128981617921,6.02811462406765,0.1360826460855524,0.040189400068043286,1.816620242949221e-05,0.000397937169850839,0.0004070816188204496
r2,9,False,9.064600531675464e-06,5.646462001073579e-05,5.596002862616631e-05,0.16198348632432533,6.229134953429559,0.13568538610796116,0.038902831302482434,1.7492740211740333e-05,0.00028383305308994384,0.00029265462735297403
r3,0,True,4.8501144609347184e-05,0.00024456885034904765,0.00023953082991886744,0.20248393338667603,5.042537703366162,0.20196079707442996,0.04573881317113175,9.409912299040979e-05,0.001383835428521274,0.0013364601481883343
r3,1,True,3.033173658599872e-08,5.232588142537016e-06,5.234672973244592e-06,0.0057943899725980946,172.51198683270925,-0.06584964449429612,-0.0015838202851277375,4.91779732492148e-08,2.806361264351409e-05,2.8086131425464345e-05
r3,2,True,4.466799821814859e-08,5.388486825815483e-06,5.390593775941169e-06,0.008286285347173985,120.63416854946821,-0.043033578157431834,-0.010479233934469567,6.778290617681648e-08,3.0446601490874414e-05,3.050136190296815e-05
r3,3,True,8.402969972041068e-08,5.351728795208513e-06,5.352686404387329e-06,0.01569860316336405,63.68853885013451,-0.0035463934645821615,2.7310267107554094e-05,1.1438332270241602e-07,2.9716839137439166e-05,2.9763822839479204e-05
r3,4,True,2.448078640686121e-07,5.121156265153653e-06,5.108637234867205e-06,0.04792038518565425,20.91908397075982,0.07497730154943959,0.049664012885048514,3.5068781256697434e-07,2.3526386714101122e-05,2.387589276509061e-05
r3,5,False,1.0671158495026435e-05,5.0724638818029946e-05,5.011608457959198e-05,0.2129288148614046,4.753433176132794,0.16187298808876824,0.04624155379691989,2.012926188263763e-05,0.00027713545934052874,0.0002826013687148084
r3,6,False,1.0155742502429443e-05,5.029753612522118e-05,4.954398485932194e-05,0.20498436957112445,4.952620265154327,0.1746003606781254,0.04882360679386689,1.9485830705035295e-05,0.00026831693933486217,0.0002584601909431495
r3,7,False,9.76446548400262e-06,5.13114401335079e-05,5.0367945267074814e-05,0.19386269247686755,5.254915409099738,0.19088600259657645,0.04696110116651658,1.883102876233675e-05,0.0002681467972864373,0.00025863678603371443
r3,8,False,9.404660401186477e-06,5.394825337888578e-05,5.285357302593238e-05,0.17793802505219694,5.7363318905252285,0.20238043358284444,0.04400883415594483,1.816620242949221e-05,0.0003122074126348383,0.00030306407645142925
r3,9,False,9.064600531675464e-06,5.6468703406583125e-05,5.5331291256654803e-05,0.16382412782722194,6.22958543062743,0.2044769113230181,0.04043825351528732,1.7492740211740333e-05,0.00035010331641914847,0.0003412808928658496
