label,scope,window_start,window_stop,ntraj,back_replicas,runtime_seconds_64_cores,Q,qm_signal_rms,error_rms,target_Q,trajectory_multiplier,estimated_ntraj_for_target,estimated_runtime_seconds_64_cores
b32-r1,all,0,50,50000,32,70.0,4.047391191457207,1.7958460735388406e-05,4.437045960196082e-06,10.0,6.1044935002200384,305224.67501100193,427.3145450154027
b32-r1,active,0,50,50000,32,70.0,4.048892393888763,2.3184233245814194e-05,5.726068018208524e-06,10.0,6.099967629578066,304998.3814789033,426.9977340704646
b32-r1,all,50,100,50000,32,70.0,0.9783551013169778,1.6435552239191667e-05,1.6799168540203383e-05,10.0,104.47369916776115,5223684.958388058,7313.158941743281
b32-r1,active,50,100,50000,32,70.0,0.9795627624098183,2.121799660821531e-05,2.16606810941006e-05,10.0,104.21625563790705,5210812.7818953525,7295.137894653494
b32-r1,all,100,150,50000,32,70.0,0.29625895576194966,1.6442046733492177e-05,5.549890193599315e-05,10.0,1139.3496533975488,56967482.66987744,79754.47573782841
b32-r1,active,100,150,50000,32,70.0,0.2966245249128933,2.1226221403759675e-05,7.155922596081009e-05,10.0,1136.5430451103043,56827152.25551522,79558.0131577213
b32-r1,all,150,200,50000,32,70.0,0.1697683899944543,1.6444216549806218e-05,9.686265240745577e-05,10.0,3469.6553710210246,173482768.55105123,242875.87597147172
b32-r1,active,150,200,50000,32,70.0,0.1702342586921545,2.122891743598501e-05,0.00012470414356709845,10.0,3450.6910087416463,172534550.43708232,241548.37061191525
b32-r2,all,0,50,50000,32,70.0,4.448589219600559,1.7958460735388406e-05,4.0368889661160726e-06,10.0,5.053070876186004,252653.54380930017,353.71496133302026
b32-r2,active,0,50,50000,32,70.0,4.452252858297833,2.3184233245814194e-05,5.207303804096584e-06,10.0,5.044758226468699,252237.91132343494,353.13307585280893
b32-r2,all,50,100,50000,32,70.0,0.8456007542673475,1.6435552239191667e-05,1.9436539237044433e-05,10.0,139.8521916361303,6992609.581806515,9789.65341452912
b32-r2,active,50,100,50000,32,70.0,0.8465985279677765,2.121799660821531e-05,2.5062642926096508e-05,10.0,139.52273533543897,6976136.766771948,9766.591473480728
b32-r2,all,100,150,50000,32,70.0,0.27372451989381813,1.6442046733492177e-05,6.0067862169857113e-05,10.0,1334.6659921461858,66733299.60730929,93426.619450233
b32-r2,active,100,150,50000,32,70.0,0.27398942573534935,2.1226221403759675e-05,7.747095110255246e-05,10.0,1332.0864042860749,66604320.21430375,93246.04830002524
b32-r2,all,150,200,50000,32,70.0,0.1586339156908703,1.6444216549806218e-05,0.00010366141740995061,10.0,3973.817437649837,198690871.88249186,278167.2206354886
b32-r2,active,150,200,50000,32,70.0,0.15893003704821201,2.122891743598501e-05,0.00013357397903044054,10.0,3959.023054148915,197951152.70744574,277131.6137904241
b32-r3,all,0,50,50000,32,70.0,4.038562764041189,1.7958460735388406e-05,4.446745484628365e-06,10.0,6.131211908191702,306560.5954095851,429.18483357341916
b32-r3,active,0,50,50000,32,70.0,4.041558708619747,2.3184233245814194e-05,5.7364583610693e-06,10.0,6.122125333353583,306106.2666676792,428.5487733347508
b32-r3,all,50,100,50000,32,70.0,0.7200113338716834,1.6435552239191667e-05,2.2826796560011824e-05,10.0,192.89516160618624,9644758.08030931,13502.661312433036
b32-r3,active,50,100,50000,32,70.0,0.7205104167260704,2.121799660821531e-05,2.9448563290212837e-05,10.0,192.62802507837264,9631401.253918633,13483.961755486085
b32-r3,all,100,150,50000,32,70.0,0.31569049347383793,1.6442046733492177e-05,5.208280601853084e-05,10.0,1003.4066894331254,50170334.47165627,70238.46826031878
