label,scope,window_start,window_stop,ntraj,back_replicas,runtime_seconds_64_cores,Q,qm_signal_rms,error_rms,target_Q,trajectory_multiplier,estimated_ntraj_for_target,estimated_runtime_seconds_64_cores
n100k-b16-r1,all,0,50,100000,16,71.0,4.930358388346678,1.7958460735388406e-05,3.6424250167766214e-06,10.0,4.113798555197996,411379.85551979963,292.0796974190577
n100k-b16-r1,active,0,50,100000,16,71.0,4.934990790798811,2.3184233245814194e-05,4.697928370816966e-06,10.0,4.1060790569583325,410607.90569583327,291.5316130440416
n100k-b16-r1,all,50,100,100000,16,71.0,1.1121868762735547,1.6435552239191667e-05,1.4777689424154973e-05,10.0,80.84338093120749,8084338.093120749,5739.880046115732
n100k-b16-r1,active,50,100,100000,16,71.0,1.1140354372773071,2.121799660821531e-05,1.9046069719354625e-05,10.0,80.57531058543962,8057531.058543962,5720.847051566213
n100k-b16-r1,all,100,150,100000,16,71.0,0.30768432276216584,1.6442046733492177e-05,5.343803865561772e-05,10.0,1056.3048236700915,105630482.36700915,74997.6424805765
n100k-b16-r1,active,100,150,100000,16,71.0,0.3081697281747314,2.1226221403759675e-05,6.887834677818992e-05,10.0,1052.9798230581673,105297982.30581672,74761.56743712988
n100k-b16-r1,all,150,200,100000,16,71.0,0.10581388552314515,1.6444216549806218e-05,0.0001554069814987495,10.0,8931.299965028387,893129996.5028387,634122.2975170155
n100k-b16-r1,active,150,200,100000,16,71.0,0.10589826038817413,2.122891743598501e-05,0.00020046521404761138,10.0,8917.073536407619,891707353.6407619,633112.221084941
n100k-b16-r2,all,0,50,100000,16,79.0,5.440704657631977,1.7958460735388406e-05,3.300760078971955e-06,10.0,3.3782337566959026,337823.37566959026,266.8804667789763
n100k-b16-r2,active,0,50,100000,16,79.0,5.447597536467226,2.3184233245814194e-05,4.255863817144098e-06,10.0,3.369690165139882,336969.0165139882,266.2055230460507
n100k-b16-r2,all,50,100,100000,16,79.0,1.11921005685425,1.6435552239191667e-05,1.4684957607856806e-05,10.0,79.83196002361402,7983196.002361402,6306.724841865507
n100k-b16-r2,active,50,100,100000,16,79.0,1.120960854443554,2.121799660821531e-05,1.892840104460913e-05,10.0,79.58278013213653,7958278.013213653,6287.039630438786
n100k-b16-r2,all,100,150,100000,16,79.0,0.2794922829258447,1.6442046733492177e-05,5.8828267318760294e-05,10.0,1280.148518282358,128014851.8282358,101131.73294430629
n100k-b16-r2,active,100,150,100000,16,79.0,0.2796810753134797,2.1226221403759675e-05,7.589437855231474e-05,10.0,1278.420830958945,127842083.09589452,100995.24564575666
