label,orbital,initially_occupied,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,qm_peak_abs,simulation_peak_abs,max_abs_error
n50k_B64,0,True,4.8501144609347184e-05,0.00011242803831120606,0.00010545766219338319,0.45991105435665847,2.318049176297972,0.354959236760115,0.09262417342096634,9.409912299040979e-05,0.0005826935534742894,0.0006300686924316512
n50k_B64,1,True,3.033173658599872e-08,1.177272346269838e-05,1.1771020090770994e-05,0.00257681461352531,388.13219379376807,0.057442232837136994,0.019080107507199885,4.91779732492148e-08,6.5028443930637e-05,6.500363843009449e-05
n50k_B64,2,True,4.466799821814859e-08,1.3008638285177191e-05,1.300809824252438e-05,0.003433860767758179,291.22948876387716,0.013806754885719287,-0.018872041102462524,6.778290617681648e-08,8.119464765543594e-05,8.114288606353437e-05
n50k_B64,3,True,8.402969972041068e-08,1.4238481109113648e-05,1.4237840932134932e-05,0.0059018568981730165,169.44581685390867,0.010569085369085001,-0.02883144398365157,1.1438332270241602e-07,8.279987924209031e-05,8.28469263116638e-05
n50k_B64,4,True,2.448078640686121e-07,1.3428766966544986e-05,1.3440515056484254e-05,0.018214172822975768,54.854312044409305,-0.03889495963358554,-0.03324369713666646,3.5068781256697434e-07,9.026856566674013e-05,9.061414178823668e-05
n50k_B64,5,False,1.0671158495026435e-05,3.4774423474332264e-05,3.324536773710359e-05,0.32098181555431726,3.2587299205179803,0.29357239469966384,0.06660714978442193,2.012926188263763e-05,0.00019561997920095075,0.00020613936453031445
n50k_B64,6,False,1.0155742502429443e-05,3.550852860883372e-05,3.5071188383853774e-05,0.28957508913798274,3.496399066866792,0.18580241981617057,0.06310611531731557,1.9485830705035295e-05,0.00025452831278736655,0.00026438457499904056
n50k_B64,7,False,9.76446548400262e-06,3.4700987915022455e-05,3.3734755821875565e-05,0.28944823361284794,3.553803121315139,0.23827059812542808,0.06262666504006761,1.883102876233675e-05,0.00016960543933392173,0.00017911576670668556
n50k_B64,8,False,9.404660401186477e-06,3.3496014328788026e-05,3.279719808518078e-05,0.28675194682060107,3.561639963582547,0.21391497837650328,0.06244383153769742,1.816620242949221e-05,0.00017835898404470782,0.0001875027050865918
n50k_B64,9,False,9.064600531675464e-06,3.1563877376976704e-05,3.03288864904018e-05,0.29887679966569636,3.4821035153925934,0.27716926744692316,0.06643796018124566,1.7492740211740333e-05,0.00017314959529436994,0.0001819696437303481
n25k_B128,0,True,4.8501144609347184e-05,9.959380605931297e-05,8.725555516272446e-05,0.5558516534436865,2.053432075912682,0.4821280041942769,0.11441679139457869,9.409912299040979e-05,0.0005805497043303021,0.0006279247047664693
n25k_B128,1,True,3.033173658599872e-08,1.1333374634253678e-05,1.1332189432368975e-05,0.0026765998545135437,373.6474040027507,0.04041076332857561,0.015343789172831456,4.91779732492148e-08,7.036316887620853e-05,7.033836337566601e-05
n25k_B128,2,True,4.466799821814859e-08,1.1248864215101913e-05,1.124648824433465e-05,0.003971728529627888,251.8327362727328,0.055171616955877016,0.014761290170403467,6.778290617681648e-08,4.904267402316975e-05,4.909647197137712e-05
n25k_B128,3,True,8.402969972041068e-08,1.4083327226008802e-05,1.408017826321651e-05,0.005967942887479802,167.59939965116862,0.0404535172321161,-0.0343923363891665,1.1438332270241602e-07,8.358665813912314e-05,8.353677541073079e-05
n25k_B128,4,True,2.448078640686121e-07,1.331208928251433e-05,1.3306830370717808e-05,0.018397158244935718,54.37770282895553,0.030672494814102492,0.02211737724080307,3.5068781256697434e-07,7.264928069372623e-05,7.299929255599746e-05
n25k_B128,5,False,1.0671158495026435e-05,3.1820013961558916e-05,2.9419342252990516e-05,0.3627259373530588,2.981870616614817,0.38416181243018055,0.08233674142799564,2.012926188263763e-05,0.00014841523735234255,0.00014749758994899817
n25k_B128,6,False,1.0155742502429443e-05,3.1215868699651044e-05,2.984008284813317e-05,0.34033895127287817,3.0737160470722475,0.2951530321585175,0.07419358318933036,1.9485830705035295e-05,0.00017139831209215958,0.00016154074441871387
n25k_B128,7,False,9.76446548400262e-06,3.4261934358055556e-05,3.299372408152321e-05,0.29594917687605965,3.5088386982562207,0.269973675987612,0.06646474725021875,1.883102876233675e-05,0.00021063438192510343,0.00022014443362664536
n25k_B128,8,False,9.404660401186477e-06,3.195128313623084e-05,3.07210759510311e-05,0.3061305670471097,3.397388291894082,0.27546189694752327,0.06928168933345341,1.816620242949221e-05,0.00022917430472518816,0.00023831810765183466
n25k_B128,9,False,9.064600531675464e-06,3.271880461781279e-05,3.0918140647283355e-05,0.2931806487034637,3.6095142310441317,0.33170446018450556,0.06918549358457061,1.7492740211740333e-05,0.00017127818535316247,0.0001624555813811684
n12.5k_B256,0,True,4.8501144609347184e-05,8.393247492043828e-05,6.901088789148675e-05,0.702804239899228,1.7305256524659987,0.5692363541951222,0.16316364078167112,9.409912299040979e-05,0.00038857043135498426,0.00034119512133046204
n12.5k_B256,1,True,3.033173658599872e-08,1.2227879603407177e-05,1.2228382644715732e-05,0.002480437312705946,403.1381312025381,-0.015344723878846434,0.007783332323848878,4.91779732492148e-08,5.394959805160582e-05,5.397211683355607e-05
n12.5k_B256,2,True,4.466799821814859e-08,1.3718509663291085e-05,1.3719689353164683e-05,0.003255758717878342,307.1216577983398,-0.024783296204511,-0.01586511976791589,6.778290617681648e-08,8.090956792039528e-05,8.085491974696435e-05
n12.5k_B256,3,True,8.402969972041068e-08,1.2995018249606699e-05,1.299230843535786e-05,0.0064676496973954545,154.64791963846838,0.03547807965748143,-0.006834663881409312,1.1438332270241602e-07,5.994059291469789e-05,5.9890933524653356e-05
n12.5k_B256,4,True,2.448078640686121e-07,1.1516800332717592e-05,1.1507361128979634e-05,0.02127402289062596,47.04424172211146,0.049170092514022726,0.04892001987240579,3.5068781256697434e-07,7.331601695725887e-05,7.366668582797775e-05
n12.5k_B256,5,False,1.0671158495026435e-05,3.077153364553047e-05,2.8836490689253467e-05,0.37005745983519656,2.8836169624762227,0.3490257458337455,0.09204528526462637,2.012926188263763e-05,0.00013683552259173483,0.00014735332899925874
n12.5k_B256,6,False,1.0155742502429443e-05,3.2347171242272255e-05,3.070670051427993e-05,0.33073375948375133,3.1851114021977427,0.31441573285105046,0.08469544618018365,1.9485830705035295e-05,0.00018556518730509348,0.0001757079496859858
n12.5k_B256,7,False,9.76446548400262e-06,2.9144274729939902e-05,2.738882858955924e-05,0.3565127092629615,2.9847281223624305,0.34188416400829513,0.09076355857032481,1.883102876233675e-05,0.00015971070635957668,0.00016922063190288506
n12.5k_B256,8,False,9.404660401186477e-06,2.824052177661667e-05,2.5990957851195807e-05,0.3618435478611567,3.0028220660741662,0.39617986971446983,0.09195668985823147,1.816620242949221e-05,0.0001575990248187517,0.00014845477058821066
n12.5k_B256,9,False,9.064600531675464e-06,2.9526634135308396e-05,2.8977862592747353e-05,0.3128112193459076,3.257356353667227,0.2134761915046567,0.07560746808020385,1.7492740211740333e-05,0.0001699515566930929,0.00017877313095612313
n6.25k_B512,0,True,4.8501144609347184e-05,8.97955488764614e-05,7.114423393878795e-05,0.6817298033046116,1.851410922354932,0.6146808076211498,0.18886339587863515,9.409912299040979e-05,0.0005107131478760962,0.000463338269058311
n6.25k_B512,1,True,3.033173658599872e-08,1.2119993629310382e-05,1.211991324605015e-05,0.002502636443860995,399.58126350421463,0.003901438227969641,-0.0020220764159241678,4.91779732492148e-08,6.774781019025511e-05,6.772426014933774e-05
n6.25k_B512,2,True,4.466799821814859e-08,1.4173218905122883e-05,1.4174922565484636e-05,0.003151198746363057,317.301411984124,-0.0365670164219947,-0.04631519669820891,6.778290617681648e-08,9.817066039308209e-05,9.811721107688687e-05
n6.25k_B512,3,True,8.402969972041068e-08,1.1894210972641878e-05,1.1894258465171291e-05,0.007064727907709928,141.5477029219086,0.0029671895072191255,-0.031522777806888454,1.1438332270241602e-07,5.0802752615153324e-05,5.086781413699004e-05
n6.25k_B512,4,True,2.448078640686121e-07,1.3419873156661926e-05,1.3435920627355434e-05,0.018220401181158002,54.817982288758294,-0.05646938607826421,-0.0590301734716132,3.5068781256697434e-07,6.796271398501474e-05,6.831249037275722e-05
n6.25k_B512,5,False,1.0671158495026435e-05,3.553876546157873e-05,3.376413395132304e-05,0.31605011727565097,3.3303568190972404,0.3122835911828629,0.09389224640967345,2.012926188263763e-05,0.0001833021415397967,0.00017278316700161827
n6.25k_B512,6,False,1.0155742502429443e-05,3.206124191478417e-05,3.083295336895599e-05,0.3293794915103625,3.156956953872602,0.27700884216033744,0.10229041000161289,1.9485830705035295e-05,0.00020099194657703754,0.00019113427390001956
n6.25k_B512,7,False,9.76446548400262e-06,3.077527958147608e-05,2.8279683771589457e-05,0.34528198981532704,3.1517628519344996,0.40385815147266396,0.10518220603459208,1.883102876233675e-05,0.00013732814262991201,0.0001313156303602616
n6.25k_B512,8,False,9.404660401186477e-06,2.7534905635482826e-05,2.477437167283172e-05,0.3796124691024917,2.927793717252041,0.44959140003986886,0.11335505481620083,1.816620242949221e-05,0.00014378377880182024,0.00013463942793887825
n6.25k_B512,9,False,9.064600531675464e-06,2.8348393782681515e-05,2.647011461947481e-05,0.3424465916368334,3.1273737528333987,0.3602243515583089,0.09904144062217543,1.7492740211740333e-05,0.0001882723177338243,0.00017945148100154481
