label,scope,window_start,window_stop,ntraj,back_replicas,runtime_seconds_64_cores,Q,qm_signal_rms,error_rms,target_Q,trajectory_multiplier,estimated_ntraj_for_target,estimated_runtime_seconds_64_cores
n50k_B64,all,0,50,50000,64,20.0,7.548096346108856,1.7958460735388406e-05,2.3792039624197736e-06,10.0,1.7551940177425842,87759.7008871292,35.10388035485168
n50k_B64,active,0,50,50000,64,20.0,7.5909373352965765,2.3184233245814194e-05,3.0541990035949083e-06,10.0,1.7354383386595056,86771.91693297528,34.70876677319011
n50k_B64,all,50,100,50000,64,20.0,1.2440021484781998,1.6435552239191667e-05,1.3211835895378027e-05,10.0,64.6186289600974,3230931.4480048697,1292.372579201948
n50k_B64,active,50,100,50000,64,20.0,1.2548306416604416,2.121799660821531e-05,1.6909052029633908e-05,10.0,63.50819500706571,3175409.7503532856,1270.1639001413141
n50k_B64,all,100,150,50000,64,20.0,0.5739173858930084,1.6442046733492177e-05,2.864880405723997e-05,10.0,303.5996297721883,15179981.488609415,6071.992595443766
n50k_B64,active,100,150,50000,64,20.0,0.5852088799404255,2.1226221403759675e-05,3.627118817117149e-05,10.0,291.99686254320784,14599843.127160393,5839.937250864157
n50k_B64,all,150,200,50000,64,20.0,0.2147116442282808,1.6444216549806218e-05,7.658744642802313e-05,10.0,2169.146101259062,108457305.0629531,43382.922025181244
n50k_B64,active,150,200,50000,64,20.0,0.21925504418931924,2.122891743598501e-05,9.682293748122194e-05,10.0,2080.17950374177,104008975.1870885,41603.5900748354
n25k_B128,all,0,50,25000,128,20.0,9.030841244297033,1.7958460735388406e-05,1.988570084401512e-06,10.0,1.2261499492037375,30653.748730093437,24.52299898407475
n25k_B128,active,0,50,25000,128,20.0,9.10115711029271,2.3184233245814194e-05,2.5473940252712045e-06,10.0,1.2072765831934558,30181.914579836393,24.145531663869114
n25k_B128,all,50,100,25000,128,20.0,2.0929671734162394,1.6435552239191667e-05,7.852752039280571e-06,10.0,22.82838384702799,570709.5961756997,456.5676769405598
n25k_B128,active,50,100,25000,128,20.0,2.145767231904525,2.121799660821531e-05,9.888303024080943e-06,10.0,21.718747798308982,542968.6949577245,434.37495596617964
n25k_B128,all,100,150,25000,128,20.0,0.6560774325797677,1.6442046733492177e-05,2.5061137477081422e-05,10.0,232.32171299952566,5808042.824988142,4646.434259990513
n25k_B128,active,100,150,25000,128,20.0,0.6724370453002194,2.1226221403759675e-05,3.156610949993529e-05,10.0,221.15498728129924,5528874.682032481,4423.099745625985
n25k_B128,all,150,200,25000,128,20.0,0.24575366520191755,1.6444216549806218e-05,6.69134132192707e-05,10.0,1655.7699354358858,41394248.385897145,33115.398708717716
n25k_B128,active,150,200,25000,128,20.0,0.25195527886104796,2.122891743598501e-05,8.425668845657586e-05,10.0,1575.2630136336115,39381575.34084029,31505.260272672233
n12.5k_B256,all,0,50,12500,256,21.0,7.316410616293213,1.7958460735388406e-05,2.4545452240468813e-06,10.0,1.8681160749440318,23351.450936800396,39.230437573824666
n12.5k_B256,active,0,50,12500,256,21.0,7.357456591984671,2.3184233245814194e-05,3.151120629249986e-06,10.0,1.8473304250115474,23091.63031264434,38.79393892524249
n12.5k_B256,all,50,100,12500,256,21.0,2.2128397660636425,1.6435552239191667e-05,7.427357593283133e-06,10.0,20.4220843322157,255276.05415269625,428.8637709765297
n12.5k_B256,active,50,100,12500,256,21.0,2.2690466247551737,2.121799660821531e-05,9.351062413935498e-06,10.0,19.422859121238094,242785.73901547617,407.880041546
n12.5k_B256,all,100,150,12500,256,21.0,0.820369351737685,1.6442046733492177e-05,2.0042248895165405e-05,10.0,148.58711338438167,1857338.9173047708,3120.329381072015
n12.5k_B256,active,100,150,12500,256,21.0,0.8573544617621415,2.1226221403759675e-05,2.47578129588699e-05,10.0,136.0439319294855,1700549.1491185687,2856.9225705191952
n12.5k_B256,all,150,200,12500,256,21.0,0.28657417134697044,1.6444216549806218e-05,5.738206089025496e-05,10.0,1217.6596346386852,15220745.432983566,25570.85232741239
n12.5k_B256,active,150,200,12500,256,21.0,0.2965697135301386,2.122891743598501e-05,7.158154210452661e-05,10.0,1136.9631908614099,14212039.885767624,23876.22700808961
n6.25k_B512,all,0,50,6250,512,22.0,2.9358749261925925,1.7958460735388406e-05,6.1169025203256686e-06,10.0,11.601787330279071,72511.1708142442,255.23932126613957
n6.25k_B512,active,0,50,6250,512,22.0,2.93827813414238,2.3184233245814194e-05,7.890414789674488e-06,10.0,11.5828169645239,72392.60602827437,254.8219732195258
n6.25k_B512,all,50,100,6250,512,22.0,2.0206917435327054,1.6435552239191667e-05,8.133626661164043e-06,10.0,24.4906248667543,153066.40541721438,538.7937470685946
n6.25k_B512,active,50,100,6250,512,22.0,2.0644581724198083,2.121799660821531e-05,1.0277755631805857e-05,10.0,23.463231398124066,146645.1962382754,516.1910907587294
n6.25k_B512,all,100,150,6250,512,22.0,0.7962101331457733,1.6442046733492177e-05,2.0650386184524864e-05,10.0,157.74100342553916,985881.2714096197,3470.3020753618616
n6.25k_B512,active,100,150,6250,512,22.0,0.8279359423788808,2.1226221403759675e-05,2.563751652425075e-05,10.0,145.88361842035027,911772.6151271892,3209.439605247706
n6.25k_B512,all,150,200,6250,512,22.0,0.28109506892452646,1.6444216549806218e-05,5.8500551477911066e-05,10.0,1265.5914895759083,7909946.809849427,27843.012770669982
n6.25k_B512,active,150,200,6250,512,22.0,0.2911199164210818,2.122891743598501e-05,7.292155650827775e-05,10.0,1179.9297850960934,7374561.156850584,25958.455272114054
