label,orbital,initially_occupied,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,qm_peak_abs,simulation_peak_abs,max_abs_error
v071_100k_B256_138s,0,True,4.8501144609347184e-05,5.534866251794471e-05,2.2558453513099294e-05,2.1500208150874984,1.1411826043230713,0.9139504774354589,0.4472074708041178,9.409912299040979e-05,0.00014194288863600413,9.483556143796701e-05
v071_100k_B256_138s,1,True,3.033173658599872e-08,3.833739646991081e-06,3.832936920646068e-06,0.00791344528072382,126.39367469519549,0.030418022483528942,0.03970305723949818,4.91779732492148e-08,2.4689452087223174e-05,2.4713818095545292e-05
v071_100k_B256_138s,2,True,4.466799821814859e-08,3.983862566672204e-06,3.984701034433868e-06,0.01120987442524527,89.188294205975,-0.01316696520187777,0.011381813593611364,6.778290617681648e-08,1.9121961594148473e-05,1.907145636237395e-05
v071_100k_B256_138s,3,True,8.402969972041068e-08,4.874797875842374e-06,4.870374841272514e-06,0.017253230492307592,58.012796571475704,0.06123147164740754,0.036804089458262294,1.1438332270241602e-07,2.0475559020738388e-05,2.0523876263722762e-05
v071_100k_B256_138s,4,True,2.448078640686121e-07,5.307938257111744e-06,5.310110510440792e-06,0.04610221643923765,21.68205779379739,0.014185427304809347,0.0006150253590325901,3.5068781256697434e-07,3.4329466370386363e-05,3.3979960319396874e-05
v071_100k_B256_138s,5,False,1.0671158495026435e-05,1.5006462592018707e-05,1.0609378478017882e-05,1.0058231513878553,1.4062636778389948,0.7072368157468416,0.23321525322503212,2.012926188263763e-05,5.332640241625715e-05,5.858805976162504e-05
v071_100k_B256_138s,6,False,1.0155742502429443e-05,1.5461143489185855e-05,1.0627131223306594e-05,0.955642900141918,1.522404047314833,0.7300058378468026,0.2308732098570931,1.9485830705035295e-05,5.657759193262302e-05,5.1774477935048846e-05
v071_100k_B256_138s,7,False,9.76446548400262e-06,1.4347966714803505e-05,1.016254955568222e-05,0.9608283266420071,1.469406260722633,0.7063925861033706,0.23340290432262686,1.883102876233675e-05,4.464166881472499e-05,5.415145034472102e-05
v071_100k_B256_138s,8,False,9.404660401186477e-06,1.3410725104719829e-05,9.362067354676337e-06,1.0045495342958481,1.4259659076076743,0.7161518052805498,0.24580504080092933,1.816620242949221e-05,5.713039815332385e-05,5.8139393930136903e-05
v071_100k_B256_138s,9,False,9.064600531675464e-06,1.484845363099933e-05,1.1435305989058454e-05,0.7926854375692848,1.6380703792861795,0.6384967903836299,0.197295978468341,1.7492740211740333e-05,9.136190442445766e-05,8.254078957097366e-05
v064_200k_B64_527s,0,True,4.8501144609347184e-05,6.445346369440835e-05,4.13444678835194e-05,1.1730987745685937,1.3289060333224965,0.7672972699272893,0.2595822239734687,9.409912299040979e-05,0.00023096869152028354,0.00018359342742502172
v064_200k_B64_527s,1,True,3.033173658599872e-08,1.921826172653212e-06,1.92176359368269e-06,0.015783281921723673,63.36024207530328,0.009954501989491807,0.03288383600638489,4.91779732492148e-08,1.15934984503685e-05,1.1619714359700772e-05
v064_200k_B64_527s,2,True,4.466799821814859e-08,1.902009183560887e-06,1.902627494840778e-06,0.023477006581304895,42.581025777602484,-0.002102307876375804,-0.0004599715543288382,6.778290617681648e-08,1.135868207646773e-05,1.1410203250128426e-05
v064_200k_B64_527s,3,True,8.402969972041068e-08,1.9300431666121078e-06,1.9311524895100855e-06,0.04351272112215654,22.968583406032373,0.008563514145578177,0.034486880938297444,1.1438332270241602e-07,1.0650668248679551e-05,1.0700111927608447e-05
v064_200k_B64_527s,4,True,2.448078640686121e-07,1.9537204868591417e-06,1.9524124847925815e-06,0.12538736869151898,7.980627968354701,0.06799289688176556,0.008372960763685777,3.5068781256697434e-07,9.716097274181656e-06,9.651069572291782e-06
v064_200k_B64_527s,5,False,1.0671158495026435e-05,1.4330456724250149e-05,9.453799546437632e-06,1.1287692787020775,1.342914804510609,0.7515610029174494,0.26115639730184265,2.012926188263763e-05,5.181328336367975e-05,5.480401486007051e-05
v064_200k_B64_527s,6,False,1.0155742502429443e-05,1.3874148691741587e-05,9.169403598552519e-06,1.107568490499494,1.3661382895856835,0.7507087288092058,0.2627944977211622,1.9485830705035295e-05,5.864132380043077e-05,4.8784728282732676e-05
v064_200k_B64_527s,7,False,9.76446548400262e-06,1.358460407877297e-05,9.155199323031689e-06,1.0665486506053674,1.3912286444177597,0.7390648483778394,0.25539655057122546,1.883102876233675e-05,6.224887843087386e-05,5.273894533761815e-05
v064_200k_B64_527s,8,False,9.404660401186477e-06,1.3087635586518324e-05,8.96843485812241e-06,1.0486400971813932,1.3916117146417333,0.7283639616988723,0.25038039928219585,1.816620242949221e-05,5.240688723783655e-05,4.326348099480121e-05
v064_200k_B64_527s,9,False,9.064600531675464e-06,1.2222564490017527e-05,8.242924277431231e-06,1.0996826158519915,1.3483842390303722,0.7383713781781269,0.25827597543660546,1.7492740211740333e-05,4.4472101747020955e-05,3.565010737663911e-05
