stage,case_id,origin,wc_eV,eta,delE_eV,ntraj,back_replicas,mpi_ranks,nstep,dt,tmax,qm_job_id,qm_seconds,poisson_job_id,poisson_seconds,qm_path,poisson_path,Q_active_0_200,amplitude_ratio_active,cosine_active,max_particle_error,Q_active_0_50,min_orbital_Q_0_50,Q_active_50_100,min_orbital_Q_50_100,Q_active_100_150,min_orbital_Q_100_150,Q_active_150_200,min_orbital_Q_150_200,min_Q_active_0_150,strict_min_orbital_Q_0_150,target_Q,projected_multiplier,projected_ntraj_Q10,projected_seconds_same_ranks_Q10,passes_Q10,rank,parent_case
final,final_best,confirm_top30,3.389460,2.9610e-5,-17.194874968839816,2500000,256,256,400,0.5,200,645037,194,645067+645068,855,E:\project_qm\scan_v071_q10_t200_20260811\final\final_best\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\final\final_best\poisson\ahm-sepmb-s10-n5-2500000.dat,8.212899144466514,0.9975987061770117,0.9925723368479927,1.4624230715298836e-09,109.84917217416306,88.51274971759086,28.739931640783603,17.417529245272764,10.776020792617715,5.827016175766595,4.385261591006411,2.3841024774994253,10.776020792617715,5.827016175766595,10.0,0.8611586308464607,2152896.577116152,736.290629373724,True,1,f02_hist_d01
confirm,f02_hist_d01,refine_top30,3.389460,2.9610e-5,-17.194874968839816,800000,256,128,400,0.5,200,645037,194,645063,557,E:\project_qm\scan_v071_q10_t200_20260811\confirm\f02_hist_d01\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\confirm\f02_hist_d01\poisson\ahm-sepmb-s10-n5-800000.dat,4.6546000149569435,1.031163180496453,0.9780899803987718,8.409619667304469e-10,47.88018368330769,41.77917800086225,17.164177169529957,11.011271269634223,6.608227148448401,3.556277376301366,2.4567451972248207,1.3312135346477936,6.608227148448401,3.556277376301366,10.0,2.2899714842635235,1831977.1874108189,1275.5141167347826,False,1,r03_hist_d01
confirm,f05_random_09,new_basin_random,3.300561,3.0652e-5,-17.194874968839816,800000,256,128,400,0.5,200,645061,196,645066,533,E:\project_qm\scan_v071_q10_t200_20260811\confirm\f05_random_09\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\confirm\f05_random_09\poisson\ahm-sepmb-s10-n5-800000.dat,4.505546866304135,1.0220035836412908,0.9761365606043582,6.94300616999044e-10,38.22079654571003,30.60373576098499,18.047055889177717,10.217726146739835,6.263763665957347,3.4447561580412698,2.3820267958618206,1.3535465531316608,6.263763665957347,3.4447561580412698,10.0,2.548761940911762,2039009.5527294097,1358.4901145059691,False,2,
confirm,f03_random_07,new_basin_random,3.311842,2.9979e-5,-17.194874968839816,800000,256,128,400,0.5,200,645059,198,645064,538,E:\project_qm\scan_v071_q10_t200_20260811\confirm\f03_random_07\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\confirm\f03_random_07\poisson\ahm-sepmb-s10-n5-800000.dat,5.057783186031853,1.040090110270253,0.9819803904579746,8.71403393887249e-10,36.36821768692572,33.592800537609286,16.243803833111446,10.521668381753281,6.262360941272891,3.3890678596350057,2.7424867351138746,1.22910199889734,6.262360941272891,3.3890678596350057,10.0,2.5499038781887435,2039923.1025509948,1371.848286465544,False,3,
confirm,f01_random_06,refine_top30,3.322913,3.0264e-5,-17.194874968839816,800000,256,128,400,0.5,200,645052,185,645062,534,E:\project_qm\scan_v071_q10_t200_20260811\confirm\f01_random_06\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\confirm\f01_random_06\poisson\ahm-sepmb-s10-n5-800000.dat,4.713475370977785,1.0522166639151158,0.9799070368809324,8.561915620930449e-10,32.36542268587582,28.432242257564578,16.837974771132057,10.643199367858498,6.173995109229465,3.60264914817103,2.524854717975222,1.2858569885609157,6.173995109229465,3.60264914817103,10.0,2.6234176601105603,2098734.128088448,1400.9050304990392,False,4,r06_random_06
confirm,f04_random_08,new_basin_random,3.329774,3.0438e-5,-17.194874968839816,800000,256,128,400,0.5,200,645060,197,645065,553,E:\project_qm\scan_v071_q10_t200_20260811\confirm\f04_random_08\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\confirm\f04_random_08\poisson\ahm-sepmb-s10-n5-800000.dat,4.750946381215296,1.0066213206193475,0.9780156494186263,9.651257570908456e-10,46.00014836095696,33.69177193302158,15.280648036859406,10.867488508538074,6.040323143719527,3.3433837851664028,2.5548940341628597,1.3230172446453028,6.040323143719527,3.3433837851664028,10.0,2.7408145677675972,2192651.6542140776,1515.6704559754812,False,5,
refine,r06_random_06,new_basin_random,3.322913,3.0264e-5,-17.194874968839816,200000,256,128,400,0.5,200,645052,185,645058,137,E:\project_qm\scan_v071_q10_t200_20260811\refine\r06_random_06\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\refine\r06_random_06\poisson\ahm-sepmb-s10-n5-200000.dat,2.224638109720258,1.0475697365134906,0.9046375937235496,1.978861519091879e-10,26.314975784151738,21.488828927820915,8.15058899948405,5.872071400932193,3.1637576173324184,1.670229871724752,1.1737948776139224,0.6722903534565272,3.1637576173324184,1.670229871724752,10.0,9.990646495766102,1998129.2991532204,1368.718569919956,False,1,
refine,r03_hist_d01,coarse_top30,3.389460,2.9610e-5,-17.194874968839816,200000,256,128,400,0.5,200,645037,194,645055,137,E:\project_qm\scan_v071_q10_t200_20260811\refine\r03_hist_d01\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\refine\r03_hist_d01\poisson\ahm-sepmb-s10-n5-200000.dat,2.443885208417828,1.0840052838716214,0.9260266128613719,2.686384448224999e-10,28.51829888323037,21.755719558520713,8.542922531644916,5.455968245577772,3.0757764732326778,1.7633718822277022,1.3148501955788363,0.6684210534917367,3.0757764732326778,1.7633718822277022,10.0,10.570376553439955,2114075.310687991,1448.1415878212738,False,2,c03_hist_d01
refine,r02_random_low,coarse_top30,3.332184,3.0707e-5,-17.194874968839816,200000,256,128,400,0.5,200,645039,182,645054,138,E:\project_qm\scan_v071_q10_t200_20260811\refine\r02_random_low\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\refine\r02_random_low\poisson\ahm-sepmb-s10-n5-200000.dat,2.326687650893893,1.1233131431766743,0.9245454906902932,2.006563804002326e-10,18.09417535255453,14.870576822150415,7.847317620862912,5.442985847195582,3.041453077943886,1.6205475949208563,1.246813704430417,0.6215706480358021,3.041453077943886,1.6205475949208563,10.0,10.810300301292603,2162060.0602585208,1491.8214415783793,False,3,c05_random_low
refine,r05_random_05,new_basin_random,3.340776,3.1046e-5,-17.194874968839816,200000,256,128,400,0.5,200,645051,187,645057,138,E:\project_qm\scan_v071_q10_t200_20260811\refine\r05_random_05\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\refine\r05_random_05\poisson\ahm-sepmb-s10-n5-200000.dat,2.34988867355081,1.1568134694069139,0.9323555144764009,2.5500224154484386e-10,11.994414900448147,10.933573745308893,7.019936080704064,4.777780679148979,3.0070974264611663,1.597594402956679,1.2727446198237231,0.6522506001121041,3.0070974264611663,1.597594402956679,10.0,11.058723563370265,2211744.712674053,1526.1038517450966,False,4,
