window_start,window_stop,n_points,Q_active,min_active_orbital_Q,signal_rms_active,error_rms_active,amplitude_ratio_active,cosine_active,max_particle_error,target_Q,trajectory_multiplier_for_target,projected_ntraj_for_target
0.0,50.0,101,338.67083196830646,329.23163442479535,1.429536636729869e-06,4.2210208314120425e-09,1.0019527489004971,0.999997552117746,1.9178710175538072e-08,10.0,0.0008718552975174672,39233.48838828602
50.0,100.0,101,154.49740241782416,79.06705880550693,1.3010849251942236e-06,8.421403239360348e-09,1.0025570687419985,0.9999823671086724,1.7567672649931865e-08,10.0,0.004189456023741966,188525.52106838848
100.0,150.0,101,102.99019270687363,79.16701906923089,1.3019322421377418e-06,1.2641322517409466e-08,0.9930264952714764,0.9999770158320946,1.5012441956230305e-08,10.0,0.009427754360243226,424248.94621094514
150.0,200.0,101,67.53175213459375,55.59669002575347,1.3019504609103667e-06,1.927908605592703e-08,0.9973539181602427,0.9998935830881278,1.1999721216682246e-08,10.0,0.02192723971314197,986725.7870913887
200.0,250.0,101,48.20977344716502,37.39713794568735,1.3019587165194063e-06,2.7006115636412892e-08,0.9936108815792836,0.9998040289062552,9.642747933469309e-09,10.0,0.04302588566335069,1936164.854850781
250.0,300.0,101,79.33463736285162,42.391023708121345,1.3019565311901343e-06,1.6410947027278835e-08,1.0098925500023657,0.9999697892040789,5.270289982206577e-09,10.0,0.01588818610100139,714968.3745450625
300.0,350.0,101,27.061065227798174,18.30004251016921,1.3019510681775668e-06,4.8111597131074955e-08,1.027327586173655,0.9996988490956712,8.419851482699414e-09,10.0,0.13655582293149146,6145012.031917116
350.0,400.0,101,22.73318068217124,17.17256062556192,1.301920377032736e-06,5.726960935359925e-08,1.0272591682694885,0.9994198486380332,8.194175116216229e-09,10.0,0.19349938658737173,8707472.396431727
400.0,450.0,101,33.2564331819372,22.136804785784577,1.3016995396634304e-06,3.914128531289494e-08,0.9803704691234293,0.9997353813907388,7.465243534454657e-09,10.0,0.09041670226347,4068751.6018561497
450.0,500.0,101,24.708581328200815,18.99681828259216,1.3001320782208903e-06,5.261864535852577e-08,1.0085339258391355,0.9992240537629358,1.1372446984125872e-08,10.0,0.16379640996412786,7370838.448385754
