case_id,job_id,wc_eV,eta,delE_eV,ntraj,back_replicas,exact_back_jumps,algorithm,seed,nstep,server_run_dir,status
g01,645578,2.70,2.0e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-g01-wc2p7-eta2p0em6,pending
g02,645579,3.00,2.0e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-g02-wc3-eta2p0em6,pending
g03,645580,3.30,2.0e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-g03-wc3p3-eta2p0em6,pending
g04,645581,2.70,2.6e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-g04-wc2p7-eta2p6em6,pending
g05,645582,3.00,2.6e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-g05-wc3-eta2p6em6,pending
g06,645583,3.30,2.6e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-g06-wc3p3-eta2p6em6,pending
g07,645584,2.70,3.2e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-g07-wc2p7-eta3p2em6,pending
g08,645585,3.00,3.2e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-g08-wc3-eta3p2em6,pending
g09,645586,3.30,3.2e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-g09-wc3p3-eta3p2em6,pending
r01,645587,2.83,2.25e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-r01-wc2p83-eta2p25em6,pending
r02,645588,3.17,2.85e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-r02-wc3p17-eta2p85em6,pending
r03,645589,3.46,3.55e-6,-17.194874968839816,50000,256,4,v0.76,790500,1000,pgrid2-r03-wc3p46-eta3p55em6,pending
