case_id,wc_eV,eta,delE_eV,ntraj,back_replicas,exact_back_jumps,algorithm,runtime_seconds,qm_path,simulation_path,n_points,actual_tmax,min_Q_0_target,min_active_orbital_Q_0_target,target_stop,target_Q,projected_multiplier,projected_ntraj_Q_target,projected_ntraj_orbital_Q_target,Q_per_sqrt_ntraj,projected_runtime_seconds,signal_rms_active_0_target,signal_peak_active_0_target,amplitude_ratio_active_0_target,cosine_active_0_target,inactive_absolute_error_rms_0_target,max_particle_error,Q_0_50,Q_50_100,Q_100_150,Q_150_200,Q_200_250,Q_250_300,Q_300_350,Q_350_400,Q_400_450,Q_450_500,min_orbital_Q_0_50,min_orbital_Q_50_100,min_orbital_Q_100_150,min_orbital_Q_150_200,min_orbital_Q_200_250,min_orbital_Q_250_300,min_orbital_Q_300_350,min_orbital_Q_350_400,min_orbital_Q_400_450,min_orbital_Q_450_500
g06,3.30,2.6e-6,-17.194874968839816,50000,256,4,v0.76,642,parameter_grid_round2/g06/ahm-qm-s10-n5.dat,parameter_grid_round2/g06/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.7084887841440636,0.5671535860655686,400.0,10.0,199.22050703028424,9961025.351514213,15544209.44806491,0.0031684581652846027,127899.56551344247,1.6961517911955309e-06,7.44138811559214e-06,1.2985145202906359,0.7854240630784887,1.7305750910588712e-07,1.2468603927118238e-10,13.218118499541726,6.051178029728432,2.409623441736371,1.6512548647382213,1.5172392101719068,0.9287660392588865,0.9357548600767003,0.7084887841440636,0.43964046075493485,0.42500874974071107,11.983236899299293,5.056625491884319,2.009011760271746,1.5369582275860054,1.3425239998597953,0.8237032708176592,0.7117046740105878,0.5671535860655686,0.37802220103099327,0.35561270855332267
g05,3.00,2.6e-6,-17.194874968839816,50000,256,4,v0.76,643,parameter_grid_round2/g05/ahm-qm-s10-n5.dat,parameter_grid_round2/g05/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.6904031726119405,0.5660648714353388,400.0,10.0,209.79466649529581,10489733.32476479,15604059.416965313,0.00308757685168364,134897.97055647522,1.7051822568688021e-06,7.479731635173792e-06,1.308177412834062,0.7812078902432625,1.785939955236137e-07,1.2284040451504552e-10,13.114488376015872,6.039643825937213,2.406932312318288,1.638924665868139,1.4961851492481089,0.9233548889155908,0.9205167662381352,0.6904031726119405,0.43199095302974777,0.4210095157821509,11.985229097705336,5.222067538381509,2.064958553192513,1.5366413428642673,1.3296946168330914,0.8264735441000177,0.7109957111742637,0.5660648714353388,0.37766012551081246,0.3469310883632086
g03,3.30,2.0e-6,-17.194874968839816,50000,256,4,v0.76,612,parameter_grid_round2/g03/ahm-qm-s10-n5.dat,parameter_grid_round2/g03/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.6774798850361756,0.5635625624184092,400.0,10.0,217.87489442934586,10893744.721467294,15742936.151747162,0.0030297821526592624,133339.43539075967,1.3046945163659508e-06,5.724161517561832e-06,1.4436371254537226,0.773554856097178,1.1588142939998636e-07,1.2866330223459954e-10,8.972371486324331,5.123007537065202,2.091367660941422,1.3899977974129099,1.293602643936165,0.8843063001710497,0.6774798850361756,0.6912453922504085,0.5042403161018588,0.413808004937514,6.8852164976907115,4.0043893333235285,1.843708579849041,1.168643200851214,1.1832910541478674,0.7682553341579937,0.60784080228964,0.5635625624184092,0.43724522002972555,0.32756461783975255
g04,2.70,2.6e-6,-17.194874968839816,50000,256,4,v0.76,635,parameter_grid_round2/g04/ahm-qm-s10-n5.dat,parameter_grid_round2/g04/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.6744464065334702,0.5529712963501712,400.0,10.0,219.83918727638834,10991959.363819417,16351772.164185967,0.0030162160243785954,139597.8839205066,1.7144679423529212e-06,7.518719018606568e-06,1.317548324606676,0.7777280421375853,1.8347097417663247e-07,1.2563816653710091e-10,12.998975471147316,6.019618050359118,2.403799253346613,1.6285061266660872,1.4786364861110282,0.9166930722787859,0.9102796436834014,0.6744464065334702,0.42505073070761457,0.4169830913190989,11.986463164227715,5.3503306808393125,2.127076237406678,1.5459948324470332,1.3348762596222414,0.8295785782066437,0.7204981152607997,0.5529712963501712,0.36968322922320856,0.34776198501952826
g02,3.00,2.0e-6,-17.194874968839816,50000,256,4,v0.76,614,parameter_grid_round2/g02/ahm-qm-s10-n5.dat,parameter_grid_round2/g02/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.6684711518891665,0.5767349926052866,400.0,10.0,223.78689999105518,11189344.999552758,15032021.888170505,0.0029894938732435267,137405.1565945079,1.3116316705641923e-06,5.753656591500622e-06,1.4435161531442118,0.7698047618186294,1.1968710867479547e-07,1.2721557141048834e-10,9.112806279948343,5.159246310241993,2.0790500129889526,1.3904014694070523,1.277775004654886,0.8807302673691374,0.6684711518891665,0.6900544274874963,0.49569112412316313,0.4177488803057519,7.08841818513313,4.099390166445632,1.8439936218502326,1.1853189848016974,1.1839011681008451,0.7746973822184439,0.6117197891929971,0.5767349926052866,0.4412017225145699,0.3384782319537024
g01,2.70,2.0e-6,-17.194874968839816,50000,256,4,v0.76,614,parameter_grid_round2/g01/ahm-qm-s10-n5.dat,parameter_grid_round2/g01/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.658518669810478,0.5900061081636335,400.0,10.0,230.60239606138745,11530119.803069372,14363391.190492712,0.002944985020297935,141589.8711816919,1.3187637390052766e-06,5.783646944812482e-06,1.4428134980327652,0.7667214682246739,1.228440739570252e-07,1.2708856189647122e-10,9.274416675160559,5.203009472527491,2.068945112266916,1.3932459353759634,1.2629038491874898,0.8759743201269382,0.658518669810478,0.6942647545528983,0.4915640333110667,0.4191142665849271,7.336125282387057,4.211795341306606,1.8438770186513136,1.2078141894413073,1.176492775293278,0.7734360963490863,0.6089509564217054,0.5900061081636335,0.4523875892471528,0.3533001732099046
r01,2.83,2.25e-6,-17.194874968839816,50000,256,4,v0.76,618,parameter_grid_round2/r01/ahm-qm-s10-n5.dat,parameter_grid_round2/r01/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.5541334442008483,0.488725298053616,400.0,10.0,325.6651415981819,16283257.079909094,20933428.53167639,0.0024781600996783668,201261.05750767642,1.4801298475945167e-06,6.491906857086782e-06,1.3712353672497646,0.7623612771078222,1.4046102302525292e-07,1.3251177932716018e-10,12.747509750219535,5.311980194174939,2.570755358053992,1.460966245743426,1.7495681910348948,0.9330721376332302,0.9725820649708113,0.5541334442008483,0.5758122823913038,0.3706239649989404,11.991635299408781,5.0824007482956945,2.3456602728304046,1.3466272393985188,1.4702403277383422,0.8388882873311415,0.8229307036227418,0.488725298053616,0.47188694296336275,0.32561260647206897
r02,3.17,2.85e-6,-17.194874968839816,50000,256,4,v0.76,649,parameter_grid_round2/r02/ahm-qm-s10-n5.dat,parameter_grid_round2/r02/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.5512693113228063,0.46886263252041754,400.0,10.0,329.05793447802085,16452896.723901043,22744623.96259941,0.002465351308054579,213558.59947623554,1.863523998055785e-06,8.175021833145557e-06,1.3462660832558473,0.6925400001261898,1.8969818964036912e-07,1.2674128413436847e-10,8.459411255716242,4.081409367570742,1.9090889645310478,1.4717945917856956,1.351121670126507,0.9053219397059696,0.7363294503851531,0.5512693113228063,0.5081690634015205,0.3400579242527197,6.394265134294309,3.388753292399377,1.671516923742083,1.3120943319509106,1.1106452582455975,0.7976915438042487,0.5866804312485672,0.46886263252041754,0.431577900538479,0.3050569051118092
r03,3.46,3.55e-6,-17.194874968839816,50000,256,4,v0.76,686,parameter_grid_round2/r03/ahm-qm-s10-n5.dat,parameter_grid_round2/r03/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.5417748376105336,0.441741321028194,400.0,10.0,340.69231612988887,17034615.806494445,25623234.614054997,0.0024228907307921256,233714.92886510375,2.309557083734324e-06,1.0132753351155266e-05,1.2994411280839606,0.6756640908192234,2.518838007825717e-07,1.2111822655924698e-10,5.802288667602028,3.146771104106699,2.232236187433399,1.7800935282468786,1.1209662077380032,1.0529036528863318,0.7388250767336885,0.5417748376105336,0.4084946633817874,0.3525478786010431,5.3967869952176475,2.8134762972207663,1.9841424409328619,1.6010565196890496,1.002942902521732,0.8117223530091271,0.647335588135447,0.441741321028194,0.3435715634511554,0.2718846348191866
g09,3.30,3.2e-6,-17.194874968839816,50000,256,4,v0.76,666,parameter_grid_round2/g09/ahm-qm-s10-n5.dat,parameter_grid_round2/g09/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.531251144720023,0.44561472770369936,400.0,10.0,354.32373254368105,17716186.627184052,25179722.086072188,0.0023758273454371,235979.6058740916,2.087631665406643e-06,9.158604625914002e-06,1.3658678718943076,0.6912364407645887,2.3524391565429433e-07,1.269242488888267e-10,11.300745554006115,4.677227634285027,2.3399190279154487,1.843626537883897,1.3793341479295271,1.0512154531658133,0.6295069120684819,0.531251144720023,0.45532761456491466,0.33937167431733084,9.548927808673136,4.344824913235398,1.925676176965337,1.6618204493148048,1.2011645688611154,0.8865890212086666,0.5635792100597313,0.44561472770369936,0.35194780579471374,0.2894186224198953
